contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
RIVN251017P00005000,2025-10-16 19:06:43+00:00,5.0,0.01,0.0,0.03,0.0,0.0,5.0,109,8.250004843749998,False,REGULAR,USD,2025-10-17
RIVN251017P00006000,2025-10-16 17:57:49+00:00,6.0,0.03,0.0,0.03,0.0,0.0,1.0,17,6.7500015625000005,False,REGULAR,USD,2025-10-17
RIVN251017P00007000,2025-10-16 14:39:34+00:00,7.0,0.03,0.0,0.04,0.0,0.0,1.0,31,5.7500028125,False,REGULAR,USD,2025-10-17
RIVN251017P00008000,2025-10-15 16:53:24+00:00,8.0,0.01,0.0,0.04,0.0,0.0,1.0,194,4.62500421875,False,REGULAR,USD,2025-10-17
RIVN251017P00008500,2025-10-16 13:59:09+00:00,8.5,0.02,0.0,0.04,0.0,0.0,1.0,44,4.12500484375,False,REGULAR,USD,2025-10-17
RIVN251017P00009000,2025-10-16 13:57:31+00:00,9.0,0.02,0.0,0.01,-0.01,-33.333336,6.0,3846,3.0000025,False,REGULAR,USD,2025-10-17
RIVN251017P00009500,2025-10-17 19:06:34+00:00,9.5,0.07,0.0,0.06,0.05,250.0,1.0,6,3.406251484375,False,REGULAR,USD,2025-10-17
RIVN251017P00010000,2025-10-17 17:54:28+00:00,10.0,0.01,0.0,0.01,0.0,0.0,27.0,12635,2.2500043749999996,False,REGULAR,USD,2025-10-17
RIVN251017P00010500,2025-10-15 14:20:22+00:00,10.5,0.01,0.0,0.01,0.0,0.0,24.0,80,1.875000625,False,REGULAR,USD,2025-10-17
RIVN251017P00011000,2025-10-16 19:58:05+00:00,11.0,0.01,0.0,0.01,0.0,0.0,1.0,4467,1.5000025,False,REGULAR,USD,2025-10-17
RIVN251017P00011500,2025-10-17 19:29:59+00:00,11.5,0.01,0.0,0.01,0.0,0.0,47.0,431,1.125004375,False,REGULAR,USD,2025-10-17
RIVN251017P00012000,2025-10-17 19:21:29+00:00,12.0,0.01,0.0,0.01,0.0,0.0,623.0,16051,0.8125018749999999,False,REGULAR,USD,2025-10-17
RIVN251017P00012500,2025-10-17 19:43:27+00:00,12.5,0.01,0.0,0.01,-0.04,-80.00001,2233.0,6759,0.5312546875,False,REGULAR,USD,2025-10-17
RIVN251017P00013000,2025-10-17 19:39:27+00:00,13.0,0.01,0.01,0.03,-0.22,-88.0,5358.0,18953,0.1562584375,False,REGULAR,USD,2025-10-17
RIVN251017P00013500,2025-10-17 19:41:03+00:00,13.5,0.44,0.43,0.46,-0.23000002,-34.32836,538.0,3644,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
RIVN251017P00014000,2025-10-17 19:40:19+00:00,14.0,0.95,0.92,0.96,-0.20999998,-18.103447,404.0,6023,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
RIVN251017P00014500,2025-10-17 19:34:52+00:00,14.5,1.46,1.42,1.49,-0.14999998,-9.316769,227.0,1306,1.2500037499999999,True,REGULAR,USD,2025-10-17
RIVN251017P00015000,2025-10-17 18:32:40+00:00,15.0,1.89,1.91,1.99,-0.29000008,-13.302755,88.0,3685,1.5625021874999998,True,REGULAR,USD,2025-10-17
RIVN251017P00015500,2025-10-17 19:34:36+00:00,15.5,2.44,2.37,2.62,-0.20000005,-7.575759,22.0,733,1.9375003125,True,REGULAR,USD,2025-10-17
RIVN251017P00016000,2025-10-17 19:14:25+00:00,16.0,2.92,2.83,2.98,-0.07999992,-2.6666641,15.0,544,1.875000625,True,REGULAR,USD,2025-10-17
RIVN251017P00016500,2025-10-17 16:12:03+00:00,16.5,3.5,3.25,3.65,0.099999905,2.9411736,1.0,5,3.88281279296875,True,REGULAR,USD,2025-10-17
