contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GM251031C00030000,2025-10-27 17:14:38+00:00,30.0,39.06,38.55,40.6,0.0,0.0,3.0,17,5.375003281249999,True,REGULAR,USD,2025-10-31
GM251031C00045000,2025-10-21 13:37:18+00:00,45.0,18.4,23.45,25.55,0.0,0.0,,0,3.0468773828125,True,REGULAR,USD,2025-10-31
GM251031C00049000,2025-10-21 13:57:02+00:00,49.0,16.47,19.6,21.3,0.0,0.0,2.0,2,2.2929730175781247,True,REGULAR,USD,2025-10-31
GM251031C00050000,2025-10-28 18:49:55+00:00,50.0,19.6,18.15,20.35,2.17,12.449799,8.0,7,2.2441450146484367,True,REGULAR,USD,2025-10-31
GM251031C00051000,2025-10-28 19:45:36+00:00,51.0,18.63,17.8,19.5,0.539999,2.985069,1.0,14,2.28906677734375,True,REGULAR,USD,2025-10-31
GM251031C00052000,2025-10-28 17:48:06+00:00,52.0,17.66,16.85,18.45,0.48999977,2.8538134,2.0,3,2.1328171679687498,True,REGULAR,USD,2025-10-31
GM251031C00053000,2025-10-28 17:48:46+00:00,53.0,16.73,15.95,17.55,3.9499998,30.907667,11.0,6,2.113285966796875,True,REGULAR,USD,2025-10-31
GM251031C00054000,2025-10-28 17:49:25+00:00,54.0,15.76,15.0,16.55,-0.069999695,-0.44219643,7.0,21,2.003911240234375,True,REGULAR,USD,2025-10-31
GM251031C00055000,2025-10-27 19:35:16+00:00,55.0,14.9,13.7,15.5,0.0,0.0,1.0,287,1.85546947265625,True,REGULAR,USD,2025-10-31
GM251031C00056000,2025-10-28 17:47:06+00:00,56.0,13.63,12.7,14.55,0.23999977,1.7923806,1.0,446,1.7890635546875,True,REGULAR,USD,2025-10-31
GM251031C00057000,2025-10-28 18:52:43+00:00,57.0,12.9,12.75,13.1,0.75,6.1728396,77.0,232,0.9726565234375,True,REGULAR,USD,2025-10-31
GM251031C00058000,2025-10-28 18:33:30+00:00,58.0,11.94,11.55,12.6,0.35999966,3.1088054,15.0,1379,1.154301103515625,True,REGULAR,USD,2025-10-31
GM251031C00059000,2025-10-28 19:52:02+00:00,59.0,10.64,10.1,11.35,0.34000015,3.3009722,6.0,548,1.3251986865234373,True,REGULAR,USD,2025-10-31
GM251031C00060000,2025-10-28 17:16:25+00:00,60.0,9.88,9.6,10.55,0.44000053,4.6610227,23.0,453,0.98437515625,True,REGULAR,USD,2025-10-31
GM251031C00061000,2025-10-27 15:06:45+00:00,61.0,8.15,8.55,9.45,0.0,0.0,11.0,488,0.8125018749999999,True,REGULAR,USD,2025-10-31
GM251031C00062000,2025-10-28 14:54:33+00:00,62.0,7.1,7.65,8.45,-0.099999905,-1.3888876,1.0,892,0.789064609375,True,REGULAR,USD,2025-10-31
GM251031C00063000,2025-10-28 15:15:54+00:00,63.0,6.3,6.65,7.3,0.01999998,0.318471,13.0,665,0.6250037500000001,True,REGULAR,USD,2025-10-31
GM251031C00064000,2025-10-28 18:17:20+00:00,64.0,5.5,5.55,7.8,0.3699999,7.2124734,22.0,1106,1.009770576171875,True,REGULAR,USD,2025-10-31
GM251031C00065000,2025-10-28 19:33:49+00:00,65.0,5.05,4.75,5.4,1.1000001,27.848104,498.0,2198,0.5585981640625001,True,REGULAR,USD,2025-10-31
GM251031C00066000,2025-10-28 19:07:32+00:00,66.0,3.95,3.85,4.4,0.9000001,29.5082,589.0,1535,0.5039112109375,True,REGULAR,USD,2025-10-31
GM251031C00067000,2025-10-28 19:51:35+00:00,67.0,3.02,2.9,3.2,0.44000006,17.054268,536.0,1750,0.450200810546875,True,REGULAR,USD,2025-10-31
GM251031C00068000,2025-10-28 19:45:59+00:00,68.0,2.15,2.06,2.52,0.35000014,19.444454,372.0,1479,0.48242705078125003,True,REGULAR,USD,2025-10-31
GM251031C00069000,2025-10-28 19:48:33+00:00,69.0,1.47,1.36,1.57,0.30000007,25.641033,211.0,3285,0.372076591796875,True,REGULAR,USD,2025-10-31
GM251031C00070000,2025-10-28 19:59:42+00:00,70.0,0.84,0.84,0.88,0.14999998,21.739128,678.0,3065,0.3232489550781249,False,REGULAR,USD,2025-10-31
GM251031C00071000,2025-10-28 19:58:54+00:00,71.0,0.47,0.43,0.47,0.08000001,20.512823,231.0,953,0.3154365332031249,False,REGULAR,USD,2025-10-31
GM251031C00072000,2025-10-28 19:45:41+00:00,72.0,0.18,0.19,0.25,0.0,0.0,67.0,430,0.32520206054687495,False,REGULAR,USD,2025-10-31
