contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
TSLA251107P00150000,2025-11-06 17:06:28+00:00,150.0,0.01,0.0,0.01,0.0,0.0,114.0,636,4.2500046875,False,REGULAR,USD,2025-11-07
TSLA251107P00155000,2025-11-06 19:27:41+00:00,155.0,0.01,0.0,0.01,0.0,0.0,1.0,15191,4.12500484375,False,REGULAR,USD,2025-11-07
TSLA251107P00160000,2025-11-06 20:32:28+00:00,160.0,0.01,0.0,0.01,0.0,0.0,2113.0,13134,3.93750015625,False,REGULAR,USD,2025-11-07
TSLA251107P00165000,2025-11-06 20:34:29+00:00,165.0,0.01,0.0,0.01,0.0,0.0,1963.0,32357,3.8750003125,False,REGULAR,USD,2025-11-07
TSLA251107P00170000,2025-11-06 20:35:06+00:00,170.0,0.01,0.0,0.01,0.0,0.0,752.0,2373,3.750000625,False,REGULAR,USD,2025-11-07
TSLA251107P00175000,2025-11-06 16:28:21+00:00,175.0,0.01,0.0,0.01,0.0,0.0,11.0,1540,3.6250009375000003,False,REGULAR,USD,2025-11-07
TSLA251107P00180000,2025-11-06 17:21:25+00:00,180.0,0.01,0.0,0.01,-0.03,-75.0,20.0,764,3.50000125,False,REGULAR,USD,2025-11-07
TSLA251107P00185000,2025-11-06 20:35:10+00:00,185.0,0.01,0.01,0.02,0.0,0.0,78.0,988,3.718750703125,False,REGULAR,USD,2025-11-07
TSLA251107P00190000,2025-11-06 20:33:35+00:00,190.0,0.01,0.01,0.02,0.0,0.0,124.0,4423,3.6250009375000003,False,REGULAR,USD,2025-11-07
TSLA251107P00195000,2025-11-06 19:16:58+00:00,195.0,0.01,0.01,0.02,0.0,0.0,391.0,2332,3.50000125,False,REGULAR,USD,2025-11-07
TSLA251107P00200000,2025-11-06 19:57:36+00:00,200.0,0.01,0.01,0.02,-0.01,-50.0,1564.0,44605,3.406251484375,False,REGULAR,USD,2025-11-07
TSLA251107P00205000,2025-11-06 20:02:22+00:00,205.0,0.01,0.01,0.02,0.0,0.0,241.0,5810,3.3125017187499997,False,REGULAR,USD,2025-11-07
TSLA251107P00210000,2025-11-06 20:00:27+00:00,210.0,0.01,0.01,0.02,0.0,0.0,83.0,3817,3.2187519531249995,False,REGULAR,USD,2025-11-07
TSLA251107P00215000,2025-11-06 16:50:54+00:00,215.0,0.01,0.01,0.02,-0.01,-50.0,4.0,1963,3.1250021875,False,REGULAR,USD,2025-11-07
TSLA251107P00220000,2025-11-06 20:34:11+00:00,220.0,0.02,0.01,0.02,0.0,0.0,170.0,5745,3.031252421875,False,REGULAR,USD,2025-11-07
TSLA251107P00225000,2025-11-06 20:02:45+00:00,225.0,0.02,0.02,0.03,0.0,0.0,495.0,2487,3.06250234375,False,REGULAR,USD,2025-11-07
TSLA251107P00230000,2025-11-06 20:33:13+00:00,230.0,0.04,0.02,0.04,0.02,100.0,1477.0,4413,3.0156274609375,False,REGULAR,USD,2025-11-07
TSLA251107P00235000,2025-11-06 20:30:54+00:00,235.0,0.03,0.02,0.04,0.01,50.0,9.0,1555,2.9218776953125003,False,REGULAR,USD,2025-11-07
TSLA251107P00240000,2025-11-06 19:52:29+00:00,240.0,0.01,0.02,0.04,-0.01,-50.0,236.0,11804,2.8281279296874997,False,REGULAR,USD,2025-11-07
TSLA251107P00245000,2025-11-06 20:27:38+00:00,245.0,0.04,0.02,0.04,0.02,100.0,147.0,1540,2.7343781640625,False,REGULAR,USD,2025-11-07
TSLA251107P00250000,2025-11-06 20:06:08+00:00,250.0,0.02,0.02,0.04,0.0,0.0,1304.0,28492,2.6562533593750004,False,REGULAR,USD,2025-11-07
TSLA251107P00255000,2025-11-06 20:33:34+00:00,255.0,0.03,0.02,0.05,0.0,0.0,78.0,31814,2.6093784765625,False,REGULAR,USD,2025-11-07
TSLA251107P00260000,2025-11-06 20:13:34+00:00,260.0,0.02,0.02,0.04,-0.01,-33.333336,497.0,4367,2.4843787890625,False,REGULAR,USD,2025-11-07
TSLA251107P00265000,2025-11-06 18:15:54+00:00,265.0,0.05,0.03,0.05,0.030000001,150.0,244.0,8436,2.468753828125,False,REGULAR,USD,2025-11-07
TSLA251107P00270000,2025-11-06 20:24:13+00:00,270.0,0.05,0.02,0.06,0.020000001,66.66668,113.0,2374,2.3828165429687496,False,REGULAR,USD,2025-11-07
TSLA251107P00275000,2025-11-06 19:40:36+00:00,275.0,0.02,0.03,0.05,-0.02,-50.0,191.0,3731,2.2968792578125,False,REGULAR,USD,2025-11-07
TSLA251107P00280000,2025-11-06 20:00:01+00:00,280.0,0.05,0.04,0.07,0.0,0.0,286.0,4690,2.28906677734375,False,REGULAR,USD,2025-11-07
TSLA251107P00285000,2025-11-06 20:11:10+00:00,285.0,0.05,0.03,0.06,0.020000001,66.66668,392.0,2969,2.1718795703125,False,REGULAR,USD,2025-11-07
TSLA251107P00290000,2025-11-06 20:36:05+00:00,290.0,0.06,0.04,0.07,0.009999998,24.999992,157.0,3472,2.1328171679687498,False,REGULAR,USD,2025-11-07
TSLA251107P00295000,2025-11-06 20:33:05+00:00,295.0,0.05,0.05,0.08,0.0,0.0,304.0,3722,2.0859422851562495,False,REGULAR,USD,2025-11-07
TSLA251107P00300000,2025-11-06 20:34:06+00:00,300.0,0.07,0.06,0.08,0.010000002,20.000004,2156.0,5875,2.02344244140625,False,REGULAR,USD,2025-11-07
TSLA251107P00305000,2025-11-06 20:14:34+00:00,305.0,0.08,0.06,0.08,0.02,33.333336,184.0,2180,1.9492190039062502,False,REGULAR,USD,2025-11-07
TSLA251107P00310000,2025-11-06 20:36:31+00:00,310.0,0.07,0.07,0.08,0.02,40.0,1257.0,2762,1.88671931640625,False,REGULAR,USD,2025-11-07
