contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
F251107P00005000,2025-11-03 20:18:57+00:00,5.0,0.01,0.0,0.01,0.0,0.0,4.0,0,7.2500009375,False,REGULAR,USD,2025-11-07
F251107P00006000,2025-11-03 15:30:41+00:00,6.0,0.01,0.0,0.01,0.0,0.0,2.0,0,6.0000025,False,REGULAR,USD,2025-11-07
F251107P00007000,2025-10-29 18:35:53+00:00,7.0,0.01,0.0,0.01,0.0,0.0,40.0,440,4.7500040624999995,False,REGULAR,USD,2025-11-07
F251107P00007500,2025-10-29 14:35:58+00:00,7.5,0.01,0.0,0.01,0.0,0.0,40.0,70,4.2500046875,False,REGULAR,USD,2025-11-07
F251107P00008000,2025-11-05 14:31:13+00:00,8.0,0.01,0.0,0.01,0.0,0.0,7.0,454,3.8750003125,False,REGULAR,USD,2025-11-07
F251107P00008500,2025-11-07 17:54:29+00:00,8.5,0.01,0.0,0.01,0.0,0.0,1.0,703,3.50000125,False,REGULAR,USD,2025-11-07
F251107P00009000,2025-11-07 17:54:29+00:00,9.0,0.07,0.0,0.07,0.060000002,600.0001,1.0,78,4.0937548828125,False,REGULAR,USD,2025-11-07
F251107P00009500,2025-10-29 14:46:09+00:00,9.5,0.01,0.0,0.01,0.0,0.0,2.0,54,2.6250034375,False,REGULAR,USD,2025-11-07
F251107P00010000,2025-11-06 15:06:14+00:00,10.0,0.01,0.0,0.01,0.0,0.0,4.0,663,2.2500043749999996,False,REGULAR,USD,2025-11-07
F251107P00010500,2025-11-05 17:04:45+00:00,10.5,0.01,0.0,0.01,0.0,0.0,2.0,905,1.875000625,False,REGULAR,USD,2025-11-07
F251107P00011000,2025-11-06 19:46:06+00:00,11.0,0.01,0.0,0.01,0.0,0.0,46.0,2626,1.5625021874999998,False,REGULAR,USD,2025-11-07
F251107P00011500,2025-11-07 15:59:08+00:00,11.5,0.01,0.0,0.01,0.0,0.0,44.0,2570,1.2500037499999999,False,REGULAR,USD,2025-11-07
F251107P00012000,2025-11-07 18:20:27+00:00,12.0,0.01,0.0,0.01,0.0,0.0,8.0,4350,0.87500125,False,REGULAR,USD,2025-11-07
F251107P00012500,2025-11-07 17:07:08+00:00,12.5,0.01,0.0,0.01,0.0,0.0,184.0,4944,0.5312546875,False,REGULAR,USD,2025-11-07
F251107P00013000,2025-11-07 18:32:00+00:00,13.0,0.01,0.01,0.02,-0.1,-90.90909,3738.0,8857,0.273444765625,False,REGULAR,USD,2025-11-07
F251107P00013500,2025-11-07 18:28:19+00:00,13.5,0.36,0.33,0.4,-0.16999996,-32.075466,572.0,2253,0.6562534375000001,True,REGULAR,USD,2025-11-07
F251107P00014000,2025-11-07 18:01:53+00:00,14.0,0.86,0.82,0.92,-0.089999974,-9.473681,42.0,1554,0.92187578125,True,REGULAR,USD,2025-11-07
F251107P00014500,2025-11-06 19:54:03+00:00,14.5,1.45,1.3,1.46,-0.13999999,-8.80503,2.0,86,1.3750031249999999,True,REGULAR,USD,2025-11-07
F251107P00015000,2025-11-05 18:44:46+00:00,15.0,1.88,1.74,1.97,0.0,0.0,3.0,34,1.40625296875,True,REGULAR,USD,2025-11-07
F251107P00015500,2025-11-05 17:50:36+00:00,15.5,2.41,2.26,2.47,0.0,0.0,2.0,10,1.8437507812499998,True,REGULAR,USD,2025-11-07
F251107P00016000,2025-11-03 17:41:44+00:00,16.0,3.3,2.76,2.97,0.0,0.0,1.0,20,2.1250046874999997,True,REGULAR,USD,2025-11-07
F251107P00016500,2025-11-07 15:23:36+00:00,16.5,3.35,3.2,3.5,0.109999895,3.3950584,5.0,19,2.0625048437499998,True,REGULAR,USD,2025-11-07
F251107P00017000,2025-10-07 13:53:03+00:00,17.0,6.6,3.75,4.0,0.0,0.0,1.0,8,2.81250296875,True,REGULAR,USD,2025-11-07
F251114P00005000,2025-11-07 17:00:24+00:00,5.0,0.13,0.0,0.13,0.089999996,225.0,4.0,7,3.6875007812500002,False,REGULAR,USD,2025-11-14
F251114P00007000,2025-11-04 18:20:31+00:00,7.0,0.01,0.0,0.13,0.0,0.0,10.0,20,2.5156287109374995,False,REGULAR,USD,2025-11-14
F251114P00007500,2025-11-06 19:21:36+00:00,7.5,0.1,0.0,0.13,0.0,0.0,2.0,313,2.2734418164062498,False,REGULAR,USD,2025-11-14
F251114P00008000,2025-11-04 17:16:01+00:00,8.0,0.01,0.0,0.01,0.0,0.0,10.0,570,1.3750031249999999,False,REGULAR,USD,2025-11-14
F251114P00008500,2025-11-03 20:09:15+00:00,8.5,0.01,0.0,0.13,0.0,0.0,1.0,22,1.8359383203124997,False,REGULAR,USD,2025-11-14
F251114P00009000,2025-11-05 14:31:13+00:00,9.0,0.03,0.0,0.13,0.0,0.0,1.0,19,1.6328143359374998,False,REGULAR,USD,2025-11-14
F251114P00009500,2025-11-07 14:33:55+00:00,9.5,0.01,0.0,0.01,0.0,0.0,90.0,225,0.937500625,False,REGULAR,USD,2025-11-14
F251114P00010000,2025-11-03 14:35:18+00:00,10.0,0.02,0.0,0.01,0.0,0.0,1.0,747,0.8125018749999999,False,REGULAR,USD,2025-11-14
F251114P00010500,2025-11-07 15:02:40+00:00,10.5,0.01,0.0,0.01,0.0,0.0,101.0,1403,0.6875031250000001,False,REGULAR,USD,2025-11-14
F251114P00011000,2025-11-07 17:11:53+00:00,11.0,0.01,0.0,0.01,-0.02,-66.66667,61.0,513,0.5625043750000001,False,REGULAR,USD,2025-11-14
F251114P00011500,2025-11-07 17:36:57+00:00,11.5,0.01,0.01,0.02,-0.01,-50.0,46.0,926,0.51562984375,False,REGULAR,USD,2025-11-14
F251114P00012000,2025-11-07 17:57:08+00:00,12.0,0.02,0.01,0.02,-0.01,-33.333336,653.0,1161,0.4062559375,False,REGULAR,USD,2025-11-14
F251114P00012500,2025-11-07 18:25:10+00:00,12.5,0.04,0.03,0.04,-0.04,-50.0,243.0,4059,0.31250687499999996,False,REGULAR,USD,2025-11-14
F251114P00013000,2025-11-07 18:27:11+00:00,13.0,0.14,0.14,0.15,-0.11,-44.0,1480.0,3134,0.28516339843749994,False,REGULAR,USD,2025-11-14
F251114P00013500,2025-11-07 18:28:19+00:00,13.5,0.41,0.41,0.44,-0.119999975,-22.641506,470.0,965,0.29492892578124996,True,REGULAR,USD,2025-11-14
F251114P00014000,2025-11-07 18:01:53+00:00,14.0,0.87,0.83,0.92,-0.07999998,-8.421051,6.0,158,0.4414118359375,True,REGULAR,USD,2025-11-14
F251114P00014500,2025-11-06 20:35:58+00:00,14.5,1.45,1.26,1.48,0.0,0.0,3.0,46,0.710940390625,True,REGULAR,USD,2025-11-14
F251114P00015000,2025-11-07 14:44:49+00:00,15.0,1.85,1.75,1.96,-0.2800001,-13.145544,60.0,14,0.500005,True,REGULAR,USD,2025-11-14
F251114P00015500,2025-11-07 14:42:25+00:00,15.5,2.42,2.29,2.48,-0.119999886,-4.724405,1.0,507,0.7382838671874999,True,REGULAR,USD,2025-11-14
F251114P00016000,2025-11-06 17:07:39+00:00,16.0,3.15,2.75,2.98,0.0,0.0,2.0,14,0.7500025,True,REGULAR,USD,2025-11-14
F251114P00017000,2025-11-06 20:00:12+00:00,17.0,3.9,3.7,4.0,0.0,0.0,1.0,3,0.8125018749999999,True,REGULAR,USD,2025-11-14
F251114P00018000,2025-11-04 18:00:58+00:00,18.0,5.32,4.7,5.0,0.0,0.0,1.0,0,0.9687503125,True,REGULAR,USD,2025-11-14
F251121P00003000,2025-10-10 15:05:14+00:00,3.0,0.01,0.0,0.01,0.0,0.0,25.0,30,2.750003125,False,REGULAR,USD,2025-11-21
F251121P00005000,2025-10-08 14:04:32+00:00,5.0,0.01,0.0,0.02,0.0,0.0,1.0,2,2.000005,False,REGULAR,USD,2025-11-21
F251121P00006000,2025-10-07 19:41:13+00:00,6.0,0.01,0.0,0.01,0.0,0.0,101.0,164,1.5000025,False,REGULAR,USD,2025-11-21
F251121P00007000,2025-11-05 17:59:50+00:00,7.0,0.01,0.0,0.01,0.0,0.0,1.0,621,1.2500037499999999,False,REGULAR,USD,2025-11-21
F251121P00007500,2025-10-20 14:17:01+00:00,7.5,0.01,0.0,0.02,0.0,0.0,,152,1.21875390625,False,REGULAR,USD,2025-11-21
F251121P00008000,2025-10-31 18:39:37+00:00,8.0,0.01,0.0,0.01,0.0,0.0,3.0,4662,1.000005,False,REGULAR,USD,2025-11-21
F251121P00008500,2025-10-30 16:40:13+00:00,8.5,0.01,0.0,0.01,0.0,0.0,10.0,310,0.87500125,False,REGULAR,USD,2025-11-21
F251121P00009000,2025-11-06 18:28:22+00:00,9.0,0.01,0.0,0.01,0.0,0.0,20.0,4579,0.7812521875,False,REGULAR,USD,2025-11-21
F251121P00009500,2025-11-06 19:14:35+00:00,9.5,0.01,0.0,0.04,0.0,0.0,2.0,340,0.8437515624999999,False,REGULAR,USD,2025-11-21
F251121P00010000,2025-11-07 18:34:13+00:00,10.0,0.01,0.01,0.02,-0.01,-50.0,100.0,7043,0.6875031250000001,False,REGULAR,USD,2025-11-21
F251121P00010500,2025-11-07 15:19:48+00:00,10.5,0.02,0.01,0.02,0.0,0.0,148.0,442,0.57812921875,False,REGULAR,USD,2025-11-21
F251121P00011000,2025-11-07 16:55:01+00:00,11.0,0.03,0.02,0.03,0.0,0.0,146.0,21993,0.5312546875,False,REGULAR,USD,2025-11-21
F251121P00011500,2025-11-07 16:36:41+00:00,11.5,0.04,0.03,0.04,0.0,0.0,19.0,3602,0.46484910156250003,False,REGULAR,USD,2025-11-21
F251121P00012000,2025-11-07 18:27:54+00:00,12.0,0.06,0.05,0.06,-0.010000002,-14.285716,599.0,15506,0.39063109375,False,REGULAR,USD,2025-11-21
F251121P00012500,2025-11-07 18:12:45+00:00,12.5,0.1,0.09,0.1,-0.029999994,-23.076918,387.0,10961,0.31836619140624994,False,REGULAR,USD,2025-11-21
F251121P00013000,2025-11-07 18:30:24+00:00,13.0,0.22,0.22,0.23,-0.099999994,-31.249998,642.0,9748,0.28711650390624993,False,REGULAR,USD,2025-11-21
F251121P00013500,2025-11-07 18:09:51+00:00,13.5,0.5,0.49,0.51,-0.120000005,-19.35484,202.0,3539,0.2890696093749999,True,REGULAR,USD,2025-11-21
F251121P00014000,2025-11-07 16:03:56+00:00,14.0,0.89,0.86,0.96,-0.25,-21.929825,9.0,783,0.37500625,True,REGULAR,USD,2025-11-21
F251121P00014500,2025-11-07 17:32:41+00:00,14.5,1.35,1.25,1.48,-0.47000003,-25.824177,1.0,109,0.5195360546875,True,REGULAR,USD,2025-11-21
F251121P00015000,2025-11-06 15:20:28+00:00,15.0,2.09,1.79,1.97,0.0,0.0,1.0,168,0.6132851171875001,True,REGULAR,USD,2025-11-21
F251121P00015500,2025-10-29 13:43:00+00:00,15.5,2.42,2.25,2.48,0.0,0.0,5.0,7,0.726565234375,True,REGULAR,USD,2025-11-21
F251121P00016000,2025-11-06 17:11:37+00:00,16.0,3.15,2.75,2.98,0.0,0.0,2.0,36,0.5468795312500001,True,REGULAR,USD,2025-11-21
F251121P00016500,2025-11-07 16:41:41+00:00,16.5,3.35,3.25,3.5,0.19999981,6.3492002,4.0,5,0.6562534375000001,True,REGULAR,USD,2025-11-21
F251121P00017000,2025-10-29 16:29:00+00:00,17.0,3.78,3.75,4.0,0.0,0.0,30.0,0,0.726565234375,True,REGULAR,USD,2025-11-21
F251121P00018000,2025-10-27 16:06:12+00:00,18.0,4.8,4.7,5.0,0.0,0.0,3.0,3,0.70312796875,True,REGULAR,USD,2025-11-21
F251128P00007500,2025-10-21 15:45:07+00:00,7.5,0.01,0.0,0.14,0.0,0.0,,5,1.3906280468749999,False,REGULAR,USD,2025-11-28
F251128P00008000,2025-10-23 18:19:27+00:00,8.0,0.01,0.0,0.14,0.0,0.0,,10,1.2578162109375,False,REGULAR,USD,2025-11-28
F251128P00008500,2025-10-16 18:35:28+00:00,8.5,0.04,0.0,0.14,0.0,0.0,5.0,6,1.125004375,False,REGULAR,USD,2025-11-28
F251128P00009000,2025-11-05 19:04:02+00:00,9.0,0.01,0.0,0.15,0.0,0.0,1.0,17,1.015629921875,False,REGULAR,USD,2025-11-28
F251128P00009500,2025-10-31 14:00:05+00:00,9.5,0.01,0.0,0.15,0.0,0.0,50.0,127,0.8984385156249999,False,REGULAR,USD,2025-11-28
F251128P00010000,2025-11-06 15:57:01+00:00,10.0,0.03,0.0,0.05,0.0,0.0,1.0,259,0.6250037500000001,False,REGULAR,USD,2025-11-28
F251128P00010500,2025-11-05 20:55:00+00:00,10.5,0.03,0.01,0.06,0.0,0.0,1.0,37,0.5625043750000001,False,REGULAR,USD,2025-11-28
F251128P00011000,2025-11-07 17:11:53+00:00,11.0,0.04,0.02,0.04,0.0,0.0,1.0,646,0.4804739453125,False,REGULAR,USD,2025-11-28
F251128P00011500,2025-11-07 18:21:46+00:00,11.5,0.04,0.03,0.04,0.0,0.0,16.0,1468,0.38281867187499996,False,REGULAR,USD,2025-11-28
F251128P00012000,2025-11-07 16:34:02+00:00,12.0,0.06,0.06,0.07,-0.030000005,-33.333336,42.0,652,0.3398503515625,False,REGULAR,USD,2025-11-28
F251128P00012500,2025-11-07 15:57:00+00:00,12.5,0.13,0.13,0.14,-0.010000005,-7.1428604,58.0,1810,0.304694453125,False,REGULAR,USD,2025-11-28
F251128P00013000,2025-11-07 17:47:42+00:00,13.0,0.3,0.27,0.28,-0.030000001,-9.090909,46.0,1162,0.27735097656249996,False,REGULAR,USD,2025-11-28
F251128P00013500,2025-11-07 16:12:27+00:00,13.5,0.56,0.52,0.57,-0.100000024,-15.151518,28.0,621,0.2890696093749999,True,REGULAR,USD,2025-11-28
F251128P00014000,2025-11-07 14:52:06+00:00,14.0,0.88,0.83,1.05,-0.14999998,-14.563106,3.0,249,0.39649041015625003,True,REGULAR,USD,2025-11-28
F251128P00014500,2025-11-06 19:15:03+00:00,14.5,1.4,1.29,1.5,-0.14999998,-9.677419,1.0,503,0.45117736328125,True,REGULAR,USD,2025-11-28
F251128P00015000,2025-11-04 14:42:36+00:00,15.0,2.2,1.78,1.99,0.0,0.0,1.0,211,0.5312546875,True,REGULAR,USD,2025-11-28
F251128P00015500,2025-10-30 14:02:53+00:00,15.5,2.5,2.22,2.5,0.0,0.0,1.0,13,0.6250037500000001,True,REGULAR,USD,2025-11-28
F251128P00016000,2025-11-06 15:32:23+00:00,16.0,3.1,2.73,3.0,0.0,0.0,5.0,25,0.70312796875,True,REGULAR,USD,2025-11-28
F251128P00016500,2025-10-24 19:41:42+00:00,16.5,2.8,3.15,3.5,0.0,0.0,1.0,1,0.7753928710937501,True,REGULAR,USD,2025-11-28
F251205P00008500,2025-10-28 13:59:19+00:00,8.5,0.03,0.0,0.64,0.0,0.0,,1,1.46484642578125,False,REGULAR,USD,2025-12-05
F251205P00009000,2025-10-28 13:58:11+00:00,9.0,0.01,0.0,0.44,0.0,0.0,90.0,91,1.169926025390625,False,REGULAR,USD,2025-12-05
F251205P00009500,2025-10-27 19:10:56+00:00,9.5,0.03,0.0,0.45,0.0,0.0,,2,1.05078599609375,False,REGULAR,USD,2025-12-05
F251205P00010000,2025-11-04 15:31:16+00:00,10.0,0.02,0.0,0.05,0.0,0.0,1.0,5,0.5390671093750001,False,REGULAR,USD,2025-12-05
F251205P00010500,2025-11-05 14:31:13+00:00,10.5,0.04,0.0,0.15,0.0,0.0,8.0,121,0.5820354296875,False,REGULAR,USD,2025-12-05
F251205P00011000,2025-11-06 18:49:27+00:00,11.0,0.03,0.02,0.04,0.0,0.0,2.0,93,0.41797457031249996,False,REGULAR,USD,2025-12-05
F251205P00011500,2025-11-07 17:38:43+00:00,11.5,0.05,0.04,0.07,0.0,0.0,6.0,172,0.38672488281249995,False,REGULAR,USD,2025-12-05
F251205P00012000,2025-11-07 18:08:10+00:00,12.0,0.09,0.08,0.09,0.0,0.0,20.0,460,0.32031929687499994,False,REGULAR,USD,2025-12-05
F251205P00012500,2025-11-07 18:11:47+00:00,12.5,0.17,0.16,0.17,-0.019999996,-10.526314,29.0,467,0.2910227148437499,False,REGULAR,USD,2025-12-05
F251205P00013000,2025-11-07 17:16:28+00:00,13.0,0.35,0.3,0.35,-0.06999999,-16.666664,40.0,238,0.2890696093749999,False,REGULAR,USD,2025-12-05
F251205P00013500,2025-11-06 19:16:00+00:00,13.5,0.64,0.56,0.6,-0.060000002,-8.571428,1.0,1092,0.27246821289062495,True,REGULAR,USD,2025-12-05
F251205P00014000,2025-11-06 15:07:56+00:00,14.0,1.22,0.9,1.2,0.0,0.0,1.0,84,0.46094289062500005,True,REGULAR,USD,2025-12-05
F251205P00015000,2025-11-05 15:24:17+00:00,15.0,2.3,1.44,2.42,0.0,0.0,7.0,7,0.823243955078125,True,REGULAR,USD,2025-12-05
F251205P00017000,2025-11-03 14:36:33+00:00,17.0,4.15,2.66,5.95,0.0,0.0,1.0,0,1.0459032080078128,True,REGULAR,USD,2025-12-05
F251212P00011000,2025-11-07 15:24:53+00:00,11.0,0.04,0.01,0.08,0.0,0.0,2.0,46,0.445318046875,False,REGULAR,USD,2025-12-12
F251212P00012000,2025-11-07 17:45:20+00:00,12.0,0.12,0.1,0.13,-0.020000003,-14.285716,37.0,177,0.32813171874999997,False,REGULAR,USD,2025-12-12
F251212P00012500,2025-11-07 17:23:05+00:00,12.5,0.25,0.19,0.24,-0.03999999,-13.7931,13.0,70,0.31445998046874996,False,REGULAR,USD,2025-12-12
F251212P00013000,2025-11-07 18:30:48+00:00,13.0,0.36,0.35,0.39,-0.15999997,-29.090904,12.0,46,0.28516339843749994,False,REGULAR,USD,2025-12-12
F251212P00013500,2025-11-06 20:34:10+00:00,13.5,0.72,0.61,0.72,0.0,0.0,17.0,20,0.32129584960937496,True,REGULAR,USD,2025-12-12
F251219P00001000,2025-06-12 15:03:12+00:00,1.0,0.01,0.0,0.02,0.0,0.0,500.0,2000,3.1250021875,False,REGULAR,USD,2025-12-19
F251219P00002670,2025-10-09 19:22:38+00:00,2.67,0.01,0.0,0.01,0.0,0.0,60.0,1809,1.75000125,False,REGULAR,USD,2025-12-19
F251219P00002820,2025-02-14 15:37:28+00:00,2.82,0.03,0.02,0.03,0.01,50.0,2.0,1692,2.1093797265624996,False,REGULAR,USD,2025-12-19
F251219P00003000,2024-02-13 19:55:32+00:00,3.0,0.09,0.0,0.0,0.0,0.0,21.0,631,0.500005,False,REGULAR,USD,2025-12-19
F251219P00004670,2025-10-30 16:40:30+00:00,4.67,0.01,0.0,0.02,0.0,0.0,35.0,11455,1.2812535937499998,False,REGULAR,USD,2025-12-19
F251219P00004820,2025-01-31 20:33:26+00:00,4.82,0.06,0.01,0.12,0.0,0.0,1.0,13379,1.640626796875,False,REGULAR,USD,2025-12-19
F251219P00004850,2025-10-08 15:37:08+00:00,4.85,0.01,0.0,0.02,0.0,0.0,10.0,719,1.21875390625,False,REGULAR,USD,2025-12-19
F251219P00005000,2025-02-10 20:50:13+00:00,5.0,0.09,0.04,0.1,0.0,0.0,12.0,242,1.609376953125,False,REGULAR,USD,2025-12-19
F251219P00006000,2025-11-03 16:35:35+00:00,6.0,0.01,0.0,0.03,0.0,0.0,2.0,667,1.0312548437500002,False,REGULAR,USD,2025-12-19
F251219P00007000,2025-11-05 17:59:50+00:00,7.0,0.02,0.0,0.15,0.0,0.0,1.0,2,1.1171919140625,False,REGULAR,USD,2025-12-19
F251219P00007670,2025-11-03 20:04:27+00:00,7.67,0.02,0.0,0.04,0.0,0.0,1.0,6657,0.7656273437500001,False,REGULAR,USD,2025-12-19
F251219P00007820,2025-02-14 14:30:09+00:00,7.82,0.52,0.48,0.57,-0.00999999,-1.88679,7.0,5858,1.6289081054687498,False,REGULAR,USD,2025-12-19
F251219P00007850,2025-11-07 14:43:23+00:00,7.85,0.02,0.0,0.03,0.0,0.0,2.0,13616,0.70312796875,False,REGULAR,USD,2025-12-19
F251219P00008000,2025-10-31 18:02:05+00:00,8.0,0.02,0.0,0.15,0.0,0.0,2.0,220,0.9101571484375,False,REGULAR,USD,2025-12-19
F251219P00009000,2025-11-04 19:13:43+00:00,9.0,0.02,0.01,0.08,0.0,0.0,1.0,144,0.6562534375000001,False,REGULAR,USD,2025-12-19
F251219P00009670,2025-11-06 19:45:21+00:00,9.67,0.04,0.02,0.03,0.0,0.0,3.0,36927,0.507817421875,False,REGULAR,USD,2025-12-19
F251219P00009820,2025-02-14 15:41:20+00:00,9.82,1.44,1.35,1.52,-0.02,-1.36986,14.0,37520,1.818360283203125,False,REGULAR,USD,2025-12-19
F251219P00009850,2025-11-07 15:30:00+00:00,9.85,0.03,0.02,0.04,-0.01,-25.0,4.0,16061,0.507817421875,False,REGULAR,USD,2025-12-19
F251219P00010000,2025-11-07 18:04:58+00:00,10.0,0.02,0.01,0.03,-0.02,-50.0,5.0,569,0.46094289062500005,False,REGULAR,USD,2025-12-19
F251219P00011000,2025-11-07 18:28:57+00:00,11.0,0.07,0.05,0.07,0.0,0.0,37.0,4028,0.39453730468750003,False,REGULAR,USD,2025-12-19
F251219P00011670,2025-11-07 17:51:11+00:00,11.67,0.11,0.11,0.12,-0.030000001,-21.428572,7.0,28237,0.34766277343749996,False,REGULAR,USD,2025-12-19
F251219P00011820,2025-02-13 15:40:04+00:00,11.82,2.93,2.78,2.97,0.0,0.0,4.0,40396,2.095707885742187,False,REGULAR,USD,2025-12-19
F251219P00012000,2025-11-07 18:14:14+00:00,12.0,0.16,0.15,0.16,-0.010000005,-5.8823557,65.0,4976,0.32617861328125,False,REGULAR,USD,2025-12-19
F251219P00013000,2025-11-07 18:22:47+00:00,13.0,0.42,0.41,0.43,-0.099999994,-19.230768,570.0,2427,0.2841868457031249,False,REGULAR,USD,2025-12-19
F251219P00014000,2025-11-07 16:10:09+00:00,14.0,1.05,0.99,1.08,-0.100000024,-8.695654,3.0,2112,0.305671005859375,True,REGULAR,USD,2025-12-19
F251219P00014670,2025-11-05 17:15:19+00:00,14.67,1.67,1.49,1.72,0.0,0.0,12.0,10148,0.38672488281249995,True,REGULAR,USD,2025-12-19
F251219P00014820,2025-02-11 18:37:32+00:00,14.82,5.76,4.45,6.0,0.0,0.0,4.0,10270,2.3320354199218745,True,REGULAR,USD,2025-12-19
F251219P00014850,2025-11-06 18:24:25+00:00,14.85,1.86,1.65,1.88,0.0,0.0,3.0,1502,0.39649041015625003,True,REGULAR,USD,2025-12-19
F251219P00015000,2025-11-07 15:24:53+00:00,15.0,1.94,1.79,2.02,-0.21000004,-9.767444,4.0,818,0.407232490234375,True,REGULAR,USD,2025-12-19
F251219P00016000,2025-10-27 16:17:36+00:00,16.0,2.74,2.77,3.0,0.0,0.0,30.0,1,0.50586431640625,True,REGULAR,USD,2025-12-19
F251219P00016670,2025-10-30 15:59:45+00:00,16.67,3.6,3.35,3.7,0.0,0.0,1.0,702,0.6054726953125001,True,REGULAR,USD,2025-12-19
F251219P00016820,2025-02-06 19:04:03+00:00,16.82,7.6,6.45,7.55,0.0,0.0,2.0,799,2.502933430175781,True,REGULAR,USD,2025-12-19
F251219P00017000,2025-11-07 16:19:57+00:00,17.0,4.0,3.75,4.0,0.049999952,1.2658216,1.0,2,0.6074258007812501,True,REGULAR,USD,2025-12-19
F251219P00018000,2025-10-27 18:29:13+00:00,18.0,4.84,4.7,5.0,0.0,0.0,,1,0.6992217578125001,True,REGULAR,USD,2025-12-19
F251219P00019000,2025-11-06 15:47:59+00:00,19.0,6.13,5.75,6.0,0.0,0.0,1.0,4,0.57812921875,True,REGULAR,USD,2025-12-19
F251219P00019670,2025-05-29 18:51:35+00:00,19.67,9.5,8.2,9.2,0.0,0.0,2380.0,2883,2.1953170117187497,True,REGULAR,USD,2025-12-19
F251219P00019820,2025-02-06 15:04:27+00:00,19.82,10.5,10.45,10.55,0.0,0.0,1200.0,2883,3.128908427734375,True,REGULAR,USD,2025-12-19
F251219P00019850,2025-04-07 14:53:28+00:00,19.85,10.55,9.4,10.5,0.0,0.0,,6,2.8085967285156253,True,REGULAR,USD,2025-12-19
F251219P00020000,2023-12-12 20:51:53+00:00,20.0,8.9,8.55,10.5,0.0,0.0,2.0,2,2.5048865502929685,True,REGULAR,USD,2025-12-19
F251219P00021670,2025-10-27 14:28:07+00:00,21.67,8.1,8.4,8.7,0.0,0.0,1.0,3,0.7539087109375,True,REGULAR,USD,2025-12-19
F251219P00021820,2024-07-25 15:43:45+00:00,21.82,10.38,9.6,10.85,0.0,0.0,3.0,1,2.0351611621093753,True,REGULAR,USD,2025-12-19
