contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GM251114P00040000,2025-10-14 16:33:46+00:00,40.0,0.86,0.0,0.45,0.0,0.0,,4,3.02343994140625,False,REGULAR,USD,2025-11-14
GM251114P00045000,2025-11-11 20:46:06+00:00,45.0,0.01,0.0,0.06,-0.3,-96.7742,49.0,46,1.8281258593749998,False,REGULAR,USD,2025-11-14
GM251114P00046000,2025-11-11 20:18:14+00:00,46.0,0.06,0.0,0.2,-0.17,-73.91304,4.0,6,2.07031732421875,False,REGULAR,USD,2025-11-14
GM251114P00047000,2025-11-11 16:22:13+00:00,47.0,0.02,0.0,0.58,-0.61,-96.8254,3.0,31,2.3906290234374996,False,REGULAR,USD,2025-11-14
GM251114P00048000,2025-11-11 16:22:13+00:00,48.0,0.07,0.0,1.31,0.02,40.0,3.0,34,2.7519562451171877,False,REGULAR,USD,2025-11-14
GM251114P00049000,2025-11-11 16:22:03+00:00,49.0,0.01,0.0,0.04,-0.09,-90.0,3.0,5,1.453127734375,False,REGULAR,USD,2025-11-14
GM251114P00050000,2025-11-11 16:22:03+00:00,50.0,0.06,0.0,0.03,0.04,200.0,3.0,15,1.3281283593749997,False,REGULAR,USD,2025-11-14
GM251114P00051000,2025-11-10 16:45:46+00:00,51.0,0.07,0.0,0.03,0.0,0.0,3.0,53,1.2656286718749998,False,REGULAR,USD,2025-11-14
GM251114P00052000,2025-10-31 17:20:33+00:00,52.0,0.03,0.0,0.07,0.0,0.0,100.0,106,1.3281283593749997,False,REGULAR,USD,2025-11-14
GM251114P00053000,2025-11-03 16:44:47+00:00,53.0,0.09,0.0,0.07,0.0,0.0,2.0,35,1.2578162109375,False,REGULAR,USD,2025-11-14
GM251114P00054000,2025-10-22 15:41:20+00:00,54.0,0.07,0.0,0.03,0.0,0.0,30.0,34,1.0625046875000002,False,REGULAR,USD,2025-11-14
GM251114P00055000,2025-11-04 17:53:43+00:00,55.0,0.03,0.0,0.07,0.0,0.0,1.0,39,1.1171919140625,False,REGULAR,USD,2025-11-14
