contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
TSLA251205C00080000,2025-12-01 20:32:32+00:00,80.0,348.8,349.45,349.75,-17.029999,-4.6551676,84.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00090000,2025-12-01 17:31:27+00:00,90.0,339.12,339.15,339.75,0.4199829,0.12399849,64.0,8,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00100000,2025-12-01 19:47:34+00:00,100.0,326.97,329.2,329.7,-1.7200012,-0.5232898,65.0,5,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00120000,2025-11-21 19:58:25+00:00,120.0,277.19,309.25,309.75,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00130000,2025-11-10 19:57:50+00:00,130.0,316.35,299.3,300.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00140000,2025-12-01 14:31:49+00:00,140.0,287.05,289.15,290.05,15.839996,5.8404913,6.0,7,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00150000,2025-12-01 16:40:28+00:00,150.0,276.7,279.3,279.85,7.700012,2.862458,3.0,13,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00160000,2025-12-01 19:09:48+00:00,160.0,267.55,269.35,270.0,2.1399841,0.8062937,13.0,13,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00170000,2025-12-01 18:09:35+00:00,170.0,259.91,259.05,259.9,-0.11999512,-0.046146642,6.0,17,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00180000,2025-12-01 18:41:05+00:00,180.0,248.93,249.3,250.0,-1.0,-0.40011203,6.0,252,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00190000,2025-11-17 19:45:12+00:00,190.0,217.22,239.25,239.8,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00200000,2025-11-28 17:37:34+00:00,200.0,229.53,229.15,229.85,0.0,0.0,13.0,65,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00210000,2025-12-01 20:02:48+00:00,210.0,216.48,219.0,219.7,-3.4700012,-1.5776318,3.0,32,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00220000,2025-11-26 20:47:26+00:00,220.0,205.18,209.15,209.7,0.0,0.0,2.0,10,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
TSLA251205C00230000,2025-12-01 18:14:32+00:00,230.0,200.17,199.15,199.9,2.0899963,1.0551274,3.0,179,1.0000000000000003e-05,True,REGULAR,USD,2025-12-05
