contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
F251212C00005000,2025-12-08 17:21:17+00:00,5.0,8.11,7.95,8.2,-0.10000038,-1.2180314,2.0,3,4.500004375,True,REGULAR,USD,2025-12-12
F251212C00006000,2025-12-05 15:39:47+00:00,6.0,7.08,6.95,7.2,0.0,0.0,1.0,2,3.7343756640625,True,REGULAR,USD,2025-12-12
F251212C00007000,2025-12-08 18:13:33+00:00,7.0,6.08,6.05,6.2,0.13999987,2.3569,2.0,4,3.0781273046874995,True,REGULAR,USD,2025-12-12
F251212C00007500,2025-12-08 16:30:44+00:00,7.5,5.57,5.55,5.75,-0.01999998,-0.3577814,1.0,2,1.9375003125,True,REGULAR,USD,2025-12-12
F251212C00008000,2025-12-05 16:31:42+00:00,8.0,5.23,5.0,5.2,0.0,0.0,1.0,2,2.50000375,True,REGULAR,USD,2025-12-12
F251212C00008500,2025-12-08 16:44:00+00:00,8.5,4.63,4.45,4.8,-0.089999676,-1.9067729,4.0,12,2.843752890625,True,REGULAR,USD,2025-12-12
F251212C00009000,2025-11-17 18:55:14+00:00,9.0,4.04,4.05,4.2,0.089999914,2.2784789,1.0,1,1.984375078125,True,REGULAR,USD,2025-12-12
F251212C00009500,2025-12-08 16:44:00+00:00,9.5,3.67,3.45,3.85,-0.12999988,-3.4210494,2.0,3,1.1875040625,True,REGULAR,USD,2025-12-12
F251212C00010000,2025-12-08 15:02:21+00:00,10.0,3.12,2.96,3.2,0.119999886,3.9999962,2.0,204,1.5156274218749999,True,REGULAR,USD,2025-12-12
F251212C00010500,2025-12-08 20:27:09+00:00,10.5,2.6,2.46,2.74,-0.06000018,-2.2556458,5.0,4,1.484377578125,True,REGULAR,USD,2025-12-12
F251212C00011000,2025-12-08 16:20:34+00:00,11.0,2.09,1.97,2.21,-0.10000014,-4.5662165,2.0,150,1.125004375,True,REGULAR,USD,2025-12-12
F251212C00011500,2025-12-08 18:18:33+00:00,11.5,1.6,1.6,1.73,-0.110000014,-6.4327497,5.0,35,0.6875031250000001,True,REGULAR,USD,2025-12-12
F251212C00012000,2025-12-08 18:43:10+00:00,12.0,1.19,1.05,1.19,0.16000009,15.533988,14.0,172,0.6171913281250001,True,REGULAR,USD,2025-12-12
F251212C00012500,2025-12-08 20:35:02+00:00,12.5,0.65,0.65,0.69,-0.02000004,-3.030309,116.0,1372,0.4062559375,True,REGULAR,USD,2025-12-12
F251212C00013000,2025-12-08 20:22:03+00:00,13.0,0.25,0.24,0.25,0.049999997,24.999998,3881.0,3726,0.273444765625,True,REGULAR,USD,2025-12-12
F251212C00013500,2025-12-08 20:29:55+00:00,13.5,0.04,0.03,0.04,-0.010000002,-20.000002,4732.0,10905,0.25391371093750004,False,REGULAR,USD,2025-12-12
F251212C00014000,2025-12-08 20:09:35+00:00,14.0,0.01,0.0,0.01,-0.01,-50.0,1251.0,3123,0.32813171874999997,False,REGULAR,USD,2025-12-12
F251212C00014500,2025-12-08 19:39:39+00:00,14.5,0.03,0.0,0.01,0.01,50.0,57.0,876,0.45313046875,False,REGULAR,USD,2025-12-12
F251212C00015000,2025-12-01 14:55:00+00:00,15.0,0.01,0.0,0.01,0.0,0.0,1.0,283,0.5312546875,False,REGULAR,USD,2025-12-12
F251212C00015500,2025-12-02 14:31:46+00:00,15.5,0.07,0.0,0.01,0.0,0.0,1.0,306,0.6250037500000001,False,REGULAR,USD,2025-12-12
F251212C00016000,2025-12-02 14:32:27+00:00,16.0,0.02,0.0,0.01,0.01,100.0,1.0,426,0.7500025,False,REGULAR,USD,2025-12-12
F251212C00016500,2025-11-25 20:50:14+00:00,16.5,0.01,0.0,0.01,0.0,0.0,1.0,447,0.8437515624999999,False,REGULAR,USD,2025-12-12
F251212C00017000,2025-12-02 17:44:27+00:00,17.0,0.05,0.0,0.01,0.0,0.0,1.0,1,0.937500625,False,REGULAR,USD,2025-12-12
F251212C00017500,2025-12-02 17:44:27+00:00,17.5,0.01,0.0,0.01,0.0,0.0,1.0,1,1.000005,False,REGULAR,USD,2025-12-12
F251212C00018000,2025-12-01 14:31:02+00:00,18.0,0.01,0.0,0.01,0.0,0.0,1.0,1,1.125004375,False,REGULAR,USD,2025-12-12
F251212C00018500,2025-12-02 15:44:14+00:00,18.5,0.02,0.0,0.01,0.0,0.0,2.0,3,1.1875040625,False,REGULAR,USD,2025-12-12
F251219C00001000,2025-12-08 17:15:03+00:00,1.0,12.2,12.0,12.2,-0.07999992,-0.6514652,9.0,21,7.7500003125,True,REGULAR,USD,2025-12-19
F251219C00002670,2025-12-05 16:34:46+00:00,2.67,10.62,10.25,10.7,0.0,0.0,10.0,27,0.500005,True,REGULAR,USD,2025-12-19
F251219C00002820,2025-02-14 19:37:01+00:00,2.82,6.4,6.6,6.7,-0.0299997,-0.466559,641.0,210,1.0000000000000003e-05,True,REGULAR,USD,2025-12-19
F251219C00003000,2024-02-14 20:17:25+00:00,3.0,9.85,0.0,0.0,0.0,0.0,350.0,65,1.0000000000000003e-05,True,REGULAR,USD,2025-12-19
F251219C00004670,2025-11-20 14:53:41+00:00,4.67,8.25,8.15,8.55,0.0,0.0,4.0,35,3.281251796875,True,REGULAR,USD,2025-12-19
F251219C00004820,2025-02-14 19:37:01+00:00,4.82,4.45,4.6,5.7,0.00999975,0.22522,395.0,104,1.0000000000000003e-05,True,REGULAR,USD,2025-12-19
F251219C00004850,2025-12-08 17:21:17+00:00,4.85,8.23,8.2,8.4,-0.15000057,-1.7899829,2.0,24,2.1250046874999997,True,REGULAR,USD,2025-12-19
F251219C00005000,2025-12-08 18:14:47+00:00,5.0,8.2,7.95,8.2,-0.14000034,-1.6786611,1.0,7,2.906252734375,True,REGULAR,USD,2025-12-19
F251219C00006000,2025-11-25 18:56:51+00:00,6.0,7.18,7.0,7.25,0.0,0.0,2.0,3,2.7343781640625,True,REGULAR,USD,2025-12-19
F251219C00007000,2025-12-08 16:30:44+00:00,7.0,6.13,5.8,6.35,0.5799999,10.450449,1.0,3,2.6640658398437504,True,REGULAR,USD,2025-12-19
F251219C00007500,2025-12-05 19:09:41+00:00,7.5,5.66,5.45,5.9,0.0,0.0,1.0,1,1.609376953125,True,REGULAR,USD,2025-12-19
F251219C00007670,2025-12-04 14:34:01+00:00,7.67,5.54,5.3,5.55,0.0,0.0,1.0,51,1.8437507812499998,True,REGULAR,USD,2025-12-19
F251219C00007820,2025-02-14 15:05:54+00:00,7.82,1.9,1.9,2.06,-0.02,-1.04167,51.0,6375,1.0000000000000003e-05,True,REGULAR,USD,2025-12-19
