contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
RIVN260116C00001000,2026-01-14 17:33:01+00:00,1.0,16.12,15.7,16.8,-1.8499985,-10.294928,21.0,11,24.906252216796876,True,REGULAR,USD,2026-01-16
RIVN260116C00002500,2026-01-14 19:42:53+00:00,2.5,14.97,14.4,15.2,-1.7300005,-10.359283,1.0,272,14.062501210937501,True,REGULAR,USD,2026-01-16
RIVN260116C00004000,2026-01-14 17:33:27+00:00,4.0,13.13,12.95,13.65,-1.9700003,-13.046359,20.0,360,9.96875376953125,True,REGULAR,USD,2026-01-16
RIVN260116C00005000,2026-01-14 20:07:33+00:00,5.0,12.5,11.4,13.2,-1.7299995,-12.157411,38.0,1662,12.828126982421875,True,REGULAR,USD,2026-01-16
RIVN260116C00007500,2026-01-14 18:22:05+00:00,7.5,9.88,9.35,10.1,-1.8599997,-15.843268,3.0,2614,5.468753164062499,True,REGULAR,USD,2026-01-16
RIVN260116C00009000,2026-01-14 17:34:07+00:00,9.0,8.15,7.95,8.6,-2.17,-21.027132,24.0,166,4.421879472656249,True,REGULAR,USD,2026-01-16
RIVN260116C00010000,2026-01-14 20:07:33+00:00,10.0,7.5,7.25,7.55,-1.3000002,-14.772729,66.0,12449,3.3437516406249994,True,REGULAR,USD,2026-01-16
RIVN260116C00011000,2026-01-14 18:41:38+00:00,11.0,6.2,5.9,6.55,-1.9899998,-24.297922,6.0,1336,2.843752890625,True,REGULAR,USD,2026-01-16
RIVN260116C00012000,2026-01-14 19:12:45+00:00,12.0,5.2,5.05,5.55,-2.1000004,-28.767126,20.0,41,2.3750040624999995,True,REGULAR,USD,2026-01-16
RIVN260116C00012500,2026-01-14 20:07:33+00:00,12.5,5.0,4.85,5.2,-1.3699999,-21.507063,59.0,8987,1.9062504687500001,True,REGULAR,USD,2026-01-16
RIVN260116C00013000,2026-01-14 20:20:46+00:00,13.0,4.26,3.9,4.55,-1.79,-29.586777,3.0,41,1.9375003125,True,REGULAR,USD,2026-01-16
RIVN260116C00014000,2026-01-14 20:07:33+00:00,14.0,3.5,3.35,3.55,-1.3800001,-28.27869,279.0,5022,1.5312523437499999,True,REGULAR,USD,2026-01-16
RIVN260116C00014500,2026-01-12 17:19:49+00:00,14.5,4.78,2.51,3.05,0.0,0.0,,6,1.3359408203124996,True,REGULAR,USD,2026-01-16
RIVN260116C00015000,2026-01-14 20:02:11+00:00,15.0,2.45,2.34,2.46,-1.3499999,-35.526314,450.0,37712,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
RIVN260116C00015500,2026-01-14 19:18:59+00:00,15.5,1.8,1.8,2.1,-1.51,-45.619335,54.0,4,1.140629296875,True,REGULAR,USD,2026-01-16
RIVN260116C00016000,2026-01-14 19:46:55+00:00,16.0,1.49,1.38,1.57,-1.3599999,-47.719296,832.0,9046,0.8203142968749999,True,REGULAR,USD,2026-01-16
RIVN260116C00016500,2026-01-14 20:09:01+00:00,16.5,1.08,0.89,1.07,-1.2199999,-53.043476,107.0,83,0.6132851171875001,True,REGULAR,USD,2026-01-16
RIVN260116C00017000,2026-01-14 20:25:06+00:00,17.0,0.6,0.6,0.63,-1.22,-67.03297,3508.0,408,0.5117236328125,True,REGULAR,USD,2026-01-16
RIVN260116C00017500,2026-01-14 20:33:28+00:00,17.5,0.34,0.32,0.34,-1.0899999,-76.22377,19665.0,22322,0.5214891601562499,False,REGULAR,USD,2026-01-16
RIVN260116C00018000,2026-01-14 20:32:28+00:00,18.0,0.17,0.16,0.18,-0.92,-84.40366,10610.0,535,0.570316796875,False,REGULAR,USD,2026-01-16
RIVN260116C00018500,2026-01-14 20:16:54+00:00,18.5,0.08,0.07,0.09,-0.6,-88.2353,1955.0,601,0.6054726953125001,False,REGULAR,USD,2026-01-16
RIVN260116C00019000,2026-01-14 20:29:17+00:00,19.0,0.04,0.04,0.05,-0.36,-90.0,3851.0,15189,0.6718782812500002,False,REGULAR,USD,2026-01-16
RIVN260116C00019500,2026-01-14 20:31:02+00:00,19.5,0.02,0.02,0.03,-0.23,-92.0,4381.0,8738,0.7187528125,False,REGULAR,USD,2026-01-16
RIVN260116C00020000,2026-01-14 20:34:39+00:00,20.0,0.02,0.02,0.03,-0.120000005,-85.71429,2765.0,75867,0.85937640625,False,REGULAR,USD,2026-01-16
RIVN260116C00020500,2026-01-14 19:29:23+00:00,20.5,0.01,0.02,0.03,-0.07,-87.5,758.0,2801,0.98437515625,False,REGULAR,USD,2026-01-16
RIVN260116C00021000,2026-01-14 20:27:30+00:00,21.0,0.02,0.01,0.02,-0.030000001,-60.0,1118.0,11201,1.000005,False,REGULAR,USD,2026-01-16
RIVN260116C00021500,2026-01-14 20:17:15+00:00,21.5,0.01,0.0,0.01,-0.03,-75.0,1040.0,3505,0.937500625,False,REGULAR,USD,2026-01-16
RIVN260116C00022000,2026-01-14 20:17:49+00:00,22.0,0.02,0.0,0.02,-0.02,-50.0,223.0,2256,1.15625421875,False,REGULAR,USD,2026-01-16
RIVN260116C00022500,2026-01-14 20:03:24+00:00,22.5,0.01,0.0,0.01,0.0,0.0,527.0,22331,1.125004375,False,REGULAR,USD,2026-01-16
RIVN260116C00023000,2026-01-14 19:50:50+00:00,23.0,0.01,0.0,0.01,-0.01,-50.0,77.0,4064,1.2500037499999999,False,REGULAR,USD,2026-01-16
RIVN260116C00023500,2026-01-14 15:23:24+00:00,23.5,0.01,0.0,0.01,0.0,0.0,11.0,605,1.3125034374999998,False,REGULAR,USD,2026-01-16
RIVN260116C00024000,2026-01-14 19:51:51+00:00,24.0,0.01,0.0,0.01,0.0,0.0,46.0,5716,1.3750031249999999,False,REGULAR,USD,2026-01-16
RIVN260116C00024500,2026-01-12 14:30:01+00:00,24.5,0.04,0.0,0.01,0.0,0.0,20.0,101,1.4375028125,False,REGULAR,USD,2026-01-16
RIVN260116C00025000,2026-01-14 20:28:20+00:00,25.0,0.01,0.0,0.01,0.0,0.0,51.0,42750,1.5625021874999998,False,REGULAR,USD,2026-01-16
RIVN260116C00026000,2026-01-14 18:52:38+00:00,26.0,0.01,0.0,0.01,0.0,0.0,1.0,953,1.6875015625,False,REGULAR,USD,2026-01-16
RIVN260116C00027000,2026-01-13 17:33:27+00:00,27.0,0.01,0.0,0.28,0.0,0.0,2.0,307,3.00781498046875,False,REGULAR,USD,2026-01-16
RIVN260116C00027500,2026-01-13 15:28:16+00:00,27.5,0.01,0.01,0.01,0.0,0.0,1.0,14274,2.0625048437499998,False,REGULAR,USD,2026-01-16
RIVN260116C00028000,2026-01-13 15:47:47+00:00,28.0,0.01,0.0,0.03,0.0,0.0,1.0,78,2.2187544531249994,False,REGULAR,USD,2026-01-16
RIVN260116C00029000,2026-01-07 14:30:07+00:00,29.0,0.02,0.0,0.05,0.0,0.0,2.0,345,2.5312536718749996,False,REGULAR,USD,2026-01-16
RIVN260116C00030000,2026-01-14 17:38:29+00:00,30.0,0.01,0.0,0.01,0.0,0.0,5.0,12395,2.2500043749999996,False,REGULAR,USD,2026-01-16
RIVN260116C00031000,2026-01-08 20:50:49+00:00,31.0,0.05,0.0,0.51,0.0,0.0,8.0,57,4.195317255859376,False,REGULAR,USD,2026-01-16
RIVN260116C00032000,2026-01-14 16:43:30+00:00,32.0,0.01,0.0,0.29,0.0,0.0,8.0,14,3.88281279296875,False,REGULAR,USD,2026-01-16
RIVN260116C00032500,2026-01-09 19:59:09+00:00,32.5,0.01,0.0,0.01,0.0,0.0,151.0,4876,2.50000375,False,REGULAR,USD,2026-01-16
RIVN260116C00034000,2026-01-02 16:59:56+00:00,34.0,0.06,0.0,0.35,0.0,0.0,5.0,39,4.3281295898437495,False,REGULAR,USD,2026-01-16
RIVN260116C00035000,2026-01-12 17:02:13+00:00,35.0,0.01,0.0,0.01,0.0,0.0,198.0,12941,2.750003125,False,REGULAR,USD,2026-01-16
RIVN260116C00036000,2026-01-06 18:06:15+00:00,36.0,0.01,0.0,0.04,0.0,0.0,3.0,4,3.3125017187499997,False,REGULAR,USD,2026-01-16
RIVN260116C00037500,2026-01-12 17:17:00+00:00,37.5,0.04,0.0,0.01,0.0,0.0,1.0,5778,3.0000025,False,REGULAR,USD,2026-01-16
RIVN260116C00040000,2026-01-12 17:22:35+00:00,40.0,0.01,0.0,0.01,0.0,0.0,2.0,46114,3.2500018749999997,False,REGULAR,USD,2026-01-16
RIVN260123C00005000,2026-01-14 16:47:20+00:00,5.0,12.55,11.8,13.4,-1.6399994,-11.557431,1.0,2,4.296879628906249,True,REGULAR,USD,2026-01-23
RIVN260123C00006000,2026-01-14 18:22:05+00:00,6.0,11.48,10.75,12.8,-3.5200005,-23.466671,2.0,1,4.62500421875,True,REGULAR,USD,2026-01-23
RIVN260123C00012000,2026-01-12 20:32:22+00:00,12.0,6.78,5.1,5.55,0.0,0.0,1.0,30,1.2968785156249998,True,REGULAR,USD,2026-01-23
