contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
C260116C00020000,2026-01-12 18:16:28+00:00,20.0,97.15,97.15,97.55,-1.3499985,-1.3705568,2.0,145.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
C260116C00023000,2026-01-12 16:16:29+00:00,23.0,94.02,92.35,96.25,16.419998,21.159792,5.0,3.0,9.441410349121092,True,REGULAR,USD,2026-01-16
C260116C00025000,2026-01-12 16:16:49+00:00,25.0,92.05,91.3,93.1,16.600006,22.001335,10.0,2.0,6.917970102539062,True,REGULAR,USD,2026-01-16
C260116C00028000,2026-01-12 16:17:05+00:00,28.0,89.08,87.35,91.35,25.220001,39.49264,1.0,1.0,8.437504726562498,True,REGULAR,USD,2026-01-16
C260116C00030000,2026-01-12 16:25:55+00:00,30.0,87.2,85.35,89.1,-3.1500015,-3.4864433,2.0,255.0,7.7441409448242196,True,REGULAR,USD,2026-01-16
C260116C00033000,2026-01-07 18:14:55+00:00,33.0,88.04,82.35,86.3,0.0,0.0,10.0,0.0,7.4531256835937505,True,REGULAR,USD,2026-01-16
C260116C00035000,2026-01-12 18:19:22+00:00,35.0,81.85,80.35,84.3,-4.3499985,-5.046402,6.0,61.0,7.128907338867188,True,REGULAR,USD,2026-01-16
C260116C00038000,2026-01-12 20:00:59+00:00,38.0,79.21,77.35,81.3,15.809998,24.936905,4.0,6.0,6.679689150390626,True,REGULAR,USD,2026-01-16
C260116C00040000,2026-01-09 15:24:55+00:00,40.0,81.5,75.35,79.0,0.0,0.0,1.0,143.0,6.1035179956054675,True,REGULAR,USD,2026-01-16
C260116C00042000,2025-12-18 18:26:59+00:00,42.0,71.31,73.35,77.3,0.0,0.0,5.0,31.0,6.136721079101562,True,REGULAR,USD,2026-01-16
C260116C00045000,2026-01-09 17:53:53+00:00,45.0,76.54,70.65,73.45,0.0,0.0,5.0,179.0,4.906253867187499,True,REGULAR,USD,2026-01-16
C260116C00047000,2025-12-19 15:25:32+00:00,47.0,67.88,68.35,72.1,0.0,0.0,20.0,497.0,5.363284545898436,True,REGULAR,USD,2026-01-16
C260116C00050000,2026-01-12 19:45:19+00:00,50.0,67.0,66.9,67.85,-4.510002,-6.3068132,2.0,4023.0,3.46093884765625,True,REGULAR,USD,2026-01-16
C260116C00052500,2026-01-06 16:11:47+00:00,52.5,70.8,62.9,66.6,0.0,0.0,5.0,830.0,4.791019636230469,True,REGULAR,USD,2026-01-16
C260116C00055000,2026-01-07 17:58:09+00:00,55.0,66.4,61.05,63.95,0.0,0.0,17.0,2108.0,4.432621646728515,True,REGULAR,USD,2026-01-16
C260116C00057500,2026-01-12 20:09:30+00:00,57.5,59.97,59.25,60.7,-5.2299957,-8.021466,13.0,2768.0,3.50000125,True,REGULAR,USD,2026-01-16
C260116C00060000,2026-01-12 19:49:22+00:00,60.0,57.05,56.3,57.85,-3.9500008,-6.475411,10.0,6804.0,2.7812530468750003,True,REGULAR,USD,2026-01-16
C260116C00062500,2026-01-12 16:19:30+00:00,62.5,54.6,52.9,56.6,-4.9300003,-8.281539,38.0,3157.0,3.8906252734375,True,REGULAR,USD,2026-01-16
C260116C00065000,2026-01-12 20:20:07+00:00,65.0,52.27,50.4,54.1,-4.0600014,-7.207529,4.0,5950.0,3.6884773413085936,True,REGULAR,USD,2026-01-16
C260116C00067500,2026-01-06 20:31:53+00:00,67.5,55.56,48.3,51.5,0.0,0.0,95.0,10483.0,3.4306654858398433,True,REGULAR,USD,2026-01-16
C260116C00070000,2026-01-12 17:03:07+00:00,70.0,47.21,46.15,49.0,-3.7400017,-7.3405333,1.0,12364.0,3.244142514648437,True,REGULAR,USD,2026-01-16
C260116C00072500,2026-01-12 18:51:23+00:00,72.5,44.0,43.3,46.05,-4.950001,-10.112361,75.0,4025.0,2.7753936865234374,True,REGULAR,USD,2026-01-16
C260116C00075000,2026-01-12 19:16:14+00:00,75.0,42.25,41.45,42.95,-4.1899986,-9.022392,467.0,14422.0,2.0859422851562495,True,REGULAR,USD,2026-01-16
C260116C00077500,2026-01-12 15:42:08+00:00,77.5,39.47,38.45,41.4,-4.2299995,-9.679632,2.0,3869.0,2.6660189599609376,True,REGULAR,USD,2026-01-16
