contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
JPM260116C00070000,2026-01-12 16:10:36+00:00,70.0,252.59,251.75,254.65,12.389999,5.1582017,2.0,1.0,5.281253398437499,True,REGULAR,USD,2026-01-16
JPM260116C00075000,2025-06-17 18:38:22+00:00,75.0,194.17,215.75,217.55,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00080000,2025-01-07 20:22:26+00:00,80.0,164.06,194.35,198.45,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00085000,2025-04-02 14:55:45+00:00,85.0,160.87,167.8,169.75,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00090000,2025-06-25 15:06:21+00:00,90.0,192.75,224.9,228.3,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00095000,2025-05-16 16:11:47+00:00,95.0,172.32,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00100000,2026-01-12 16:21:22+00:00,100.0,222.7,222.1,224.75,-7.449997,-3.237018,6.0,11.0,4.300785874023436,True,REGULAR,USD,2026-01-16
JPM260116C00105000,2025-05-19 15:48:18+00:00,105.0,160.93,168.85,171.95,0.0,0.0,1.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00110000,2026-01-12 20:32:44+00:00,110.0,213.64,212.25,214.65,-5.2700043,-2.407384,40.0,39.0,3.7695318261718755,True,REGULAR,USD,2026-01-16
JPM260116C00115000,2026-01-06 15:37:13+00:00,115.0,216.7,206.8,209.75,0.0,0.0,185.0,1.0,3.816406708984375,True,REGULAR,USD,2026-01-16
JPM260116C00120000,2026-01-12 17:09:37+00:00,120.0,202.86,201.8,204.85,-7.9400024,-3.7666044,1.0,4.0,3.8144535888671873,True,REGULAR,USD,2026-01-16
JPM260116C00125000,2026-01-08 14:51:20+00:00,125.0,205.12,197.15,199.7,0.0,0.0,1.0,7.0,3.443360766601563,True,REGULAR,USD,2026-01-16
JPM260116C00130000,2026-01-12 19:10:35+00:00,130.0,192.18,192.15,194.6,-6.830002,-3.4319894,5.0,25.0,3.1054709863281245,True,REGULAR,USD,2026-01-16
JPM260116C00135000,2026-01-05 20:47:27+00:00,135.0,198.05,187.15,189.8,0.0,0.0,285.0,0.0,3.330079799804687,True,REGULAR,USD,2026-01-16
JPM260116C00140000,2026-01-05 20:56:33+00:00,140.0,194.2,181.75,185.8,0.0,0.0,2820.0,0.0,3.962890717773437,True,REGULAR,USD,2026-01-16
JPM260116C00145000,2026-01-05 20:56:33+00:00,145.0,189.2,176.8,179.75,0.0,0.0,3010.0,1.0,3.0117212207031248,True,REGULAR,USD,2026-01-16
JPM260116C00150000,2026-01-12 17:10:29+00:00,150.0,172.88,172.15,174.65,-7.2599945,-4.0301957,1.0,26.0,2.746096884765625,True,REGULAR,USD,2026-01-16
JPM260116C00155000,2026-01-05 20:56:33+00:00,155.0,179.2,166.8,169.6,0.0,0.0,3000.0,0.0,2.5429723925781245,True,REGULAR,USD,2026-01-16
JPM260116C00160000,2026-01-12 17:11:00+00:00,160.0,162.68,162.15,164.6,-10.700012,-6.1714225,1.0,10.0,2.441410146484375,True,REGULAR,USD,2026-01-16
JPM260116C00165000,2026-01-12 17:06:17+00:00,165.0,157.87,157.15,159.8,-10.380005,-6.1693935,3.0,0.0,2.621097197265625,True,REGULAR,USD,2026-01-16
JPM260116C00170000,2026-01-06 14:35:50+00:00,170.0,162.7,151.75,154.75,0.0,0.0,8002.0,1.0,2.46094134765625,True,REGULAR,USD,2026-01-16
JPM260116C00175000,2026-01-12 17:07:01+00:00,175.0,148.02,147.2,149.85,-4.1799927,-2.7463815,2.0,1.0,2.46094134765625,True,REGULAR,USD,2026-01-16
JPM260116C00180000,2026-01-12 17:08:53+00:00,180.0,142.95,141.85,144.6,-5.100006,-3.4447863,2.0,66.0,2.0625048437499998,True,REGULAR,USD,2026-01-16
JPM260116C00185000,2026-01-12 20:12:42+00:00,185.0,138.0,137.0,139.8,-10.5,-7.070707,1.0,2.0,2.216801333007812,True,REGULAR,USD,2026-01-16
JPM260116C00190000,2026-01-05 20:56:49+00:00,190.0,143.6,132.2,134.85,0.0,0.0,17780.0,67.0,2.16406708984375,True,REGULAR,USD,2026-01-16
JPM260116C00195000,2026-01-08 14:41:37+00:00,195.0,133.4,127.2,129.85,0.0,0.0,3.0,11.0,2.07031732421875,True,REGULAR,USD,2026-01-16
JPM260116C00200000,2026-01-12 18:05:37+00:00,200.0,122.2,122.2,124.75,-6.800003,-5.2713203,2.0,13.0,1.89453177734375,True,REGULAR,USD,2026-01-16
JPM260116C00205000,2026-01-05 20:48:36+00:00,205.0,128.35,116.85,119.8,0.0,0.0,536.0,0.0,1.8496101269531249,True,REGULAR,USD,2026-01-16
JPM260116C00210000,2026-01-06 19:09:59+00:00,210.0,113.67,111.8,114.75,-13.220001,-10.418473,1.0,22.0,1.7236341943359377,True,REGULAR,USD,2026-01-16
JPM260116C00215000,2026-01-05 20:56:49+00:00,215.0,118.9,107.2,109.8,0.0,0.0,14061.0,7.0,1.6787125439453123,True,REGULAR,USD,2026-01-16
JPM260116C00220000,2026-01-05 20:57:13+00:00,220.0,113.35,102.2,105.15,0.0,0.0,39875.0,80.0,1.7890635546875,True,REGULAR,USD,2026-01-16
JPM260116C00225000,2026-01-05 20:56:49+00:00,225.0,108.65,97.2,99.7,0.0,0.0,8037.0,4.0,1.439455927734375,True,REGULAR,USD,2026-01-16
JPM260116C00230000,2026-01-09 17:10:47+00:00,230.0,101.34,91.8,94.85,0.0,0.0,2.0,6.0,1.46484642578125,True,REGULAR,USD,2026-01-16
JPM260116C00235000,2026-01-12 17:23:31+00:00,235.0,87.25,87.25,89.65,-6.970001,-7.397581,30.0,38.0,1.2460975195312498,True,REGULAR,USD,2026-01-16
JPM260116C00240000,2026-01-09 17:37:23+00:00,240.0,91.0,83.35,84.8,0.0,0.0,1.0,13.0,1.2783239208984374,True,REGULAR,USD,2026-01-16
JPM260116C00245000,2026-01-08 20:48:51+00:00,245.0,85.74,76.85,79.2,0.0,0.0,11.0,72.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00250000,2026-01-12 20:24:02+00:00,250.0,73.43,71.9,74.2,-4.0699997,-5.2516127,19.0,573.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00255000,2026-01-06 18:08:55+00:00,255.0,79.87,67.25,69.3,0.0,0.0,1.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00260000,2026-01-12 20:09:24+00:00,260.0,63.5,62.5,64.25,-8.290001,-11.547571,10.0,123.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00265000,2026-01-07 14:51:57+00:00,265.0,63.6,57.3,59.35,0.0,0.0,2.0,15.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00270000,2026-01-09 20:40:49+00:00,270.0,53.85,51.95,54.3,-6.1500015,-10.250002,1.0,53.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00275000,2026-01-05 20:57:13+00:00,275.0,58.35,47.35,49.35,0.0,0.0,66542.0,1170.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00280000,2026-01-12 15:34:40+00:00,280.0,43.39,42.0,44.85,-7.200001,-14.232063,3.0,22.0,0.7128934960937501,True,REGULAR,USD,2026-01-16
JPM260116C00285000,2026-01-12 15:34:40+00:00,285.0,38.42,37.4,39.4,-6.0300026,-13.565809,1.0,37.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00290000,2026-01-12 18:39:06+00:00,290.0,33.04,32.6,34.5,-3.959999,-10.702701,121.0,238.0,0.40039662109375,True,REGULAR,USD,2026-01-16
JPM260116C00295000,2026-01-12 18:39:06+00:00,295.0,28.07,27.7,29.95,-5.1500015,-15.502712,16.0,119.0,0.5229539892578124,True,REGULAR,USD,2026-01-16
JPM260116C00297500,2026-01-12 14:53:22+00:00,297.5,27.87,26.1,27.45,-6.379999,-18.627735,4.0,1.0,0.48633326171875,True,REGULAR,USD,2026-01-16
JPM260116C00300000,2026-01-12 20:34:16+00:00,300.0,24.95,23.75,24.95,-5.779999,-18.808977,54.0,453.0,0.4489801196289062,True,REGULAR,USD,2026-01-16
JPM260116C00302500,2026-01-12 19:49:03+00:00,302.5,22.0,21.35,22.9,-0.70000076,-3.0837038,3.0,0.0,0.4865773999023438,True,REGULAR,USD,2026-01-16
JPM260116C00305000,2026-01-12 18:57:26+00:00,305.0,18.92,19.1,20.5,-6.709999,-26.180254,139.0,269.0,0.4580132324218751,True,REGULAR,USD,2026-01-16
JPM260116C00307500,2026-01-12 19:34:08+00:00,307.5,17.08,16.95,18.05,-4.25,-19.924988,5.0,24.0,0.42090422851562503,True,REGULAR,USD,2026-01-16
JPM260116C00310000,2026-01-12 20:34:16+00:00,310.0,15.55,14.9,15.8,-5.409999,-26.12264,370.0,3675.0,0.40430283203125,True,REGULAR,USD,2026-01-16
JPM260116C00312500,2026-01-12 20:22:37+00:00,312.5,13.19,13.1,13.7,-6.760001,-33.884716,89.0,93.0,0.3957579956054688,True,REGULAR,USD,2026-01-16
JPM260116C00315000,2026-01-12 20:33:11+00:00,315.0,11.45,11.3,11.55,-5.2,-31.231232,643.0,3060.0,0.3746400427246094,True,REGULAR,USD,2026-01-16
JPM260116C00317500,2026-01-12 20:33:11+00:00,317.5,9.7,9.55,9.8,-5.75,-37.216827,262.0,171.0,0.37708142456054683,True,REGULAR,USD,2026-01-16
JPM260116C00320000,2026-01-12 20:35:46+00:00,320.0,8.12,8.15,8.25,-4.6400003,-36.36364,1011.0,5804.0,0.38196418823242184,True,REGULAR,USD,2026-01-16
JPM260116C00322500,2026-01-12 20:36:44+00:00,322.5,6.72,6.6,6.75,-3.98,-37.441204,1649.0,391.0,0.37854625366210937,True,REGULAR,USD,2026-01-16
JPM260116C00325000,2026-01-12 20:37:32+00:00,325.0,5.35,5.3,5.4,-3.65,-40.64588,3703.0,6386.0,0.37366348999023435,False,REGULAR,USD,2026-01-16
JPM260116C00327500,2026-01-12 20:37:01+00:00,327.5,4.25,4.15,4.3,-3.15,-42.567566,747.0,417.0,0.37390762817382805,False,REGULAR,USD,2026-01-16
