contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GS260116C00150000,2025-12-11 20:38:53+00:00,150.0,764.85,784.6,791.05,0.0,0.0,4.0,2.0,8.980473137207031,True,REGULAR,USD,2026-01-16
GS260116C00155000,2025-01-08 19:44:47+00:00,155.0,423.66,497.0,504.9,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00160000,2025-08-28 18:15:07+00:00,160.0,590.05,642.05,646.3,0.0,0.0,190.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00165000,2024-12-16 05:03:20+00:00,165.0,328.7,338.0,346.0,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00170000,2024-12-16 05:03:20+00:00,170.0,295.43,274.0,283.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00175000,2024-12-16 05:03:20+00:00,175.0,237.72,226.0,236.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00180000,2026-01-09 20:30:00+00:00,180.0,759.27,754.6,761.05,0.0,0.0,2.0,2.0,8.083989322509765,True,REGULAR,USD,2026-01-16
GS260116C00185000,2024-12-16 05:03:20+00:00,185.0,285.84,281.0,291.0,0.0,0.0,5.0,7.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00190000,2025-11-05 18:38:13+00:00,190.0,604.15,756.0,764.75,0.0,0.0,2.0,0.0,10.2822301361084,True,REGULAR,USD,2026-01-16
GS260116C00195000,2024-12-16 05:03:20+00:00,195.0,270.33,249.0,259.0,0.0,0.0,3.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00200000,2025-12-02 16:56:34+00:00,200.0,616.0,747.2,756.2,0.0,0.0,3.0,0.0,10.199222375488283,True,REGULAR,USD,2026-01-16
GS260116C00210000,2025-06-27 15:54:01+00:00,210.0,483.97,529.8,534.45,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00220000,2025-06-27 15:54:01+00:00,220.0,474.07,519.4,525.8,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00230000,2025-08-28 18:13:51+00:00,230.0,520.4,571.15,578.15,0.0,0.0,55.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00240000,2025-08-28 18:13:51+00:00,240.0,510.85,561.25,568.15,0.0,0.0,135.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00250000,2025-08-28 18:13:51+00:00,250.0,498.95,551.05,558.3,0.0,0.0,111.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00260000,2025-08-28 17:49:01+00:00,260.0,490.9,541.4,548.4,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00270000,2025-11-04 14:30:04+00:00,270.0,504.8,676.35,685.0,0.0,0.0,1.0,0.0,8.12622562423706,True,REGULAR,USD,2026-01-16
GS260116C00280000,2025-08-28 17:49:01+00:00,280.0,470.55,521.6,528.5,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00290000,2025-08-28 17:49:01+00:00,290.0,458.75,511.4,518.1,0.0,0.0,30.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00300000,2026-01-12 18:12:15+00:00,300.0,645.0,634.7,641.1,0.0,0.0,3.0,8.0,5.6699247875976555,True,REGULAR,USD,2026-01-16
GS260116C00310000,2025-12-01 17:54:38+00:00,310.0,502.15,637.6,645.75,0.0,0.0,5.0,3.0,7.419922600097656,True,REGULAR,USD,2026-01-16
GS260116C00320000,2025-04-17 15:49:22+00:00,320.0,201.25,298.7,307.0,0.0,0.0,2.0,28.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
GS260116C00330000,2025-04-17 15:49:13+00:00,330.0,192.65,289.2,297.35,0.0,0.0,2.0,9.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
