contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
BAC260116P00013000,2025-12-31 16:21:14+00:00,13.0,0.01,0.0,0.01,0.0,0.0,10.0,10632.0,6.2500021875,False,REGULAR,USD,2026-01-16
BAC260116P00015000,2026-01-12 18:54:48+00:00,15.0,0.01,0.0,0.01,0.0,0.0,2.0,4507.0,5.7500028125,False,REGULAR,USD,2026-01-16
BAC260116P00018000,2026-01-02 14:30:27+00:00,18.0,0.01,0.0,0.01,0.0,0.0,10.0,2619.0,4.875003906249999,False,REGULAR,USD,2026-01-16
BAC260116P00020000,2026-01-07 20:58:41+00:00,20.0,0.01,0.0,0.01,0.0,0.0,8.0,19816.0,4.500004375,False,REGULAR,USD,2026-01-16
BAC260116P00023000,2026-01-14 16:20:59+00:00,23.0,0.01,0.0,0.01,0.0,0.0,4.0,20376.0,3.8750003125,False,REGULAR,USD,2026-01-16
BAC260116P00025000,2025-12-29 20:33:07+00:00,25.0,0.01,0.0,0.01,0.0,0.0,5.0,21279.0,3.50000125,False,REGULAR,USD,2026-01-16
BAC260116P00027000,2026-01-15 19:30:09+00:00,27.0,0.01,0.0,0.01,0.0,0.0,50.0,18861.0,3.1250021875,False,REGULAR,USD,2026-01-16
BAC260116P00030000,2026-01-15 19:49:42+00:00,30.0,0.01,0.0,0.01,0.0,0.0,3.0,50856.0,2.6250034375,False,REGULAR,USD,2026-01-16
BAC260116P00031000,2025-12-19 18:40:57+00:00,31.0,0.08,0.0,0.02,0.0,0.0,30.0,536.0,2.68750328125,False,REGULAR,USD,2026-01-16
BAC260116P00032000,2026-01-05 14:31:01+00:00,32.0,0.03,0.0,0.01,0.0,0.0,1.0,25935.0,2.3750040624999995,False,REGULAR,USD,2026-01-16
BAC260116P00033000,2025-12-26 20:39:50+00:00,33.0,0.01,0.0,0.01,0.0,0.0,10.0,739.0,2.2500043749999996,False,REGULAR,USD,2026-01-16
BAC260116P00034000,2026-01-05 19:05:20+00:00,34.0,0.01,0.0,0.01,0.0,0.0,33.0,8239.0,2.1250046874999997,False,REGULAR,USD,2026-01-16
BAC260116P00035000,2026-01-13 20:04:49+00:00,35.0,0.01,0.0,0.01,0.0,0.0,1.0,36427.0,1.9375003125,False,REGULAR,USD,2026-01-16
BAC260116P00036000,2026-01-13 14:31:53+00:00,36.0,0.04,0.0,0.01,0.0,0.0,2.0,4160.0,1.875000625,False,REGULAR,USD,2026-01-16
BAC260116P00037000,2026-01-14 17:12:19+00:00,37.0,0.01,0.0,0.01,0.0,0.0,1.0,46807.0,1.75000125,False,REGULAR,USD,2026-01-16
BAC260116P00038000,2026-01-07 16:25:11+00:00,38.0,0.01,0.0,0.01,0.0,0.0,10.0,2786.0,1.625001875,False,REGULAR,USD,2026-01-16
BAC260116P00039000,2026-01-09 17:10:16+00:00,39.0,0.01,0.0,0.01,0.0,0.0,2.0,1526.0,1.5000025,False,REGULAR,USD,2026-01-16
BAC260116P00040000,2026-01-15 15:34:49+00:00,40.0,0.01,0.0,0.01,0.0,0.0,1.0,54617.0,1.3750031249999999,False,REGULAR,USD,2026-01-16
BAC260116P00041000,2026-01-12 14:35:09+00:00,41.0,0.01,0.0,0.01,0.0,0.0,4.0,7900.0,1.2500037499999999,False,REGULAR,USD,2026-01-16
BAC260116P00042000,2026-01-13 15:35:20+00:00,42.0,0.01,0.0,0.03,0.0,0.0,20.0,54352.0,1.2968785156249998,False,REGULAR,USD,2026-01-16
BAC260116P00043000,2026-01-14 14:49:39+00:00,43.0,0.01,0.0,0.01,0.0,0.0,3.0,7089.0,1.0312548437500002,False,REGULAR,USD,2026-01-16
BAC260116P00044000,2026-01-15 16:15:59+00:00,44.0,0.01,0.0,0.01,-0.03,-75.0,3.0,10680.0,0.937500625,False,REGULAR,USD,2026-01-16
BAC260116P00045000,2026-01-15 19:45:18+00:00,45.0,0.01,0.0,0.01,0.0,0.0,23.0,33245.0,0.8125018749999999,False,REGULAR,USD,2026-01-16
BAC260116P00046000,2026-01-14 19:21:10+00:00,46.0,0.01,0.0,0.06,0.0,0.0,151.0,10304.0,0.914063359375,False,REGULAR,USD,2026-01-16
BAC260116P00047000,2026-01-15 20:14:33+00:00,47.0,0.01,0.0,0.01,-0.01,-50.0,141.0,28240.0,0.6250037500000001,False,REGULAR,USD,2026-01-16
BAC260116P00048000,2026-01-15 18:40:03+00:00,48.0,0.01,0.0,0.02,0.0,0.0,752.0,8026.0,0.5625043750000001,False,REGULAR,USD,2026-01-16
BAC260116P00049000,2026-01-15 19:15:55+00:00,49.0,0.01,0.0,0.03,-0.01,-50.0,259.0,9246.0,0.5312546875,False,REGULAR,USD,2026-01-16
BAC260116P00049500,2026-01-15 19:52:08+00:00,49.5,0.01,0.0,0.02,0.0,0.0,1142.0,7675.0,0.437505625,False,REGULAR,USD,2026-01-16
BAC260116P00050000,2026-01-15 20:24:31+00:00,50.0,0.01,0.01,0.02,-0.01,-50.0,1166.0,25060.0,0.37500625,False,REGULAR,USD,2026-01-16
BAC260116P00050500,2026-01-15 18:26:24+00:00,50.5,0.01,0.01,0.04,-0.03,-75.0,2094.0,804.0,0.35938140625,False,REGULAR,USD,2026-01-16
BAC260116P00051000,2026-01-15 20:44:37+00:00,51.0,0.02,0.01,0.02,-0.04,-80.00001,1303.0,5165.0,0.2500075,False,REGULAR,USD,2026-01-16
BAC260116P00051500,2026-01-15 20:42:59+00:00,51.5,0.03,0.03,0.04,-0.099999994,-71.42857,951.0,5324.0,0.21680470703125,False,REGULAR,USD,2026-01-16
BAC260116P00052000,2026-01-15 20:46:21+00:00,52.0,0.09,0.08,0.1,-0.14999999,-62.499996,2643.0,4734.0,0.195320546875,False,REGULAR,USD,2026-01-16
BAC260116P00052500,2026-01-15 20:44:14+00:00,52.5,0.26,0.25,0.27,-0.17000002,-39.53489,4137.0,13708.0,0.194343994140625,False,REGULAR,USD,2026-01-16
BAC260116P00053000,2026-01-15 20:44:14+00:00,53.0,0.55,0.54,0.6,-0.15999997,-22.535206,1103.0,9320.0,0.21680470703125,True,REGULAR,USD,2026-01-16
BAC260116P00053500,2026-01-15 20:34:34+00:00,53.5,0.9,0.88,1.03,-0.21000004,-18.918922,173.0,5440.0,0.25586681640625003,True,REGULAR,USD,2026-01-16
BAC260116P00054000,2026-01-15 20:45:21+00:00,54.0,1.51,1.34,1.52,-0.07000005,-4.4303827,272.0,9017.0,0.32617861328125,True,REGULAR,USD,2026-01-16
BAC260116P00054500,2026-01-15 20:43:45+00:00,54.5,1.98,1.92,2.1,-0.059999943,-2.9411738,350.0,5468.0,0.49219257812500006,True,REGULAR,USD,2026-01-16
BAC260116P00055000,2026-01-15 20:41:04+00:00,55.0,2.43,2.39,2.55,-0.07999992,-3.187248,18374.0,14604.0,0.5117236328125,True,REGULAR,USD,2026-01-16
BAC260116P00055500,2026-01-15 20:41:04+00:00,55.5,3.0,2.76,3.05,-0.049999952,-1.6393427,1692.0,557.0,0.5820354296875,True,REGULAR,USD,2026-01-16
BAC260116P00056000,2026-01-15 20:41:04+00:00,56.0,3.27,3.25,3.7,-0.23000002,-6.5902586,8679.0,2546.0,0.5117236328125,True,REGULAR,USD,2026-01-16
BAC260116P00056500,2026-01-15 20:41:04+00:00,56.5,4.05,3.9,4.25,-0.07999992,-1.9370441,2905.0,937.0,0.7539087109375,True,REGULAR,USD,2026-01-16
BAC260116P00057000,2026-01-15 20:41:04+00:00,57.0,4.55,4.25,4.75,-0.03999996,-0.8714588,9010.0,797.0,0.6875031250000001,True,REGULAR,USD,2026-01-16
BAC260116P00057500,2026-01-15 20:41:04+00:00,57.5,5.15,4.55,5.15,0.099999905,2.0833313,7648.0,704.0,0.99023447265625,True,REGULAR,USD,2026-01-16
BAC260116P00058000,2026-01-15 20:41:04+00:00,58.0,5.6,4.9,5.6,-0.25,-4.5207953,160.0,42.0,0.98437515625,True,REGULAR,USD,2026-01-16
BAC260116P00058500,2026-01-14 17:21:42+00:00,58.5,6.43,4.7,6.8,0.0,0.0,5.0,2.0,1.78515732421875,True,REGULAR,USD,2026-01-16
BAC260116P00059000,2026-01-14 14:41:56+00:00,59.0,5.98,5.5,7.0,0.0,0.0,1.0,0.0,1.5898458007812497,True,REGULAR,USD,2026-01-16
BAC260116P00060000,2026-01-15 20:41:04+00:00,60.0,7.75,6.9,7.75,0.30999994,4.3723545,1330.0,107.0,1.4492215039062502,True,REGULAR,USD,2026-01-16
BAC260116P00061000,2026-01-14 16:35:00+00:00,61.0,8.81,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-01-16
BAC260116P00062000,2026-01-15 19:59:10+00:00,62.0,11.2,7.4,11.35,4.06,56.862747,3.0,1.0,3.1855489111328126,True,REGULAR,USD,2026-01-16
