contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
WFC260116C00020000,2026-01-15 15:06:25+00:00,20.0,69.01,66.8,70.3,-5.5599976,-7.456078,10.0,15.0,14.019532487792969,True,REGULAR,USD,2026-01-16
WFC260116C00022500,2025-06-04 19:32:35+00:00,22.5,53.5,60.55,61.85,0.0,0.0,3.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
WFC260116C00025000,2026-01-13 17:46:09+00:00,25.0,69.54,61.75,65.95,0.0,0.0,5.0,20.0,13.300782937011718,True,REGULAR,USD,2026-01-16
WFC260116C00027500,2025-06-04 16:09:50+00:00,27.5,49.15,55.9,56.65,0.0,0.0,4.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
WFC260116C00030000,2026-01-15 18:47:55+00:00,30.0,59.22,56.85,60.95,-7.279999,-10.947367,10.0,18.0,11.523440297851563,True,REGULAR,USD,2026-01-16
WFC260116C00032500,2026-01-14 17:35:34+00:00,32.5,55.9,54.3,58.45,0.0,0.0,1.0,11.0,10.75781577636719,True,REGULAR,USD,2026-01-16
WFC260116C00035000,2026-01-13 16:37:36+00:00,35.0,59.6,52.0,55.95,0.0,0.0,3.0,2.0,4.5312543359375,True,REGULAR,USD,2026-01-16
WFC260116C00037500,2025-12-10 16:59:51+00:00,37.5,51.95,49.45,53.45,0.0,0.0,1.0,0.0,9.406254121093749,True,REGULAR,USD,2026-01-16
WFC260116C00040000,2026-01-07 17:45:28+00:00,40.0,54.73,47.35,50.9,0.0,0.0,5.0,691.0,5.242190947265625,True,REGULAR,USD,2026-01-16
WFC260116C00042500,2026-01-13 15:31:04+00:00,42.5,52.03,44.85,48.4,0.0,0.0,100.0,602.0,4.882816396484374,True,REGULAR,USD,2026-01-16
WFC260116C00045000,2026-01-14 14:43:51+00:00,45.0,45.0,42.55,45.1,0.5600014,1.2601291,8.0,2646.0,6.625001718750001,True,REGULAR,USD,2026-01-16
WFC260116C00047500,2025-12-31 19:57:15+00:00,47.5,46.23,39.85,43.45,0.0,0.0,1.0,895.0,4.304692119140624,True,REGULAR,USD,2026-01-16
WFC260116C00050000,2026-01-15 18:18:24+00:00,50.0,39.3,38.2,39.75,0.29999924,0.7692288,37.0,2113.0,2.8750028125,True,REGULAR,USD,2026-01-16
WFC260116C00052500,2026-01-15 18:25:41+00:00,52.5,36.85,34.8,38.45,-0.05000305,-0.13550963,21.0,1988.0,3.6093759765625,True,REGULAR,USD,2026-01-16
WFC260116C00055000,2026-01-15 15:33:29+00:00,55.0,34.2,32.6,35.95,0.6800003,2.0286405,1.0,17947.0,3.72656318359375,True,REGULAR,USD,2026-01-16
WFC260116C00057500,2026-01-14 16:29:34+00:00,57.5,32.25,29.85,33.45,0.0,0.0,4.0,1402.0,3.128908427734375,True,REGULAR,USD,2026-01-16
WFC260116C00060000,2026-01-15 18:43:55+00:00,60.0,29.45,28.05,29.05,0.6400013,2.2214553,14.0,8019.0,2.5390661523437497,True,REGULAR,USD,2026-01-16
WFC260116C00062500,2026-01-14 20:58:35+00:00,62.5,26.87,24.8,28.45,0.0,0.0,3.0,3579.0,2.5429723925781245,True,REGULAR,USD,2026-01-16
WFC260116C00065000,2026-01-15 20:35:00+00:00,65.0,23.95,23.65,24.95,-0.34000015,-1.3997536,2.0,6305.0,2.6406283984375003,True,REGULAR,USD,2026-01-16
WFC260116C00067500,2026-01-15 14:56:18+00:00,67.5,21.95,19.8,23.45,0.44000053,2.0455627,1.0,5923.0,2.0625048437499998,True,REGULAR,USD,2026-01-16
