contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
BAC260123C00030000,2026-01-20 19:16:27+00:00,30.0,22.59,20.35,24.5,-0.40999985,-1.782608,2.0,8.0,3.308595478515625,True,REGULAR,USD,2026-01-23
BAC260123C00035000,2026-01-20 19:16:27+00:00,35.0,17.73,16.1,17.75,-0.060001373,-0.33727583,5.0,,2.994143139648437,True,REGULAR,USD,2026-01-23
BAC260123C00040000,2026-01-20 19:15:54+00:00,40.0,12.78,11.85,13.85,-0.05000019,-0.3897131,3.0,,2.291019897460937,True,REGULAR,USD,2026-01-23
BAC260123C00042000,2026-01-20 17:44:27+00:00,42.0,10.79,9.95,11.5,-3.4800005,-24.38683,1.0,1.0,1.865235048828125,True,REGULAR,USD,2026-01-23
BAC260123C00043000,2026-01-09 18:26:56+00:00,43.0,13.32,8.95,10.65,0.0,0.0,,10.0,1.783204208984375,True,REGULAR,USD,2026-01-23
BAC260123C00044000,2026-01-09 18:26:56+00:00,44.0,12.34,7.9,9.65,0.0,0.0,,11.0,1.61328318359375,True,REGULAR,USD,2026-01-23
BAC260123C00046000,2026-01-20 18:42:41+00:00,46.0,6.3,5.95,6.4,-2.87,-31.29771,1.0,1.0,0.710940390625,True,REGULAR,USD,2026-01-23
BAC260123C00047000,2026-01-20 19:20:50+00:00,47.0,5.1,4.95,5.45,-0.5999999,-10.526315,98.0,74.0,0.648441015625,True,REGULAR,USD,2026-01-23
BAC260123C00048000,2026-01-14 20:29:10+00:00,48.0,4.35,4.0,5.9,0.0,0.0,1.0,2.0,1.125004375,True,REGULAR,USD,2026-01-23
BAC260123C00049000,2026-01-20 17:36:52+00:00,49.0,3.65,3.0,4.35,-0.17999983,-4.6997347,5.0,5.0,0.799806689453125,True,REGULAR,USD,2026-01-23
BAC260123C00049500,2026-01-16 20:49:36+00:00,49.5,3.72,2.74,2.96,0.0,0.0,,4.0,0.5117236328125,True,REGULAR,USD,2026-01-23
BAC260123C00050000,2026-01-20 18:33:09+00:00,50.0,2.51,2.29,2.49,-0.53,-17.43421,22.0,122.0,0.5351608984375,True,REGULAR,USD,2026-01-23
BAC260123C00050500,2026-01-20 20:13:29+00:00,50.5,1.73,1.81,2.0,-0.8499999,-32.945736,2.0,7.0,0.46680220703125,True,REGULAR,USD,2026-01-23
BAC260123C00051000,2026-01-20 20:27:14+00:00,51.0,1.45,1.41,1.5,-0.69000006,-32.242992,193.0,274.0,0.38672488281249995,True,REGULAR,USD,2026-01-23
BAC260123C00051500,2026-01-20 20:20:51+00:00,51.5,0.94,1.03,1.08,-0.67,-41.614906,154.0,139.0,0.340826904296875,True,REGULAR,USD,2026-01-23
BAC260123C00052000,2026-01-20 20:30:06+00:00,52.0,0.68,0.67,0.71,-0.57,-45.6,2545.0,3241.0,0.301764794921875,True,REGULAR,USD,2026-01-23
BAC260123C00052500,2026-01-20 20:30:38+00:00,52.5,0.41,0.41,0.42,-0.46,-52.87356,2110.0,2198.0,0.273444765625,False,REGULAR,USD,2026-01-23
BAC260123C00053000,2026-01-20 20:26:24+00:00,53.0,0.22,0.22,0.23,-0.33,-60.0,4578.0,10834.0,0.25977302734375,False,REGULAR,USD,2026-01-23
BAC260123C00053500,2026-01-20 20:30:45+00:00,53.5,0.11,0.12,0.13,-0.24,-68.57143,11566.0,4745.0,0.26270268554687504,False,REGULAR,USD,2026-01-23
BAC260123C00054000,2026-01-20 20:32:22+00:00,54.0,0.06,0.06,0.07,-0.14,-66.666664,6254.0,4490.0,0.26563234375,False,REGULAR,USD,2026-01-23
BAC260123C00054500,2026-01-20 20:30:45+00:00,54.5,0.04,0.03,0.04,-0.08,-66.66667,10566.0,6770.0,0.27735097656249996,False,REGULAR,USD,2026-01-23
BAC260123C00055000,2026-01-20 20:27:55+00:00,55.0,0.02,0.02,0.03,-0.07000001,-77.77779,7671.0,20381.0,0.3007882421875,False,REGULAR,USD,2026-01-23
BAC260123C00055500,2026-01-20 20:23:39+00:00,55.5,0.01,0.01,0.02,-0.04,-66.66667,6741.0,7032.0,0.32031929687499994,False,REGULAR,USD,2026-01-23
