contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
C260123P00075000,2026-01-16 20:28:37+00:00,75.0,0.01,,0.01,0.0,0.0,,50.0,1.3906280468749999,False,REGULAR,USD,2026-01-23
C260123P00080000,2026-01-20 14:32:44+00:00,80.0,0.01,0.0,1.14,0.0,0.0,10.0,5.0,2.1376999682617184,False,REGULAR,USD,2026-01-23
C260123P00085000,2026-01-13 19:20:15+00:00,85.0,0.03,0.0,1.09,0.0,0.0,13.0,16.0,1.8076181494140622,False,REGULAR,USD,2026-01-23
C260123P00090000,2026-01-20 18:40:36+00:00,90.0,0.01,0.0,0.09,-0.060000002,-85.71429,20.0,164.0,0.9687503125,False,REGULAR,USD,2026-01-23
C260123P00093000,2026-01-20 18:43:24+00:00,93.0,0.01,0.0,0.08,-0.04,-80.00001,29.0,145.0,0.8281267187499999,False,REGULAR,USD,2026-01-23
C260123P00094000,2026-01-20 18:45:19+00:00,94.0,0.01,0.0,0.1,-0.04,-80.00001,55.0,42.0,0.8125018749999999,False,REGULAR,USD,2026-01-23
C260123P00095000,2026-01-20 18:43:43+00:00,95.0,0.01,0.0,0.05,-0.02,-66.66667,20.0,60.0,0.70312796875,False,REGULAR,USD,2026-01-23
C260123P00096000,2026-01-20 18:42:43+00:00,96.0,0.01,0.01,0.11,-0.11,-91.66667,21.0,24.0,0.7500025,False,REGULAR,USD,2026-01-23
C260123P00097000,2026-01-20 18:45:36+00:00,97.0,0.04,0.01,0.08,0.01,33.333336,27.0,58.0,0.6796907031250001,False,REGULAR,USD,2026-01-23
C260123P00098000,2026-01-12 20:57:18+00:00,98.0,0.09,0.0,2.15,0.0,0.0,,16.0,1.2856481030273437,False,REGULAR,USD,2026-01-23
C260123P00099000,2026-01-14 20:13:04+00:00,99.0,0.06,0.0,0.77,0.0,0.0,26.0,40.0,0.9062509375,False,REGULAR,USD,2026-01-23
C260123P00100000,2026-01-20 20:27:26+00:00,100.0,0.04,0.03,0.05,0.02,100.0,109.0,507.0,0.5507857421875001,False,REGULAR,USD,2026-01-23
C260123P00101000,2026-01-20 20:28:12+00:00,101.0,0.05,0.05,0.06,0.010000002,25.000004,301.0,64.0,0.5371140039062501,False,REGULAR,USD,2026-01-23
C260123P00102000,2026-01-20 19:14:19+00:00,102.0,0.07,0.06,0.07,0.05,250.0,1.0,77.0,0.5097705273437501,False,REGULAR,USD,2026-01-23
C260123P00103000,2026-01-20 19:13:38+00:00,103.0,0.08,0.07,0.08,-0.29000002,-78.37838,7.0,133.0,0.48633326171875,False,REGULAR,USD,2026-01-23
C260123P00104000,2026-01-20 19:07:20+00:00,104.0,0.09,0.08,0.1,0.050000004,125.000015,19.0,109.0,0.46289599609375004,False,REGULAR,USD,2026-01-23
C260123P00105000,2026-01-20 20:28:12+00:00,105.0,0.11,0.1,0.12,0.05,83.333336,565.0,628.0,0.43457596679687505,False,REGULAR,USD,2026-01-23
C260123P00106000,2026-01-20 20:23:22+00:00,106.0,0.15,0.14,0.15,0.09,150.0,2024.0,132.0,0.40820904296875,False,REGULAR,USD,2026-01-23
C260123P00107000,2026-01-20 20:30:41+00:00,107.0,0.18,0.18,0.2,0.13000001,260.00003,45.0,113.0,0.387701435546875,False,REGULAR,USD,2026-01-23
C260123P00108000,2026-01-20 20:26:16+00:00,108.0,0.25,0.24,0.28,0.19,316.66666,689.0,735.0,0.3715883154296875,False,REGULAR,USD,2026-01-23
C260123P00109000,2026-01-20 20:18:23+00:00,109.0,0.38,0.33,0.39,0.28,280.00003,78.0,286.0,0.3544986425781249,False,REGULAR,USD,2026-01-23
