contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
WFC260123P00050000,2026-01-13 16:06:36+00:00,50.0,0.01,0.0,1.99,0.0,0.0,1.0,2.0,3.810547348632813,0.0,REGULAR,USD,2026-01-23
WFC260123P00055000,2025-12-30 19:01:40+00:00,55.0,0.38,0.0,2.09,0.0,0.0,3.0,2.0,3.3056657983398434,0.0,REGULAR,USD,2026-01-23
WFC260123P00065000,2026-01-20 17:18:07+00:00,65.0,0.01,0.0,2.13,-1.07,-99.07407,100.0,0.0,2.329105739746093,0.0,REGULAR,USD,2026-01-23
WFC260123P00070000,2026-01-20 15:47:57+00:00,70.0,0.01,0.0,0.04,-0.03,-75.0,50.0,62.0,0.85937640625,0.0,REGULAR,USD,2026-01-23
WFC260123P00075000,2026-01-16 18:35:16+00:00,75.0,0.04,0.0,0.05,0.0,0.0,34.0,316.0,0.6250037500000001,0.0,REGULAR,USD,2026-01-23
WFC260123P00077000,2026-01-20 15:13:54+00:00,77.0,0.02,0.0,0.05,0.0,0.0,2.0,177.0,0.523442265625,0.0,REGULAR,USD,2026-01-23
WFC260123P00078000,2026-01-20 20:11:58+00:00,78.0,0.03,0.02,0.04,0.02,200.0,50.0,39.0,0.507817421875,0.0,REGULAR,USD,2026-01-23
WFC260123P00079000,2026-01-20 20:01:52+00:00,79.0,0.04,0.03,0.04,-0.010000002,-20.000002,7.0,195.0,0.45703667968750006,0.0,REGULAR,USD,2026-01-23
WFC260123P00080000,2026-01-20 20:30:05+00:00,80.0,0.05,0.05,0.06,0.010000002,25.000004,142.0,2430.0,0.4335994140625,0.0,REGULAR,USD,2026-01-23
WFC260123P00081000,2026-01-20 19:21:51+00:00,81.0,0.07,0.07,0.08,0.030000001,75.0,46.0,72.0,0.40039662109375,0.0,REGULAR,USD,2026-01-23
WFC260123P00082000,2026-01-20 20:17:43+00:00,82.0,0.12,0.1,0.11,0.06,100.0,33.0,113.0,0.367193828125,0.0,REGULAR,USD,2026-01-23
WFC260123P00083000,2026-01-20 20:14:50+00:00,83.0,0.17,0.15,0.16,0.08,88.888885,65.0,111.0,0.336920693359375,0.0,REGULAR,USD,2026-01-23
WFC260123P00084000,2026-01-20 20:04:01+00:00,84.0,0.3,0.23,0.26,0.16000001,114.28573,435.0,190.0,0.3154365332031249,0.0,REGULAR,USD,2026-01-23
WFC260123P00085000,2026-01-20 20:28:48+00:00,85.0,0.4,0.37,0.41,0.2,100.0,120.0,774.0,0.2890696093749999,0.0,REGULAR,USD,2026-01-23
WFC260123P00086000,2026-01-20 20:28:12+00:00,86.0,0.67,0.62,0.68,0.34,103.0303,161.0,842.0,0.270515107421875,0.0,REGULAR,USD,2026-01-23
WFC260123P00087000,2026-01-20 20:26:20+00:00,87.0,1.13,1.03,1.14,0.59,109.25925,565.0,1678.0,0.264655791015625,1.0,REGULAR,USD,2026-01-23
WFC260123P00088000,2026-01-20 20:29:50+00:00,88.0,1.62,1.62,1.73,0.75,86.206894,156.0,937.0,0.2485426708984375,1.0,REGULAR,USD,2026-01-23
WFC260123P00089000,2026-01-20 19:29:39+00:00,89.0,2.65,2.36,2.77,1.3500001,103.84617,77.0,937.0,0.34668622070312494,1.0,REGULAR,USD,2026-01-23
WFC260123P00090000,2026-01-20 20:12:30+00:00,90.0,3.63,3.2,3.55,1.5900002,77.941185,57.0,1042.0,0.32910827148437494,1.0,REGULAR,USD,2026-01-23
WFC260123P00091000,2026-01-20 19:30:19+00:00,91.0,4.42,4.2,4.65,1.5700002,55.087727,20.0,145.0,0.44336494140625,1.0,REGULAR,USD,2026-01-23
WFC260123P00092000,2026-01-20 16:14:47+00:00,92.0,3.78,4.45,5.8,0.78,26.0,2.0,381.0,0.57812921875,1.0,REGULAR,USD,2026-01-23
WFC260123P00093000,2026-01-20 14:49:01+00:00,93.0,5.38,5.9,6.8,1.1800003,28.095247,4.0,277.0,0.6435582519531251,1.0,REGULAR,USD,2026-01-23
WFC260123P00094000,2026-01-20 14:34:14+00:00,94.0,8.04,5.6,7.75,2.8400002,54.615387,1.0,463.0,0.6826203613281252,1.0,REGULAR,USD,2026-01-23
WFC260123P00095000,2026-01-16 16:13:21+00:00,95.0,6.01,6.6,8.75,0.0,0.0,14.0,591.0,0.7421900781249999,1.0,REGULAR,USD,2026-01-23
WFC260123P00096000,2026-01-20 15:04:04+00:00,96.0,8.3,7.6,10.15,1.6500001,24.812033,6.0,66.0,0.992187578125,1.0,REGULAR,USD,2026-01-23
WFC260123P00097000,2026-01-15 20:23:18+00:00,97.0,8.1,8.6,11.05,0.0,0.0,16.0,3.0,1.009770576171875,1.0,REGULAR,USD,2026-01-23
