contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
BAC251024C00035000,2025-10-17 15:54:13+00:00,35.0,16.5,15.7,19.0,0.0,0.0,2.0,10,7.761719047851562,True,REGULAR,USD,2025-10-24
BAC251024C00038000,2025-10-22 14:50:21+00:00,38.0,14.0,12.5,16.45,0.0,0.0,1.0,4,7.332032084960938,True,REGULAR,USD,2025-10-24
BAC251024C00039000,2025-10-22 14:50:21+00:00,39.0,13.05,12.25,14.75,0.0,0.0,2.0,21,5.812502734375,True,REGULAR,USD,2025-10-24
BAC251024C00040000,2025-10-24 18:21:25+00:00,40.0,12.55,12.15,12.8,0.8500004,7.264961,4.0,41,3.43750140625,True,REGULAR,USD,2025-10-24
BAC251024C00041000,2025-10-06 13:58:45+00:00,41.0,9.65,9.7,12.65,0.0,0.0,5.0,6,4.957035053710937,True,REGULAR,USD,2025-10-24
BAC251024C00042000,2025-10-17 16:56:03+00:00,42.0,9.24,8.7,11.5,0.0,0.0,4.0,3,4.378910776367187,True,REGULAR,USD,2025-10-24
BAC251024C00043000,2025-10-21 16:36:12+00:00,43.0,9.05,7.7,10.5,0.17000008,1.9144152,1.0,6,4.060551799316406,True,REGULAR,USD,2025-10-24
BAC251024C00044000,2025-10-24 19:44:48+00:00,44.0,8.44,6.7,10.0,1.0699997,14.518313,1.0,12,4.45312943359375,True,REGULAR,USD,2025-10-24
BAC251024C00045000,2025-10-24 18:48:20+00:00,45.0,7.55,7.35,7.75,0.8200002,12.184252,3.0,37,2.0742235644531246,True,REGULAR,USD,2025-10-24
BAC251024C00046000,2025-10-24 17:18:49+00:00,46.0,6.54,5.6,7.45,1.46,28.740158,9.0,57,3.0468773828125,True,REGULAR,USD,2025-10-24
BAC251024C00046500,2025-10-24 17:18:49+00:00,46.5,6.15,5.7,6.6,1.6500001,36.66667,1.0,12,1.4375028125,True,REGULAR,USD,2025-10-24
BAC251024C00047000,2025-10-24 18:36:34+00:00,47.0,5.49,5.25,5.75,0.28999996,5.5769224,11.0,45,1.61328318359375,True,REGULAR,USD,2025-10-24
BAC251024C00047500,2025-10-23 16:43:39+00:00,47.5,4.15,4.85,5.3,0.0,0.0,2.0,31,0.7812521875,True,REGULAR,USD,2025-10-24
BAC251024C00048000,2025-10-24 19:51:30+00:00,48.0,4.45,4.4,4.8,0.64999986,17.105259,131.0,217,0.937500625,True,REGULAR,USD,2025-10-24
