contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
BAC251114P00030000,2025-10-09 18:10:44+00:00,30.0,0.05,0.0,0.01,0.0,0.0,,1,3.750000625,False,REGULAR,USD,2025-11-14
BAC251114P00035000,2025-11-14 19:31:28+00:00,35.0,0.01,0.0,0.05,-0.01,-50.0,1.0,16,3.3437516406249994,False,REGULAR,USD,2025-11-14
BAC251114P00038000,2025-11-13 15:51:00+00:00,38.0,0.02,0.0,0.06,0.0,0.0,2.0,66,2.7968780078125004,False,REGULAR,USD,2025-11-14
BAC251114P00039000,2025-11-13 15:51:00+00:00,39.0,0.07,0.0,0.01,0.0,0.0,2.0,256,2.1250046874999997,False,REGULAR,USD,2025-11-14
BAC251114P00040000,2025-11-05 14:43:58+00:00,40.0,0.02,0.0,0.01,0.0,0.0,1.0,327,1.9375003125,False,REGULAR,USD,2025-11-14
BAC251114P00041000,2025-11-12 16:25:51+00:00,41.0,0.01,0.0,0.11,0.0,0.0,1.0,292,2.4218789453125,False,REGULAR,USD,2025-11-14
BAC251114P00042000,2025-11-14 15:47:13+00:00,42.0,0.01,0.0,0.1,-0.02,-66.66667,1.0,546,2.1875045312499997,False,REGULAR,USD,2025-11-14
BAC251114P00043000,2025-11-06 15:03:30+00:00,43.0,0.02,0.0,0.01,0.0,0.0,1.0,193,1.5000025,False,REGULAR,USD,2025-11-14
BAC251114P00044000,2025-11-14 15:44:49+00:00,44.0,0.05,0.0,0.06,0.020000001,66.66668,10.0,134,1.65625171875,False,REGULAR,USD,2025-11-14
BAC251114P00045000,2025-11-07 16:54:30+00:00,45.0,0.01,0.0,0.02,0.0,0.0,817.0,1041,1.2812535937499998,False,REGULAR,USD,2025-11-14
BAC251114P00045500,2025-11-07 20:04:33+00:00,45.5,0.01,0.0,0.03,0.0,0.0,10.0,10,1.2500037499999999,False,REGULAR,USD,2025-11-14
BAC251114P00046000,2025-11-14 19:53:04+00:00,46.0,0.01,0.0,0.01,-0.02,-66.66667,1.0,1363,1.000005,False,REGULAR,USD,2025-11-14
BAC251114P00046500,2025-11-14 19:55:26+00:00,46.5,0.05,0.0,0.09,0.020000001,66.66668,1.0,2,1.2968785156249998,False,REGULAR,USD,2025-11-14
BAC251114P00047000,2025-11-14 15:11:01+00:00,47.0,0.01,0.0,0.01,-0.01,-50.0,3.0,679,0.87500125,False,REGULAR,USD,2025-11-14
BAC251114P00047500,2025-11-14 14:40:20+00:00,47.5,0.04,0.0,0.04,0.03,300.0,2.0,188,0.9687503125,False,REGULAR,USD,2025-11-14
BAC251114P00048000,2025-11-14 16:01:35+00:00,48.0,0.02,0.0,0.06,0.01,100.0,9.0,980,0.937500625,False,REGULAR,USD,2025-11-14
BAC251114P00048500,2025-11-11 20:43:53+00:00,48.5,0.01,0.0,0.02,0.0,0.0,30.0,375,0.7187528125,False,REGULAR,USD,2025-11-14
BAC251114P00049000,2025-11-13 16:09:17+00:00,49.0,0.02,0.0,0.02,0.0,0.0,1.0,5404,0.64062859375,False,REGULAR,USD,2025-11-14
BAC251114P00049500,2025-11-14 14:40:55+00:00,49.5,0.02,0.0,0.01,-0.01,-33.333336,20.0,340,0.500005,False,REGULAR,USD,2025-11-14
BAC251114P00050000,2025-11-14 20:00:46+00:00,50.0,0.01,0.0,0.01,0.0,0.0,177.0,2171,0.48438015625,False,REGULAR,USD,2025-11-14
BAC251114P00050500,2025-11-14 15:03:19+00:00,50.5,0.01,0.0,0.01,0.0,0.0,26.0,1411,0.4062559375,False,REGULAR,USD,2025-11-14
BAC251114P00051000,2025-11-14 20:00:53+00:00,51.0,0.01,0.0,0.01,-0.02,-66.66667,2105.0,1886,0.32031929687499994,False,REGULAR,USD,2025-11-14
BAC251114P00051500,2025-11-14 18:47:22+00:00,51.5,0.01,0.0,0.01,-0.04,-80.00001,1411.0,3343,0.23438265625,False,REGULAR,USD,2025-11-14
BAC251114P00052000,2025-11-14 19:48:32+00:00,52.0,0.01,0.0,0.01,-0.080000006,-88.88889,10440.0,4310,0.148446015625,False,REGULAR,USD,2025-11-14
BAC251114P00052500,2025-11-14 20:06:39+00:00,52.5,0.02,0.01,0.02,-0.18,-94.73684,6050.0,3662,0.058603164062500004,False,REGULAR,USD,2025-11-14
BAC251114P00053000,2025-11-14 20:04:49+00:00,53.0,0.15,0.18,0.23,-0.22999999,-60.52631,827.0,3741,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00053500,2025-11-14 19:57:44+00:00,53.5,0.68,0.54,0.76,-0.01999998,-2.85714,632.0,3500,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00054000,2025-11-14 20:08:30+00:00,54.0,1.14,1.07,1.22,0.03999996,3.5714252,244.0,1830,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00054500,2025-11-14 19:51:07+00:00,54.5,1.69,1.46,1.79,0.09000003,5.6250024,63.0,590,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00055000,2025-11-14 19:27:31+00:00,55.0,2.26,1.97,2.33,0.099999905,4.629625,53.0,84,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00056000,2025-11-13 18:15:31+00:00,56.0,3.69,2.95,3.35,1.0900002,41.923084,4.0,26,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00057000,2025-11-13 20:41:45+00:00,57.0,4.05,3.95,4.35,0.0,0.0,22.0,3,1.0000000000000003e-05,True,REGULAR,USD,2025-11-14
BAC251114P00058000,2025-11-13 20:53:53+00:00,58.0,5.15,3.3,6.65,0.0,0.0,3.0,21,2.85156537109375,True,REGULAR,USD,2025-11-14
BAC251114P00059000,2025-11-04 17:14:02+00:00,59.0,5.5,4.3,8.25,0.0,0.0,42.0,7,3.7324225439453125,True,REGULAR,USD,2025-11-14
BAC251114P00065000,2025-11-06 15:06:20+00:00,65.0,11.78,10.35,14.25,0.0,0.0,,0,5.076175529785156,True,REGULAR,USD,2025-11-14
BAC251121P00020000,2025-10-14 16:11:26+00:00,20.0,0.02,0.0,0.02,0.0,0.0,1.0,5067,2.3750040624999995,False,REGULAR,USD,2025-11-21
BAC251121P00022000,2025-10-17 19:53:37+00:00,22.0,0.01,0.0,0.02,0.0,0.0,10.0,2614,2.156254609375,False,REGULAR,USD,2025-11-21
