contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GS251128C00410000,2025-11-26 19:07:57+00:00,410.0,405.1,404.2,409.8,25.779999,6.7963724,1.0,1,3.535157412109375,True,REGULAR,USD,2025-11-28
GS251128C00420000,2025-11-24 18:21:39+00:00,420.0,369.38,394.2,399.8,0.0,0.0,,1,3.4218764453125,True,REGULAR,USD,2025-11-28
GS251128C00430000,2025-11-24 18:25:34+00:00,430.0,359.32,384.2,389.8,0.0,0.0,,1,3.3125017187499997,True,REGULAR,USD,2025-11-28
GS251128C00440000,2025-11-24 18:29:13+00:00,440.0,349.38,374.2,379.8,0.0,0.0,,8,3.20459183227539,True,REGULAR,USD,2025-11-28
GS251128C00450000,2025-11-24 18:29:13+00:00,450.0,339.44,364.2,369.8,0.0,0.0,,9,3.0996116259765625,True,REGULAR,USD,2025-11-28
GS251128C00460000,2025-11-24 18:31:47+00:00,460.0,329.37,354.25,359.8,0.0,0.0,,1,3.0068384204101566,True,REGULAR,USD,2025-11-28
GS251128C00470000,2025-11-24 18:32:29+00:00,470.0,319.42,344.25,349.6,0.0,0.0,,0,2.863772371826172,True,REGULAR,USD,2025-11-28
GS251128C00480000,2025-11-24 18:33:31+00:00,480.0,309.47,334.25,340.65,0.0,0.0,,0,2.9550807373046872,True,REGULAR,USD,2025-11-28
GS251128C00490000,2025-11-24 18:34:29+00:00,490.0,299.51,324.25,330.6,0.0,0.0,2.0,1,2.8457060107421874,True,REGULAR,USD,2025-11-28
GS251128C00500000,2025-11-24 18:36:47+00:00,500.0,289.58,314.25,319.85,0.0,0.0,3.0,2,2.6220737573242188,True,REGULAR,USD,2025-11-28
GS251128C00510000,2025-11-24 18:36:47+00:00,510.0,279.64,304.25,309.85,0.0,0.0,,2,2.528323991699218,True,REGULAR,USD,2025-11-28
GS251128C00530000,2025-11-21 15:06:29+00:00,530.0,234.81,284.25,289.85,0.0,0.0,1.0,1,2.344730700683593,True,REGULAR,USD,2025-11-28
GS251128C00550000,2025-11-25 17:41:32+00:00,550.0,248.16,264.25,269.85,0.0,0.0,1.0,1,2.166996770019531,True,REGULAR,USD,2025-11-28
GS251128C00560000,2025-11-26 17:33:21+00:00,560.0,256.54,254.25,259.85,38.140015,17.463377,2.0,2,2.080082924804687,True,REGULAR,USD,2025-11-28
GS251128C00565000,2025-11-26 17:33:21+00:00,565.0,251.55,249.25,254.85,12.919998,5.4142385,2.0,1,2.037114282226563,True,REGULAR,USD,2025-11-28
GS251128C00570000,2025-11-25 20:41:44+00:00,570.0,233.64,244.25,249.85,0.0,0.0,2.0,1,1.9946289331054685,True,REGULAR,USD,2025-11-28
GS251128C00575000,2025-11-24 20:45:38+00:00,575.0,216.38,239.25,244.85,0.0,0.0,6.0,2,1.9521486767578127,True,REGULAR,USD,2025-11-28
GS251128C00580000,2025-11-24 20:45:38+00:00,580.0,211.4,234.3,239.85,0.0,0.0,4.0,3,1.9169926025390627,True,REGULAR,USD,2025-11-28
GS251128C00585000,2025-11-26 15:53:33+00:00,585.0,230.34,229.3,234.85,25.23999,12.306187,2.0,4,1.8754889038085936,True,REGULAR,USD,2025-11-28
GS251128C00590000,2025-11-26 20:16:30+00:00,590.0,229.7,224.3,229.7,28.75,14.307042,7.0,2,1.8134774951171875,True,REGULAR,USD,2025-11-28
GS251128C00595000,2025-11-03 20:04:08+00:00,595.0,195.85,219.3,224.95,0.0,0.0,,3,1.8051767553710936,True,REGULAR,USD,2025-11-28
GS251128C00600000,2025-11-26 20:16:30+00:00,600.0,219.77,214.3,219.8,28.880005,15.129134,7.0,4,1.7451184619140623,True,REGULAR,USD,2025-11-28
GS251128C00605000,2025-11-26 18:14:36+00:00,605.0,211.16,209.3,214.85,14.529999,7.3895125,4.0,4,1.710450666503906,True,REGULAR,USD,2025-11-28
GS251128C00610000,2025-11-26 20:14:26+00:00,610.0,207.01,204.3,209.85,14.110001,7.314671,8.0,11,1.669923525390625,True,REGULAR,USD,2025-11-28
GS251128C00615000,2025-11-26 17:33:31+00:00,615.0,201.88,199.3,204.85,13.970001,7.4344106,2.0,2,1.6298846630859374,True,REGULAR,USD,2025-11-28
GS251128C00620000,2025-11-25 20:07:56+00:00,620.0,181.11,194.3,199.95,0.0,0.0,2.0,3,1.6015644921874999,True,REGULAR,USD,2025-11-28
GS251128C00625000,2025-11-26 19:29:03+00:00,625.0,190.78,189.3,194.85,14.660004,8.323873,3.0,17,1.5498069384765623,True,REGULAR,USD,2025-11-28
GS251128C00630000,2025-11-26 19:29:03+00:00,630.0,185.86,184.35,189.95,25.850006,16.155245,5.0,48,1.5273461132812498,True,REGULAR,USD,2025-11-28
GS251128C00635000,2025-11-26 15:53:22+00:00,635.0,179.94,179.3,184.9,24.490005,15.754265,2.0,8,1.4765651171875,True,REGULAR,USD,2025-11-28
GS251128C00640000,2025-11-26 20:06:53+00:00,640.0,176.15,174.3,179.9,9.699997,5.8275743,1.0,5,1.4370145336914062,True,REGULAR,USD,2025-11-28
GS251128C00645000,2025-11-24 17:50:08+00:00,645.0,142.75,169.3,174.9,0.0,0.0,2.0,8,1.3979522290039061,True,REGULAR,USD,2025-11-28
GS251128C00650000,2025-11-26 20:06:53+00:00,650.0,166.21,164.3,169.9,26.01001,18.552076,2.0,5,1.358889924316406,True,REGULAR,USD,2025-11-28
GS251128C00655000,2025-11-26 20:03:49+00:00,655.0,160.9,159.3,164.9,23.899994,17.445251,1.0,6,1.3203158984374999,True,REGULAR,USD,2025-11-28
