contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GS251212P00400000,2025-12-08 16:30:28+00:00,400.0,0.01,0.0,0.02,-0.04,-80.00001,22.0,3.0,1.9218753906250001,False,REGULAR,USD,2025-12-12
GS251212P00450000,2025-12-08 19:52:33+00:00,450.0,0.01,0.0,0.01,-1.37,-99.27536,56.0,1.0,1.5625021874999998,False,REGULAR,USD,2025-12-12
GS251212P00470000,2025-12-08 19:52:04+00:00,470.0,0.01,0.0,0.01,-1.38,-99.28058,38.0,1.0,1.46875265625,False,REGULAR,USD,2025-12-12
GS251212P00530000,2025-11-07 17:16:53+00:00,530.0,0.77,0.0,4.3,0.0,0.0,2.0,1.0,2.2543988952636718,False,REGULAR,USD,2025-12-12
GS251212P00540000,2025-12-08 20:30:14+00:00,540.0,0.9,0.0,1.83,0.7,350.00003,3.0,1.0,1.9033207958984377,False,REGULAR,USD,2025-12-12
GS251212P00550000,2025-12-08 20:30:14+00:00,550.0,0.95,0.0,1.92,0.75,375.00003,3.0,1.0,1.8505866845703123,False,REGULAR,USD,2025-12-12
GS251212P00565000,2025-11-12 15:28:06+00:00,565.0,0.25,0.0,0.68,0.0,0.0,,1.0,1.5253929980468748,False,REGULAR,USD,2025-12-12
GS251212P00570000,2025-11-12 15:25:06+00:00,570.0,0.2,0.0,0.9,0.0,0.0,,1.0,1.5498069384765623,False,REGULAR,USD,2025-12-12
GS251212P00580000,2025-11-18 18:51:34+00:00,580.0,0.58,0.0,1.2,0.0,0.0,,1.0,1.5498069384765623,False,REGULAR,USD,2025-12-12
GS251212P00620000,2025-11-20 20:04:06+00:00,620.0,0.59,0.0,0.52,0.0,0.0,,1.0,1.18359783203125,False,REGULAR,USD,2025-12-12
GS251212P00625000,2025-11-14 16:59:44+00:00,625.0,0.1,0.0,0.1,-0.82,-89.13043,1.0,2.0,0.9726565234375,False,REGULAR,USD,2025-12-12
GS251212P00630000,2025-11-20 20:26:53+00:00,630.0,0.62,0.0,0.1,0.0,0.0,,2.0,0.9531254687499999,False,REGULAR,USD,2025-12-12
GS251212P00640000,2025-12-08 18:06:01+00:00,640.0,0.03,0.0,0.08,0.02,200.0,6.0,25.0,0.8906260937499999,False,REGULAR,USD,2025-12-12
GS251212P00645000,2025-11-05 16:49:41+00:00,645.0,1.42,0.0,0.19,0.0,0.0,,1.0,0.945313046875,False,REGULAR,USD,2025-12-12
GS251212P00650000,2025-12-05 20:39:54+00:00,650.0,0.1,0.0,0.58,0.09,900.0002,1.0,47.0,1.0468797656250002,False,REGULAR,USD,2025-12-12
GS251212P00655000,2025-11-28 17:50:45+00:00,655.0,0.4,0.0,0.1,0.0,0.0,22.0,42.0,0.8437515624999999,False,REGULAR,USD,2025-12-12
GS251212P00660000,2025-12-05 20:40:01+00:00,660.0,0.02,0.0,0.26,0.0,0.0,1.0,123.0,0.9072274902343749,False,REGULAR,USD,2025-12-12
GS251212P00665000,2025-12-05 17:31:39+00:00,665.0,0.18,0.0,0.11,0.0,0.0,10.0,62.0,0.8085956640624999,False,REGULAR,USD,2025-12-12
