contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
C251212C00060000,2025-12-08 20:03:13+00:00,60.0,48.41,49.75,52.15,0.0,0.0,2.0,2,4.605472993164062,True,REGULAR,USD,2025-12-12
C251212C00065000,2025-12-08 20:34:50+00:00,65.0,43.74,44.8,47.0,0.0,0.0,7.0,7,3.9531251171874997,True,REGULAR,USD,2025-12-12
C251212C00085000,2025-12-10 19:42:34+00:00,85.0,25.62,24.75,27.4,2.3600006,10.146176,15.0,4,2.50781623046875,True,REGULAR,USD,2025-12-12
C251212C00086000,2025-12-10 19:42:34+00:00,86.0,24.67,23.75,26.0,1.3500004,5.789024,16.0,52,2.183598291015625,True,REGULAR,USD,2025-12-12
C251212C00087000,2025-12-09 17:54:00+00:00,87.0,23.74,22.75,25.0,1.8600006,8.500917,3.0,51,2.108403166503906,True,REGULAR,USD,2025-12-12
C251212C00088000,2025-12-09 18:51:25+00:00,88.0,21.77,21.8,24.0,1.5699997,7.7722754,2.0,9,2.0332080419921876,True,REGULAR,USD,2025-12-12
C251212C00089000,2025-12-09 20:29:29+00:00,89.0,19.27,20.8,23.1,0.0,0.0,6.0,4,2.0175830810546875,True,REGULAR,USD,2025-12-12
C251212C00090000,2025-12-09 20:29:29+00:00,90.0,18.28,19.8,22.25,0.0,0.0,5.0,113,2.02344244140625,True,REGULAR,USD,2025-12-12
C251212C00091000,2025-12-09 16:43:58+00:00,91.0,18.41,18.8,21.35,0.0,0.0,2.0,13,1.9970703271484376,True,REGULAR,USD,2025-12-12
C251212C00092000,2025-12-09 17:40:44+00:00,92.0,16.92,17.8,20.35,0.0,0.0,2.0,39,1.9189457177734377,True,REGULAR,USD,2025-12-12
C251212C00093000,2025-12-09 17:40:44+00:00,93.0,15.93,16.8,19.15,0.0,0.0,2.0,25,1.7402356738281248,True,REGULAR,USD,2025-12-12
C251212C00094000,2025-12-05 15:48:02+00:00,94.0,14.66,15.8,18.0,0.0,0.0,1.0,41,1.5869161279296873,True,REGULAR,USD,2025-12-12
C251212C00095000,2025-12-09 17:37:33+00:00,95.0,14.05,14.75,17.15,0.0,0.0,1.0,96,1.588869243164062,True,REGULAR,USD,2025-12-12
C251212C00096000,2025-12-08 20:42:10+00:00,96.0,12.85,13.75,16.15,0.0,0.0,1.0,26,1.5136743066406249,True,REGULAR,USD,2025-12-12
C251212C00097000,2025-12-09 17:39:23+00:00,97.0,11.15,12.8,15.05,0.0,0.0,1.0,79,1.3916046044921875,True,REGULAR,USD,2025-12-12
C251212C00098000,2025-12-09 15:59:58+00:00,98.0,11.93,11.8,14.05,0.2300005,1.9658163,1.0,59,1.3173862255859374,True,REGULAR,USD,2025-12-12
C251212C00099000,2025-12-09 18:29:03+00:00,99.0,9.04,10.8,13.15,0.0,0.0,7.0,264,1.2871129394531249,True,REGULAR,USD,2025-12-12
C251212C00100000,2025-12-10 19:38:58+00:00,100.0,11.58,11.2,12.05,2.08,21.894737,20.0,151,0.96679720703125,True,REGULAR,USD,2025-12-12
C251212C00101000,2025-12-10 20:27:17+00:00,101.0,10.9,10.35,11.05,2.37,27.78429,2.0,105,0.937500625,True,REGULAR,USD,2025-12-12
C251212C00102000,2025-12-10 19:20:18+00:00,102.0,8.9,8.55,10.05,2.5799994,40.822773,667.0,898,0.63867548828125,True,REGULAR,USD,2025-12-12
C251212C00103000,2025-12-10 17:01:39+00:00,103.0,7.62,6.85,9.55,1.25,19.623234,6.0,491,1.1225629809570314,True,REGULAR,USD,2025-12-12
C251212C00104000,2025-12-10 17:21:37+00:00,104.0,6.51,5.85,8.05,0.8100004,14.210535,10.0,388,0.8657239990234374,True,REGULAR,USD,2025-12-12
C251212C00105000,2025-12-10 20:03:38+00:00,105.0,6.71,6.3,7.5,1.98,41.860466,14.0,1977,0.7338893798828124,True,REGULAR,USD,2025-12-12
C251212C00106000,2025-12-10 19:59:34+00:00,106.0,5.8,5.45,6.1,1.8900001,48.337597,1029.0,1516,0.6123085644531252,True,REGULAR,USD,2025-12-12
C251212C00107000,2025-12-10 20:27:17+00:00,107.0,4.65,4.45,5.0,1.5700002,50.974033,336.0,981,0.5185595019531251,True,REGULAR,USD,2025-12-12
C251212C00108000,2025-12-10 20:31:06+00:00,108.0,3.99,3.55,4.1,1.7,74.23581,629.0,3321,0.5566450585937501,True,REGULAR,USD,2025-12-12
C251212C00109000,2025-12-10 20:24:17+00:00,109.0,2.91,2.9,3.15,1.2600001,76.36364,1050.0,2109,0.4804739453125,True,REGULAR,USD,2025-12-12
C251212C00110000,2025-12-10 20:32:11+00:00,110.0,2.17,2.15,2.33,1.0300001,90.35088,9682.0,8649,0.42969320312500003,True,REGULAR,USD,2025-12-12
C251212C00111000,2025-12-10 20:32:51+00:00,111.0,1.5,1.43,1.52,0.81,117.391304,1136.0,1059,0.36475244628906256,True,REGULAR,USD,2025-12-12
C251212C00112000,2025-12-10 20:33:08+00:00,112.0,0.89,0.83,0.91,0.45,102.27273,723.0,939,0.3237372314453124,False,REGULAR,USD,2025-12-12
