contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
JPM251219P00065000,2025-12-10 15:23:53+00:00,65.0,0.02,0.0,0.01,0.0,0.0,8.0,372.0,5.12500359375,False,REGULAR,USD,2025-12-19
JPM251219P00070000,2025-12-16 18:22:34+00:00,70.0,0.01,0.0,0.01,0.0,0.0,2.0,334.0,4.875003906249999,False,REGULAR,USD,2025-12-19
JPM251219P00075000,2025-12-16 19:20:05+00:00,75.0,0.01,0.0,0.01,0.0,0.0,1.0,237.0,4.62500421875,False,REGULAR,USD,2025-12-19
JPM251219P00080000,2025-11-25 18:06:09+00:00,80.0,0.05,0.0,0.01,0.0,0.0,1.0,287.0,4.375004531249999,False,REGULAR,USD,2025-12-19
JPM251219P00085000,2025-12-01 16:41:05+00:00,85.0,0.05,0.0,0.21,0.0,0.0,1.0,172.0,5.492190634765624,False,REGULAR,USD,2025-12-19
JPM251219P00090000,2025-12-11 20:47:19+00:00,90.0,0.07,0.0,0.04,0.0,0.0,2.0,640.0,4.500004375,False,REGULAR,USD,2025-12-19
JPM251219P00095000,2025-12-11 20:42:41+00:00,95.0,0.01,0.0,0.02,0.0,0.0,2.0,255.0,4.062504921875,False,REGULAR,USD,2025-12-19
JPM251219P00100000,2025-12-10 17:47:48+00:00,100.0,0.01,0.0,0.04,0.0,0.0,2.0,299.0,4.12500484375,False,REGULAR,USD,2025-12-19
JPM251219P00105000,2025-12-01 16:07:24+00:00,105.0,0.03,0.0,0.22,0.0,0.0,31.0,381.0,4.6562541796875,False,REGULAR,USD,2025-12-19
JPM251219P00110000,2025-12-10 19:17:40+00:00,110.0,0.02,0.0,0.05,0.0,0.0,2.0,354.0,3.8750003125,False,REGULAR,USD,2025-12-19
JPM251219P00115000,2025-12-11 20:42:14+00:00,115.0,0.06,0.0,0.25,0.0,0.0,1.0,447.0,4.3515670605468735,False,REGULAR,USD,2025-12-19
JPM251219P00120000,2025-12-16 20:37:35+00:00,120.0,0.01,0.0,0.02,0.0,0.0,2.0,1016.0,3.3125017187499997,False,REGULAR,USD,2025-12-19
JPM251219P00125000,2025-12-16 20:37:35+00:00,125.0,0.06,0.0,0.05,0.0,0.0,2.0,770.0,3.4218764453125,False,REGULAR,USD,2025-12-19
JPM251219P00130000,2025-12-08 14:43:28+00:00,130.0,0.1,0.0,0.1,0.0,0.0,1.0,1481.0,3.50000125,False,REGULAR,USD,2025-12-19
JPM251219P00135000,2025-08-28 13:30:03+00:00,135.0,0.1,0.01,0.37,0.0,0.0,5.0,1412.0,3.88281279296875,False,REGULAR,USD,2025-12-19
