contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
WFC251226C00070000,2025-12-24 15:47:56+00:00,70.0,24.82,23.3,27.4,0.5,2.055921,1.0,4,1.8671881640625,True,REGULAR,USD,2025-12-26
WFC251226C00072000,2025-12-22 18:45:51+00:00,72.0,22.0,21.5,25.4,0.0,0.0,12.0,10,2.031254921875,True,REGULAR,USD,2025-12-26
WFC251226C00075000,2025-11-25 20:49:42+00:00,75.0,10.89,18.5,22.4,0.0,0.0,1.0,0,1.7773448632812499,True,REGULAR,USD,2025-12-26
WFC251226C00076000,2025-12-24 14:43:17+00:00,76.0,18.69,17.5,21.45,0.3199997,1.7419689,1.0,0,1.7421887890624999,True,REGULAR,USD,2025-12-26
WFC251226C00077000,2025-12-24 14:43:17+00:00,77.0,17.76,16.5,20.45,0.44000053,2.5404189,1.0,24,1.65625171875,True,REGULAR,USD,2025-12-26
WFC251226C00078000,2025-12-22 16:32:37+00:00,78.0,15.85,15.5,19.45,0.0,0.0,3.0,0,1.57422087890625,True,REGULAR,USD,2025-12-26
WFC251226C00079000,2025-12-23 14:57:17+00:00,79.0,15.16,14.4,18.45,0.0,0.0,1.0,67,1.3984405078125,True,REGULAR,USD,2025-12-26
WFC251226C00080000,2025-12-23 20:54:52+00:00,80.0,14.41,13.75,17.25,0.0,0.0,161.0,193,1.4453152734375,True,REGULAR,USD,2025-12-26
WFC251226C00081000,2025-12-23 14:43:26+00:00,81.0,13.38,12.5,16.4,0.0,0.0,1.0,0,1.2851598242187499,True,REGULAR,USD,2025-12-26
WFC251226C00082000,2025-12-22 16:34:34+00:00,82.0,11.9,11.4,15.4,0.0,0.0,2.0,22,1.1171919140625,True,REGULAR,USD,2025-12-26
WFC251226C00083000,2025-12-24 16:29:45+00:00,83.0,12.45,10.35,13.25,1.6799994,15.59888,4.0,0,1.8203133984375,True,REGULAR,USD,2025-12-26
WFC251226C00084000,2025-12-24 16:29:45+00:00,84.0,11.54,9.4,12.75,1.1499996,11.068331,3.0,0,2.0009815600585936,True,REGULAR,USD,2025-12-26
WFC251226C00085000,2025-12-24 14:50:43+00:00,85.0,9.66,9.5,11.95,0.35999966,3.870964,1.0,0,1.2431678466796874,True,REGULAR,USD,2025-12-26
WFC251226C00086000,2025-12-23 18:10:12+00:00,86.0,9.0,7.75,11.2,0.8199997,10.024446,10.0,0,0.9179695703125,True,REGULAR,USD,2025-12-26
WFC251226C00087000,2025-12-24 16:58:49+00:00,87.0,8.22,6.75,9.35,0.9300003,12.757206,2.0,163,1.4365262548828124,True,REGULAR,USD,2025-12-26
WFC251226C00088000,2025-12-24 15:41:03+00:00,88.0,7.42,7.05,8.25,1.2200003,19.677425,2.0,417,0.90429783203125,True,REGULAR,USD,2025-12-26
WFC251226C00089000,2025-12-24 17:39:46+00:00,89.0,6.68,6.2,6.9,1.1799998,21.454542,18.0,0,0.735354208984375,True,REGULAR,USD,2025-12-26
WFC251226C00090000,2025-12-24 17:36:42+00:00,90.0,5.82,5.2,5.95,1.3500004,30.201351,119.0,0,0.6640658593750002,True,REGULAR,USD,2025-12-26
WFC251226C00091000,2025-12-24 17:44:01+00:00,91.0,4.55,4.3,5.2,1.0100002,28.53108,7.0,0,0.676761044921875,True,REGULAR,USD,2025-12-26
WFC251226C00092000,2025-12-24 15:47:00+00:00,92.0,3.58,3.3,3.95,1.1699998,48.54771,45.0,602,0.5048877636718749,True,REGULAR,USD,2025-12-26
WFC251226C00093000,2025-12-24 17:10:41+00:00,93.0,2.65,2.3,2.94,1.07,67.72152,498.0,1703,0.5468795312500001,True,REGULAR,USD,2025-12-26
WFC251226C00094000,2025-12-24 17:27:54+00:00,94.0,1.75,1.2,1.84,0.91,108.333336,218.0,0,0.38184211914062494,True,REGULAR,USD,2025-12-26
WFC251226C00095000,2025-12-24 17:57:35+00:00,95.0,0.57,0.53,0.62,0.31,119.230774,1939.0,0,0.16162947753906248,True,REGULAR,USD,2025-12-26
WFC251226C00096000,2025-12-24 17:58:46+00:00,96.0,0.15,0.15,0.16,0.09,150.00002,904.0,1040,0.148446015625,False,REGULAR,USD,2025-12-26
WFC251226C00097000,2025-12-24 17:50:56+00:00,97.0,0.03,0.02,0.03,0.01,50.0,392.0,0,0.1562584375,False,REGULAR,USD,2025-12-26
WFC251226C00098000,2025-12-24 15:47:20+00:00,98.0,0.01,0.0,0.02,-0.01,-50.0,6.0,54,0.20703917968749996,False,REGULAR,USD,2025-12-26
WFC251226C00099000,2025-12-17 20:05:19+00:00,99.0,0.03,0.0,0.02,0.0,0.0,1.0,36,0.26563234375,False,REGULAR,USD,2025-12-26
WFC251226C00100000,2025-12-19 16:38:12+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,0,0.29688203124999996,False,REGULAR,USD,2025-12-26
