contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
JPM260102C00200000,2025-12-31 17:43:30+00:00,200.0,123.3,123.3,126.1,0.0,0.0,1.0,1,4.8261758422851555,True,REGULAR,USD,2026-01-02
JPM260102C00240000,2025-12-15 20:49:20+00:00,240.0,80.72,83.25,86.5,0.0,0.0,,1,3.525391811523437,True,REGULAR,USD,2026-01-02
JPM260102C00245000,2025-12-16 16:14:28+00:00,245.0,72.07,78.25,81.5,0.0,0.0,1.0,3,3.3261735595703117,True,REGULAR,USD,2026-01-02
JPM260102C00250000,2025-12-18 20:33:21+00:00,250.0,72.28,73.25,76.55,7.779999,12.062014,1.0,19,3.161134909667969,True,REGULAR,USD,2026-01-02
JPM260102C00255000,2025-12-10 16:07:00+00:00,255.0,51.85,68.25,71.45,0.0,0.0,,0,2.907229294433594,True,REGULAR,USD,2026-01-02
JPM260102C00260000,2026-01-02 19:56:52+00:00,260.0,65.32,63.3,66.3,4.0699997,6.6448975,1.0,16,2.6279331176757816,True,REGULAR,USD,2026-01-02
JPM260102C00270000,2025-12-29 18:15:13+00:00,270.0,54.9,53.3,56.1,0.0,0.0,20.0,31,2.1425827685546874,True,REGULAR,USD,2026-01-02
JPM260102C00275000,2026-01-02 16:18:31+00:00,275.0,48.8,48.25,51.55,-1.3699989,-2.7307136,10.0,13,2.2060591723632808,True,REGULAR,USD,2026-01-02
JPM260102C00280000,2026-01-02 18:20:02+00:00,280.0,42.75,43.25,46.1,-4.3499985,-9.235666,1.0,206,1.7958994580078125,True,REGULAR,USD,2026-01-02
JPM260102C00285000,2026-01-02 18:20:02+00:00,285.0,37.77,38.3,41.4,-0.79999924,-2.074149,1.0,10,1.7685558447265624,True,REGULAR,USD,2026-01-02
JPM260102C00290000,2025-12-29 20:22:06+00:00,290.0,34.7,33.3,36.4,0.0,0.0,3.0,38,1.5869161279296873,True,REGULAR,USD,2026-01-02
JPM260102C00292500,2026-01-02 19:03:53+00:00,292.5,30.26,30.75,33.9,4.370001,16.879108,2.0,2,1.4960962695312499,True,REGULAR,USD,2026-01-02
JPM260102C00295000,2026-01-02 16:46:21+00:00,295.0,28.62,28.25,31.55,-5.379999,-15.823527,4.0,106,1.4589870800781248,True,REGULAR,USD,2026-01-02
JPM260102C00297500,2025-12-31 16:12:22+00:00,297.5,26.45,25.8,28.5,0.0,0.0,3.0,1,1.150394873046875,True,REGULAR,USD,2026-01-02
JPM260102C00300000,2026-01-02 20:38:06+00:00,300.0,24.96,24.8,25.95,0.86999893,3.6114526,87.0,211,1.0429735351562504,True,REGULAR,USD,2026-01-02
JPM260102C00302500,2025-12-26 20:38:04+00:00,302.5,25.15,20.8,23.95,0.0,0.0,2.0,2,1.144047248535156,True,REGULAR,USD,2026-01-02
JPM260102C00305000,2026-01-02 19:20:39+00:00,305.0,19.0,18.3,21.05,0.6700001,3.6552105,10.0,365,0.9145516357421876,True,REGULAR,USD,2026-01-02
JPM260102C00307500,2026-01-02 20:07:55+00:00,307.5,17.21,16.25,18.25,0.539999,3.2393463,2.0,11,0.70312796875,True,REGULAR,USD,2026-01-02
JPM260102C00310000,2026-01-02 19:02:22+00:00,310.0,13.43,13.3,16.4,-0.7199993,-5.0883346,76.0,225,0.8432632861328124,True,REGULAR,USD,2026-01-02
JPM260102C00312500,2026-01-02 17:06:35+00:00,312.5,10.4,11.3,13.4,-0.5500002,-5.022833,7.0,164,0.5986368261718751,True,REGULAR,USD,2026-01-02
JPM260102C00315000,2026-01-02 20:25:17+00:00,315.0,9.9,9.05,11.05,2.2699995,29.750977,40.0,545,0.5546919531250001,True,REGULAR,USD,2026-01-02
JPM260102C00317500,2026-01-02 20:13:45+00:00,317.5,7.35,5.9,8.15,2.25,44.11765,68.0,585,0.33789724609375,True,REGULAR,USD,2026-01-02
JPM260102C00320000,2026-01-02 20:36:42+00:00,320.0,5.0,4.6,6.05,1.76,54.320988,515.0,755,0.358404853515625,True,REGULAR,USD,2026-01-02
JPM260102C00322500,2026-01-02 20:36:37+00:00,322.5,2.45,2.2,2.49,1.12,84.210526,2946.0,920,1.0000000000000003e-05,True,REGULAR,USD,2026-01-02
JPM260102C00325000,2026-01-02 20:38:15+00:00,325.0,0.3,0.27,0.33,-0.16,-34.782608,1939.0,2837,1.0000000000000003e-05,True,REGULAR,USD,2026-01-02
JPM260102C00327500,2026-01-02 20:34:18+00:00,327.5,0.01,0.01,0.03,-0.09,-90.0,902.0,1457,0.07520456054687502,False,REGULAR,USD,2026-01-02
JPM260102C00330000,2026-01-02 20:35:31+00:00,330.0,0.03,0.0,0.01,-0.01,-25.0,193.0,2239,0.1211025390625,False,REGULAR,USD,2026-01-02
JPM260102C00332500,2026-01-02 20:24:44+00:00,332.5,0.01,0.0,0.01,0.0,0.0,31.0,846,0.1757894921875,False,REGULAR,USD,2026-01-02
JPM260102C00335000,2026-01-02 19:29:52+00:00,335.0,0.01,0.0,0.01,0.0,0.0,504.0,2348,0.22657023437499998,False,REGULAR,USD,2026-01-02
JPM260102C00337500,2026-01-02 16:59:27+00:00,337.5,0.01,0.0,0.01,-0.01,-50.0,20.0,499,0.28125718749999995,False,REGULAR,USD,2026-01-02
JPM260102C00340000,2026-01-02 20:18:36+00:00,340.0,0.01,0.0,0.01,0.0,0.0,10.0,1300,0.32813171874999997,False,REGULAR,USD,2026-01-02
JPM260102C00345000,2026-01-02 19:11:54+00:00,345.0,0.01,0.0,0.01,0.0,0.0,1.0,99,0.42188078125,False,REGULAR,USD,2026-01-02
JPM260102C00350000,2025-12-30 20:14:15+00:00,350.0,0.01,0.0,0.01,0.0,0.0,11.0,72,0.51562984375,False,REGULAR,USD,2026-01-02
JPM260102C00355000,2025-12-26 14:39:24+00:00,355.0,0.09,0.0,2.13,0.0,0.0,1.0,4,1.2876012182617185,False,REGULAR,USD,2026-01-02
JPM260102C00370000,2025-12-10 20:44:57+00:00,370.0,0.01,0.0,0.01,0.0,0.0,,3,0.8125018749999999,False,REGULAR,USD,2026-01-02
JPM260109C00220000,2025-12-26 19:36:49+00:00,220.0,107.06,103.0,106.85,0.0,0.0,1.0,3,1.6289081054687498,True,REGULAR,USD,2026-01-09
JPM260109C00225000,2025-12-26 19:36:49+00:00,225.0,102.15,98.0,101.8,0.0,0.0,1.0,1,1.5385765258789061,True,REGULAR,USD,2026-01-09
JPM260109C00240000,2025-12-18 16:31:28+00:00,240.0,76.7,83.0,86.85,0.0,0.0,,3,1.3232455712890623,True,REGULAR,USD,2026-01-09
JPM260109C00250000,2025-12-26 19:37:43+00:00,250.0,77.58,72.85,76.85,0.0,0.0,1.0,52,1.1772502075195312,True,REGULAR,USD,2026-01-09
JPM260109C00255000,2025-12-26 19:37:43+00:00,255.0,72.59,67.85,71.85,0.0,0.0,1.0,2,1.1054732226562503,True,REGULAR,USD,2026-01-09
JPM260109C00260000,2025-12-12 16:19:36+00:00,260.0,58.13,62.85,66.75,0.0,0.0,,2,1.0173388977050783,True,REGULAR,USD,2026-01-09
JPM260109C00270000,2026-01-02 19:53:28+00:00,270.0,55.3,53.05,56.85,18.55,50.47619,20.0,2,0.8952647192382811,True,REGULAR,USD,2026-01-09
JPM260109C00275000,2025-12-10 19:02:43+00:00,275.0,31.95,48.3,51.6,0.0,0.0,,1,0.7878439184570312,True,REGULAR,USD,2026-01-09
JPM260109C00280000,2025-12-15 20:58:35+00:00,280.0,41.25,43.3,46.6,0.0,0.0,2.0,1,0.7211941943359376,True,REGULAR,USD,2026-01-09
JPM260109C00285000,2025-12-02 14:30:17+00:00,285.0,27.1,38.3,41.7,0.0,0.0,1.0,0,0.6689486230468751,True,REGULAR,USD,2026-01-09
JPM260109C00290000,2025-12-23 17:52:34+00:00,290.0,36.85,33.3,36.65,0.0,0.0,1.0,25,0.5952188916015625,True,REGULAR,USD,2026-01-09
JPM260109C00295000,2026-01-02 16:46:22+00:00,295.0,28.0,28.3,31.05,-1.6499996,-5.5649233,3.0,47,0.44482977050781247,True,REGULAR,USD,2026-01-09
JPM260109C00300000,2026-01-02 16:59:27+00:00,300.0,22.1,23.3,26.1,-1.7299995,-7.2597547,7.0,107,0.3918517846679687,True,REGULAR,USD,2026-01-09
JPM260109C00305000,2026-01-02 14:57:06+00:00,305.0,17.42,18.9,21.2,-1.2299995,-6.595172,3.0,188,0.3425358715820312,True,REGULAR,USD,2026-01-09
JPM260109C00307500,2026-01-02 19:54:43+00:00,307.5,17.8,16.45,18.15,1.3699989,8.338399,7.0,52,0.22901161621093752,True,REGULAR,USD,2026-01-09
JPM260109C00310000,2026-01-02 19:47:35+00:00,310.0,14.92,14.4,15.45,1.25,9.144111,40.0,141,0.12696185546875,True,REGULAR,USD,2026-01-09
JPM260109C00312500,2026-01-02 19:47:35+00:00,312.5,12.47,11.9,13.2,0.6000004,5.0547633,32.0,148,0.18384605224609374,True,REGULAR,USD,2026-01-09
JPM260109C00315000,2026-01-02 20:36:08+00:00,315.0,10.07,9.65,10.5,1.7199993,21.966784,47.0,449,0.11524322265625,True,REGULAR,USD,2026-01-09
JPM260109C00317500,2026-01-02 20:23:32+00:00,317.5,7.82,7.2,8.15,1.5500002,24.294674,45.0,313,0.11939357177734375,True,REGULAR,USD,2026-01-09
JPM260109C00320000,2026-01-02 20:32:16+00:00,320.0,5.7,5.45,5.85,1.0,21.276596,1189.0,962,0.10999425170898436,True,REGULAR,USD,2026-01-09
JPM260109C00322500,2026-01-02 20:36:37+00:00,322.5,4.1,4.0,4.15,0.9499998,30.158724,680.0,125,0.12537495727539064,True,REGULAR,USD,2026-01-09
JPM260109C00325000,2026-01-02 20:37:25+00:00,325.0,2.66,2.6,2.72,0.6500001,32.338314,901.0,889,0.1297694445800781,True,REGULAR,USD,2026-01-09
JPM260109C00327500,2026-01-02 20:35:30+00:00,327.5,1.61,1.61,1.66,0.24000001,17.518248,743.0,1862,0.13269910278320313,False,REGULAR,USD,2026-01-09
JPM260109C00330000,2026-01-02 20:36:48+00:00,330.0,0.95,0.91,0.99,0.21999997,30.13698,799.0,1115,0.1381922119140625,False,REGULAR,USD,2026-01-09
JPM260109C00332500,2026-01-02 20:35:31+00:00,332.5,0.51,0.45,0.53,0.109999985,27.499994,1030.0,2093,0.13990117919921874,False,REGULAR,USD,2026-01-09
JPM260109C00335000,2026-01-02 20:28:07+00:00,335.0,0.25,0.25,0.27,-0.050000012,-16.66667,275.0,1472,0.14234256103515625,False,REGULAR,USD,2026-01-09
JPM260109C00337500,2026-01-02 19:33:04+00:00,337.5,0.11,0.1,0.12,-0.049999997,-31.249998,40.0,543,0.14258669921875,False,REGULAR,USD,2026-01-09
JPM260109C00340000,2026-01-02 20:28:34+00:00,340.0,0.06,0.05,0.07,-0.010000002,-14.285716,55.0,1441,0.15088739746093754,False,REGULAR,USD,2026-01-09
JPM260109C00345000,2026-01-02 18:35:35+00:00,345.0,0.03,0.02,0.04,-0.11,-78.57143,14.0,371,0.17774259765625,False,REGULAR,USD,2026-01-09
JPM260109C00350000,2026-01-02 20:14:29+00:00,350.0,0.04,0.0,0.02,0.03,300.0,2.0,108,0.19727365234375,False,REGULAR,USD,2026-01-09
JPM260109C00355000,2025-12-23 16:59:59+00:00,355.0,0.08,0.0,2.13,0.0,0.0,10.0,87,0.5593305786132813,False,REGULAR,USD,2026-01-09
JPM260109C00365000,2025-12-23 16:59:59+00:00,365.0,0.08,0.0,2.13,0.0,0.0,,10,0.5573774731445313,False,REGULAR,USD,2026-01-09
JPM260116C00070000,2025-10-03 19:32:00+00:00,70.0,240.2,232.55,236.0,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00075000,2025-06-17 18:38:22+00:00,75.0,194.17,215.65,218.4,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00080000,2025-01-07 20:22:26+00:00,80.0,164.06,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00085000,2025-04-02 14:55:45+00:00,85.0,160.87,166.85,169.95,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00090000,2025-06-25 15:06:21+00:00,90.0,192.75,205.5,207.55,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00095000,2025-05-16 16:11:47+00:00,95.0,172.32,168.65,171.8,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00100000,2025-10-03 17:04:48+00:00,100.0,211.3,202.35,206.4,0.0,0.0,50.0,13,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00105000,2025-05-19 15:48:18+00:00,105.0,160.93,168.85,171.95,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00110000,2025-10-20 14:06:06+00:00,110.0,190.56,192.15,195.6,0.0,0.0,4.0,39,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00115000,2025-10-03 18:24:46+00:00,115.0,194.95,187.6,191.5,0.0,0.0,185.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00120000,2025-11-11 15:54:11+00:00,120.0,197.5,202.9,206.8,0.0,0.0,2.0,9,2.680179080810547,True,REGULAR,USD,2026-01-16
JPM260116C00125000,2025-07-02 19:56:45+00:00,125.0,167.36,171.1,173.4,0.0,0.0,4.0,277,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
JPM260116C00130000,2025-12-08 19:14:19+00:00,130.0,184.46,192.9,196.8,0.0,0.0,3.0,128,2.4824256689453126,True,REGULAR,USD,2026-01-16
JPM260116C00135000,2025-11-12 20:43:20+00:00,135.0,186.25,187.95,191.8,0.0,0.0,2.0,53,2.389652463378906,True,REGULAR,USD,2026-01-16
JPM260116C00140000,2025-12-02 17:56:38+00:00,140.0,169.65,182.85,186.8,0.0,0.0,4.0,132,2.2998089379882813,True,REGULAR,USD,2026-01-16
