contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
C260109P00055000,2025-12-30 19:53:58+00:00,55.0,0.01,0.0,2.12,0.0,0.0,,53,4.419926350097655,False,REGULAR,USD,2026-01-09
C260109P00065000,2026-01-05 20:01:37+00:00,65.0,0.08,0.0,0.14,0.07,349.99994,17.0,3,2.3046917382812495,False,REGULAR,USD,2026-01-09
C260109P00070000,2026-01-05 20:01:37+00:00,70.0,0.08,0.0,0.25,-1.43,-94.70199,17.0,20,2.2226606933593747,False,REGULAR,USD,2026-01-09
C260109P00075000,2026-01-02 19:28:40+00:00,75.0,0.01,0.0,2.13,0.0,0.0,4.0,0,2.925783935546875,False,REGULAR,USD,2026-01-09
C260109P00080000,2026-01-02 19:28:40+00:00,80.0,0.01,0.0,2.12,0.0,0.0,4.0,0,2.6074253564453125,False,REGULAR,USD,2026-01-09
C260109P00085000,2025-12-16 14:48:06+00:00,85.0,1.15,0.0,2.13,0.0,0.0,3.0,4,2.311527658691406,False,REGULAR,USD,2026-01-09
C260109P00087000,2025-12-22 16:20:39+00:00,87.0,0.03,0.0,0.05,0.0,0.0,6.0,7,1.171879140625,False,REGULAR,USD,2026-01-09
C260109P00088000,2025-12-22 16:20:25+00:00,88.0,0.02,0.0,0.04,0.0,0.0,,3,1.109379453125,False,REGULAR,USD,2026-01-09
C260109P00089000,2025-12-22 16:20:24+00:00,89.0,0.02,0.0,0.05,0.0,0.0,3.0,7,1.1015669921875002,False,REGULAR,USD,2026-01-09
C260109P00090000,2026-01-02 19:34:56+00:00,90.0,0.01,0.0,0.01,0.0,0.0,2.0,74,0.9062509375,False,REGULAR,USD,2026-01-09
C260109P00091000,2026-01-02 19:34:56+00:00,91.0,0.01,0.0,0.53,0.0,0.0,2.0,20,1.453127734375,False,REGULAR,USD,2026-01-09
C260109P00092000,2026-01-05 15:38:43+00:00,92.0,0.13,0.0,2.13,0.12,1200.0002,8.0,30,1.9140629296875002,False,REGULAR,USD,2026-01-09
C260109P00093000,2026-01-05 15:38:43+00:00,93.0,0.13,0.0,0.89,-0.030000001,-18.75,8.0,43,1.51172119140625,False,REGULAR,USD,2026-01-09
C260109P00094000,2025-12-04 16:06:32+00:00,94.0,0.47,0.0,0.57,0.0,0.0,2.0,4,1.3398470507812497,False,REGULAR,USD,2026-01-09
C260109P00095000,2026-01-05 19:22:50+00:00,95.0,0.01,0.0,0.27,0.0,0.0,5.0,405,1.1367230664062502,False,REGULAR,USD,2026-01-09
C260109P00096000,2026-01-05 14:33:44+00:00,96.0,0.01,0.0,0.01,0.0,0.0,2.0,227,0.73437765625,False,REGULAR,USD,2026-01-09
C260109P00097000,2026-01-05 16:24:48+00:00,97.0,0.01,0.0,0.03,-0.02,-66.66667,26.0,168,0.789064609375,False,REGULAR,USD,2026-01-09
C260109P00098000,2025-12-17 15:33:11+00:00,98.0,0.19,0.0,0.02,0.0,0.0,2.0,17,0.73437765625,False,REGULAR,USD,2026-01-09
C260109P00099000,2025-12-19 16:42:29+00:00,99.0,0.14,0.0,0.01,0.0,0.0,2.0,7,0.6562534375000001,False,REGULAR,USD,2026-01-09
C260109P00100000,2026-01-05 14:43:55+00:00,100.0,0.01,0.0,0.01,0.0,0.0,10.0,552,0.6250037500000001,False,REGULAR,USD,2026-01-09
C260109P00101000,2025-12-22 17:21:34+00:00,101.0,0.11,0.0,0.01,0.0,0.0,5.0,41,0.5937540625000001,False,REGULAR,USD,2026-01-09
C260109P00102000,2025-12-30 20:26:10+00:00,102.0,0.04,0.0,0.08,0.0,0.0,17.0,30,0.7187528125,False,REGULAR,USD,2026-01-09
C260109P00103000,2026-01-02 20:27:52+00:00,103.0,0.01,0.0,0.01,0.0,0.0,43.0,63,0.5468795312500001,False,REGULAR,USD,2026-01-09
C260109P00104000,2026-01-05 20:04:37+00:00,104.0,0.01,0.0,0.01,-0.03,-75.0,224.0,120,0.51562984375,False,REGULAR,USD,2026-01-09
C260109P00105000,2026-01-05 20:19:50+00:00,105.0,0.01,0.01,0.02,-0.02,-66.66667,230.0,727,0.5468795312500001,False,REGULAR,USD,2026-01-09
C260109P00106000,2026-01-02 18:23:47+00:00,106.0,0.24,0.0,0.08,0.17999999,300.0,6.0,266,0.5898478515625001,False,REGULAR,USD,2026-01-09
C260109P00107000,2026-01-05 20:03:48+00:00,107.0,0.02,0.01,0.03,-0.030000001,-60.0,7.0,314,0.507817421875,False,REGULAR,USD,2026-01-09
C260109P00108000,2026-01-05 15:25:54+00:00,108.0,0.03,0.0,0.06,-0.04,-57.142857,304.0,738,0.507817421875,False,REGULAR,USD,2026-01-09
C260109P00109000,2026-01-05 20:18:32+00:00,109.0,0.02,0.02,0.03,-0.13000001,-86.66667,5.0,193,0.476567734375,False,REGULAR,USD,2026-01-09
C260109P00110000,2026-01-05 20:22:51+00:00,110.0,0.02,0.01,0.03,-0.08,-80.00001,7.0,842,0.445318046875,False,REGULAR,USD,2026-01-09
C260109P00111000,2026-01-05 18:43:01+00:00,111.0,0.03,0.02,0.03,-0.089999996,-75.0,226.0,295,0.414068359375,False,REGULAR,USD,2026-01-09
C260109P00112000,2026-01-05 17:31:59+00:00,112.0,0.04,0.0,0.1,-0.12,-75.0,670.0,645,0.46582565429687506,False,REGULAR,USD,2026-01-09
C260109P00113000,2026-01-05 17:38:24+00:00,113.0,0.04,0.02,0.05,-0.19,-82.608696,59.0,848,0.38086556640624997,False,REGULAR,USD,2026-01-09
C260109P00114000,2026-01-05 20:24:43+00:00,114.0,0.04,0.04,0.05,-0.25,-86.2069,573.0,1940,0.34766277343749996,False,REGULAR,USD,2026-01-09
C260109P00115000,2026-01-05 20:14:50+00:00,115.0,0.06,0.05,0.07,-0.34,-85.0,104.0,1131,0.33399103515625,False,REGULAR,USD,2026-01-09
C260109P00116000,2026-01-05 20:22:31+00:00,116.0,0.09,0.07,0.08,-0.51,-85.0,326.0,994,0.3086006640625,False,REGULAR,USD,2026-01-09
C260109P00117000,2026-01-05 20:07:57+00:00,117.0,0.11,0.11,0.12,-0.78,-87.64045,760.0,6963,0.29688203124999996,False,REGULAR,USD,2026-01-09
C260109P00118000,2026-01-05 20:07:57+00:00,118.0,0.16,0.14,0.16,-1.1600001,-87.87879,593.0,2546,0.278327529296875,False,REGULAR,USD,2026-01-09
C260109P00119000,2026-01-05 19:10:00+00:00,119.0,0.23,0.19,0.25,-1.46,-86.390526,236.0,426,0.2700268310546875,False,REGULAR,USD,2026-01-09
C260109P00120000,2026-01-05 20:32:48+00:00,120.0,0.33,0.32,0.33,-1.86,-85.71428,1436.0,575,0.2475661181640625,False,REGULAR,USD,2026-01-09
C260109P00121000,2026-01-05 20:34:28+00:00,121.0,0.5,0.49,0.53,-2.49,-83.277596,816.0,220,0.2436599072265625,False,REGULAR,USD,2026-01-09
C260109P00122000,2026-01-05 20:22:23+00:00,122.0,0.67,0.74,0.76,-4.73,-87.59259,490.0,224,0.22901161621093752,False,REGULAR,USD,2026-01-09
C260109P00123000,2026-01-05 20:22:51+00:00,123.0,0.98,1.02,1.11,-5.14,-83.98693,327.0,85,0.21900195068359374,False,REGULAR,USD,2026-01-09
