contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
ABBV260109P00195000,2025-12-18 14:30:05+00:00,195.0,1.65,0.0,2.13,0.0,0.0,,8,1.4628933105468749,False,REGULAR,USD,2026-01-09
ABBV260109P00200000,2026-01-06 18:50:01+00:00,200.0,0.13,0.0,0.1,0.0,0.0,20.0,33,0.6914093359375001,False,REGULAR,USD,2026-01-09
ABBV260109P00205000,2026-01-07 18:09:41+00:00,205.0,0.01,0.0,1.8,0.0,0.0,20.0,215,1.0053760668945313,False,REGULAR,USD,2026-01-09
ABBV260109P00207500,2026-01-05 20:57:48+00:00,207.5,0.1,0.0,0.15,0.0,0.0,50.0,57,0.52539537109375,False,REGULAR,USD,2026-01-09
ABBV260109P00210000,2026-01-08 17:12:43+00:00,210.0,0.05,0.01,0.09,-0.009999998,-16.666662,28.0,147,0.4687553125,False,REGULAR,USD,2026-01-09
ABBV260109P00212500,2026-01-06 20:33:05+00:00,212.5,0.07,0.0,0.57,0.0,0.0,15.0,191,0.5048877636718749,False,REGULAR,USD,2026-01-09
ABBV260109P00215000,2026-01-08 19:45:53+00:00,215.0,0.08,0.03,0.12,0.02,33.333336,37.0,1466,0.34278000976562495,False,REGULAR,USD,2026-01-09
ABBV260109P00217500,2026-01-08 19:29:09+00:00,217.5,0.21,0.14,0.47,-0.3,-58.823536,58.0,233,0.3833069482421875,False,REGULAR,USD,2026-01-09
ABBV260109P00220000,2026-01-08 20:18:15+00:00,220.0,0.45,0.34,0.77,0.099999994,28.571426,119.0,483,0.34326828613281246,False,REGULAR,USD,2026-01-09
ABBV260109P00222500,2026-01-08 20:30:33+00:00,222.5,1.07,0.84,1.59,0.82000005,282.7587,77.0,271,0.3491276025390625,False,REGULAR,USD,2026-01-09
ABBV260109P00225000,2026-01-08 20:08:07+00:00,225.0,2.63,1.76,3.15,2.13,426.00003,114.0,253,0.4035704174804688,True,REGULAR,USD,2026-01-09
ABBV260109P00227500,2026-01-08 17:06:23+00:00,227.5,3.28,3.3,4.85,2.28,228.0,518.0,577,0.42456630126953127,True,REGULAR,USD,2026-01-09
ABBV260109P00230000,2026-01-08 20:03:59+00:00,230.0,6.7,5.25,6.8,5.1499996,332.258,659.0,496,0.44165597412109375,True,REGULAR,USD,2026-01-09
ABBV260109P00232500,2026-01-08 20:24:00+00:00,232.5,8.62,7.6,10.0,5.2,152.04678,46.0,87,0.6884796777343751,True,REGULAR,USD,2026-01-09
ABBV260109P00235000,2026-01-08 19:58:00+00:00,235.0,12.6,9.7,12.35,9.150001,265.21744,9.0,182,0.7631859619140625,True,REGULAR,USD,2026-01-09
ABBV260109P00237500,2026-01-05 18:51:28+00:00,237.5,18.18,12.25,14.85,0.0,0.0,11.0,0,0.8618177880859376,True,REGULAR,USD,2026-01-09
ABBV260109P00240000,2026-01-07 20:49:57+00:00,240.0,7.41,14.75,17.4,0.0,0.0,1.0,1,0.5468795312500001,True,REGULAR,USD,2026-01-09
ABBV260109P00242500,2026-01-02 18:02:50+00:00,242.5,13.24,16.85,19.9,0.0,0.0,11.0,0,1.05859845703125,True,REGULAR,USD,2026-01-09
ABBV260109P00245000,2025-12-31 18:04:34+00:00,245.0,15.25,19.4,22.35,0.0,0.0,2.0,0,1.133305114746094,True,REGULAR,USD,2026-01-09
ABBV260109P00247500,2025-12-26 15:34:40+00:00,247.5,17.72,21.9,24.9,0.0,0.0,1.0,0,1.2309608764648439,True,REGULAR,USD,2026-01-09
ABBV260109P00250000,2026-01-05 14:53:27+00:00,250.0,27.5,24.2,27.4,0.0,0.0,2.0,0,1.3129917163085936,True,REGULAR,USD,2026-01-09
ABBV260116P00075000,2026-01-08 17:57:44+00:00,75.0,0.17,0.0,2.13,0.07,70.0,1.0,728,3.8593753515625,False,REGULAR,USD,2026-01-16
ABBV260116P00080000,2025-10-21 18:40:07+00:00,80.0,0.03,0.0,2.13,0.0,0.0,1.0,266,3.6484383789062504,False,REGULAR,USD,2026-01-16
ABBV260116P00085000,2025-10-15 15:54:11+00:00,85.0,0.12,0.0,0.51,0.0,0.0,1.0,150,2.755862485351563,False,REGULAR,USD,2026-01-16
ABBV260116P00090000,2025-10-21 18:39:44+00:00,90.0,0.04,0.0,1.83,0.0,0.0,1.0,45,3.175783310546875,False,REGULAR,USD,2026-01-16
ABBV260116P00095000,2025-11-24 19:54:04+00:00,95.0,0.02,0.0,2.13,0.0,0.0,300.0,108,3.0888694653320306,False,REGULAR,USD,2026-01-16
ABBV260116P00100000,2025-12-05 19:59:32+00:00,100.0,0.01,0.0,0.03,0.0,0.0,1.0,152,1.71875140625,False,REGULAR,USD,2026-01-16
