contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
JNJ260109C00105000,2026-01-06 17:23:36+00:00,105.0,100.55,99.45,102.4,0.0,0.0,,2,3.06250234375,True,REGULAR,USD,2026-01-09
JNJ260109C00190000,2026-01-07 14:49:27+00:00,190.0,17.22,14.6,16.5,0.0,0.0,1.0,6,0.848634326171875,True,REGULAR,USD,2026-01-09
JNJ260109C00192500,2026-01-02 16:23:40+00:00,192.5,14.12,11.95,14.0,0.0,0.0,16.0,7,0.745119736328125,True,REGULAR,USD,2026-01-09
JNJ260109C00195000,2026-01-06 14:50:56+00:00,195.0,11.3,9.6,11.5,0.0,0.0,3.0,4,0.639652041015625,True,REGULAR,USD,2026-01-09
JNJ260109C00197500,2026-01-02 16:27:06+00:00,197.5,9.37,6.95,8.9,0.0,0.0,14.0,7,0.5014698291015626,True,REGULAR,USD,2026-01-09
JNJ260109C00200000,2026-01-06 15:09:40+00:00,200.0,8.5,5.0,6.3,1.5999999,23.188404,1.0,27,0.36426416992187505,True,REGULAR,USD,2026-01-09
JNJ260109C00202500,2026-01-07 20:00:54+00:00,202.5,6.0,2.78,4.3,0.5999999,11.11111,5.0,310,0.362311064453125,True,REGULAR,USD,2026-01-09
JNJ260109C00205000,2026-01-08 20:30:23+00:00,205.0,1.51,1.48,1.59,-1.74,-53.53846,69.0,687,0.17701018310546873,True,REGULAR,USD,2026-01-09
JNJ260109C00207500,2026-01-08 20:28:26+00:00,207.5,0.45,0.39,0.65,-0.99000007,-68.75,233.0,1518,0.21167780517578122,False,REGULAR,USD,2026-01-09
JNJ260109C00210000,2026-01-08 20:30:32+00:00,210.0,0.14,0.12,0.14,-0.35000002,-76.08696,459.0,3257,0.20313296874999998,False,REGULAR,USD,2026-01-09
JNJ260109C00212500,2026-01-08 20:23:40+00:00,212.5,0.03,0.03,0.04,-0.15,-78.94737,70.0,934,0.225593681640625,False,REGULAR,USD,2026-01-09
JNJ260109C00215000,2026-01-08 20:15:05+00:00,215.0,0.04,0.01,0.14,-0.010000002,-20.000002,7.0,448,0.36914693359375,False,REGULAR,USD,2026-01-09
JNJ260109C00217500,2026-01-08 16:15:32+00:00,217.5,0.02,0.0,0.04,-0.02,-50.0,4.0,45,0.35938140625,False,REGULAR,USD,2026-01-09
JNJ260109C00220000,2026-01-08 15:36:05+00:00,220.0,0.03,0.0,0.01,-0.01,-25.0,2.0,288,0.35156898437499995,False,REGULAR,USD,2026-01-09
JNJ260109C00225000,2026-01-07 17:30:59+00:00,225.0,0.03,0.0,2.13,0.0,0.0,1.0,8,1.0522508325195314,False,REGULAR,USD,2026-01-09
JNJ260109C00230000,2026-01-07 17:30:59+00:00,230.0,0.06,0.0,2.13,0.0,0.0,1.0,4,1.2260780883789062,False,REGULAR,USD,2026-01-09
JNJ260109C00235000,2026-01-06 14:48:00+00:00,235.0,0.01,0.0,2.13,0.0,0.0,10.0,16,1.390139768066406,False,REGULAR,USD,2026-01-09
JNJ260109C00245000,2026-01-02 19:47:08+00:00,245.0,0.41,0.0,2.13,0.0,0.0,1.0,1,1.6943374658203125,False,REGULAR,USD,2026-01-09
JNJ260116C00075000,2025-11-26 17:34:41+00:00,75.0,132.52,128.2,132.2,0.0,0.0,2.0,2,3.7734380664062503,True,REGULAR,USD,2026-01-16
JNJ260116C00080000,2025-11-24 20:58:57+00:00,80.0,125.92,123.25,126.6,0.0,0.0,77.0,3,3.1699239501953125,True,REGULAR,USD,2026-01-16
JNJ260116C00085000,2025-03-10 14:21:19+00:00,85.0,85.0,66.65,67.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
