contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
ABBV260109C00120000,2026-01-05 20:27:48+00:00,120.0,98.1,98.8,102.15,0.0,0.0,,2.0,5.7500028125,True,REGULAR,USD,2026-01-09
ABBV260109C00125000,2026-01-06 14:42:32+00:00,125.0,97.66,93.85,97.15,0.0,0.0,,1.0,5.457034428710937,True,REGULAR,USD,2026-01-09
ABBV260109C00130000,2026-01-06 14:42:32+00:00,130.0,92.67,88.8,92.15,0.0,0.0,,1.0,5.070316162109375,True,REGULAR,USD,2026-01-09
ABBV260109C00180000,2026-01-06 18:29:03+00:00,180.0,41.74,38.85,42.05,0.0,0.0,,1.0,2.1953170117187497,True,REGULAR,USD,2026-01-09
ABBV260109C00185000,2026-01-06 18:29:03+00:00,185.0,36.74,33.85,37.15,0.0,0.0,,,1.994140654296875,True,REGULAR,USD,2026-01-09
ABBV260109C00190000,2026-01-07 16:03:43+00:00,190.0,39.09,28.85,32.15,0.0,0.0,1.0,1.0,1.7402356738281248,True,REGULAR,USD,2026-01-09
ABBV260109C00200000,2026-01-09 19:52:38+00:00,200.0,20.2,18.85,21.5,-4.3499985,-17.718935,3.0,8.0,0.929688203125,True,REGULAR,USD,2026-01-09
ABBV260109C00202500,2025-12-22 16:47:51+00:00,202.5,25.6,16.35,19.65,0.0,0.0,,1.0,1.111332568359375,True,REGULAR,USD,2026-01-09
ABBV260109C00205000,2026-01-06 16:15:21+00:00,205.0,18.21,13.9,17.1,0.0,0.0,4.0,0.0,0.983398603515625,True,REGULAR,USD,2026-01-09
ABBV260109C00207500,2026-01-08 14:38:33+00:00,207.5,22.68,11.4,14.65,0.0,0.0,200.0,103.0,0.867188828125,True,REGULAR,USD,2026-01-09
ABBV260109C00210000,2026-01-09 20:06:09+00:00,210.0,10.2,8.9,12.05,-3.8000002,-27.142859,1.0,32.0,0.709963837890625,True,REGULAR,USD,2026-01-09
ABBV260109C00212500,2026-01-08 14:38:33+00:00,212.5,17.72,6.4,9.65,0.0,0.0,200.0,103.0,0.5976602734375001,True,REGULAR,USD,2026-01-09
ABBV260109C00215000,2026-01-09 20:22:28+00:00,215.0,4.75,3.9,5.6,-10.35,-68.543045,11.0,152.0,0.47998566894531247,True,REGULAR,USD,2026-01-09
ABBV260109C00217500,2026-01-09 20:36:20+00:00,217.5,1.61,1.46,3.4,-5.64,-77.793106,3.0,18.0,0.39990834472656256,True,REGULAR,USD,2026-01-09
ABBV260109C00220000,2026-01-09 20:57:25+00:00,220.0,0.48,0.0,0.93,-4.94,-91.14391,776.0,940.0,0.19336744140625,True,REGULAR,USD,2026-01-09
ABBV260109C00222500,2026-01-09 20:57:23+00:00,222.5,0.21,0.0,0.42,-3.1499999,-93.75,1389.0,788.0,0.2778392529296875,False,REGULAR,USD,2026-01-09
ABBV260109C00225000,2026-01-09 20:40:51+00:00,225.0,0.02,0.0,0.06,-1.98,-99.0,227.0,306.0,0.25391371093750004,False,REGULAR,USD,2026-01-09
ABBV260109C00227500,2026-01-09 19:45:51+00:00,227.5,0.01,0.0,0.01,-1.03,-99.03847,317.0,552.0,0.2695385546875,False,REGULAR,USD,2026-01-09
