contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
UNH260109P00190000,2026-01-07 18:00:03+00:00,190.0,0.01,0.0,0.01,0.0,0.0,1.0,3,3.3750015624999996,False,REGULAR,USD,2026-01-09
UNH260109P00200000,2026-01-09 15:44:13+00:00,200.0,0.01,0.0,0.01,0.0,0.0,2.0,3,3.1250021875,False,REGULAR,USD,2026-01-09
UNH260109P00205000,2026-01-09 15:44:13+00:00,205.0,0.06,0.0,4.8,-0.010000002,-14.285716,2.0,0,6.443361320800782,False,REGULAR,USD,2026-01-09
UNH260109P00210000,2026-01-07 16:28:46+00:00,210.0,0.13,,4.8,0.0,0.0,1.0,3,7.340821136474609,False,REGULAR,USD,2026-01-09
UNH260109P00215000,2025-12-29 16:43:27+00:00,215.0,0.04,0.0,4.8,0.0,0.0,,4,5.944338507080079,False,REGULAR,USD,2026-01-09
UNH260109P00220000,2026-01-05 16:03:15+00:00,220.0,0.03,,4.8,0.0,0.0,,1,6.784181207275392,False,REGULAR,USD,2026-01-09
UNH260109P00225000,2026-01-05 16:03:15+00:00,225.0,0.08,,4.8,0.0,0.0,,1,6.513673732910157,False,REGULAR,USD,2026-01-09
UNH260109P00240000,2025-12-15 20:42:51+00:00,240.0,1.05,0.0,4.55,0.0,0.0,7.0,46,4.716800979003906,False,REGULAR,USD,2026-01-09
UNH260109P00245000,2025-12-15 20:43:06+00:00,245.0,0.03,0.0,4.7,0.0,0.0,7.0,10,4.532230897216797,False,REGULAR,USD,2026-01-09
UNH260109P00250000,2026-01-09 14:54:38+00:00,250.0,0.01,0.0,0.01,-0.060000002,-85.71429,1.0,50,1.875000625,False,REGULAR,USD,2026-01-09
UNH260109P00255000,2025-12-26 17:24:57+00:00,255.0,0.1,0.0,4.8,0.0,0.0,2.0,5,4.122075159912109,False,REGULAR,USD,2026-01-09
