contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MRK260116C00040000,2026-01-07 20:29:25+00:00,40.0,68.6,68.2,69.65,0.0,0.0,1.0,0.0,4.621097973632812,True,REGULAR,USD,2026-01-16
MRK260116C00045000,2025-12-12 19:32:54+00:00,45.0,54.75,63.4,64.65,0.0,0.0,1.0,0.0,4.12500484375,True,REGULAR,USD,2026-01-16
MRK260116C00050000,2026-01-06 14:40:38+00:00,50.0,60.0,58.4,59.65,0.0,0.0,6.0,18.0,3.67968830078125,True,REGULAR,USD,2026-01-16
MRK260116C00055000,2025-12-15 17:49:01+00:00,55.0,44.83,53.45,55.9,0.0,0.0,14.0,26.0,3.3105485986328125,True,REGULAR,USD,2026-01-16
MRK260116C00060000,2026-01-06 18:31:26+00:00,60.0,49.0,48.4,51.0,0.0,0.0,5.0,9.0,2.9687525781249997,True,REGULAR,USD,2026-01-16
MRK260116C00065000,2026-01-12 18:45:19+00:00,65.0,44.42,43.45,46.05,3.3499985,8.156802,7.0,27.0,2.6757845605468753,True,REGULAR,USD,2026-01-16
MRK260116C00070000,2026-01-12 18:41:35+00:00,70.0,39.45,38.8,39.0,-1.5499992,-3.7804859,11.0,260.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MRK260116C00075000,2026-01-12 18:40:57+00:00,75.0,34.41,33.5,34.65,-2.3400002,-6.3673472,79.0,176.0,1.953125234375,True,REGULAR,USD,2026-01-16
MRK260116C00080000,2026-01-12 18:01:14+00:00,80.0,29.5,28.6,30.3,-2.5,-7.8125,32.0,509.0,1.4765651171875,True,REGULAR,USD,2026-01-16
MRK260116C00085000,2026-01-12 20:30:10+00:00,85.0,23.96,23.7,24.0,-2.4000015,-9.10471,29.0,920.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MRK260116C00087000,2026-01-12 20:30:10+00:00,87.0,22.07,21.75,22.4,-2.2800007,-9.363452,1.0,2.0,1.083988955078125,True,REGULAR,USD,2026-01-16
MRK260116C00088000,2026-01-08 15:49:00+00:00,88.0,23.35,20.75,23.1,0.0,0.0,2.0,1.0,1.4013701806640624,True,REGULAR,USD,2026-01-16
MRK260116C00089000,2026-01-08 15:51:07+00:00,89.0,22.5,19.85,21.8,0.0,0.0,2.0,1.0,1.29297228515625,True,REGULAR,USD,2026-01-16
MRK260116C00090000,2026-01-12 20:30:36+00:00,90.0,19.0,18.4,19.7,-1.7999992,-8.653843,13.0,2857.0,1.1679729101562502,True,REGULAR,USD,2026-01-16
MRK260116C00091000,2026-01-08 20:46:01+00:00,91.0,20.54,17.65,20.1,0.0,0.0,6.0,14.0,1.2089883300781248,True,REGULAR,USD,2026-01-16
MRK260116C00092000,2026-01-08 20:47:07+00:00,92.0,19.62,16.7,19.05,0.0,0.0,6.0,8.0,1.1533245458984376,True,REGULAR,USD,2026-01-16
MRK260116C00093000,2026-01-08 20:48:09+00:00,93.0,18.83,15.7,18.1,0.0,0.0,6.0,1.0,1.1103560107421875,True,REGULAR,USD,2026-01-16
MRK260116C00094000,2026-01-08 20:56:31+00:00,94.0,17.71,14.75,16.8,0.0,0.0,8.0,7.0,0.9970703417968749,True,REGULAR,USD,2026-01-16
MRK260116C00095000,2026-01-12 20:32:52+00:00,95.0,14.25,13.85,15.1,-1.54,-9.90991,70.0,9198.0,0.77929908203125,True,REGULAR,USD,2026-01-16
MRK260116C00096000,2026-01-08 20:59:52+00:00,96.0,15.61,12.85,14.8,0.0,0.0,6.0,6.0,0.913086806640625,True,REGULAR,USD,2026-01-16
MRK260116C00097000,2026-01-08 16:29:30+00:00,97.0,14.32,11.75,13.8,0.0,0.0,2.0,4.0,0.8378922460937499,True,REGULAR,USD,2026-01-16
MRK260116C00098000,2026-01-09 19:59:39+00:00,98.0,13.32,10.65,12.8,0.0,0.0,1.0,6.0,0.76367423828125,True,REGULAR,USD,2026-01-16
MRK260116C00099000,2026-01-08 14:30:24+00:00,99.0,11.9,9.75,11.85,0.0,0.0,1.0,7.0,0.7412135253906249,True,REGULAR,USD,2026-01-16
MRK260116C00100000,2026-01-12 20:33:01+00:00,100.0,9.07,8.6,9.2,-1.6000004,-14.9953165,234.0,21292.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MRK260116C00101000,2026-01-09 18:09:20+00:00,101.0,10.25,7.7,9.85,0.0,0.0,1.0,13.0,0.62305064453125,True,REGULAR,USD,2026-01-16
MRK260116C00102000,2026-01-12 15:54:12+00:00,102.0,8.56,6.75,8.85,-0.18999958,-2.1714237,10.0,21.0,0.577152666015625,True,REGULAR,USD,2026-01-16
MRK260116C00103000,2026-01-12 15:47:54+00:00,103.0,7.64,6.05,7.9,-0.1500001,-1.9255468,3.0,129.0,0.5751995605468749,True,REGULAR,USD,2026-01-16
MRK260116C00104000,2026-01-12 19:10:07+00:00,104.0,5.65,5.0,6.05,-1.6700001,-22.814207,7.0,1529.0,0.5356491748046875,True,REGULAR,USD,2026-01-16
MRK260116C00105000,2026-01-12 20:09:58+00:00,105.0,4.7,4.1,4.7,-1.1200004,-19.243992,291.0,9754.0,0.37695935546875,True,REGULAR,USD,2026-01-16
MRK260116C00106000,2026-01-12 18:09:38+00:00,106.0,4.1,3.3,4.15,-0.9500003,-18.811886,12.0,500.0,0.4321345849609375,True,REGULAR,USD,2026-01-16
MRK260116C00107000,2026-01-12 18:32:00+00:00,107.0,2.79,2.52,3.35,-1.31,-31.95122,39.0,648.0,0.40650007568359375,True,REGULAR,USD,2026-01-16
MRK260116C00108000,2026-01-12 20:29:48+00:00,108.0,2.01,1.84,1.95,-1.3299999,-39.820362,55.0,831.0,0.2456130126953125,True,REGULAR,USD,2026-01-16
MRK260116C00109000,2026-01-12 20:31:37+00:00,109.0,1.31,1.27,1.42,-1.69,-56.333332,85.0,725.0,0.2563550927734375,True,REGULAR,USD,2026-01-16
MRK260116C00110000,2026-01-12 20:32:52+00:00,110.0,0.9,0.88,0.9,-1.0500001,-53.846157,438.0,15780.0,0.24463645996093752,False,REGULAR,USD,2026-01-16
MRK260116C00111000,2026-01-12 20:21:40+00:00,111.0,0.65,0.55,0.64,-0.68000007,-51.127823,138.0,1578.0,0.2622144091796875,False,REGULAR,USD,2026-01-16
MRK260116C00112000,2026-01-12 20:14:03+00:00,112.0,0.4,0.34,0.42,-0.49999997,-55.555553,808.0,1965.0,0.2690502783203125,False,REGULAR,USD,2026-01-16
MRK260116C00113000,2026-01-12 20:32:06+00:00,113.0,0.25,0.21,0.26,-0.39999998,-61.53846,626.0,2114.0,0.27246821289062495,False,REGULAR,USD,2026-01-16
MRK260116C00114000,2026-01-12 17:49:37+00:00,114.0,0.21,0.14,0.25,-0.21,-50.0,57.0,191.0,0.3154365332031249,False,REGULAR,USD,2026-01-16
MRK260116C00115000,2026-01-12 20:26:37+00:00,115.0,0.1,0.1,0.14,-0.24000001,-70.588234,1446.0,4763.0,0.3086006640625,False,REGULAR,USD,2026-01-16
MRK260116C00116000,2026-01-12 19:24:54+00:00,116.0,0.05,0.05,0.11,-0.17,-77.27273,17.0,33.0,0.32910827148437494,False,REGULAR,USD,2026-01-16
MRK260116C00117000,2026-01-12 16:39:34+00:00,117.0,0.09,0.03,0.1,-0.099999994,-52.631573,12.0,28.0,0.358404853515625,False,REGULAR,USD,2026-01-16
