contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MRK260116P00040000,2025-11-11 17:53:31+00:00,40.0,0.02,0.0,0.04,0.0,0.0,1.0,4364.0,3.0937522656249996,False,REGULAR,USD,2026-01-16
MRK260116P00045000,2025-10-23 13:33:51+00:00,45.0,0.02,0.0,0.07,0.0,0.0,10.0,73.0,2.9218776953125003,False,REGULAR,USD,2026-01-16
MRK260116P00050000,2026-01-12 20:22:04+00:00,50.0,0.05,0.0,0.09,0.04,399.99994,1.0,620.0,2.6640658398437504,False,REGULAR,USD,2026-01-16
MRK260116P00055000,2025-12-12 14:36:27+00:00,55.0,0.01,0.0,0.02,0.0,0.0,10.0,434.0,2.031254921875,False,REGULAR,USD,2026-01-16
MRK260116P00060000,2025-12-26 19:46:39+00:00,60.0,0.01,0.0,0.42,0.0,0.0,4.0,1947.0,2.57031607421875,False,REGULAR,USD,2026-01-16
MRK260116P00065000,2026-01-05 19:42:02+00:00,65.0,0.01,0.0,0.02,0.0,0.0,20.0,1610.0,1.5625021874999998,False,REGULAR,USD,2026-01-16
MRK260116P00070000,2026-01-08 18:19:59+00:00,70.0,0.01,0.0,0.01,0.0,0.0,4.0,9413.0,1.2500037499999999,False,REGULAR,USD,2026-01-16
MRK260116P00075000,2026-01-08 19:48:13+00:00,75.0,0.01,0.0,0.01,0.0,0.0,1.0,11824.0,1.09375453125,False,REGULAR,USD,2026-01-16
MRK260116P00080000,2026-01-09 19:12:33+00:00,80.0,0.01,0.0,0.06,0.0,0.0,9.0,5691.0,1.09375453125,False,REGULAR,USD,2026-01-16
MRK260116P00085000,2026-01-12 20:15:53+00:00,85.0,0.01,0.01,0.02,-0.01,-50.0,37.0,4830.0,0.8281267187499999,False,REGULAR,USD,2026-01-16
MRK260116P00090000,2026-01-12 19:49:39+00:00,90.0,0.02,0.01,0.05,-0.01,-33.333336,11.0,8532.0,0.7187528125,False,REGULAR,USD,2026-01-16
MRK260116P00091000,2025-12-23 15:14:20+00:00,91.0,0.24,0.0,2.14,0.0,0.0,,1.0,1.3925811621093749,False,REGULAR,USD,2026-01-16
MRK260116P00092000,2026-01-02 15:18:45+00:00,92.0,0.07,0.0,0.04,0.0,0.0,1.0,16.0,0.6093789062500001,False,REGULAR,USD,2026-01-16
MRK260116P00093000,2025-12-30 19:57:52+00:00,93.0,0.09,0.0,2.14,0.0,0.0,4.0,1.0,1.272464575195312,False,REGULAR,USD,2026-01-16
MRK260116P00094000,2025-12-24 17:53:12+00:00,94.0,0.11,0.0,2.15,0.0,0.0,,7.0,1.2138711181640622,False,REGULAR,USD,2026-01-16
MRK260116P00095000,2026-01-12 16:49:38+00:00,95.0,0.04,0.01,0.04,-0.010000002,-20.000002,17.0,11082.0,0.523442265625,False,REGULAR,USD,2026-01-16
MRK260116P00096000,2026-01-02 17:05:10+00:00,96.0,0.18,0.0,0.11,0.0,0.0,10.0,28.0,0.5507857421875001,False,REGULAR,USD,2026-01-16
MRK260116P00097000,2025-12-30 19:56:56+00:00,97.0,0.18,0.0,0.57,0.0,0.0,3.0,7.0,0.7041045214843751,False,REGULAR,USD,2026-01-16
MRK260116P00098000,2026-01-09 20:02:54+00:00,98.0,0.04,0.01,0.07,0.0,0.0,6.0,60.0,0.49219257812500006,False,REGULAR,USD,2026-01-16
MRK260116P00099000,2026-01-12 16:28:38+00:00,99.0,0.03,0.01,0.06,-0.099999994,-76.92307,1.0,146.0,0.4414118359375,False,REGULAR,USD,2026-01-16
MRK260116P00100000,2026-01-12 20:02:06+00:00,100.0,0.08,0.05,0.12,0.009999998,14.285711,108.0,8372.0,0.46094289062500005,False,REGULAR,USD,2026-01-16
MRK260116P00101000,2026-01-08 14:50:58+00:00,101.0,0.14,0.04,0.1,0.0,0.0,1.0,1403.0,0.4023497265625,False,REGULAR,USD,2026-01-16
MRK260116P00102000,2026-01-12 20:08:31+00:00,102.0,0.09,0.09,0.16,-0.009999998,-9.999997,27.0,436.0,0.401373173828125,False,REGULAR,USD,2026-01-16
MRK260116P00103000,2026-01-12 19:48:45+00:00,103.0,0.14,0.11,0.18,0.0,0.0,6.0,481.0,0.367193828125,False,REGULAR,USD,2026-01-16
MRK260116P00104000,2026-01-12 20:12:34+00:00,104.0,0.19,0.15,0.24,0.030000001,18.75,11.0,172.0,0.34668622070312494,False,REGULAR,USD,2026-01-16
MRK260116P00105000,2026-01-12 20:02:27+00:00,105.0,0.26,0.25,0.3,0.00999999,3.9999962,147.0,4468.0,0.3193427441406249,False,REGULAR,USD,2026-01-16
MRK260116P00106000,2026-01-12 20:21:03+00:00,106.0,0.38,0.38,0.44,0.06999999,22.580643,100.0,1248.0,0.30762411132812495,False,REGULAR,USD,2026-01-16
MRK260116P00107000,2026-01-12 20:33:22+00:00,107.0,0.62,0.58,0.65,0.25,75.757576,80.0,838.0,0.29834686035156244,False,REGULAR,USD,2026-01-16
MRK260116P00108000,2026-01-12 20:30:53+00:00,108.0,0.93,0.9,1.03,0.3,47.619053,211.0,1788.0,0.3086006640625,False,REGULAR,USD,2026-01-16
MRK260116P00109000,2026-01-12 20:30:04+00:00,109.0,1.31,1.33,1.43,0.44999993,52.325573,87.0,2588.0,0.301764794921875,False,REGULAR,USD,2026-01-16
MRK260116P00110000,2026-01-12 20:15:18+00:00,110.0,1.78,1.9,2.04,0.52,41.26984,111.0,3003.0,0.31641308593749995,True,REGULAR,USD,2026-01-16
MRK260116P00111000,2026-01-12 18:49:25+00:00,111.0,2.25,2.62,2.72,0.52,30.057802,68.0,1174.0,0.327155166015625,True,REGULAR,USD,2026-01-16
MRK260116P00112000,2026-01-09 20:12:15+00:00,112.0,2.23,2.96,3.55,0.0,0.0,96.0,48.0,0.35547519531249994,True,REGULAR,USD,2026-01-16
MRK260116P00113000,2026-01-09 20:27:20+00:00,113.0,3.05,3.6,4.6,0.0,0.0,,,0.4272518212890626,True,REGULAR,USD,2026-01-16
MRK260116P00114000,2026-01-09 15:49:15+00:00,114.0,3.6,3.45,5.3,0.0,0.0,2.0,31.0,0.4028380029296875,True,REGULAR,USD,2026-01-16
MRK260116P00115000,2026-01-12 18:59:01+00:00,115.0,5.7,5.65,6.5,1.8099997,46.529552,8.0,110.0,0.5107470800781251,True,REGULAR,USD,2026-01-16
MRK260116P00116000,2026-01-07 15:03:46+00:00,116.0,5.28,5.4,7.2,0.0,0.0,,,0.46680220703125,True,REGULAR,USD,2026-01-16
MRK260116P00120000,2026-01-09 17:43:16+00:00,120.0,10.05,9.3,11.55,0.0,0.0,1.0,42.0,0.76367423828125,True,REGULAR,USD,2026-01-16
MRK260116P00121000,2026-01-08 14:30:43+00:00,121.0,10.15,10.05,12.65,0.0,0.0,,,0.840821904296875,True,REGULAR,USD,2026-01-16
MRK260116P00125000,2026-01-06 20:22:43+00:00,125.0,17.25,13.95,17.0,0.0,0.0,35.0,24.0,1.125004375,True,REGULAR,USD,2026-01-16
MRK260116P00130000,2026-01-08 20:57:11+00:00,130.0,16.8,18.95,22.05,0.0,0.0,2.0,9.0,1.3457063964843747,True,REGULAR,USD,2026-01-16
MRK260116P00135000,2025-11-17 20:23:28+00:00,135.0,42.5,24.6,26.75,0.0,0.0,1.0,1.0,1.421877890625,True,REGULAR,USD,2026-01-16
MRK260116P00140000,2026-01-08 20:57:11+00:00,140.0,26.82,29.0,32.1,0.0,0.0,2.0,0.0,1.7275404248046877,True,REGULAR,USD,2026-01-16
MRK260116P00145000,2024-07-08 13:30:59+00:00,145.0,20.8,32.25,34.4,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MRK260116P00150000,2024-03-04 14:30:21+00:00,150.0,26.94,21.3,22.8,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MRK260116P00155000,2024-01-26 15:21:00+00:00,155.0,34.5,25.6,27.95,0.0,0.0,2.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MRK260116P00160000,2025-10-20 19:11:56+00:00,160.0,73.53,53.2,55.9,0.0,0.0,2.0,0.0,3.155275549316406,True,REGULAR,USD,2026-01-16
MRK260116P00170000,2026-01-05 17:50:48+00:00,170.0,61.5,59.05,61.9,0.0,0.0,1.0,0.0,2.496097509765625,True,REGULAR,USD,2026-01-16
MRK260116P00175000,2024-01-26 15:18:36+00:00,175.0,54.43,44.3,47.85,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
