contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
UNH260116C00130000,2025-12-31 15:10:56+00:00,130.0,201.3,200.0,206.6,0.0,0.0,14.0,41.0,5.586917078857422,True,REGULAR,USD,2026-01-16
UNH260116C00135000,2026-01-12 14:54:12+00:00,135.0,202.2,195.0,203.0,0.0,0.0,,1.0,3.1406271484375,True,REGULAR,USD,2026-01-16
UNH260116C00140000,2025-12-05 20:17:22+00:00,140.0,189.6,190.4,197.5,0.0,0.0,18.0,2.0,2.6250034375,True,REGULAR,USD,2026-01-16
UNH260116C00145000,2025-12-05 20:17:22+00:00,145.0,187.1,185.4,192.7,0.0,0.0,18.0,1.0,3.0937522656249996,True,REGULAR,USD,2026-01-16
UNH260116C00150000,2026-01-13 20:17:38+00:00,150.0,184.8,181.9,185.65,-4.050003,-2.1445608,1.0,20.0,4.413090421142577,True,REGULAR,USD,2026-01-16
UNH260116C00155000,2025-12-05 20:21:14+00:00,155.0,176.3,176.85,183.0,0.0,0.0,13.0,2.0,3.8496097509765628,True,REGULAR,USD,2026-01-16
UNH260116C00160000,2026-01-08 15:41:45+00:00,160.0,185.4,170.65,177.7,0.0,0.0,1.0,12.0,3.00781498046875,True,REGULAR,USD,2026-01-16
UNH260116C00165000,2026-01-02 16:02:33+00:00,165.0,169.07,165.45,172.7,0.0,0.0,1.0,1.0,2.7031282421875,True,REGULAR,USD,2026-01-16
UNH260116C00170000,2025-12-05 20:16:59+00:00,170.0,161.0,161.4,168.0,0.0,0.0,135.0,12.0,3.2871111572265628,True,REGULAR,USD,2026-01-16
UNH260116C00175000,2026-01-08 18:50:25+00:00,175.0,171.14,156.9,163.0,0.0,0.0,2.0,3.0,3.3154313989257806,True,REGULAR,USD,2026-01-16
UNH260116C00180000,2025-12-11 16:05:34+00:00,180.0,154.85,150.45,157.7,0.0,0.0,1.0,12.0,2.394535263671875,True,REGULAR,USD,2026-01-16
UNH260116C00185000,2025-12-05 20:49:02+00:00,185.0,145.3,146.6,153.0,0.0,0.0,20690.0,1.0,2.978518178710937,True,REGULAR,USD,2026-01-16
UNH260116C00190000,2025-12-10 18:39:47+00:00,190.0,135.34,141.4,148.0,0.0,0.0,1.0,5.0,2.800784248046875,True,REGULAR,USD,2026-01-16
