contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
PFE260116P00013000,2026-01-13 15:58:34+00:00,13.0,0.01,0.0,0.01,0.0,0.0,1.0,3706.0,3.50000125,False,REGULAR,USD,2026-01-16
PFE260116P00015000,2026-01-06 16:34:42+00:00,15.0,0.01,0.0,0.01,0.0,0.0,1.0,3978.0,2.750003125,False,REGULAR,USD,2026-01-16
PFE260116P00016000,2025-12-15 20:02:24+00:00,16.0,0.01,0.0,0.01,0.0,0.0,11.0,153.0,2.50000375,False,REGULAR,USD,2026-01-16
PFE260116P00017500,2026-01-06 14:34:40+00:00,17.5,0.01,0.0,0.01,0.0,0.0,1.0,6399.0,2.0625048437499998,False,REGULAR,USD,2026-01-16
PFE260116P00019000,2026-01-02 15:08:00+00:00,19.0,0.01,0.0,0.02,0.0,0.0,5.0,7084.0,1.8125009374999999,False,REGULAR,USD,2026-01-16
PFE260116P00020000,2026-01-15 16:37:34+00:00,20.0,0.01,0.0,0.01,0.0,0.0,4.0,30330.0,1.3750031249999999,False,REGULAR,USD,2026-01-16
PFE260116P00020500,2026-01-15 20:40:36+00:00,20.5,0.01,0.0,0.01,0.0,0.0,4.0,50.0,1.2812535937499998,False,REGULAR,USD,2026-01-16
PFE260116P00021000,2026-01-15 17:26:05+00:00,21.0,0.01,0.0,0.01,0.0,0.0,3.0,12799.0,1.1875040625,False,REGULAR,USD,2026-01-16
PFE260116P00021500,2026-01-06 16:01:52+00:00,21.5,0.01,0.0,0.75,0.0,0.0,1.0,2.0,2.535159912109375,False,REGULAR,USD,2026-01-16
PFE260116P00022000,2026-01-12 16:46:53+00:00,22.0,0.01,0.0,0.01,0.0,0.0,11.0,164.0,0.937500625,False,REGULAR,USD,2026-01-16
PFE260116P00022500,2026-01-15 20:14:26+00:00,22.5,0.01,0.0,0.01,0.0,0.0,125.0,46709.0,0.8125018749999999,False,REGULAR,USD,2026-01-16
PFE260116P00023000,2026-01-13 16:16:29+00:00,23.0,0.01,0.0,0.01,0.0,0.0,6.0,244.0,0.6875031250000001,False,REGULAR,USD,2026-01-16
PFE260116P00023500,2026-01-15 15:23:53+00:00,23.5,0.01,0.0,0.01,0.0,0.0,1.0,844.0,0.5937540625000001,False,REGULAR,USD,2026-01-16
PFE260116P00024000,2026-01-15 20:14:27+00:00,24.0,0.01,0.0,0.01,0.0,0.0,291.0,24891.0,0.5312546875,False,REGULAR,USD,2026-01-16
PFE260116P00024500,2026-01-15 17:31:39+00:00,24.5,0.01,0.0,0.01,-0.01,-50.0,163.0,6319.0,0.4062559375,False,REGULAR,USD,2026-01-16
PFE260116P00025000,2026-01-15 20:38:04+00:00,25.0,0.01,0.0,0.01,-0.02,-66.66667,3237.0,73356.0,0.28125718749999995,False,REGULAR,USD,2026-01-16
PFE260116P00025500,2026-01-15 20:45:31+00:00,25.5,0.05,0.04,0.05,-0.10000001,-66.66667,2715.0,6183.0,0.242195078125,False,REGULAR,USD,2026-01-16
