contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
JNJ260123P00130000,2025-12-12 16:05:27+00:00,130.0,0.13,0.0,2.13,0.0,0.0,,1.0,2.989260339355469,False,REGULAR,USD,2026-01-23
JNJ260123P00140000,2026-01-20 18:23:48+00:00,140.0,0.02,0.0,1.0,-0.01,-33.333336,4.0,1.0,2.2734418164062498,False,REGULAR,USD,2026-01-23
JNJ260123P00165000,2026-01-20 16:37:25+00:00,165.0,0.02,0.0,2.11,-0.030000001,-60.0,10.0,4.0,1.7890635546875,False,REGULAR,USD,2026-01-23
JNJ260123P00170000,2026-01-16 15:21:05+00:00,170.0,0.03,,0.03,0.0,0.0,1.0,122.0,0.929688203125,False,REGULAR,USD,2026-01-23
JNJ260123P00175000,2026-01-20 19:47:35+00:00,175.0,0.01,0.0,0.03,-0.060000002,-85.71429,1.0,107.0,0.773439765625,False,REGULAR,USD,2026-01-23
JNJ260123P00180000,2026-01-20 19:51:03+00:00,180.0,0.06,0.0,0.04,0.0,0.0,7.0,11.0,0.70312796875,False,REGULAR,USD,2026-01-23
JNJ260123P00182500,2026-01-09 20:53:29+00:00,182.5,0.18,,0.05,0.0,0.0,,1.0,0.7304714453125,False,REGULAR,USD,2026-01-23
JNJ260123P00185000,2026-01-20 20:17:10+00:00,185.0,0.03,0.01,0.05,-0.16,-84.210526,450.0,51.0,0.64062859375,False,REGULAR,USD,2026-01-23
JNJ260123P00187500,2026-01-20 20:17:28+00:00,187.5,0.05,0.05,0.06,-0.009999998,-16.666662,33.0,61.0,0.64062859375,False,REGULAR,USD,2026-01-23
JNJ260123P00190000,2026-01-20 20:30:40+00:00,190.0,0.07,0.05,0.07,-0.18,-72.0,181.0,469.0,0.5976602734375001,False,REGULAR,USD,2026-01-23
JNJ260123P00192500,2026-01-20 20:16:56+00:00,192.5,0.08,0.05,0.11,-0.22000001,-73.333336,8.0,54.0,0.570316796875,False,REGULAR,USD,2026-01-23
JNJ260123P00195000,2026-01-20 20:17:52+00:00,195.0,0.1,0.06,0.12,-0.009999998,-9.090907,479.0,1667.0,0.5293015820312501,False,REGULAR,USD,2026-01-23
JNJ260123P00197500,2026-01-20 20:30:40+00:00,197.5,0.14,0.11,0.16,0.0,0.0,154.0,148.0,0.5117236328125,False,REGULAR,USD,2026-01-23
JNJ260123P00200000,2026-01-20 20:28:30+00:00,200.0,0.18,0.16,0.22,0.010000005,5.8823557,872.0,557.0,0.5009815527343751,False,REGULAR,USD,2026-01-23
JNJ260123P00202500,2026-01-20 20:28:17+00:00,202.5,0.29,0.23,0.23,0.03999999,15.999996,321.0,68.0,0.44727115234375,False,REGULAR,USD,2026-01-23
