contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
PFE260123C00015000,2026-01-20 19:49:51+00:00,15.0,9.58,8.45,10.7,-0.9800005,-9.280307,4.0,32,3.2656268359375,True,REGULAR,USD,2026-01-23
PFE260123C00018000,2026-01-20 20:02:38+00:00,18.0,7.2,5.5,9.1,-0.1500001,-2.0408177,3.0,1,4.867191416015624,True,REGULAR,USD,2026-01-23
PFE260123C00020000,2026-01-16 18:10:16+00:00,20.0,5.66,4.4,6.15,0.0,0.0,2.0,15,2.6035191162109372,True,REGULAR,USD,2026-01-23
PFE260123C00020500,2026-01-20 14:38:04+00:00,20.5,4.73,4.05,6.7,-0.3800001,-7.4364014,1.0,1,1.96875015625,True,REGULAR,USD,2026-01-23
PFE260123C00021000,2026-01-20 14:38:04+00:00,21.0,4.25,2.65,5.9,-0.42000008,-8.993578,1.0,25,3.244142514648437,True,REGULAR,USD,2026-01-23
PFE260123C00021500,2026-01-15 19:30:46+00:00,21.5,4.2,2.01,6.05,0.0,0.0,,1,0.500005,True,REGULAR,USD,2026-01-23
PFE260123C00022000,2025-12-24 16:49:03+00:00,22.0,3.15,1.96,5.55,0.0,0.0,4.0,4,1.3007847460937496,True,REGULAR,USD,2026-01-23
PFE260123C00022500,2026-01-20 15:42:21+00:00,22.5,3.24,2.88,3.25,0.27999997,9.459458,2.0,7,0.7187528125,True,REGULAR,USD,2026-01-23
PFE260123C00023000,2026-01-20 16:00:59+00:00,23.0,2.5,1.61,3.5,-0.18000007,-6.7164207,12.0,46,0.57812921875,True,REGULAR,USD,2026-01-23
PFE260123C00023500,2026-01-16 16:00:12+00:00,23.5,2.18,1.73,2.52,0.0,0.0,,4,0.6601596484375001,True,REGULAR,USD,2026-01-23
PFE260123C00024000,2026-01-20 18:04:28+00:00,24.0,1.56,1.43,1.64,-0.1400001,-8.2353,14.0,339,0.5625043750000001,True,REGULAR,USD,2026-01-23
