contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
ABBV251003C00140000,2025-09-11 19:18:00+00:00,140.0,81.11,82.55,83.5,0.0,0.0,2.0,2,1.984375078125,True,REGULAR,USD,2025-10-03
ABBV251003C00160000,2025-09-16 17:01:20+00:00,160.0,57.0,61.85,63.85,0.0,0.0,2.0,2,1.6796891015625,True,REGULAR,USD,2025-10-03
ABBV251003C00170000,2025-09-16 16:10:07+00:00,170.0,47.5,52.65,53.75,0.0,0.0,3.0,3,0.92187578125,True,REGULAR,USD,2025-10-03
ABBV251003C00185000,2025-09-19 18:20:39+00:00,185.0,38.2,36.85,38.6,0.0,0.0,6.0,6,0.956055126953125,True,REGULAR,USD,2025-10-03
ABBV251003C00190000,2025-09-22 18:36:34+00:00,190.0,34.09,32.6,33.6,0.0,0.0,2.0,2,0.8432632861328124,True,REGULAR,USD,2025-10-03
ABBV251003C00195000,2025-09-26 14:53:01+00:00,195.0,24.31,27.35,28.65,0.0,0.0,2.0,3,0.7490259472656251,True,REGULAR,USD,2025-10-03
ABBV251003C00200000,2025-09-26 19:58:04+00:00,200.0,20.87,22.05,23.7,0.0,0.0,1.0,11,0.65039412109375,True,REGULAR,USD,2025-10-03
ABBV251003C00202500,2025-09-26 18:27:24+00:00,202.5,17.3,19.55,21.1,0.0,0.0,2.0,2,0.5644574804687501,True,REGULAR,USD,2025-10-03
ABBV251003C00205000,2025-09-29 19:37:22+00:00,205.0,17.35,17.55,18.7,1.5500002,9.810127,2.0,21,0.5346726220703125,True,REGULAR,USD,2025-10-03
ABBV251003C00207500,2025-09-29 14:44:37+00:00,207.5,15.35,15.4,16.25,2.75,21.825396,2.0,13,0.48779809082031256,True,REGULAR,USD,2025-10-03
ABBV251003C00210000,2025-09-29 15:18:00+00:00,210.0,11.58,12.3,13.75,1.21,11.668274,4.0,66,0.42774009765625004,True,REGULAR,USD,2025-10-03
ABBV251003C00212500,2025-09-29 19:58:29+00:00,212.5,11.0,9.8,11.9,1.8800001,20.614037,28.0,159,0.4721732470703125,True,REGULAR,USD,2025-10-03
ABBV251003C00215000,2025-09-29 19:56:45+00:00,215.0,8.23,8.2,9.4,2.0799994,33.82113,30.0,220,0.3996642065429688,True,REGULAR,USD,2025-10-03
ABBV251003C00217500,2025-09-29 18:31:19+00:00,217.5,5.0,6.0,7.0,0.19999981,4.1666627,12.0,136,0.33618827880859375,True,REGULAR,USD,2025-10-03
ABBV251003C00220000,2025-09-29 19:56:58+00:00,220.0,4.05,4.15,5.15,0.9600003,31.067972,130.0,645,0.32227240234374993,True,REGULAR,USD,2025-10-03
ABBV251003C00222500,2025-09-29 19:58:04+00:00,222.5,2.5,2.42,2.78,0.6,31.578949,441.0,505,0.23413851806640623,True,REGULAR,USD,2025-10-03
ABBV251003C00225000,2025-09-29 19:59:49+00:00,225.0,1.39,1.32,1.49,0.33000004,31.13208,624.0,486,0.2192460888671875,False,REGULAR,USD,2025-10-03
ABBV251003C00227500,2025-09-29 19:52:17+00:00,227.5,0.57,0.57,0.7,0.06999999,13.999998,140.0,218,0.21192194335937498,False,REGULAR,USD,2025-10-03
ABBV251003C00230000,2025-09-29 19:53:46+00:00,230.0,0.25,0.24,0.3,0.0,0.0,295.0,1518,0.21094539062499998,False,REGULAR,USD,2025-10-03
ABBV251003C00232500,2025-09-29 19:12:15+00:00,232.5,0.07,0.08,0.11,-0.089999996,-56.25,115.0,86,0.20996883789062498,False,REGULAR,USD,2025-10-03
ABBV251003C00235000,2025-09-29 19:07:02+00:00,235.0,0.04,0.01,0.22,-0.010000002,-20.000002,44.0,99,0.2910227148437499,False,REGULAR,USD,2025-10-03
ABBV251003C00240000,2025-09-25 16:14:02+00:00,240.0,0.14,0.0,0.11,-0.21,-60.0,16.0,18,0.33399103515625,False,REGULAR,USD,2025-10-03
ABBV251003C00245000,2025-09-29 13:33:58+00:00,245.0,0.01,0.0,0.03,-0.049999997,-83.333336,8.0,26,0.3398503515625,False,REGULAR,USD,2025-10-03
ABBV251003C00250000,2025-09-23 14:51:45+00:00,250.0,0.01,0.0,0.17,0.0,0.0,,1,0.5185595019531251,False,REGULAR,USD,2025-10-03
ABBV251010C00120000,2025-09-08 13:30:12+00:00,120.0,91.05,102.6,104.6,0.0,0.0,,3,1.71875140625,True,REGULAR,USD,2025-10-10
ABBV251010C00140000,2025-09-08 13:30:02+00:00,140.0,71.9,82.75,85.2,0.0,0.0,,2,1.4902369238281248,True,REGULAR,USD,2025-10-10
ABBV251010C00145000,2025-09-16 19:57:49+00:00,145.0,71.6,77.75,79.7,0.0,0.0,2.0,2,1.3017613037109372,True,REGULAR,USD,2025-10-10
ABBV251010C00150000,2025-09-22 16:50:01+00:00,150.0,74.83,72.75,74.0,0.0,0.0,2.0,3,1.0371141894531253,True,REGULAR,USD,2025-10-10
