contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
ABBV251003P00110000,2025-09-24 13:45:10+00:00,110.0,0.08,0.0,0.23,0.0,0.0,,1,2.49219126953125,False,REGULAR,USD,2025-10-03
ABBV251003P00165000,2025-08-29 19:25:03+00:00,165.0,0.07,0.0,2.13,0.0,0.0,1.0,1,1.6977554174804688,False,REGULAR,USD,2025-10-03
ABBV251003P00175000,2025-09-15 17:07:28+00:00,175.0,0.03,0.0,0.14,0.0,0.0,,50,0.8945323046874999,False,REGULAR,USD,2025-10-03
ABBV251003P00180000,2025-09-05 17:43:59+00:00,180.0,0.2,0.0,0.17,0.0,0.0,4.0,40,0.8203142968749999,False,REGULAR,USD,2025-10-03
ABBV251003P00185000,2025-09-18 13:41:29+00:00,185.0,0.11,0.0,0.25,0.0,0.0,1.0,2,0.7695335546875001,False,REGULAR,USD,2025-10-03
ABBV251003P00190000,2025-09-18 16:58:53+00:00,190.0,0.05,0.0,0.2,0.0,0.0,1.0,30,0.6523472265625001,False,REGULAR,USD,2025-10-03
ABBV251003P00195000,2025-09-18 14:56:40+00:00,195.0,0.1,0.0,0.23,0.0,0.0,2.0,19,0.5722699023437501,False,REGULAR,USD,2025-10-03
ABBV251003P00200000,2025-09-29 17:40:49+00:00,200.0,0.04,0.0,0.05,-0.010000002,-20.000002,1.0,177,0.42383388671875,False,REGULAR,USD,2025-10-03
ABBV251003P00202500,2025-09-26 17:12:21+00:00,202.5,0.01,0.0,0.26,0.0,0.0,4.0,6,0.5039112109375,False,REGULAR,USD,2025-10-03
ABBV251003P00205000,2025-09-29 19:28:55+00:00,205.0,0.04,0.02,0.11,-0.14000002,-77.77779,26.0,842,0.38477177734374995,False,REGULAR,USD,2025-10-03
ABBV251003P00207500,2025-09-29 19:19:52+00:00,207.5,0.11,0.0,0.17,-0.009999998,-8.333331,26.0,18,0.366217275390625,False,REGULAR,USD,2025-10-03
ABBV251003P00210000,2025-09-29 19:55:45+00:00,210.0,0.09,0.07,0.16,-0.14999999,-62.499996,58.0,274,0.3129951513671875,False,REGULAR,USD,2025-10-03
ABBV251003P00212500,2025-09-29 19:34:08+00:00,212.5,0.2,0.12,0.2,-0.2,-50.0,130.0,298,0.27637442382812494,False,REGULAR,USD,2025-10-03
ABBV251003P00215000,2025-09-29 19:59:23+00:00,215.0,0.26,0.23,0.29,-0.45,-63.380283,87.0,471,0.2456130126953125,False,REGULAR,USD,2025-10-03
ABBV251003P00217500,2025-09-29 19:59:23+00:00,217.5,0.53,0.44,0.57,-0.72,-57.6,299.0,520,0.2348709326171875,False,REGULAR,USD,2025-10-03
ABBV251003P00220000,2025-09-29 19:59:40+00:00,220.0,1.0,0.79,1.06,-1.0799999,-51.923077,430.0,527,0.22266402343749997,False,REGULAR,USD,2025-10-03
ABBV251003P00222500,2025-09-29 19:58:10+00:00,222.5,1.92,1.64,1.94,-1.5300001,-44.34783,53.0,253,0.21680470703125,False,REGULAR,USD,2025-10-03
ABBV251003P00225000,2025-09-25 19:48:43+00:00,225.0,6.37,2.6,3.35,0.0,0.0,72.0,114,0.2211991943359375,True,REGULAR,USD,2025-10-03
ABBV251003P00227500,2025-09-26 18:40:22+00:00,227.5,7.95,4.55,5.2,0.0,0.0,10.0,25,0.23194127441406248,True,REGULAR,USD,2025-10-03
ABBV251010P00115000,2025-09-24 14:00:07+00:00,115.0,0.06,0.0,0.23,0.0,0.0,,1,1.5156274218749999,False,REGULAR,USD,2025-10-10
ABBV251010P00160000,2025-09-19 14:44:25+00:00,160.0,0.05,0.0,0.02,0.0,0.0,2.0,2,0.6250037500000001,False,REGULAR,USD,2025-10-10
ABBV251010P00170000,2025-09-16 17:42:04+00:00,170.0,0.16,0.0,0.27,0.0,0.0,1.0,0,0.6953155468750001,False,REGULAR,USD,2025-10-10
ABBV251010P00180000,2025-09-08 18:11:07+00:00,180.0,0.33,0.0,0.28,0.0,0.0,,6,0.569340244140625,False,REGULAR,USD,2025-10-10
ABBV251010P00185000,2025-09-08 18:11:07+00:00,185.0,0.48,0.0,0.29,0.0,0.0,,6,0.508793974609375,False,REGULAR,USD,2025-10-10
ABBV251010P00190000,2025-09-18 17:02:15+00:00,190.0,0.08,0.0,0.2,0.0,0.0,9.0,27,0.46973186523437505,False,REGULAR,USD,2025-10-10
ABBV251010P00195000,2025-09-16 18:43:33+00:00,195.0,0.36,0.0,0.24,0.0,0.0,2.0,18,0.418951123046875,False,REGULAR,USD,2025-10-10
ABBV251010P00200000,2025-09-29 19:12:44+00:00,200.0,0.1,0.01,0.15,-0.080000006,-44.444447,13.0,45,0.3242255078124999,False,REGULAR,USD,2025-10-10
