contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
PFE251003P00015000,2025-09-23 13:44:06+00:00,15.0,0.01,0.0,0.02,0.0,0.0,50.0,50,2.0625048437499998,False,REGULAR,USD,2025-10-03
PFE251003P00018000,2025-09-22 13:30:23+00:00,18.0,0.02,0.0,0.02,0.0,0.0,,10,1.40625296875,False,REGULAR,USD,2025-10-03
PFE251003P00019000,2025-09-04 19:13:32+00:00,19.0,0.02,0.0,0.02,0.0,0.0,,50,1.21875390625,False,REGULAR,USD,2025-10-03
PFE251003P00019500,2025-09-25 19:36:35+00:00,19.5,0.01,0.0,0.01,0.0,0.0,41.0,52,1.0312548437500002,False,REGULAR,USD,2025-10-03
PFE251003P00020000,2025-09-30 17:18:36+00:00,20.0,0.01,0.0,0.01,0.0,0.0,1.0,286,0.937500625,False,REGULAR,USD,2025-10-03
PFE251003P00020500,2025-09-29 15:13:23+00:00,20.5,0.03,0.0,0.01,0.0,0.0,14.0,30,0.8437515624999999,False,REGULAR,USD,2025-10-03
PFE251003P00021000,2025-09-26 18:10:17+00:00,21.0,0.01,0.0,0.01,0.0,0.0,149.0,196,0.7500025,False,REGULAR,USD,2025-10-03
PFE251003P00021500,2025-09-29 14:54:36+00:00,21.5,0.01,0.0,0.01,0.0,0.0,1.0,347,0.6875031250000001,False,REGULAR,USD,2025-10-03
PFE251003P00022000,2025-09-30 16:30:23+00:00,22.0,0.01,0.0,0.01,0.0,0.0,13.0,953,0.5937540625000001,False,REGULAR,USD,2025-10-03
PFE251003P00022500,2025-09-30 16:38:29+00:00,22.5,0.01,0.0,0.01,0.0,0.0,72.0,1796,0.5312546875,False,REGULAR,USD,2025-10-03
PFE251003P00023000,2025-09-30 19:16:54+00:00,23.0,0.01,0.01,0.02,-0.02,-50.0,964.0,2186,0.51562984375,False,REGULAR,USD,2025-10-03
PFE251003P00023500,2025-09-30 19:13:40+00:00,23.5,0.03,0.02,0.03,-0.07,-70.0,4932.0,9539,0.48438015625,False,REGULAR,USD,2025-10-03
PFE251003P00024000,2025-09-30 19:17:00+00:00,24.0,0.03,0.03,0.04,-0.29,-87.87879,8839.0,39168,0.4101621484375,False,REGULAR,USD,2025-10-03
PFE251003P00024500,2025-09-30 19:18:23+00:00,24.5,0.07,0.06,0.07,-0.68,-90.666664,9604.0,1647,0.35352208984374994,False,REGULAR,USD,2025-10-03
PFE251003P00025000,2025-09-30 19:17:00+00:00,25.0,0.14,0.13,0.14,-1.04,-88.1356,14456.0,815,0.304694453125,False,REGULAR,USD,2025-10-03
PFE251003P00025500,2025-09-30 19:19:11+00:00,25.5,0.31,0.29,0.32,-1.4100001,-81.97675,1129.0,68,0.28711650390624993,True,REGULAR,USD,2025-10-03
PFE251003P00026000,2025-09-30 19:19:30+00:00,26.0,0.63,0.61,0.65,-1.63,-72.12389,260.0,11,0.29492892578124996,True,REGULAR,USD,2025-10-03
PFE251003P00026500,2025-09-30 16:49:39+00:00,26.5,1.51,1.02,1.08,-0.99,-39.6,15.0,9,0.32031929687499994,True,REGULAR,USD,2025-10-03
PFE251003P00027000,2025-09-30 18:38:43+00:00,27.0,1.74,1.48,1.64,-1.02,-36.95652,3.0,0,0.5312546875,True,REGULAR,USD,2025-10-03
PFE251003P00027500,2025-09-30 18:21:12+00:00,27.5,2.2,1.96,2.11,-1.2,-35.29412,1.0,1,0.5820354296875,True,REGULAR,USD,2025-10-03
PFE251003P00028000,2025-09-30 18:56:10+00:00,28.0,2.67,2.51,2.56,-0.75,-21.929825,14.0,10,0.5390671093750001,True,REGULAR,USD,2025-10-03
PFE251003P00029000,2025-09-19 16:08:47+00:00,29.0,5.08,3.5,3.7,0.0,0.0,3.0,0,0.8281267187499999,True,REGULAR,USD,2025-10-03
PFE251003P00030500,2025-09-22 16:16:19+00:00,30.5,6.05,4.9,5.1,0.0,0.0,2.0,0,1.0664109179687502,True,REGULAR,USD,2025-10-03
PFE251010P00017000,2025-09-25 19:13:07+00:00,17.0,0.02,0.0,0.02,0.0,0.0,,2,0.9687503125,False,REGULAR,USD,2025-10-10
PFE251010P00018000,2025-09-26 17:07:00+00:00,18.0,0.04,0.0,0.03,0.0,0.0,2.0,3,0.8906260937499999,False,REGULAR,USD,2025-10-10
PFE251010P00019000,2025-09-29 13:59:47+00:00,19.0,0.01,0.0,0.01,0.0,0.0,5.0,10,0.6718782812500002,False,REGULAR,USD,2025-10-10
PFE251010P00019500,2025-09-26 18:21:36+00:00,19.5,0.01,0.0,0.03,0.0,0.0,8.0,108,0.710940390625,False,REGULAR,USD,2025-10-10
PFE251010P00020000,2025-09-29 13:30:06+00:00,20.0,0.01,0.0,0.03,0.0,0.0,1.0,36,0.6562534375000001,False,REGULAR,USD,2025-10-10
PFE251010P00020500,2025-09-30 18:17:08+00:00,20.5,0.01,0.0,0.02,-0.02,-66.66667,1.0,1,0.5625043750000001,False,REGULAR,USD,2025-10-10
PFE251010P00021000,2025-09-30 15:41:40+00:00,21.0,0.02,0.0,0.02,-0.02,-50.0,10.0,11,0.500005,False,REGULAR,USD,2025-10-10
