contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
UNH251003C00155000,2025-10-02 14:11:10+00:00,155.0,196.14,195.85,202.0,8.139999,4.329787,4.0,5,4.613285483398437,True,REGULAR,USD,2025-10-03
UNH251003C00200000,2025-09-30 13:44:50+00:00,200.0,143.5,149.35,157.0,0.0,0.0,2.0,3,5.272952627563476,True,REGULAR,USD,2025-10-03
UNH251003C00220000,2025-09-29 15:30:33+00:00,220.0,124.7,130.85,137.05,0.0,0.0,2.0,0,2.8222685693359377,True,REGULAR,USD,2025-10-03
UNH251003C00230000,2025-09-30 17:06:27+00:00,230.0,114.69,119.8,127.05,0.0,0.0,1.0,1,4.198246939697267,True,REGULAR,USD,2025-10-03
UNH251003C00235000,2025-09-30 17:06:27+00:00,235.0,109.7,114.35,122.05,0.0,0.0,1.0,0,4.02832527709961,True,REGULAR,USD,2025-10-03
UNH251003C00245000,2025-09-29 17:24:58+00:00,245.0,99.57,104.8,112.05,0.0,0.0,2.0,0,3.696778101806641,True,REGULAR,USD,2025-10-03
UNH251003C00250000,2025-10-02 18:46:06+00:00,250.0,103.72,102.2,104.15,8.550003,8.983927,1.0,13,2.3378947802734364,True,REGULAR,USD,2025-10-03
UNH251003C00255000,2025-10-02 16:05:58+00:00,255.0,97.25,95.0,102.05,7.080002,7.8518376,3.0,3,3.3759781225585934,True,REGULAR,USD,2025-10-03
UNH251003C00260000,2025-09-25 15:28:55+00:00,260.0,95.36,90.0,97.05,8.730003,10.077345,6.0,7,3.2187519531249995,True,REGULAR,USD,2025-10-03
UNH251003C00265000,2025-09-16 14:31:00+00:00,265.0,77.35,85.0,92.75,0.0,0.0,,1,1.71875140625,True,REGULAR,USD,2025-10-03
UNH251003C00270000,2025-09-30 13:59:38+00:00,270.0,80.5,80.65,87.05,3.0,3.8709676,4.0,16,1.5820333398437496,True,REGULAR,USD,2025-10-03
UNH251003C00275000,2025-09-22 14:05:15+00:00,275.0,62.6,75.05,82.05,0.0,0.0,3.0,4,2.7592804455566404,True,REGULAR,USD,2025-10-03
UNH251003C00280000,2025-10-01 19:39:41+00:00,280.0,68.0,71.45,77.2,0.0,0.0,10.0,123,1.7666027294921873,True,REGULAR,USD,2025-10-03
UNH251003C00285000,2025-09-22 14:06:31+00:00,285.0,52.8,67.5,72.05,0.0,0.0,3.0,3,1.8466804541015622,True,REGULAR,USD,2025-10-03
UNH251003C00290000,2025-10-02 16:56:38+00:00,290.0,63.25,60.15,66.0,6.970001,12.384508,24.0,28,2.0781298046874994,True,REGULAR,USD,2025-10-03
UNH251003C00295000,2025-10-02 14:39:35+00:00,295.0,54.35,57.15,61.8,5.3499985,10.918365,1.0,10,1.4951197119140622,True,REGULAR,USD,2025-10-03
UNH251003C00300000,2025-10-02 16:13:13+00:00,300.0,54.4,52.05,55.95,7.4000015,15.744683,4.0,331,1.150394873046875,True,REGULAR,USD,2025-10-03
UNH251003C00305000,2025-10-02 18:13:53+00:00,305.0,47.95,45.65,50.6,7.2800026,17.900179,3.0,28,1.5815450610351558,True,REGULAR,USD,2025-10-03
UNH251003C00310000,2025-10-02 18:49:19+00:00,310.0,43.75,43.5,44.4,7.450001,20.523418,10.0,474,0.92187578125,True,REGULAR,USD,2025-10-03
UNH251003C00312500,2025-09-26 17:38:16+00:00,312.5,32.8,40.45,44.2,0.0,0.0,8.0,11,1.2026407055664063,True,REGULAR,USD,2025-10-03
UNH251003C00315000,2025-10-02 19:35:46+00:00,315.0,38.4,37.1,39.25,5.800003,17.791422,10.0,192,0.96679720703125,True,REGULAR,USD,2025-10-03
UNH251003C00317500,2025-10-01 19:16:43+00:00,317.5,31.07,35.25,39.35,0.0,0.0,7.0,5,1.0771530517578127,True,REGULAR,USD,2025-10-03
UNH251003C00320000,2025-10-02 19:43:27+00:00,320.0,33.53,32.5,35.7,5.4799995,19.536541,25.0,1220,0.8037129003906249,True,REGULAR,USD,2025-10-03
UNH251003C00325000,2025-10-02 19:35:46+00:00,325.0,28.42,28.4,29.2,5.33,23.083586,35.0,601,0.5371140039062501,True,REGULAR,USD,2025-10-03
UNH251003C00327500,2025-09-30 18:27:52+00:00,327.5,18.0,25.5,29.15,0.0,0.0,2.0,3,0.84179845703125,True,REGULAR,USD,2025-10-03
UNH251003C00330000,2025-10-02 19:33:16+00:00,330.0,23.34,23.55,24.2,5.040001,27.540989,110.0,826,0.5029346582031251,True,REGULAR,USD,2025-10-03
UNH251003C00332500,2025-10-02 15:46:40+00:00,332.5,20.85,19.3,23.15,4.6800003,28.942488,23.0,184,0.8618177880859376,True,REGULAR,USD,2025-10-03
UNH251003C00335000,2025-10-02 19:38:59+00:00,335.0,18.58,18.45,19.1,5.38,40.757576,214.0,481,0.49414568359375005,True,REGULAR,USD,2025-10-03
UNH251003C00337500,2025-10-02 19:57:34+00:00,337.5,16.13,15.95,17.75,4.829999,42.743355,96.0,375,0.5014698291015626,True,REGULAR,USD,2025-10-03
UNH251003C00340000,2025-10-02 19:59:53+00:00,340.0,13.88,13.7,14.15,4.2300005,43.834206,341.0,2303,0.39942006835937505,True,REGULAR,USD,2025-10-03
UNH251003C00342500,2025-10-02 19:57:31+00:00,342.5,11.16,11.3,11.75,3.56,46.842106,281.0,1164,0.36377589355468753,True,REGULAR,USD,2025-10-03
UNH251003C00345000,2025-10-02 19:59:44+00:00,345.0,9.13,8.95,9.35,3.23,54.74576,1636.0,2521,0.32129584960937496,True,REGULAR,USD,2025-10-03
UNH251003C00347500,2025-10-02 19:59:44+00:00,347.5,7.0,6.7,7.2,2.5500002,57.303375,1170.0,1022,0.305671005859375,True,REGULAR,USD,2025-10-03
UNH251003C00350000,2025-10-02 19:59:53+00:00,350.0,5.0,4.9,5.1,1.6800001,50.60241,11602.0,4572,0.2756420092773437,True,REGULAR,USD,2025-10-03
UNH251003C00352500,2025-10-02 19:59:19+00:00,352.5,3.28,3.3,3.5,0.88999987,37.238487,5275.0,2200,0.2732006274414062,True,REGULAR,USD,2025-10-03
