contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MRK251017P00040000,2025-10-15 14:00:14+00:00,40.0,0.01,0.0,0.01,-0.04,-80.00001,1.0,19.0,2.750003125,False,REGULAR,USD,2025-10-17
MRK251017P00045000,2025-10-14 19:21:07+00:00,45.0,0.04,0.0,0.01,0.0,0.0,2.0,39.0,2.3125042187499996,False,REGULAR,USD,2025-10-17
MRK251017P00050000,2025-10-14 16:39:09+00:00,50.0,0.03,0.0,0.01,0.0,0.0,1.0,1025.0,1.9375003125,False,REGULAR,USD,2025-10-17
MRK251017P00055000,2025-10-13 14:05:23+00:00,55.0,0.02,0.0,0.01,0.0,0.0,1.0,1469.0,1.625001875,False,REGULAR,USD,2025-10-17
MRK251017P00060000,2025-10-10 15:59:42+00:00,60.0,0.01,0.0,0.01,0.0,0.0,1.0,1747.0,1.3125034374999998,False,REGULAR,USD,2025-10-17
MRK251017P00065000,2025-10-14 18:40:11+00:00,65.0,0.01,0.0,0.03,0.0,0.0,27.0,5767.0,1.140629296875,False,REGULAR,USD,2025-10-17
MRK251017P00070000,2025-10-14 17:19:45+00:00,70.0,0.02,0.0,0.06,0.0,0.0,36.0,9019.0,0.914063359375,False,REGULAR,USD,2025-10-17
MRK251017P00071000,2025-10-06 18:38:20+00:00,71.0,0.05,0.0,0.12,0.0,0.0,1.0,32.0,0.945313046875,False,REGULAR,USD,2025-10-17
MRK251017P00072000,2025-10-08 14:25:49+00:00,72.0,0.03,0.0,0.23,0.0,0.0,2.0,36.0,0.98437515625,False,REGULAR,USD,2025-10-17
MRK251017P00073000,2025-10-14 18:39:05+00:00,73.0,0.01,0.0,0.01,0.0,0.0,34.0,104.0,0.5937540625000001,False,REGULAR,USD,2025-10-17
MRK251017P00074000,2025-10-15 14:26:12+00:00,74.0,0.01,0.0,0.22,-0.01,-50.0,18.0,367.0,0.8320329296874999,False,REGULAR,USD,2025-10-17
MRK251017P00075000,2025-10-15 19:23:02+00:00,75.0,0.01,0.0,0.03,0.0,0.0,57.0,11298.0,0.5546919531250001,False,REGULAR,USD,2025-10-17
MRK251017P00076000,2025-10-13 19:33:20+00:00,76.0,0.01,0.0,0.1,0.0,0.0,8.0,373.0,0.5937540625000001,False,REGULAR,USD,2025-10-17
MRK251017P00077000,2025-10-15 19:30:29+00:00,77.0,0.02,0.01,0.03,-0.02,-50.0,1.0,351.0,0.48438015625,False,REGULAR,USD,2025-10-17
MRK251017P00078000,2025-10-15 16:44:56+00:00,78.0,0.02,0.0,0.25,-0.05,-71.42857,1.0,194.0,0.56055126953125,False,REGULAR,USD,2025-10-17
MRK251017P00079000,2025-10-15 17:09:53+00:00,79.0,0.05,0.02,0.25,-0.009999998,-16.666662,32.0,661.0,0.5839885351562499,False,REGULAR,USD,2025-10-17
MRK251017P00080000,2025-10-15 19:23:02+00:00,80.0,0.05,0.03,0.09,-0.009999998,-16.666662,231.0,8951.0,0.3789124609375,False,REGULAR,USD,2025-10-17
MRK251017P00081000,2025-10-15 16:35:49+00:00,81.0,0.12,0.08,0.17,0.019999996,19.999994,24.0,1849.0,0.3632876171875,False,REGULAR,USD,2025-10-17
MRK251017P00082000,2025-10-15 19:56:07+00:00,82.0,0.24,0.14,0.26,0.08,50.0,173.0,227.0,0.3232489550781249,False,REGULAR,USD,2025-10-17
MRK251017P00083000,2025-10-15 19:54:14+00:00,83.0,0.41,0.35,0.5,0.02000001,5.1282077,121.0,646.0,0.3154365332031249,False,REGULAR,USD,2025-10-17
MRK251017P00084000,2025-10-15 19:49:49+00:00,84.0,0.94,0.7,0.89,0.33999997,56.666656,79.0,402.0,0.31055376953124997,False,REGULAR,USD,2025-10-17
MRK251017P00085000,2025-10-15 19:54:45+00:00,85.0,1.4,1.27,1.46,0.28999996,26.126122,308.0,6999.0,0.31055376953124997,True,REGULAR,USD,2025-10-17
MRK251017P00086000,2025-10-15 19:27:18+00:00,86.0,1.89,1.99,2.26,0.46000004,32.167835,34.0,1883.0,0.3437565625,True,REGULAR,USD,2025-10-17
MRK251017P00087000,2025-10-15 17:32:31+00:00,87.0,3.4,2.9,3.15,1.0,41.666664,8.0,1739.0,0.38281867187499996,True,REGULAR,USD,2025-10-17
MRK251017P00088000,2025-10-15 17:52:16+00:00,88.0,3.86,3.55,4.2,0.78,25.324677,1.0,274.0,0.49121602539062503,True,REGULAR,USD,2025-10-17
MRK251017P00089000,2025-10-14 18:03:47+00:00,89.0,3.95,4.45,5.15,0.0,0.0,20.0,345.0,0.5390671093750001,True,REGULAR,USD,2025-10-17
MRK251017P00090000,2025-10-15 16:42:12+00:00,90.0,6.25,5.45,6.35,0.8699999,16.171001,8.0,447.0,0.7304714453125,True,REGULAR,USD,2025-10-17
MRK251017P00091000,2025-10-15 14:16:02+00:00,91.0,6.65,6.4,7.75,0.8000002,13.675217,4.0,177.0,0.6250037500000001,True,REGULAR,USD,2025-10-17
MRK251017P00092000,2025-10-14 17:14:42+00:00,92.0,7.22,7.15,8.5,0.0,0.0,5.0,18.0,0.9648441015625,True,REGULAR,USD,2025-10-17
MRK251017P00093000,2025-10-10 15:55:02+00:00,93.0,5.95,7.45,10.15,0.0,0.0,2.0,9.0,1.3535188574218748,True,REGULAR,USD,2025-10-17
MRK251017P00094000,2025-10-07 14:32:03+00:00,94.0,6.5,9.1,10.85,0.0,0.0,19.0,5.0,0.6914093359375001,True,REGULAR,USD,2025-10-17
MRK251017P00095000,2025-10-10 18:13:18+00:00,95.0,8.55,10.4,11.45,0.0,0.0,2.0,7.0,0.6445348046875,True,REGULAR,USD,2025-10-17
MRK251017P00098000,2025-10-06 13:45:01+00:00,98.0,8.8,12.25,15.55,0.0,0.0,,5.0,0.6718782812500002,True,REGULAR,USD,2025-10-17
MRK251017P00100000,2025-10-07 13:37:53+00:00,100.0,12.6,15.1,16.6,0.0,0.0,7.0,0.0,1.5712912060546875,True,REGULAR,USD,2025-10-17
MRK251017P00101000,2025-10-07 13:32:47+00:00,101.0,12.6,16.15,17.6,0.0,0.0,,,1.6337908935546874,True,REGULAR,USD,2025-10-17
MRK251017P00105000,2025-10-06 14:00:40+00:00,105.0,14.95,20.0,21.6,0.0,0.0,7.0,2.0,1.8691412792968751,True,REGULAR,USD,2025-10-17
MRK251017P00110000,2025-10-09 19:19:52+00:00,110.0,22.75,24.9,26.6,0.0,0.0,36.0,7.0,2.1416062084960936,True,REGULAR,USD,2025-10-17
MRK251017P00115000,2025-10-09 19:51:23+00:00,115.0,27.55,29.9,31.55,0.0,0.0,3.0,9.0,2.3515666210937494,True,REGULAR,USD,2025-10-17
MRK251017P00120000,2025-10-09 19:51:24+00:00,120.0,32.53,35.0,36.6,0.0,0.0,3.0,7.0,2.626956557617188,True,REGULAR,USD,2025-10-17
MRK251017P00125000,2025-10-09 19:51:24+00:00,125.0,37.55,39.9,41.55,0.0,0.0,6.0,0.0,2.800784248046875,True,REGULAR,USD,2025-10-17
MRK251017P00130000,2025-10-01 19:32:55+00:00,130.0,39.35,44.9,46.55,0.0,0.0,,0.0,3.003908740234375,True,REGULAR,USD,2025-10-17
MRK251017P00135000,2025-10-01 19:26:01+00:00,135.0,44.4,49.9,51.6,0.0,0.0,2.0,0.0,3.2460956347656245,True,REGULAR,USD,2025-10-17
MRK251017P00140000,2025-10-01 19:26:01+00:00,140.0,49.4,54.95,56.6,0.0,0.0,,0.0,3.431642045898437,True,REGULAR,USD,2025-10-17
MRK251024P00065000,2025-10-09 14:14:26+00:00,65.0,0.02,0.0,0.32,0.0,0.0,2.0,20.0,0.87500125,False,REGULAR,USD,2025-10-24
