contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
UNH251107P00175000,2025-11-03 15:35:36+00:00,175.0,0.03,0.0,0.05,0.02,200.0,2.0,12,1.875000625,False,REGULAR,USD,2025-11-07
UNH251107P00220000,2025-10-30 13:32:40+00:00,220.0,0.4,0.0,1.06,0.0,0.0,,0,1.8125009374999999,False,REGULAR,USD,2025-11-07
UNH251107P00225000,2025-10-28 14:07:27+00:00,225.0,0.01,0.0,0.2,0.0,0.0,,14,1.37109689453125,False,REGULAR,USD,2025-11-07
UNH251107P00240000,2025-11-03 17:50:56+00:00,240.0,0.02,0.0,0.15,-0.01,-33.333336,1.0,4,1.12891060546875,False,REGULAR,USD,2025-11-07
UNH251107P00250000,2025-11-03 15:08:29+00:00,250.0,0.01,0.0,0.05,-0.049999997,-83.333336,3.0,8,0.8906260937499999,False,REGULAR,USD,2025-11-07
UNH251107P00260000,2025-11-03 19:23:46+00:00,260.0,0.01,0.0,0.03,0.0,0.0,11.0,15,0.7421900781249999,False,REGULAR,USD,2025-11-07
UNH251107P00265000,2025-11-03 19:23:46+00:00,265.0,0.13,0.0,0.09,-0.42000002,-76.36363,1.0,23,0.773439765625,False,REGULAR,USD,2025-11-07
UNH251107P00270000,2025-10-31 13:46:27+00:00,270.0,0.05,0.0,0.1,0.0,0.0,2.0,58,0.7226590234375,False,REGULAR,USD,2025-11-07
UNH251107P00275000,2025-11-03 16:07:50+00:00,275.0,0.03,0.01,0.04,0.02,200.0,16.0,41,0.6171913281250001,False,REGULAR,USD,2025-11-07
UNH251107P00280000,2025-11-03 20:20:51+00:00,280.0,0.04,0.03,0.05,0.01,33.333336,488.0,43,0.5976602734375001,False,REGULAR,USD,2025-11-07
UNH251107P00285000,2025-11-03 19:09:31+00:00,285.0,0.05,0.05,0.1,0.010000002,25.000004,75.0,63,0.585941640625,False,REGULAR,USD,2025-11-07
UNH251107P00290000,2025-11-03 20:15:29+00:00,290.0,0.08,0.07,0.15,0.02,33.333336,284.0,206,0.5566450585937501,False,REGULAR,USD,2025-11-07
UNH251107P00295000,2025-11-03 19:47:42+00:00,295.0,0.11,0.1,0.15,0.019999996,22.222216,208.0,124,0.507817421875,False,REGULAR,USD,2025-11-07
UNH251107P00300000,2025-11-03 20:26:08+00:00,300.0,0.19,0.18,0.2,0.03999999,26.666658,1975.0,1136,0.48242705078125003,False,REGULAR,USD,2025-11-07
UNH251107P00305000,2025-11-03 20:23:50+00:00,305.0,0.28,0.21,0.35,0.15,115.38463,1010.0,256,0.46582565429687506,False,REGULAR,USD,2025-11-07
UNH251107P00310000,2025-11-03 20:11:53+00:00,310.0,0.48,0.42,0.55,0.24999999,108.69564,1458.0,555,0.43945873046875,False,REGULAR,USD,2025-11-07
UNH251107P00312500,2025-11-03 20:26:37+00:00,312.5,0.62,0.57,0.68,0.35,129.62962,288.0,88,0.42456630126953127,False,REGULAR,USD,2025-11-07
UNH251107P00315000,2025-11-03 20:32:08+00:00,315.0,0.81,0.75,0.9,0.39000002,95.12195,899.0,669,0.4172421557617187,False,REGULAR,USD,2025-11-07
UNH251107P00317500,2025-11-03 20:28:32+00:00,317.5,1.05,0.91,1.1,0.49999994,90.90907,533.0,45,0.40064075927734377,False,REGULAR,USD,2025-11-07
UNH251107P00320000,2025-11-03 20:30:25+00:00,320.0,1.35,1.27,1.45,0.66,95.652176,2352.0,765,0.39380489013671877,False,REGULAR,USD,2025-11-07
UNH251107P00322500,2025-11-03 20:31:15+00:00,322.5,1.8,1.73,1.87,0.8299999,79.04761,653.0,366,0.3852600537109374,False,REGULAR,USD,2025-11-07
UNH251107P00325000,2025-11-03 20:30:27+00:00,325.0,2.37,2.35,2.45,1.1499999,88.46152,1935.0,1068,0.38086556640624997,False,REGULAR,USD,2025-11-07
UNH251107P00327500,2025-11-03 20:21:01+00:00,327.5,3.25,3.0,3.45,1.64,101.86335,773.0,382,0.3969786865234375,False,REGULAR,USD,2025-11-07
UNH251107P00330000,2025-11-03 20:30:27+00:00,330.0,4.06,3.85,4.0,2.04,100.9901,2254.0,1942,0.3706117626953125,False,REGULAR,USD,2025-11-07
UNH251107P00332500,2025-11-03 20:31:15+00:00,332.5,5.13,4.95,5.55,2.48,92.193306,627.0,333,0.40039662109375,False,REGULAR,USD,2025-11-07
UNH251107P00335000,2025-11-03 20:30:48+00:00,335.0,6.52,6.2,6.8,3.1,92.2619,1035.0,1027,0.3996642065429688,True,REGULAR,USD,2025-11-07
UNH251107P00337500,2025-11-03 20:11:34+00:00,337.5,8.5,7.8,8.45,4.2,97.67441,535.0,445,0.4145566357421875,True,REGULAR,USD,2025-11-07
UNH251107P00340000,2025-11-03 20:30:25+00:00,340.0,9.5,9.15,10.1,4.25,80.95238,687.0,2309,0.4204159521484375,True,REGULAR,USD,2025-11-07
UNH251107P00342500,2025-11-03 20:28:58+00:00,342.5,11.67,11.2,12.05,5.04,76.0181,172.0,678,0.43848217773437503,True,REGULAR,USD,2025-11-07
UNH251107P00345000,2025-11-03 20:29:48+00:00,345.0,13.6,13.15,13.85,5.6000004,70.00001,588.0,1757,0.4379939013671875,True,REGULAR,USD,2025-11-07
UNH251107P00347500,2025-11-03 19:45:05+00:00,347.5,16.23,14.95,15.9,6.6099997,68.71101,95.0,712,0.4489801196289062,True,REGULAR,USD,2025-11-07
UNH251107P00350000,2025-11-03 20:08:35+00:00,350.0,18.54,17.2,18.5,7.330001,65.388054,294.0,2157,0.502080174560547,True,REGULAR,USD,2025-11-07
UNH251107P00352500,2025-11-03 19:14:14+00:00,352.5,21.5,19.5,21.6,7.7299995,56.136524,97.0,365,0.5036670727539063,True,REGULAR,USD,2025-11-07
UNH251107P00355000,2025-11-03 20:07:36+00:00,355.0,23.75,22.05,24.05,8.91,60.040432,384.0,1007,0.5438278039550781,True,REGULAR,USD,2025-11-07
UNH251107P00357500,2025-11-03 18:32:03+00:00,357.5,25.86,24.2,27.15,8.26,46.931816,50.0,313,0.5954630297851562,True,REGULAR,USD,2025-11-07
UNH251107P00360000,2025-11-03 18:52:02+00:00,360.0,28.6,27.1,28.95,9.65,50.923477,98.0,1143,0.6181678808593751,True,REGULAR,USD,2025-11-07
UNH251107P00362500,2025-11-03 18:02:29+00:00,362.5,31.25,29.1,32.15,7.01,28.919142,34.0,123,0.6660189648437502,True,REGULAR,USD,2025-11-07
UNH251107P00365000,2025-11-03 19:22:21+00:00,365.0,33.3,31.5,34.35,6.6399994,24.906225,32.0,1005,0.6799348413085939,True,REGULAR,USD,2025-11-07
