contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MRK251219C00040000,2025-10-30 19:47:09+00:00,40.0,46.7,59.75,62.4,0.0,0.0,1.0,0,5.478518776855467,True,REGULAR,USD,2025-12-19
MRK251219C00045000,2025-12-12 19:58:40+00:00,45.0,54.5,53.55,57.15,0.0,0.0,5.0,1,3.3515641210937495,True,REGULAR,USD,2025-12-19
MRK251219C00050000,2025-12-12 19:58:40+00:00,50.0,49.5,48.55,52.3,0.0,0.0,5.0,0,3.2109394726562495,True,REGULAR,USD,2025-12-19
MRK251219C00055000,2025-12-12 19:59:29+00:00,55.0,44.55,43.55,46.85,0.0,0.0,70.0,3,4.455082556152344,True,REGULAR,USD,2025-12-19
MRK251219C00060000,2025-12-12 20:58:44+00:00,60.0,40.08,39.35,41.9,0.0,0.0,2140.0,1,2.8027373681640624,True,REGULAR,USD,2025-12-19
MRK251219C00065000,2025-12-15 16:08:02+00:00,65.0,35.0,33.5,36.95,-0.08000183,-0.22805537,1.0,5,3.4941418896484375,True,REGULAR,USD,2025-12-19
MRK251219C00070000,2025-12-15 16:08:02+00:00,70.0,30.13,29.4,31.9,-0.37000084,-1.2131175,26.0,31,2.0976610058593748,True,REGULAR,USD,2025-12-19
MRK251219C00075000,2025-12-12 20:58:26+00:00,75.0,25.05,23.6,26.9,0.0,0.0,6685.0,74,2.560550473632812,True,REGULAR,USD,2025-12-19
MRK251219C00080000,2025-12-15 19:47:10+00:00,80.0,19.58,19.3,20.85,-0.37000084,-1.8546407,2.0,124,1.5830098974609372,True,REGULAR,USD,2025-12-19
MRK251219C00084000,2025-12-12 19:58:40+00:00,84.0,15.55,14.65,16.95,0.0,0.0,,0,1.37109689453125,True,REGULAR,USD,2025-12-19
MRK251219C00085000,2025-12-15 20:31:58+00:00,85.0,15.5,14.3,15.8,0.35000038,2.3102336,8.0,2142,1.2177773486328123,True,REGULAR,USD,2025-12-19
MRK251219C00086000,2025-12-15 20:30:42+00:00,86.0,13.79,13.15,14.9,0.029999733,0.21802132,40.0,0,1.2080117724609374,True,REGULAR,USD,2025-12-19
MRK251219C00087000,2025-12-15 15:23:56+00:00,87.0,13.27,11.6,15.45,0.77000046,6.1600037,3.0,0,0.9082040429687499,True,REGULAR,USD,2025-12-19
MRK251219C00088000,2025-12-15 15:23:19+00:00,88.0,12.37,10.6,13.6,1.2200003,10.941708,1.0,0,1.3750031249999999,True,REGULAR,USD,2025-12-19
MRK251219C00089000,2025-12-12 20:57:20+00:00,89.0,10.75,9.6,13.4,0.0,0.0,2.0,0,0.773439765625,True,REGULAR,USD,2025-12-19
MRK251219C00090000,2025-12-15 19:55:08+00:00,90.0,8.85,9.85,11.0,-1.6999998,-16.113743,5.0,2894,0.65820654296875,True,REGULAR,USD,2025-12-19
MRK251219C00091000,2025-12-12 19:58:40+00:00,91.0,8.85,7.6,10.75,0.0,0.0,1012.0,0,1.19141029296875,True,REGULAR,USD,2025-12-19
MRK251219C00092000,2025-12-12 19:59:29+00:00,92.0,9.0,6.65,9.9,1.1500001,14.649683,1.0,0,1.1591838916015624,True,REGULAR,USD,2025-12-19
MRK251219C00093000,2025-12-12 20:55:48+00:00,93.0,5.5,5.7,8.65,0.0,0.0,451.0,0,0.9970703417968749,True,REGULAR,USD,2025-12-19
MRK251219C00094000,2025-12-12 20:55:48+00:00,94.0,5.85,5.05,8.55,0.0,0.0,1971.0,5,0.62305064453125,True,REGULAR,USD,2025-12-19
MRK251219C00095000,2025-12-15 19:12:26+00:00,95.0,5.67,4.55,6.05,0.32000017,5.9813113,407.0,1266,0.6435582519531251,True,REGULAR,USD,2025-12-19
MRK251219C00096000,2025-12-15 17:28:25+00:00,96.0,4.4,4.2,5.9,-0.099999905,-2.2222202,30.0,2,0.567387138671875,True,REGULAR,USD,2025-12-19
MRK251219C00097000,2025-12-15 18:42:38+00:00,97.0,2.68,2.54,4.0,-0.77,-22.31884,12.0,8,0.47412635253906255,True,REGULAR,USD,2025-12-19
