contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GOOGL250919C00025000,2025-09-17 14:41:48+00:00,25.0,224.53,226.5,227.6,0.0,0.0,12.0,12,10.312503554687503,True,REGULAR,USD,2025-09-19
GOOGL250919C00030000,2025-08-21 18:43:28+00:00,30.0,169.81,221.45,223.25,0.0,0.0,32.0,0,12.78906450683594,True,REGULAR,USD,2025-09-19
GOOGL250919C00035000,2025-04-28 14:35:43+00:00,35.0,126.1,137.85,138.65,0.0,0.0,10.0,7,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
GOOGL250919C00040000,2025-09-17 17:34:29+00:00,40.0,207.75,210.7,213.05,0.0,0.0,5.0,5,13.171876767578127,True,REGULAR,USD,2025-09-19
GOOGL250919C00045000,2025-08-27 19:12:30+00:00,45.0,161.95,205.9,207.55,0.0,0.0,,0,11.054690590820313,True,REGULAR,USD,2025-09-19
GOOGL250919C00050000,2025-09-18 19:17:00+00:00,50.0,201.75,201.55,202.55,44.850006,28.58509,2.0,0,7.187501015625001,True,REGULAR,USD,2025-09-19
GOOGL250919C00055000,2025-04-29 17:47:28+00:00,55.0,106.4,117.15,117.8,0.0,0.0,,45,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
GOOGL250919C00060000,2025-09-08 13:52:23+00:00,60.0,177.6,191.5,192.5,0.0,0.0,2.0,2,9.101566811523439,True,REGULAR,USD,2025-09-19
GOOGL250919C00065000,2025-02-21 17:00:12+00:00,65.0,117.92,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
GOOGL250919C00070000,2025-02-04 15:00:19+00:00,70.0,136.47,103.25,104.15,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
GOOGL250919C00075000,2025-09-16 16:27:48+00:00,75.0,176.48,176.8,177.65,0.0,0.0,1.0,1,6.87500140625,True,REGULAR,USD,2025-09-19
GOOGL250919C00080000,2025-09-03 16:16:43+00:00,80.0,150.0,171.85,173.4,0.0,0.0,1.0,4,7.60937548828125,True,REGULAR,USD,2025-09-19
GOOGL250919C00085000,2025-09-15 13:30:01+00:00,85.0,160.42,166.7,167.9,0.0,0.0,1.0,1,6.4570331787109385,True,REGULAR,USD,2025-09-19
GOOGL250919C00090000,2025-09-18 19:17:00+00:00,90.0,161.75,161.8,163.25,14.100006,9.549615,1.0,20,6.683595395507814,True,REGULAR,USD,2025-09-19
GOOGL250919C00095000,2025-09-08 19:30:49+00:00,95.0,139.19,156.8,157.55,0.0,0.0,6.0,0,5.390628261718749,True,REGULAR,USD,2025-09-19
GOOGL250919C00100000,2025-09-18 15:54:21+00:00,100.0,150.28,151.4,152.7,-0.5200043,-0.34483042,1.0,38,4.187504765625,True,REGULAR,USD,2025-09-19
GOOGL250919C00105000,2025-09-03 17:47:20+00:00,105.0,125.0,146.45,148.15,0.0,0.0,2.0,3,5.273440908203124,True,REGULAR,USD,2025-09-19
GOOGL250919C00110000,2025-09-04 19:37:54+00:00,110.0,121.79,141.65,142.55,0.0,0.0,3.0,2,4.265629667968749,True,REGULAR,USD,2025-09-19
GOOGL250919C00115000,2025-09-15 16:13:03+00:00,115.0,135.35,137.0,138.15,0.0,0.0,2.0,430,5.279300275878906,True,REGULAR,USD,2025-09-19
GOOGL250919C00120000,2025-09-17 18:02:24+00:00,120.0,128.8,131.1,133.2,0.0,0.0,4.0,699,4.085942392578126,True,REGULAR,USD,2025-09-19
GOOGL250919C00125000,2025-09-17 19:54:50+00:00,125.0,124.75,126.2,128.05,0.0,0.0,1.0,86,3.7734380664062503,True,REGULAR,USD,2025-09-19
GOOGL250919C00130000,2025-09-17 19:20:56+00:00,130.0,121.21,121.05,122.85,1.5499954,1.2953329,1.0,483,4.8496133129882795,True,REGULAR,USD,2025-09-19
GOOGL250919C00135000,2025-09-17 18:51:02+00:00,135.0,112.73,116.15,118.25,0.0,0.0,1.0,361,3.6328134179687503,True,REGULAR,USD,2025-09-19
GOOGL250919C00140000,2025-09-18 19:51:42+00:00,140.0,110.2,111.9,113.25,0.7999954,0.73125726,2.0,526,4.074223657226563,True,REGULAR,USD,2025-09-19
GOOGL250919C00145000,2025-09-18 13:30:02+00:00,145.0,106.7,106.2,107.55,1.2999954,1.2333922,5.0,640,3.8281254296875,True,REGULAR,USD,2025-09-19
GOOGL250919C00150000,2025-09-18 19:54:09+00:00,150.0,101.65,100.25,103.2,3.6500015,3.7244914,22.0,4192,4.1923875720214845,True,REGULAR,USD,2025-09-19
GOOGL250919C00155000,2025-09-18 19:53:00+00:00,155.0,96.0,95.8,98.2,0.75,0.78740156,14.0,3028,3.9648438378906246,True,REGULAR,USD,2025-09-19
GOOGL250919C00160000,2025-09-18 19:38:33+00:00,160.0,92.02,91.95,93.7,3.9199982,4.449487,69.0,9566,3.4726575683593754,True,REGULAR,USD,2025-09-19
GOOGL250919C00165000,2025-09-18 19:19:01+00:00,165.0,87.0,86.9,88.25,3.9000015,4.693143,9.0,4474,3.0566429833984374,True,REGULAR,USD,2025-09-19
GOOGL250919C00170000,2025-09-18 18:29:36+00:00,170.0,81.75,81.4,82.55,2.199997,2.7655523,26.0,12261,2.8457060107421874,True,REGULAR,USD,2025-09-19
GOOGL250919C00175000,2025-09-18 19:57:36+00:00,175.0,77.24,76.1,78.2,2.2399979,2.9866638,161.0,7284,2.1406296484375,True,REGULAR,USD,2025-09-19
GOOGL250919C00180000,2025-09-18 19:36:12+00:00,180.0,72.36,71.25,73.2,1.5100021,2.1312664,75.0,12426,2.1269578076171873,True,REGULAR,USD,2025-09-19
GOOGL250919C00182500,2025-09-16 14:18:56+00:00,182.5,68.1,67.75,71.2,0.0,0.0,1.0,51,3.0566429833984374,True,REGULAR,USD,2025-09-19
GOOGL250919C00185000,2025-09-18 19:56:27+00:00,185.0,67.17,66.8,68.3,2.209999,3.4020922,229.0,7887,2.3144573388671867,True,REGULAR,USD,2025-09-19
GOOGL250919C00187500,2025-09-15 18:34:46+00:00,187.5,62.83,63.35,65.9,0.0,0.0,2.0,49,1.71875140625,True,REGULAR,USD,2025-09-19
GOOGL250919C00190000,2025-09-18 19:55:00+00:00,190.0,62.1,61.8,62.35,2.3799973,3.9852598,110.0,11023,1.5078149609375,True,REGULAR,USD,2025-09-19
GOOGL250919C00192500,2025-09-18 18:15:18+00:00,192.5,59.32,58.5,60.85,-0.060001373,-0.101046436,20.0,96,1.67578287109375,True,REGULAR,USD,2025-09-19
GOOGL250919C00195000,2025-09-18 19:55:00+00:00,195.0,57.2,56.7,57.4,1.8400002,3.3236997,356.0,11973,1.2656286718749998,True,REGULAR,USD,2025-09-19
GOOGL250919C00197500,2025-09-18 18:51:54+00:00,197.5,54.2,54.2,55.85,3.8199997,7.582373,2.0,222,1.876953740234375,True,REGULAR,USD,2025-09-19
GOOGL250919C00200000,2025-09-18 19:58:43+00:00,200.0,52.23,52.05,52.4,2.7399979,5.5364676,375.0,30327,1.5332054589843749,True,REGULAR,USD,2025-09-19
GOOGL250919C00202500,2025-09-18 18:35:46+00:00,202.5,49.1,48.95,50.4,1.9799995,4.2020364,11.0,996,1.3984405078125,True,REGULAR,USD,2025-09-19
GOOGL250919C00205000,2025-09-18 19:47:55+00:00,205.0,47.27,47.0,47.5,1.8899994,4.164829,139.0,13285,1.4179716601562502,True,REGULAR,USD,2025-09-19
GOOGL250919C00207500,2025-09-18 19:46:02+00:00,207.5,44.9,44.2,45.4,4.0,9.779951,18.0,2249,1.3925811621093749,True,REGULAR,USD,2025-09-19
GOOGL250919C00210000,2025-09-18 19:53:51+00:00,210.0,42.28,42.05,42.4,2.6800003,6.767678,234.0,32970,1.2500037499999999,True,REGULAR,USD,2025-09-19
GOOGL250919C00212500,2025-09-18 18:13:09+00:00,212.5,39.5,39.55,40.2,1.6699982,4.4144807,17.0,1887,1.303714418945312,True,REGULAR,USD,2025-09-19
GOOGL250919C00215000,2025-09-18 19:58:39+00:00,215.0,37.3,36.9,37.4,2.5999985,7.4927907,122.0,16311,1.0312548437500002,True,REGULAR,USD,2025-09-19
GOOGL250919C00217500,2025-09-18 19:54:40+00:00,217.5,34.25,34.0,34.9,4.0300007,13.335542,48.0,1861,1.169926025390625,True,REGULAR,USD,2025-09-19
GOOGL250919C00220000,2025-09-18 19:57:04+00:00,220.0,32.35,32.05,32.65,2.6499977,8.92255,340.0,34634,1.0644578027343752,True,REGULAR,USD,2025-09-19
GOOGL250919C00222500,2025-09-18 19:54:40+00:00,222.5,29.25,29.25,29.9,1.8500004,6.751826,34.0,1144,0.726565234375,True,REGULAR,USD,2025-09-19
GOOGL250919C00225000,2025-09-18 19:49:46+00:00,225.0,26.77,27.1,27.35,2.0699997,8.380566,469.0,12793,0.8378922460937499,True,REGULAR,USD,2025-09-19
GOOGL250919C00227500,2025-09-18 19:28:45+00:00,227.5,24.29,24.2,25.2,2.540001,11.678165,39.0,1686,0.7500025,True,REGULAR,USD,2025-09-19
GOOGL250919C00230000,2025-09-18 19:45:52+00:00,230.0,22.32,22.05,22.45,2.7700005,14.168801,632.0,27632,0.71679970703125,True,REGULAR,USD,2025-09-19
GOOGL250919C00232500,2025-09-18 19:57:56+00:00,232.5,19.9,18.95,20.6,2.3500004,13.390316,36.0,751,0.6611362011718751,True,REGULAR,USD,2025-09-19
GOOGL250919C00235000,2025-09-18 19:59:17+00:00,235.0,17.4,17.05,17.45,2.8099995,19.259762,853.0,10784,0.57617611328125,True,REGULAR,USD,2025-09-19
GOOGL250919C00237500,2025-09-18 19:01:04+00:00,237.5,14.71,14.2,15.0,1.54,11.693242,121.0,3565,0.6044961425781252,True,REGULAR,USD,2025-09-19
GOOGL250919C00240000,2025-09-18 19:58:50+00:00,240.0,12.25,12.1,12.4,2.25,22.5,2511.0,9634,0.49121602539062503,True,REGULAR,USD,2025-09-19
GOOGL250919C00242500,2025-09-18 19:55:36+00:00,242.5,9.9,9.65,10.05,2.3099995,30.434774,1376.0,3936,0.454107021484375,True,REGULAR,USD,2025-09-19
GOOGL250919C00245000,2025-09-18 19:58:49+00:00,245.0,7.33,7.25,7.55,1.73,30.892859,3320.0,12017,0.367193828125,True,REGULAR,USD,2025-09-19
GOOGL250919C00247500,2025-09-18 19:59:21+00:00,247.5,5.09,5.0,5.25,1.3100002,34.65609,4891.0,6078,0.313483427734375,True,REGULAR,USD,2025-09-19
GOOGL250919C00250000,2025-09-18 19:59:54+00:00,250.0,3.13,3.0,3.1,0.68000007,27.755104,15597.0,21883,0.2585523364257813,True,REGULAR,USD,2025-09-19
GOOGL250919C00252500,2025-09-18 19:59:59+00:00,252.5,1.56,1.55,1.59,0.109999895,7.5861993,23615.0,13556,0.2436599072265625,False,REGULAR,USD,2025-09-19
GOOGL250919C00255000,2025-09-18 19:59:59+00:00,255.0,0.67,0.67,0.7,-0.15999997,-19.277103,37213.0,10529,0.2417068017578125,False,REGULAR,USD,2025-09-19
GOOGL250919C00257500,2025-09-18 19:59:29+00:00,257.5,0.29,0.27,0.28,-0.17000002,-36.956524,9849.0,10920,0.24805439453125,False,REGULAR,USD,2025-09-19
GOOGL250919C00260000,2025-09-18 19:57:35+00:00,260.0,0.12,0.11,0.12,-0.13999999,-53.84615,9004.0,7266,0.264655791015625,False,REGULAR,USD,2025-09-19
GOOGL250919C00262500,2025-09-18 19:59:34+00:00,262.5,0.05,0.05,0.06,-0.11,-68.75,3138.0,2665,0.2890696093749999,False,REGULAR,USD,2025-09-19
GOOGL250919C00265000,2025-09-18 19:56:39+00:00,265.0,0.04,0.03,0.04,-0.07,-63.636364,1242.0,2986,0.32227240234374993,False,REGULAR,USD,2025-09-19
GOOGL250919C00267500,2025-09-18 19:55:39+00:00,267.5,0.03,0.02,0.03,-0.049999997,-62.499996,929.0,2843,0.35938140625,False,REGULAR,USD,2025-09-19
GOOGL250919C00270000,2025-09-18 19:59:42+00:00,270.0,0.02,0.02,0.03,-0.030000001,-60.0,535.0,4211,0.4062559375,False,REGULAR,USD,2025-09-19
GOOGL250919C00272500,2025-09-18 19:25:54+00:00,272.5,0.01,0.01,0.02,-0.04,-80.00001,211.0,999,0.42969320312500003,False,REGULAR,USD,2025-09-19
GOOGL250919C00275000,2025-09-18 19:30:16+00:00,275.0,0.01,0.01,0.02,-0.02,-66.66667,67.0,1592,0.476567734375,False,REGULAR,USD,2025-09-19
GOOGL250919C00277500,2025-09-18 19:56:51+00:00,277.5,0.02,0.01,0.02,0.0,0.0,871.0,675,0.500005,False,REGULAR,USD,2025-09-19
GOOGL250919C00280000,2025-09-18 15:32:10+00:00,280.0,0.01,0.0,0.01,0.0,0.0,181.0,2927,0.523442265625,False,REGULAR,USD,2025-09-19
GOOGL250919C00282500,2025-09-18 13:37:28+00:00,282.5,0.01,0.0,0.01,-0.01,-50.0,23.0,554,0.5312546875,False,REGULAR,USD,2025-09-19
GOOGL250919C00285000,2025-09-18 15:10:36+00:00,285.0,0.01,0.0,0.01,0.0,0.0,145.0,1592,0.5625043750000001,False,REGULAR,USD,2025-09-19
GOOGL250919C00290000,2025-09-18 13:31:14+00:00,290.0,0.01,0.0,0.01,0.0,0.0,30.0,2068,0.6250037500000001,False,REGULAR,USD,2025-09-19
GOOGL250919C00295000,2025-09-17 15:06:03+00:00,295.0,0.01,0.0,0.01,0.0,0.0,37.0,1428,0.70312796875,False,REGULAR,USD,2025-09-19
GOOGL250919C00300000,2025-09-17 19:08:41+00:00,300.0,0.01,0.0,0.01,0.0,0.0,198.0,8677,0.7812521875,False,REGULAR,USD,2025-09-19
GOOGL250919C00305000,2025-09-17 16:34:30+00:00,305.0,0.01,0.0,0.01,0.0,0.0,64.0,232,0.8437515624999999,False,REGULAR,USD,2025-09-19
GOOGL250919C00310000,2025-09-16 13:30:13+00:00,310.0,0.01,0.0,0.01,0.0,0.0,5.0,161,0.9062509375,False,REGULAR,USD,2025-09-19
GOOGL250919C00315000,2025-09-16 14:19:26+00:00,315.0,0.01,,0.01,0.0,0.0,6.0,7,1.0312548437500002,False,REGULAR,USD,2025-09-19
GOOGL250919C00320000,2025-09-16 19:50:50+00:00,320.0,0.01,0.0,0.01,0.0,0.0,21.0,1659,1.0312548437500002,False,REGULAR,USD,2025-09-19
GOOGL250919C00330000,2025-07-23 19:37:06+00:00,330.0,0.03,0.0,0.02,0.0,0.0,5.0,2282,1.21875390625,False,REGULAR,USD,2025-09-19
GOOGL250919C00340000,2025-07-31 13:42:38+00:00,340.0,0.01,0.0,0.03,0.0,0.0,5.0,1548,1.3906280468749999,False,REGULAR,USD,2025-09-19
GOOGL250919C00350000,2025-09-18 15:21:11+00:00,350.0,0.01,0.0,0.01,0.0,0.0,1.0,1510,1.3750031249999999,False,REGULAR,USD,2025-09-19
GOOGL250919C00360000,2025-09-15 19:57:24+00:00,360.0,0.01,0.0,0.06,0.0,0.0,14.0,1122,1.7265638671875,False,REGULAR,USD,2025-09-19
GOOGL250919C00370000,2025-09-17 13:33:48+00:00,370.0,0.01,0.0,0.01,0.0,0.0,10.0,837,1.5625021874999998,False,REGULAR,USD,2025-09-19
GOOGL250919C00380000,2025-09-16 19:45:57+00:00,380.0,0.01,0.0,0.01,0.0,0.0,20.0,3189,1.6875015625,False,REGULAR,USD,2025-09-19
GOOGL250926C00080000,2025-09-09 17:09:12+00:00,80.0,157.46,170.35,173.75,0.0,0.0,1.0,0,2.43750390625,True,REGULAR,USD,2025-09-26
GOOGL250926C00100000,2025-09-11 16:07:46+00:00,100.0,139.9,150.35,153.75,0.0,0.0,2.0,152,1.96875015625,True,REGULAR,USD,2025-09-26
GOOGL250926C00120000,2025-08-21 17:40:21+00:00,120.0,80.52,130.4,133.8,0.0,0.0,,1,1.8125009374999999,True,REGULAR,USD,2025-09-26
GOOGL250926C00125000,2025-08-21 17:40:21+00:00,125.0,75.63,125.4,128.8,0.0,0.0,,1,1.71875140625,True,REGULAR,USD,2025-09-26
GOOGL250926C00130000,2025-09-11 13:38:31+00:00,130.0,108.2,120.4,123.8,0.0,0.0,2.0,0,1.6289081054687498,True,REGULAR,USD,2025-09-26
GOOGL250926C00145000,2025-09-08 13:52:23+00:00,145.0,92.85,105.8,107.65,0.0,0.0,4.0,35,1.857422587890625,True,REGULAR,USD,2025-09-26
GOOGL250926C00150000,2025-09-05 16:22:52+00:00,150.0,85.04,100.8,103.4,0.0,0.0,44.0,3,1.3007847460937496,True,REGULAR,USD,2025-09-26
GOOGL250926C00155000,2025-09-03 16:33:35+00:00,155.0,75.0,95.4,98.45,0.0,0.0,1.0,1,1.9453127734375002,True,REGULAR,USD,2025-09-26
GOOGL250926C00160000,2025-09-18 17:24:42+00:00,160.0,90.79,91.15,93.35,11.739998,14.8513565,42.0,42,1.3300814746093748,True,REGULAR,USD,2025-09-26
GOOGL250926C00165000,2025-09-11 17:07:40+00:00,165.0,74.6,86.35,88.4,0.0,0.0,2.0,6,1.3369173779296872,True,REGULAR,USD,2025-09-26
GOOGL250926C00170000,2025-09-18 19:17:00+00:00,170.0,81.95,81.4,83.45,1.5499954,1.927855,1.0,12,1.2812535937499998,True,REGULAR,USD,2025-09-26
GOOGL250926C00175000,2025-09-18 19:53:39+00:00,175.0,76.7,76.15,78.2,3.2599945,4.43899,10.0,34,1.0332079589843752,True,REGULAR,USD,2025-09-26
GOOGL250926C00180000,2025-09-18 18:13:29+00:00,180.0,71.5,71.45,73.35,1.8499985,2.6561356,3.0,80,1.1064497802734377,True,REGULAR,USD,2025-09-26
GOOGL250926C00185000,2025-09-18 15:15:00+00:00,185.0,66.78,66.15,68.6,3.959999,6.3037233,15.0,117,1.0166064794921876,True,REGULAR,USD,2025-09-26
GOOGL250926C00190000,2025-09-18 17:52:40+00:00,190.0,61.16,61.4,63.5,-0.33000183,-0.5366756,33.0,221,0.9726565234375,True,REGULAR,USD,2025-09-26
GOOGL250926C00195000,2025-09-18 18:54:22+00:00,195.0,57.1,57.1,58.05,3.8599968,7.2501817,47.0,175,0.940430283203125,True,REGULAR,USD,2025-09-26
GOOGL250926C00200000,2025-09-18 18:53:51+00:00,200.0,52.1,51.6,52.65,1.6899986,3.3525066,28.0,464,0.6523472265625001,True,REGULAR,USD,2025-09-26
GOOGL250926C00205000,2025-09-18 18:53:05+00:00,205.0,47.06,46.65,47.6,1.9700012,4.3690424,7.0,596,0.5898478515625001,True,REGULAR,USD,2025-09-26
GOOGL250926C00210000,2025-09-18 18:33:13+00:00,210.0,42.0,42.0,43.45,1.5499992,3.8318892,42.0,1517,0.7465845654296875,True,REGULAR,USD,2025-09-26
GOOGL250926C00212500,2025-09-17 16:12:15+00:00,212.5,36.16,38.8,40.35,0.0,0.0,1.0,27,0.7346217944335938,True,REGULAR,USD,2025-09-26
GOOGL250926C00215000,2025-09-18 18:38:48+00:00,215.0,37.05,37.15,37.7,1.1199989,3.1171694,23.0,917,0.5942423388671876,True,REGULAR,USD,2025-09-26
GOOGL250926C00217500,2025-09-18 19:28:55+00:00,217.5,34.05,33.75,35.4,2.8099995,8.994877,7.0,72,0.6640658593750002,True,REGULAR,USD,2025-09-26
GOOGL250926C00220000,2025-09-18 19:28:55+00:00,220.0,32.02,32.2,32.6,1.1000004,3.557569,62.0,1967,0.516606396484375,True,REGULAR,USD,2025-09-26
