contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AMZN260109P00125000,2026-01-05 17:44:22+00:00,125.0,0.01,0.0,0.01,0.0,0.0,3.0,5.0,2.2500043749999996,False,REGULAR,USD,2026-01-09
AMZN260109P00130000,2025-12-23 14:30:22+00:00,130.0,0.01,0.0,0.01,0.0,0.0,2.0,23.0,2.1250046874999997,False,REGULAR,USD,2026-01-09
AMZN260109P00135000,2025-12-22 17:38:06+00:00,135.0,0.01,0.0,0.01,0.0,0.0,,20.0,1.96875015625,False,REGULAR,USD,2026-01-09
AMZN260109P00140000,2026-01-02 17:41:37+00:00,140.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,1.875000625,False,REGULAR,USD,2026-01-09
AMZN260109P00145000,2025-12-30 20:39:07+00:00,145.0,0.02,0.0,0.01,0.0,0.0,1.0,61.0,1.75000125,False,REGULAR,USD,2026-01-09
AMZN260109P00150000,2026-01-05 14:32:25+00:00,150.0,0.01,0.0,0.01,0.0,0.0,12.0,92.0,1.625001875,False,REGULAR,USD,2026-01-09
AMZN260109P00155000,2025-12-23 20:05:40+00:00,155.0,0.03,0.0,0.01,0.0,0.0,40.0,161.0,1.5312523437499999,False,REGULAR,USD,2026-01-09
AMZN260109P00160000,2026-01-06 19:28:31+00:00,160.0,0.01,0.0,0.01,0.0,0.0,16.0,764.0,1.4375028125,False,REGULAR,USD,2026-01-09
AMZN260109P00165000,2026-01-02 20:25:36+00:00,165.0,0.01,0.0,0.01,0.0,0.0,37.0,173.0,1.3125034374999998,False,REGULAR,USD,2026-01-09
AMZN260109P00170000,2026-01-07 17:51:44+00:00,170.0,0.01,0.0,0.01,0.0,0.0,22.0,2907.0,1.21875390625,False,REGULAR,USD,2026-01-09
AMZN260109P00175000,2026-01-06 17:28:54+00:00,175.0,0.01,0.0,0.01,0.0,0.0,20.0,1757.0,1.125004375,False,REGULAR,USD,2026-01-09
AMZN260109P00180000,2026-01-06 19:30:35+00:00,180.0,0.01,0.0,0.01,0.0,0.0,11.0,1021.0,1.0312548437500002,False,REGULAR,USD,2026-01-09
AMZN260109P00185000,2026-01-06 17:42:44+00:00,185.0,0.01,0.0,0.01,0.0,0.0,1.0,4243.0,0.937500625,False,REGULAR,USD,2026-01-09
AMZN260109P00190000,2026-01-06 20:35:45+00:00,190.0,0.01,0.01,0.01,0.0,0.0,22.0,3595.0,0.92187578125,False,REGULAR,USD,2026-01-09
AMZN260109P00195000,2026-01-07 20:33:34+00:00,195.0,0.01,0.0,0.01,0.0,0.0,100.0,2889.0,0.7812521875,False,REGULAR,USD,2026-01-09
AMZN260109P00200000,2026-01-07 20:38:57+00:00,200.0,0.01,0.0,0.02,-0.01,-50.0,392.0,4393.0,0.73437765625,False,REGULAR,USD,2026-01-09
AMZN260109P00205000,2026-01-07 20:35:08+00:00,205.0,0.01,0.01,0.02,-0.01,-50.0,351.0,3071.0,0.6718782812500002,False,REGULAR,USD,2026-01-09
AMZN260109P00207500,2026-01-07 20:37:00+00:00,207.5,0.02,0.01,0.02,-0.01,-33.333336,372.0,2870.0,0.6250037500000001,False,REGULAR,USD,2026-01-09
AMZN260109P00210000,2026-01-07 20:35:29+00:00,210.0,0.03,0.02,0.03,0.01,50.0,157.0,2896.0,0.6171913281250001,False,REGULAR,USD,2026-01-09
AMZN260109P00212500,2026-01-07 20:14:06+00:00,212.5,0.03,0.02,0.03,-0.01,-25.0,486.0,2440.0,0.570316796875,False,REGULAR,USD,2026-01-09
AMZN260109P00215000,2026-01-07 20:11:59+00:00,215.0,0.03,0.02,0.03,-0.020000001,-40.000004,445.0,4892.0,0.523442265625,False,REGULAR,USD,2026-01-09
AMZN260109P00217500,2026-01-07 20:24:11+00:00,217.5,0.04,0.04,0.04,-0.010000002,-20.000002,536.0,2048.0,0.50586431640625,False,REGULAR,USD,2026-01-09
AMZN260109P00220000,2026-01-07 20:47:04+00:00,220.0,0.04,0.04,0.05,-0.02,-28.571428,1586.0,5660.0,0.4726615234375,False,REGULAR,USD,2026-01-09
