contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GOOGL260109P00110000,2025-12-18 20:31:27+00:00,110.0,0.01,0.0,0.01,0.0,0.0,,31.0,4.2500046875,False,REGULAR,USD,2026-01-09
GOOGL260109P00120000,2025-12-18 20:31:41+00:00,120.0,0.01,0.0,0.01,0.0,0.0,,3.0,3.93750015625,False,REGULAR,USD,2026-01-09
GOOGL260109P00125000,2025-12-18 20:31:41+00:00,125.0,0.01,0.0,0.01,0.0,0.0,,3.0,3.81250046875,False,REGULAR,USD,2026-01-09
GOOGL260109P00130000,2025-12-19 17:08:58+00:00,130.0,0.01,0.0,0.01,0.0,0.0,217.0,229.0,3.6250009375000003,False,REGULAR,USD,2026-01-09
GOOGL260109P00135000,2025-12-19 17:09:02+00:00,135.0,0.01,0.0,0.01,0.0,0.0,324.0,353.0,3.50000125,False,REGULAR,USD,2026-01-09
GOOGL260109P00140000,2026-01-02 20:54:48+00:00,140.0,0.01,0.0,0.01,0.0,0.0,3.0,206.0,3.3750015624999996,False,REGULAR,USD,2026-01-09
GOOGL260109P00145000,2026-01-02 20:54:48+00:00,145.0,0.06,0.0,0.01,0.0,0.0,3.0,171.0,3.2500018749999997,False,REGULAR,USD,2026-01-09
GOOGL260109P00150000,2025-12-18 20:31:41+00:00,150.0,0.02,0.0,0.01,0.0,0.0,,43.0,3.1250021875,False,REGULAR,USD,2026-01-09
GOOGL260109P00155000,2025-12-18 20:31:41+00:00,155.0,0.02,0.0,0.01,0.0,0.0,,55.0,3.0000025,False,REGULAR,USD,2026-01-09
GOOGL260109P00165000,2025-12-18 20:31:41+00:00,165.0,0.02,0.0,0.01,0.0,0.0,8.0,10.0,2.750003125,False,REGULAR,USD,2026-01-09
GOOGL260109P00170000,2025-12-22 18:37:50+00:00,170.0,0.08,0.0,0.01,0.0,0.0,1.0,39.0,2.6250034375,False,REGULAR,USD,2026-01-09
GOOGL260109P00175000,2025-12-18 20:31:41+00:00,175.0,0.02,0.0,0.01,0.0,0.0,42.0,44.0,2.50000375,False,REGULAR,USD,2026-01-09
GOOGL260109P00180000,2025-12-22 18:37:50+00:00,180.0,0.08,0.0,0.01,0.0,0.0,1.0,36.0,2.3750040624999995,False,REGULAR,USD,2026-01-09
GOOGL260109P00185000,2025-12-18 20:31:41+00:00,185.0,0.02,0.0,0.01,0.0,0.0,,18.0,2.3125042187499996,False,REGULAR,USD,2026-01-09
GOOGL260109P00190000,2025-12-30 15:05:30+00:00,190.0,0.01,0.0,0.01,0.0,0.0,,5.0,2.1875045312499997,False,REGULAR,USD,2026-01-09
GOOGL260109P00195000,2025-12-19 16:36:30+00:00,195.0,0.02,0.0,0.01,0.0,0.0,1000.0,1000.0,2.1250046874999997,False,REGULAR,USD,2026-01-09
GOOGL260109P00200000,2026-01-07 18:16:54+00:00,200.0,0.01,0.0,0.01,0.0,0.0,3.0,1769.0,1.96875015625,False,REGULAR,USD,2026-01-09
GOOGL260109P00205000,2025-12-18 20:31:41+00:00,205.0,0.03,0.0,0.01,0.0,0.0,,31.0,1.875000625,False,REGULAR,USD,2026-01-09
GOOGL260109P00210000,2026-01-02 14:33:53+00:00,210.0,0.01,0.0,0.01,0.0,0.0,4.0,500.0,1.8125009374999999,False,REGULAR,USD,2026-01-09
GOOGL260109P00215000,2025-12-26 18:20:21+00:00,215.0,0.01,0.0,0.01,0.0,0.0,11.0,12.0,1.71875140625,False,REGULAR,USD,2026-01-09
GOOGL260109P00220000,2025-12-24 17:54:13+00:00,220.0,0.02,0.0,0.01,0.0,0.0,1.0,12.0,1.625001875,False,REGULAR,USD,2026-01-09
GOOGL260109P00225000,2026-01-02 17:47:14+00:00,225.0,0.01,0.0,0.01,0.0,0.0,700.0,730.0,1.5625021874999998,False,REGULAR,USD,2026-01-09
GOOGL260109P00230000,2026-01-02 17:47:13+00:00,230.0,0.01,0.0,0.01,0.0,0.0,1624.0,1841.0,1.4375028125,False,REGULAR,USD,2026-01-09
GOOGL260109P00235000,2026-01-02 19:55:15+00:00,235.0,0.01,0.0,0.01,0.0,0.0,963.0,997.0,1.3750031249999999,False,REGULAR,USD,2026-01-09
GOOGL260109P00240000,2026-01-07 20:54:40+00:00,240.0,0.01,0.0,0.01,0.0,0.0,2.0,759.0,1.2812535937499998,False,REGULAR,USD,2026-01-09
GOOGL260109P00245000,2026-01-05 14:43:17+00:00,245.0,0.01,0.0,0.01,0.0,0.0,7.0,716.0,1.1875040625,False,REGULAR,USD,2026-01-09
GOOGL260109P00250000,2026-01-05 18:15:04+00:00,250.0,0.01,0.0,0.01,0.0,0.0,1901.0,2206.0,1.125004375,False,REGULAR,USD,2026-01-09
GOOGL260109P00255000,2026-01-06 18:25:11+00:00,255.0,0.01,0.0,0.03,0.0,0.0,25.0,914.0,1.15625421875,False,REGULAR,USD,2026-01-09
GOOGL260109P00260000,2026-01-07 17:15:46+00:00,260.0,0.02,0.0,0.03,0.0,0.0,1.0,410.0,1.0625046875000002,False,REGULAR,USD,2026-01-09
GOOGL260109P00265000,2026-01-08 15:23:28+00:00,265.0,0.01,0.0,0.01,0.0,0.0,13.0,695.0,0.8906260937499999,False,REGULAR,USD,2026-01-09
GOOGL260109P00270000,2026-01-08 15:11:08+00:00,270.0,0.02,0.0,0.04,0.01,100.0,3.0,2281.0,0.929688203125,False,REGULAR,USD,2026-01-09
GOOGL260109P00275000,2026-01-08 16:25:23+00:00,275.0,0.02,0.0,0.03,0.01,100.0,15.0,908.0,0.8203142968749999,False,REGULAR,USD,2026-01-09
GOOGL260109P00280000,2026-01-08 19:23:57+00:00,280.0,0.01,0.0,0.01,0.0,0.0,87.0,2515.0,0.6718782812500002,False,REGULAR,USD,2026-01-09
