contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GOOGL260109C00100000,2026-01-06 15:10:23+00:00,100.0,217.15,228.4,228.65,0.0,0.0,,6,8.390629755859372,True,REGULAR,USD,2026-01-09
GOOGL260109C00105000,2026-01-08 16:11:19+00:00,105.0,222.35,223.4,223.65,0.0,0.0,1.0,4,8.062504960937499,True,REGULAR,USD,2026-01-09
GOOGL260109C00110000,2026-01-08 16:15:54+00:00,110.0,217.57,218.4,218.65,0.0,0.0,1.0,5,7.7343753320312505,True,REGULAR,USD,2026-01-09
GOOGL260109C00115000,2026-01-08 16:06:34+00:00,115.0,213.04,213.4,213.65,0.0,0.0,1.0,3,7.437500703125,True,REGULAR,USD,2026-01-09
GOOGL260109C00120000,2026-01-08 15:52:00+00:00,120.0,205.69,208.4,208.65,0.0,0.0,1.0,5,7.156251054687501,True,REGULAR,USD,2026-01-09
GOOGL260109C00125000,2026-01-08 15:59:12+00:00,125.0,201.93,203.4,203.65,0.0,0.0,1.0,3,6.87500140625,True,REGULAR,USD,2026-01-09
GOOGL260109C00130000,2026-01-08 20:33:05+00:00,130.0,194.84,198.4,198.65,0.0,0.0,3.0,4,6.6093767382812505,True,REGULAR,USD,2026-01-09
GOOGL260109C00135000,2026-01-08 20:33:05+00:00,135.0,189.85,193.4,193.65,0.0,0.0,4.0,6,6.35937705078125,True,REGULAR,USD,2026-01-09
GOOGL260109C00140000,2026-01-08 16:01:39+00:00,140.0,187.03,188.4,188.65,0.0,0.0,3.0,4,6.109377363281249,True,REGULAR,USD,2026-01-09
GOOGL260109C00145000,2026-01-08 16:03:11+00:00,145.0,182.16,183.4,183.65,0.0,0.0,1.0,4,5.87500265625,True,REGULAR,USD,2026-01-09
GOOGL260109C00150000,2026-01-08 16:03:34+00:00,150.0,177.21,178.4,178.65,0.0,0.0,1.0,4,5.64062794921875,True,REGULAR,USD,2026-01-09
GOOGL260109C00155000,2026-01-08 19:22:37+00:00,155.0,170.79,173.4,173.65,0.0,0.0,4.0,7,5.4218782226562485,True,REGULAR,USD,2026-01-09
GOOGL260109C00160000,2026-01-09 17:28:41+00:00,160.0,170.11,167.45,168.65,4.3099976,2.599516,1.0,10,5.20312849609375,True,REGULAR,USD,2026-01-09
GOOGL260109C00165000,2026-01-09 17:28:41+00:00,165.0,165.12,162.45,163.65,5.25,3.2839184,1.0,7,5.000003749999999,True,REGULAR,USD,2026-01-09
GOOGL260109C00170000,2026-01-09 14:56:23+00:00,170.0,160.01,157.5,159.6,5.1299896,3.3122349,21.0,28,6.787110891113282,True,REGULAR,USD,2026-01-09
GOOGL260109C00175000,2026-01-09 17:23:43+00:00,175.0,155.01,153.4,153.65,4.7099915,3.1337268,5.0,23,4.601566748046874,True,REGULAR,USD,2026-01-09
GOOGL260109C00180000,2026-01-08 16:26:56+00:00,180.0,147.52,148.4,148.65,0.0,0.0,8.0,16,4.406254492187499,True,REGULAR,USD,2026-01-09
GOOGL260109C00185000,2026-01-08 20:19:46+00:00,185.0,139.75,143.4,143.65,0.0,0.0,20.0,8,4.2187547265625,True,REGULAR,USD,2026-01-09
GOOGL260109C00190000,2026-01-08 19:12:54+00:00,190.0,136.12,138.4,138.65,0.0,0.0,2.0,3,4.0468799414062495,True,REGULAR,USD,2026-01-09
GOOGL260109C00195000,2026-01-09 17:35:45+00:00,195.0,134.78,132.45,133.65,3.8300018,2.9247818,2.0,4,3.86718783203125,True,REGULAR,USD,2026-01-09
GOOGL260109C00200000,2026-01-09 20:19:21+00:00,200.0,129.95,128.4,128.65,4.649994,3.7110884,38.0,20,3.6953132617187503,True,REGULAR,USD,2026-01-09
GOOGL260109C00205000,2026-01-09 20:11:32+00:00,205.0,124.8,123.4,123.65,8.18,7.014234,69.0,75,3.5234386914062497,True,REGULAR,USD,2026-01-09
