contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
META260109C00100000,2026-01-07 20:00:29+00:00,100.0,550.8,549.8,557.2,0.0,0.0,20.0,22,14.671875830078125,True,REGULAR,USD,2026-01-09
META260109C00180000,2026-01-07 16:52:30+00:00,180.0,471.56,469.8,477.2,0.0,0.0,8.0,8,10.132816166992189,True,REGULAR,USD,2026-01-09
META260109C00200000,2026-01-02 18:03:39+00:00,200.0,451.87,449.8,457.2,0.0,0.0,8.0,4,9.335941665039064,True,REGULAR,USD,2026-01-09
META260109C00250000,2026-01-02 18:05:04+00:00,250.0,400.88,400.05,407.2,0.0,0.0,2.0,1,7.902343872070313,True,REGULAR,USD,2026-01-09
META260109C00290000,2026-01-08 15:11:54+00:00,290.0,350.68,359.8,367.2,0.0,0.0,1.0,4,6.54687681640625,True,REGULAR,USD,2026-01-09
META260109C00300000,2026-01-09 18:23:04+00:00,300.0,351.1,349.8,357.2,8.600006,2.5109508,3.0,11,6.292970883789062,True,REGULAR,USD,2026-01-09
META260109C00310000,2026-01-05 17:45:09+00:00,310.0,351.47,339.8,347.2,0.0,0.0,,1,6.04687744140625,True,REGULAR,USD,2026-01-09
META260109C00320000,2026-01-07 18:48:44+00:00,320.0,334.25,329.8,337.2,0.0,0.0,2.0,9,5.808596489257813,True,REGULAR,USD,2026-01-09
META260109C00330000,2026-01-06 16:13:30+00:00,330.0,326.84,319.8,327.2,0.0,0.0,1.0,2,5.57812802734375,True,REGULAR,USD,2026-01-09
META260109C00340000,2026-01-08 16:57:45+00:00,340.0,303.81,309.8,317.2,0.0,0.0,1.0,1,5.353518933105467,True,REGULAR,USD,2026-01-09
META260109C00350000,2026-01-02 18:05:04+00:00,350.0,300.97,299.8,307.2,0.0,0.0,2.0,1,5.136722329101563,True,REGULAR,USD,2026-01-09
META260109C00360000,2026-01-02 18:55:49+00:00,360.0,289.54,289.8,297.2,0.0,0.0,3.0,5,4.9238319702148425,True,REGULAR,USD,2026-01-09
META260109C00370000,2026-01-02 19:02:29+00:00,370.0,279.73,279.8,287.2,0.0,0.0,3.0,5,4.716800979003906,True,REGULAR,USD,2026-01-09
META260109C00380000,2026-01-06 19:33:19+00:00,380.0,281.26,269.8,277.2,0.0,0.0,1.0,6,4.51562935546875,True,REGULAR,USD,2026-01-09
META260109C00390000,2026-01-06 19:31:52+00:00,390.0,271.19,259.8,267.2,0.0,0.0,1.0,4,4.3183639770507805,True,REGULAR,USD,2026-01-09
META260109C00400000,2026-01-08 19:32:11+00:00,400.0,243.9,249.8,257.2,0.0,0.0,1.0,11,4.126957966308594,True,REGULAR,USD,2026-01-09
META260109C00410000,2026-01-06 19:35:31+00:00,410.0,250.91,239.8,247.2,0.0,0.0,1.0,3,3.9394532763671872,True,REGULAR,USD,2026-01-09
META260109C00420000,2026-01-06 19:41:22+00:00,420.0,240.65,229.8,237.2,0.0,0.0,,2,3.755859985351563,True,REGULAR,USD,2026-01-09
META260109C00430000,2026-01-09 19:20:58+00:00,430.0,222.36,219.8,227.2,7.4900055,3.4858313,1.0,2,3.5761729345703124,True,REGULAR,USD,2026-01-09
META260109C00435000,2026-01-09 19:21:12+00:00,435.0,217.48,214.8,222.2,-0.7700043,-0.3528084,2.0,2,3.488282529296875,True,REGULAR,USD,2026-01-09
META260109C00440000,2026-01-09 19:21:12+00:00,440.0,212.48,209.8,217.2,10.229996,5.0580945,2.0,6,3.400392124023437,True,REGULAR,USD,2026-01-09
META260109C00445000,2026-01-08 20:39:45+00:00,445.0,201.84,204.8,212.2,0.0,0.0,44.0,5,3.3125017187499997,True,REGULAR,USD,2026-01-09
META260109C00450000,2026-01-08 20:39:45+00:00,450.0,202.0,199.8,207.2,5.1399994,2.6109922,4.0,11,3.2265644335937496,True,REGULAR,USD,2026-01-09
META260109C00465000,2026-01-09 19:20:27+00:00,465.0,187.44,184.8,192.2,6.5599976,3.6267123,1.0,24,2.972658818359375,True,REGULAR,USD,2026-01-09
META260109C00480000,2026-01-08 20:05:40+00:00,480.0,164.71,170.15,177.2,0.0,0.0,14.0,13,2.864260651855469,True,REGULAR,USD,2026-01-09
META260109C00485000,2026-01-08 20:05:40+00:00,485.0,159.72,164.8,172.2,0.0,0.0,8.0,8,2.646487758789063,True,REGULAR,USD,2026-01-09
META260109C00490000,2026-01-08 20:41:05+00:00,490.0,156.85,159.8,167.05,0.0,0.0,12.0,9,2.4980506298828127,True,REGULAR,USD,2026-01-09
