contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AMZN260116C00065000,2026-01-12 20:03:02+00:00,65.0,182.88,180.75,182.6,1.550003,0.8547968,3.0,2217.0,4.804691494140624,True,REGULAR,USD,2026-01-16
AMZN260116C00070000,2026-01-05 17:05:08+00:00,70.0,163.27,175.95,178.85,0.0,0.0,13.0,494.0,5.667971665039062,True,REGULAR,USD,2026-01-16
AMZN260116C00075000,2026-01-08 19:11:38+00:00,75.0,171.14,170.55,173.85,0.0,0.0,16.0,461.0,5.160159799804687,True,REGULAR,USD,2026-01-16
AMZN260116C00080000,2026-01-12 14:33:21+00:00,80.0,167.5,166.15,167.75,1.5,0.90361446,1.0,458.0,4.587894890136719,True,REGULAR,USD,2026-01-16
AMZN260116C00085000,2026-01-07 18:45:29+00:00,85.0,160.2,160.7,163.25,0.0,0.0,1.0,421.0,4.388676389160156,True,REGULAR,USD,2026-01-16
AMZN260116C00090000,2026-01-12 19:24:53+00:00,90.0,157.91,155.7,159.0,5.330002,3.4932506,1.0,1356.0,4.556644929199218,True,REGULAR,USD,2026-01-16
AMZN260116C00095000,2026-01-12 19:23:05+00:00,95.0,152.72,151.1,154.0,4.029999,2.710336,3.0,251.0,4.4902387622070306,True,REGULAR,USD,2026-01-16
AMZN260116C00100000,2026-01-12 16:08:48+00:00,100.0,148.25,145.8,148.4,1.050003,0.71331733,36.0,1702.0,3.8945315136718754,True,REGULAR,USD,2026-01-16
AMZN260116C00105000,2026-01-12 19:21:55+00:00,105.0,142.89,140.75,144.05,2.0299988,1.4411464,1.0,448.0,3.9531251171874997,True,REGULAR,USD,2026-01-16
AMZN260116C00110000,2026-01-12 19:38:34+00:00,110.0,138.25,136.25,138.0,1.9199982,1.408346,497.0,6700.0,3.5390636523437498,True,REGULAR,USD,2026-01-16
AMZN260116C00115000,2026-01-12 20:08:52+00:00,115.0,133.68,130.45,133.5,1.9299927,1.4648901,5.0,445.0,3.2246113134765624,True,REGULAR,USD,2026-01-16
