contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AAPL260116P00005000,2025-11-10 15:08:41+00:00,5.0,0.01,0.0,0.0,0.0,0.0,1.0,13664.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00010000,2025-07-25 18:31:23+00:00,10.0,0.01,0.0,0.02,0.0,0.0,1.0,2191.0,9.875003828125001,False,REGULAR,USD,2026-01-16
AAPL260116P00015000,2025-12-26 19:22:34+00:00,15.0,0.05,0.0,0.01,0.0,0.0,4.0,130.0,8.000005,False,REGULAR,USD,2026-01-16
AAPL260116P00020000,2025-09-11 13:56:00+00:00,20.0,0.01,0.0,0.01,0.0,0.0,1.0,520.0,7.2500009375,False,REGULAR,USD,2026-01-16
AAPL260116P00025000,2025-11-10 19:16:22+00:00,25.0,0.01,0.0,0.0,0.0,0.0,7.0,17.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00030000,2026-01-02 17:34:57+00:00,30.0,0.01,0.0,0.01,0.0,0.0,20.0,2347.0,6.125002343749999,False,REGULAR,USD,2026-01-16
AAPL260116P00035000,2025-07-25 19:45:13+00:00,35.0,0.01,0.0,0.02,0.0,0.0,10.0,152.0,6.0000025,False,REGULAR,USD,2026-01-16
AAPL260116P00040000,2025-08-27 18:51:39+00:00,40.0,0.01,0.0,0.1,0.0,0.0,5.0,1016.0,6.4062519921875,False,REGULAR,USD,2026-01-16
AAPL260116P00045000,2025-12-24 16:55:54+00:00,45.0,0.02,0.0,0.01,0.0,0.0,2.0,2381.0,5.000003749999999,False,REGULAR,USD,2026-01-16
AAPL260116P00050000,2025-10-22 15:55:53+00:00,50.0,0.01,0.0,0.01,0.0,0.0,1.0,6165.0,4.62500421875,False,REGULAR,USD,2026-01-16
AAPL260116P00055000,2025-11-20 14:30:09+00:00,55.0,0.01,0.0,0.0,0.0,0.0,1.0,866.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00060000,2025-11-04 16:26:37+00:00,60.0,0.01,0.0,0.0,0.0,0.0,10.0,1808.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00065000,2025-10-09 19:42:03+00:00,65.0,0.01,0.0,0.01,0.0,0.0,1.0,5734.0,3.8750003125,False,REGULAR,USD,2026-01-16
AAPL260116P00070000,2025-11-06 16:12:02+00:00,70.0,0.01,0.0,0.0,0.0,0.0,1.0,2823.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00075000,2025-12-02 17:08:41+00:00,75.0,0.01,0.0,0.0,0.0,0.0,29.0,3753.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00080000,2025-12-02 17:08:37+00:00,80.0,0.01,0.0,0.0,0.0,0.0,33.0,2477.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00085000,2026-01-13 15:06:45+00:00,85.0,0.01,0.0,0.01,0.0,0.0,27.0,1654.0,3.1875020312499998,False,REGULAR,USD,2026-01-16
AAPL260116P00090000,2026-01-07 18:01:15+00:00,90.0,0.01,0.0,0.01,0.0,0.0,89.0,1872.0,3.0000025,False,REGULAR,USD,2026-01-16
AAPL260116P00095000,2025-11-28 17:52:38+00:00,95.0,0.01,0.0,0.0,0.0,0.0,3.0,6034.0,0.500005,False,REGULAR,USD,2026-01-16
AAPL260116P00100000,2026-01-05 20:12:04+00:00,100.0,0.01,0.0,0.01,0.0,0.0,40.0,6883.0,2.750003125,False,REGULAR,USD,2026-01-16
AAPL260116P00105000,2026-01-12 19:19:23+00:00,105.0,0.01,0.0,0.01,0.0,0.0,1.0,5264.0,2.6250034375,False,REGULAR,USD,2026-01-16
AAPL260116P00110000,2026-01-12 20:25:23+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,2930.0,2.50000375,False,REGULAR,USD,2026-01-16
AAPL260116P00115000,2026-01-12 20:14:02+00:00,115.0,0.01,0.0,0.01,0.0,0.0,27.0,1471.0,2.3750040624999995,False,REGULAR,USD,2026-01-16
AAPL260116P00120000,2026-01-05 14:30:01+00:00,120.0,0.01,0.0,0.01,0.0,0.0,1.0,3698.0,2.2500043749999996,False,REGULAR,USD,2026-01-16
AAPL260116P00125000,2026-01-07 18:48:10+00:00,125.0,0.01,0.0,0.01,0.0,0.0,6.0,3340.0,2.1250046874999997,False,REGULAR,USD,2026-01-16
AAPL260116P00130000,2026-01-12 19:38:31+00:00,130.0,0.01,0.0,0.01,0.0,0.0,50.0,9650.0,2.000005,False,REGULAR,USD,2026-01-16
AAPL260116P00135000,2026-01-07 18:21:23+00:00,135.0,0.02,0.0,0.01,0.01,100.0,1.0,4019.0,1.9375003125,False,REGULAR,USD,2026-01-16
AAPL260116P00140000,2026-01-12 17:20:13+00:00,140.0,0.07,0.0,0.01,0.060000002,600.0001,5.0,4451.0,1.8125009374999999,False,REGULAR,USD,2026-01-16
AAPL260116P00145000,2026-01-07 18:21:03+00:00,145.0,0.01,0.0,0.03,0.0,0.0,1.0,4634.0,1.875000625,False,REGULAR,USD,2026-01-16
AAPL260116P00150000,2026-01-13 19:41:06+00:00,150.0,0.03,0.0,0.01,0.02,200.0,1.0,63344.0,1.625001875,False,REGULAR,USD,2026-01-16
AAPL260116P00155000,2026-01-12 19:54:23+00:00,155.0,0.01,0.0,0.02,0.0,0.0,1.0,6216.0,1.625001875,False,REGULAR,USD,2026-01-16
AAPL260116P00160000,2026-01-13 14:31:08+00:00,160.0,0.01,0.0,0.01,0.0,0.0,10.0,14713.0,1.4375028125,False,REGULAR,USD,2026-01-16
AAPL260116P00165000,2026-01-13 20:23:05+00:00,165.0,0.08,0.0,0.06,0.06,300.0,1.0,14698.0,1.5859395703124997,False,REGULAR,USD,2026-01-16
AAPL260116P00170000,2026-01-12 20:26:58+00:00,170.0,0.01,0.0,0.02,0.0,0.0,5.0,27732.0,1.3437532812499997,False,REGULAR,USD,2026-01-16
AAPL260116P00175000,2026-01-12 17:49:54+00:00,175.0,0.01,0.0,0.01,0.0,0.0,15582.0,41394.0,1.1875040625,False,REGULAR,USD,2026-01-16
AAPL260116P00180000,2026-01-12 20:26:58+00:00,180.0,0.01,0.0,0.01,0.0,0.0,2.0,61153.0,1.125004375,False,REGULAR,USD,2026-01-16
AAPL260116P00185000,2026-01-12 20:32:21+00:00,185.0,0.01,0.0,0.02,0.0,0.0,50.0,16807.0,1.09375453125,False,REGULAR,USD,2026-01-16
AAPL260116P00190000,2026-01-13 14:34:00+00:00,190.0,0.01,0.0,0.01,0.0,0.0,40.0,16200.0,0.9687503125,False,REGULAR,USD,2026-01-16
AAPL260116P00195000,2026-01-13 14:57:49+00:00,195.0,0.01,0.0,0.01,0.0,0.0,1.0,17826.0,0.87500125,False,REGULAR,USD,2026-01-16
AAPL260116P00200000,2026-01-13 14:35:28+00:00,200.0,0.01,0.0,0.01,0.0,0.0,12.0,42270.0,0.8125018749999999,False,REGULAR,USD,2026-01-16
AAPL260116P00205000,2026-01-13 14:30:03+00:00,205.0,0.02,0.01,0.02,-0.030000001,-60.0,1.0,14655.0,0.8281267187499999,False,REGULAR,USD,2026-01-16
AAPL260116P00210000,2026-01-13 18:09:57+00:00,210.0,0.01,0.0,0.01,0.0,0.0,43.0,35534.0,0.6875031250000001,False,REGULAR,USD,2026-01-16
AAPL260116P00215000,2026-01-13 17:03:54+00:00,215.0,0.01,0.0,0.02,0.0,0.0,20.0,20530.0,0.648441015625,False,REGULAR,USD,2026-01-16
