contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT260116C00160000,2026-01-12 14:30:05+00:00,160.0,315.6,306.35,309.75,0.0,0.0,2.0,219.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00165000,2026-01-13 17:14:18+00:00,165.0,305.41,301.25,304.25,-18.139984,-5.606548,1.0,24.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00170000,2025-11-25 16:25:48+00:00,170.0,303.11,300.5,304.2,0.0,0.0,4.0,116.0,5.146487941894532,True,REGULAR,USD,2026-01-16
MSFT260116C00175000,2025-07-10 18:29:53+00:00,175.0,329.22,333.3,336.9,0.0,0.0,1.0,91.0,11.99072516204834,True,REGULAR,USD,2026-01-16
MSFT260116C00180000,2026-01-13 17:14:18+00:00,180.0,290.45,286.35,289.25,-1.5699768,-0.5376265,1.0,105.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00185000,2025-10-31 18:47:29+00:00,185.0,331.75,304.4,308.25,0.0,0.0,3.0,498.0,8.803959575653076,True,REGULAR,USD,2026-01-16
MSFT260116C00190000,2025-12-11 20:27:33+00:00,190.0,295.1,276.35,279.2,0.0,0.0,2.0,1061.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00195000,2026-01-12 15:46:52+00:00,195.0,283.67,271.4,274.2,0.0,0.0,1.0,106.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00200000,2026-01-12 17:09:05+00:00,200.0,279.62,266.4,269.2,0.0,0.0,1.0,190.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00205000,2026-01-05 14:49:45+00:00,205.0,267.07,261.4,264.2,0.0,0.0,1.0,885.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00210000,2026-01-13 17:35:50+00:00,210.0,259.7,256.4,259.2,-8.299988,-3.0970104,9.0,162.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
MSFT260116C00215000,2026-01-12 15:43:18+00:00,215.0,264.07,251.4,254.2,0.0,0.0,4.0,185.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
