contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT260116P00160000,2026-01-07 15:56:50+00:00,160.0,0.01,0.0,0.01,0.0,0.0,1.0,1289,5.7500028125,False,REGULAR,USD,2026-01-16
MSFT260116P00165000,2025-11-24 18:44:10+00:00,165.0,0.02,0.0,0.01,0.0,0.0,3.0,350,5.62500296875,False,REGULAR,USD,2026-01-16
MSFT260116P00170000,2025-10-29 14:54:03+00:00,170.0,0.02,0.0,0.23,0.0,0.0,1.0,420,7.093751132812501,False,REGULAR,USD,2026-01-16
MSFT260116P00175000,2026-01-12 18:09:21+00:00,175.0,0.01,0.0,0.01,0.0,0.0,1.0,278,5.250003437499999,False,REGULAR,USD,2026-01-16
MSFT260116P00180000,2025-11-26 18:02:45+00:00,180.0,0.02,0.0,0.22,0.0,0.0,1.0,436,6.671876660156251,False,REGULAR,USD,2026-01-16
MSFT260116P00185000,2025-11-14 17:04:57+00:00,185.0,0.02,0.0,0.08,0.0,0.0,1.0,306,5.9062526171875005,False,REGULAR,USD,2026-01-16
MSFT260116P00190000,2025-11-19 17:02:07+00:00,190.0,0.02,0.0,0.08,0.0,0.0,1.0,438,5.7187528515625,False,REGULAR,USD,2026-01-16
MSFT260116P00195000,2025-11-21 17:33:02+00:00,195.0,0.05,0.0,0.03,0.0,0.0,1.0,949,5.12500359375,False,REGULAR,USD,2026-01-16
MSFT260116P00200000,2026-01-06 17:58:23+00:00,200.0,0.01,0.0,0.01,0.0,0.0,1.0,1845,4.62500421875,False,REGULAR,USD,2026-01-16
MSFT260116P00205000,2025-12-19 20:26:02+00:00,205.0,0.01,0.0,0.01,0.0,0.0,2.0,406,4.500004375,False,REGULAR,USD,2026-01-16
MSFT260116P00210000,2025-12-03 14:30:21+00:00,210.0,0.11,0.0,0.01,0.0,0.0,1.0,453,4.375004531249999,False,REGULAR,USD,2026-01-16
MSFT260116P00215000,2025-12-01 18:00:08+00:00,215.0,0.02,0.0,0.01,0.0,0.0,2.0,278,4.2500046875,False,REGULAR,USD,2026-01-16
MSFT260116P00220000,2026-01-02 20:02:14+00:00,220.0,0.01,0.0,0.01,0.0,0.0,2.0,248,4.12500484375,False,REGULAR,USD,2026-01-16
MSFT260116P00225000,2026-01-14 16:57:47+00:00,225.0,0.01,0.0,0.01,0.0,0.0,1.0,641,3.93750015625,False,REGULAR,USD,2026-01-16
MSFT260116P00230000,2026-01-07 16:57:46+00:00,230.0,0.01,0.0,0.01,0.0,0.0,1.0,1231,3.8750003125,False,REGULAR,USD,2026-01-16
MSFT260116P00235000,2026-01-14 19:45:12+00:00,235.0,0.02,0.0,0.03,0.0,0.0,1.0,653,4.062504921875,False,REGULAR,USD,2026-01-16
MSFT260116P00240000,2026-01-02 14:33:37+00:00,240.0,0.01,0.0,0.01,0.0,0.0,2.0,1958,3.6250009375000003,False,REGULAR,USD,2026-01-16
MSFT260116P00245000,2025-12-15 18:08:29+00:00,245.0,0.01,0.0,0.03,0.0,0.0,42.0,808,3.81250046875,False,REGULAR,USD,2026-01-16
MSFT260116P00250000,2026-01-14 17:23:06+00:00,250.0,0.01,0.0,0.01,0.0,0.0,1.0,1123,3.3750015624999996,False,REGULAR,USD,2026-01-16
MSFT260116P00255000,2026-01-02 16:14:52+00:00,255.0,0.02,0.0,0.03,0.0,0.0,3.0,748,3.593751015625,False,REGULAR,USD,2026-01-16
MSFT260116P00260000,2026-01-16 18:02:19+00:00,260.0,0.01,0.0,0.01,0.0,0.0,3.0,2210,3.2500018749999997,False,REGULAR,USD,2026-01-16
MSFT260116P00265000,2026-01-16 19:13:42+00:00,265.0,0.01,0.0,0.03,-0.01,-50.0,1.0,1928,3.3750015624999996,False,REGULAR,USD,2026-01-16
MSFT260116P00270000,2026-01-02 19:58:41+00:00,270.0,0.01,0.0,0.03,0.0,0.0,9.0,3034,3.281251796875,False,REGULAR,USD,2026-01-16
MSFT260116P00275000,2025-12-24 14:30:04+00:00,275.0,0.01,0.0,0.03,0.0,0.0,3.0,1190,3.156252109375,False,REGULAR,USD,2026-01-16
MSFT260116P00280000,2026-01-02 19:59:04+00:00,280.0,0.02,0.0,0.03,0.0,0.0,11.0,759,3.06250234375,False,REGULAR,USD,2026-01-16
MSFT260116P00285000,2026-01-12 17:51:23+00:00,285.0,0.02,0.0,0.05,0.0,0.0,1.0,1214,3.0937522656249996,False,REGULAR,USD,2026-01-16
