contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AMZN251003C00120000,2025-10-02 19:44:58+00:00,120.0,102.43,101.9,102.95,1.8799973,1.8697138,36.0,43,2.81250296875,True,REGULAR,USD,2025-10-03
AMZN251003C00125000,2025-10-02 19:52:50+00:00,125.0,97.08,96.85,98.0,1.3899994,1.4526067,36.0,60,2.6562533593750004,True,REGULAR,USD,2025-10-03
AMZN251003C00130000,2025-10-02 15:27:24+00:00,130.0,92.33,91.2,93.8,1.7700043,1.9545101,4.0,40,2.9765650585937498,True,REGULAR,USD,2025-10-03
AMZN251003C00135000,2025-10-02 19:59:02+00:00,135.0,87.35,86.85,87.8,1.8499985,2.1637409,26.0,40,3.4082046044921874,True,REGULAR,USD,2025-10-03
AMZN251003C00140000,2025-10-02 18:28:38+00:00,140.0,82.48,81.5,83.0,1.6800003,2.0792081,6.0,50,3.4199233251953123,True,REGULAR,USD,2025-10-03
AMZN251003C00145000,2025-10-02 19:52:50+00:00,145.0,77.13,76.85,78.05,1.4399948,1.9024901,16.0,30,2.2031294921874993,True,REGULAR,USD,2025-10-03
AMZN251003C00150000,2025-10-02 19:35:25+00:00,150.0,72.33,71.9,73.0,2.0,2.8437366,41.0,62,2.0468798828125,True,REGULAR,USD,2025-10-03
AMZN251003C00155000,2025-10-02 19:59:02+00:00,155.0,67.4,66.4,67.85,1.8499985,2.8222706,7.0,13,2.6230503173828126,True,REGULAR,USD,2025-10-03
AMZN251003C00160000,2025-10-02 14:23:24+00:00,160.0,60.39,61.5,63.4,-0.45999908,-0.7559558,9.0,21,1.734376328125,True,REGULAR,USD,2025-10-03
AMZN251003C00165000,2025-10-02 19:54:08+00:00,165.0,56.9,56.85,58.05,1.3700027,2.46714,19.0,22,1.5859395703124997,True,REGULAR,USD,2025-10-03
AMZN251003C00170000,2025-10-02 19:37:43+00:00,170.0,52.38,51.9,53.0,2.040001,4.0524454,38.0,45,1.4453152734375,True,REGULAR,USD,2025-10-03
AMZN251003C00175000,2025-10-01 19:20:25+00:00,175.0,47.44,46.2,48.85,1.1899986,2.57297,4.0,16,1.4921900390624998,True,REGULAR,USD,2025-10-03
AMZN251003C00180000,2025-10-02 17:00:16+00:00,180.0,42.04,41.55,43.0,0.020000458,0.04759747,61.0,106,1.7714855175781248,True,REGULAR,USD,2025-10-03
AMZN251003C00185000,2025-10-02 19:17:49+00:00,185.0,36.89,37.4,37.7,2.869999,8.436211,87.0,104,1.220707021484375,True,REGULAR,USD,2025-10-03
AMZN251003C00190000,2025-10-02 19:18:37+00:00,190.0,32.03,32.4,32.95,-0.040000916,-0.12473001,35.0,111,1.189457177734375,True,REGULAR,USD,2025-10-03
AMZN251003C00192500,2025-10-02 16:27:59+00:00,192.5,29.67,29.75,30.5,0.27000046,0.91836894,6.0,42,1.0644578027343752,True,REGULAR,USD,2025-10-03
AMZN251003C00195000,2025-10-02 19:15:05+00:00,195.0,27.12,27.4,27.65,0.62000084,2.3396258,46.0,230,0.8867198828124999,True,REGULAR,USD,2025-10-03
AMZN251003C00197500,2025-10-02 17:10:54+00:00,197.5,25.0,24.85,26.0,0.95000076,3.9501073,8.0,5,1.083988955078125,True,REGULAR,USD,2025-10-03
AMZN251003C00200000,2025-10-02 19:56:41+00:00,200.0,22.4,22.45,22.6,0.3199997,1.449274,261.0,419,0.7402369726562499,True,REGULAR,USD,2025-10-03
AMZN251003C00202500,2025-10-02 16:40:17+00:00,202.5,19.71,19.9,20.2,1.2099991,6.5405354,3.0,26,0.6894562304687502,True,REGULAR,USD,2025-10-03
AMZN251003C00205000,2025-10-02 19:30:25+00:00,205.0,16.8,17.4,17.65,0.94999886,5.9936833,212.0,708,0.5918009570312501,True,REGULAR,USD,2025-10-03
AMZN251003C00207500,2025-10-02 16:30:33+00:00,207.5,13.9,14.85,15.25,-0.40000057,-2.7972069,48.0,162,0.5371140039062501,True,REGULAR,USD,2025-10-03
AMZN251003C00210000,2025-10-02 19:37:43+00:00,210.0,12.5,12.45,12.65,2.1499996,20.772943,181.0,1993,0.51562984375,True,REGULAR,USD,2025-10-03
AMZN251003C00212500,2025-10-02 19:59:34+00:00,212.5,10.1,10.0,10.15,2.2000003,27.848104,712.0,1010,0.43164630859375,True,REGULAR,USD,2025-10-03
AMZN251003C00215000,2025-10-02 19:58:18+00:00,215.0,7.65,7.55,7.7,1.4000001,22.400002,1709.0,4353,0.3627993408203125,True,REGULAR,USD,2025-10-03
AMZN251003C00217500,2025-10-02 19:58:18+00:00,217.5,5.25,5.15,5.25,0.9499998,22.09302,3486.0,3805,0.28321029296874994,True,REGULAR,USD,2025-10-03
AMZN251003C00220000,2025-10-02 19:59:50+00:00,220.0,3.1,3.05,3.1,0.53999996,21.093748,33389.0,14945,0.2475661181640625,True,REGULAR,USD,2025-10-03
AMZN251003C00222500,2025-10-02 19:59:57+00:00,222.5,1.51,1.48,1.51,0.13999999,10.218977,42316.0,18316,0.23657989990234374,False,REGULAR,USD,2025-10-03
AMZN251003C00225000,2025-10-02 19:59:55+00:00,225.0,0.53,0.52,0.54,-0.15000004,-22.058828,55414.0,30530,0.225593681640625,False,REGULAR,USD,2025-10-03
AMZN251003C00227500,2025-10-02 19:59:54+00:00,227.5,0.17,0.17,0.18,-0.14999999,-46.874996,21106.0,24382,0.23584748535156247,False,REGULAR,USD,2025-10-03
AMZN251003C00230000,2025-10-02 19:59:50+00:00,230.0,0.07,0.06,0.08,-0.089999996,-56.25,16053.0,22994,0.26563234375,False,REGULAR,USD,2025-10-03
AMZN251003C00232500,2025-10-02 19:58:39+00:00,232.5,0.04,0.03,0.04,-0.030000001,-42.857143,8015.0,15412,0.29688203124999996,False,REGULAR,USD,2025-10-03
AMZN251003C00235000,2025-10-02 19:59:54+00:00,235.0,0.03,0.02,0.03,-0.01,-25.0,9145.0,18465,0.3398503515625,False,REGULAR,USD,2025-10-03
AMZN251003C00237500,2025-10-02 19:56:17+00:00,237.5,0.01,0.01,0.02,-0.02,-66.66667,6214.0,16000,0.37500625,False,REGULAR,USD,2025-10-03
AMZN251003C00240000,2025-10-02 19:57:50+00:00,240.0,0.01,0.0,0.01,0.0,0.0,1877.0,22088,0.398443515625,False,REGULAR,USD,2025-10-03
AMZN251003C00242500,2025-10-02 19:40:20+00:00,242.5,0.01,0.0,0.01,-0.01,-50.0,161.0,4138,0.445318046875,False,REGULAR,USD,2025-10-03
AMZN251003C00245000,2025-10-02 19:55:00+00:00,245.0,0.01,0.0,0.01,0.0,0.0,1781.0,10475,0.49219257812500006,False,REGULAR,USD,2025-10-03
AMZN251003C00247500,2025-10-02 17:40:06+00:00,247.5,0.01,0.0,0.01,0.0,0.0,20.0,2619,0.500005,False,REGULAR,USD,2025-10-03
