contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
META251003C00300000,2025-10-02 14:52:45+00:00,300.0,421.0,425.4,428.6,0.3999939,0.09510078,2.0,12,5.881838585205079,True,REGULAR,USD,2025-10-03
META251003C00310000,2025-09-30 17:36:52+00:00,310.0,419.08,415.25,418.9,0.0,0.0,2.0,0,3.6250009375000003,True,REGULAR,USD,2025-10-03
META251003C00320000,2025-10-02 18:18:17+00:00,320.0,405.05,406.25,408.2,6.1299744,1.5366424,26.0,23,4.160161049804687,True,REGULAR,USD,2025-10-03
META251003C00350000,2025-10-02 16:08:08+00:00,350.0,369.95,376.15,377.75,1.0400085,0.28191388,6.0,2,4.400395124511719,True,REGULAR,USD,2025-10-03
META251003C00400000,2025-09-29 16:58:04+00:00,400.0,346.37,325.45,327.9,0.0,0.0,34.0,7,3.762695905761719,True,REGULAR,USD,2025-10-03
META251003C00460000,2025-09-29 17:09:53+00:00,460.0,285.57,265.3,268.1,0.0,0.0,17.0,3,3.0615257836914065,True,REGULAR,USD,2025-10-03
META251003C00495000,2025-09-29 17:30:30+00:00,495.0,249.5,230.3,233.25,0.0,0.0,16.0,5,2.684573601074219,True,REGULAR,USD,2025-10-03
META251003C00500000,2025-10-01 13:30:06+00:00,500.0,225.0,225.5,228.3,6.25,2.857143,1.0,2,2.641604958496094,True,REGULAR,USD,2025-10-03
META251003C00505000,2025-09-30 14:30:15+00:00,505.0,224.44,220.3,223.15,0.0,0.0,1.0,6,2.5263708715820306,True,REGULAR,USD,2025-10-03
META251003C00515000,2025-09-30 13:46:29+00:00,515.0,219.77,210.3,213.15,0.0,0.0,1.0,1,2.4082071044921873,True,REGULAR,USD,2025-10-03
META251003C00525000,2025-09-30 17:18:21+00:00,525.0,203.72,200.35,204.0,0.0,0.0,2.0,5,1.7109389453125,True,REGULAR,USD,2025-10-03
META251003C00530000,2025-09-30 17:18:21+00:00,530.0,198.73,195.35,198.15,0.0,0.0,2.0,3,2.2343794140624995,True,REGULAR,USD,2025-10-03
META251003C00535000,2025-10-01 19:59:36+00:00,535.0,182.63,190.35,193.25,0.0,0.0,10.0,1,2.209965412597656,True,REGULAR,USD,2025-10-03
META251003C00545000,2025-10-01 14:46:52+00:00,545.0,170.09,180.35,183.25,0.0,0.0,1.0,2,2.0952196057128902,True,REGULAR,USD,2025-10-03
META251003C00550000,2025-10-02 19:54:58+00:00,550.0,176.38,175.5,178.7,8.590012,5.1195016,2.0,6,1.3515657421874998,True,REGULAR,USD,2025-10-03
META251003C00555000,2025-09-23 18:51:31+00:00,555.0,198.82,170.35,173.2,0.0,0.0,2.0,2,1.9677735986328124,True,REGULAR,USD,2025-10-03
META251003C00560000,2025-09-30 18:33:52+00:00,560.0,171.7,165.35,168.15,0.0,0.0,198.0,213,1.8974614501953124,True,REGULAR,USD,2025-10-03
META251003C00565000,2025-10-02 18:32:26+00:00,565.0,160.62,160.35,163.2,-5.0200043,-3.0306716,2.0,2,1.8569343090820314,True,REGULAR,USD,2025-10-03
META251003C00570000,2025-10-02 18:31:38+00:00,570.0,156.25,156.1,157.95,-4.399994,-2.7388697,3.0,11,1.727052145996094,True,REGULAR,USD,2025-10-03
META251003C00575000,2025-10-02 18:30:53+00:00,575.0,151.1,150.35,154.0,9.820007,6.9507413,1.0,8,1.2714880175781247,True,REGULAR,USD,2025-10-03
META251003C00580000,2025-10-02 19:58:50+00:00,580.0,146.58,146.35,148.1,-22.940002,-13.532328,20.0,15,1.2793004785156248,True,REGULAR,USD,2025-10-03
META251003C00585000,2025-10-02 18:32:26+00:00,585.0,140.67,140.35,143.15,6.9599915,5.2052884,2.0,2,1.6254901538085935,True,REGULAR,USD,2025-10-03
META251003C00590000,2025-10-02 18:31:38+00:00,590.0,136.3,136.1,137.85,-59.84999,-30.51236,3.0,1,1.486330693359375,True,REGULAR,USD,2025-10-03
META251003C00595000,2025-10-02 18:30:53+00:00,595.0,131.15,130.35,134.0,-2.4500122,-1.8338414,1.0,4,1.1035201074218752,True,REGULAR,USD,2025-10-03
META251003C00600000,2025-10-02 14:52:54+00:00,600.0,121.0,125.55,128.7,3.0,2.542373,1.0,37,1.0039112304687499,True,REGULAR,USD,2025-10-03
META251003C00605000,2025-09-29 19:50:00+00:00,605.0,120.2,120.35,123.2,-18.90001,-13.587354,1.0,1,1.4243192846679689,True,REGULAR,USD,2025-10-03
META251003C00610000,2025-09-25 16:35:47+00:00,610.0,115.94,115.35,118.35,-28.819992,-19.90881,1.0,2,1.404299853515625,True,REGULAR,USD,2025-10-03
META251003C00615000,2025-09-26 14:08:43+00:00,615.0,131.08,110.4,113.2,0.0,0.0,1.0,2,1.3183627832031248,True,REGULAR,USD,2025-10-03
META251003C00620000,2025-09-30 15:09:47+00:00,620.0,115.37,105.95,108.15,0.0,0.0,10.0,11,0.500005,True,REGULAR,USD,2025-10-03
META251003C00625000,2025-10-02 14:27:56+00:00,625.0,97.19,100.95,103.05,-12.849998,-11.67757,1.0,12,1.1806681591796875,True,REGULAR,USD,2025-10-03
META251003C00630000,2025-10-01 14:45:36+00:00,630.0,84.78,96.05,97.85,0.0,0.0,2.0,10,1.0830123974609376,True,REGULAR,USD,2025-10-03
META251003C00635000,2025-09-29 19:58:42+00:00,635.0,89.45,91.15,92.8,-18.850006,-17.405361,1.0,2,1.0210009887695315,True,REGULAR,USD,2025-10-03
META251003C00640000,2025-09-30 14:35:52+00:00,640.0,82.75,86.1,87.85,-7.1299973,-7.932797,5.0,52,0.983398603515625,True,REGULAR,USD,2025-10-03
META251003C00645000,2025-09-23 14:41:30+00:00,645.0,125.23,80.85,83.2,0.0,0.0,1.0,1,1.003667091064453,True,REGULAR,USD,2025-10-03
META251003C00650000,2025-10-02 14:28:52+00:00,650.0,75.91,76.25,77.85,6.300003,9.050428,22.0,50,0.8842785009765625,True,REGULAR,USD,2025-10-03
