contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT251010P00270000,2025-10-06 19:26:42+00:00,270.0,0.01,0.0,0.01,0.0,0.0,2254.0,643,1.65625171875,False,REGULAR,USD,2025-10-10
MSFT251010P00280000,2025-10-06 19:29:00+00:00,280.0,0.03,0.0,0.01,0.02,200.0,31.0,6,1.5625021874999998,False,REGULAR,USD,2025-10-10
MSFT251010P00300000,2025-10-06 19:42:02+00:00,300.0,0.04,0.0,0.01,0.03,300.0,16.0,7,1.40625296875,False,REGULAR,USD,2025-10-10
MSFT251010P00315000,2025-09-08 13:44:48+00:00,315.0,0.04,0.0,0.11,0.0,0.0,1.0,1,1.57422087890625,False,REGULAR,USD,2025-10-10
MSFT251010P00320000,2025-09-16 19:15:14+00:00,320.0,0.02,0.0,0.43,0.0,0.0,2.0,5,1.7695324023437498,False,REGULAR,USD,2025-10-10
MSFT251010P00330000,2025-09-26 14:40:56+00:00,330.0,0.02,0.0,0.03,0.0,0.0,2.0,4,1.2812535937499998,False,REGULAR,USD,2025-10-10
MSFT251010P00335000,2025-10-06 19:29:43+00:00,335.0,0.01,0.0,0.01,0.0,0.0,2.0,315,1.15625421875,False,REGULAR,USD,2025-10-10
MSFT251010P00340000,2025-10-03 19:17:55+00:00,340.0,0.01,0.0,0.04,0.0,0.0,58.0,66,1.2343788281249999,False,REGULAR,USD,2025-10-10
MSFT251010P00345000,2025-09-05 19:09:46+00:00,345.0,0.08,0.0,0.06,0.0,0.0,1.0,1,1.2421912890624998,False,REGULAR,USD,2025-10-10
MSFT251010P00360000,2025-09-16 19:47:24+00:00,360.0,0.05,0.0,0.12,0.0,0.0,,2,1.203128984375,False,REGULAR,USD,2025-10-10
MSFT251010P00365000,2025-09-12 18:44:59+00:00,365.0,0.05,0.0,0.04,0.0,0.0,,104,1.0546922265625,False,REGULAR,USD,2025-10-10
MSFT251010P00370000,2025-09-17 17:26:00+00:00,370.0,0.05,0.0,0.12,0.0,0.0,,4,1.125004375,False,REGULAR,USD,2025-10-10
MSFT251010P00375000,2025-09-29 18:14:29+00:00,375.0,0.01,0.0,0.12,0.0,0.0,,356,1.0859420703125,False,REGULAR,USD,2025-10-10
MSFT251010P00380000,2025-09-29 15:52:31+00:00,380.0,0.01,0.0,0.4,0.0,0.0,323.0,325,1.201175869140625,False,REGULAR,USD,2025-10-10
MSFT251010P00390000,2025-09-23 19:55:27+00:00,390.0,0.01,0.0,0.12,0.0,0.0,,8,0.9726565234375,False,REGULAR,USD,2025-10-10
MSFT251010P00395000,2025-09-08 14:01:12+00:00,395.0,0.24,0.0,0.12,0.0,0.0,,10,0.9335944140625,False,REGULAR,USD,2025-10-10
MSFT251010P00400000,2025-10-02 19:38:18+00:00,400.0,0.01,0.0,0.12,0.0,0.0,12.0,50,0.8984385156249999,False,REGULAR,USD,2025-10-10
MSFT251010P00405000,2025-10-03 17:10:27+00:00,405.0,0.01,0.0,0.12,0.0,0.0,12.0,406,0.86132951171875,False,REGULAR,USD,2025-10-10
MSFT251010P00410000,2025-09-29 13:30:03+00:00,410.0,0.01,0.0,0.12,0.0,0.0,20.0,44,0.8242205078124999,False,REGULAR,USD,2025-10-10
MSFT251010P00415000,2025-10-02 16:40:48+00:00,415.0,0.02,0.0,0.12,0.0,0.0,2.0,44,0.789064609375,False,REGULAR,USD,2025-10-10
MSFT251010P00420000,2025-10-06 19:39:34+00:00,420.0,0.01,0.0,0.12,-0.02,-66.66667,16.0,83,0.7539087109375,False,REGULAR,USD,2025-10-10
MSFT251010P00425000,2025-10-06 17:28:22+00:00,425.0,0.06,0.0,0.12,0.049999997,499.99988,10.0,46,0.7187528125,False,REGULAR,USD,2025-10-10
