contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
META251121P00100000,2025-11-11 14:30:02+00:00,100.0,0.02,0.0,0.01,0.0,0.0,2.0,27.0,5.500003124999999,False,REGULAR,USD,2025-11-21
META251121P00110000,2025-10-20 13:50:36+00:00,110.0,0.03,0.0,0.01,0.0,0.0,1.0,2.0,5.12500359375,False,REGULAR,USD,2025-11-21
META251121P00120000,2025-11-14 18:59:12+00:00,120.0,0.01,0.0,0.01,0.0,0.0,10.0,11.0,4.875003906249999,False,REGULAR,USD,2025-11-21
META251121P00130000,2025-10-17 15:15:17+00:00,130.0,0.02,0.0,0.01,0.0,0.0,1.0,5.0,4.62500421875,False,REGULAR,USD,2025-11-21
META251121P00140000,2025-11-07 15:40:22+00:00,140.0,0.01,0.0,0.01,0.0,0.0,1.0,24.0,4.437504453124999,False,REGULAR,USD,2025-11-21
META251121P00150000,2025-08-08 19:56:53+00:00,150.0,0.03,0.0,0.08,0.0,0.0,1.0,13.0,4.937503828124999,False,REGULAR,USD,2025-11-21
META251121P00160000,2025-05-27 14:43:36+00:00,160.0,0.19,0.01,0.1,0.0,0.0,1.0,7.0,4.843753945312499,False,REGULAR,USD,2025-11-21
META251121P00170000,2025-11-17 20:49:43+00:00,170.0,0.01,0.0,2.58,0.0,0.0,3.0,24.0,6.632814208984376,False,REGULAR,USD,2025-11-21
META251121P00180000,2025-10-21 16:21:25+00:00,180.0,0.02,0.0,2.58,0.0,0.0,1.0,12.0,6.342775509033203,False,REGULAR,USD,2025-11-21
META251121P00190000,2025-05-27 15:50:49+00:00,190.0,0.32,0.06,0.14,0.0,0.0,3.0,8.0,4.460941923828125,False,REGULAR,USD,2025-11-21
META251121P00200000,2025-11-17 14:30:03+00:00,200.0,0.02,0.0,0.01,0.0,0.0,1.0,310.0,3.3750015624999996,False,REGULAR,USD,2025-11-21
META251121P00210000,2025-10-22 16:57:59+00:00,210.0,0.04,0.0,2.58,0.0,0.0,1.0,10.0,5.564456169433593,False,REGULAR,USD,2025-11-21
META251121P00220000,2025-10-16 15:52:08+00:00,220.0,0.03,0.0,0.21,0.0,0.0,1.0,3.0,3.9218751953125004,False,REGULAR,USD,2025-11-21
META251121P00230000,2025-11-10 14:33:42+00:00,230.0,0.02,0.0,2.58,0.0,0.0,1.0,12.0,5.108402052001953,False,REGULAR,USD,2025-11-21
META251121P00240000,2025-10-02 17:55:30+00:00,240.0,0.04,0.0,0.02,0.0,0.0,1.0,0.0,2.93750265625,False,REGULAR,USD,2025-11-21
META251121P00250000,2025-11-06 14:47:37+00:00,250.0,0.01,0.0,0.01,0.0,0.0,1.0,105.0,2.68750328125,False,REGULAR,USD,2025-11-21
META251121P00260000,2025-10-31 14:55:28+00:00,260.0,0.04,0.0,0.01,0.0,0.0,1.0,59.0,2.56250359375,False,REGULAR,USD,2025-11-21
META251121P00270000,2025-11-04 17:20:36+00:00,270.0,0.01,0.0,0.21,0.0,0.0,1.0,86.0,3.14843962890625,False,REGULAR,USD,2025-11-21
META251121P00280000,2025-10-23 14:15:04+00:00,280.0,0.05,0.0,0.02,0.0,0.0,2.0,430.0,2.468753828125,False,REGULAR,USD,2025-11-21
META251121P00290000,2025-10-24 18:49:34+00:00,290.0,0.02,0.0,0.21,0.0,0.0,8.0,41.0,2.8789090527343753,False,REGULAR,USD,2025-11-21
META251121P00300000,2025-11-18 20:43:56+00:00,300.0,0.01,0.0,0.01,0.0,0.0,822.0,1688.0,2.1250046874999997,False,REGULAR,USD,2025-11-21
META251121P00310000,2025-11-19 14:32:39+00:00,310.0,0.01,0.0,0.41,-0.02,-66.66667,1.0,118.0,2.82031544921875,False,REGULAR,USD,2025-11-21
META251121P00320000,2025-11-18 17:15:34+00:00,320.0,0.01,0.0,0.01,0.0,0.0,3.0,43.0,1.9375003125,False,REGULAR,USD,2025-11-21
META251121P00330000,2025-11-19 14:32:39+00:00,330.0,0.02,0.0,0.41,-0.01,-33.333336,2.0,299.0,2.566409833984375,False,REGULAR,USD,2025-11-21
META251121P00340000,2025-11-19 19:45:49+00:00,340.0,0.01,0.0,0.41,0.0,0.0,1.0,66.0,2.44531638671875,False,REGULAR,USD,2025-11-21
META251121P00350000,2025-11-14 18:59:00+00:00,350.0,0.01,0.0,0.03,0.0,0.0,20.0,464.0,1.8125009374999999,False,REGULAR,USD,2025-11-21
META251121P00360000,2025-11-05 16:01:26+00:00,360.0,0.02,0.0,0.03,0.0,0.0,1.0,578.0,1.71875140625,False,REGULAR,USD,2025-11-21
META251121P00370000,2025-11-18 14:54:34+00:00,370.0,0.01,0.0,0.21,0.0,0.0,2.0,349.0,1.9492190039062502,False,REGULAR,USD,2025-11-21
META251121P00380000,2025-11-17 15:15:18+00:00,380.0,0.01,0.0,0.48,0.0,0.0,1.0,1503.0,2.0293018017578124,False,REGULAR,USD,2025-11-21
META251121P00390000,2025-11-19 14:56:12+00:00,390.0,0.01,0.0,0.01,0.0,0.0,1.0,269.0,1.3437532812499997,False,REGULAR,USD,2025-11-21
META251121P00400000,2025-11-18 17:42:44+00:00,400.0,0.01,0.0,0.04,0.0,0.0,30.0,1095.0,1.40625296875,False,REGULAR,USD,2025-11-21
META251121P00410000,2025-11-18 19:35:52+00:00,410.0,0.01,0.0,0.01,0.0,0.0,5.0,985.0,1.1875040625,False,REGULAR,USD,2025-11-21
META251121P00420000,2025-11-18 19:38:27+00:00,420.0,0.01,0.0,0.03,0.0,0.0,8.0,470.0,1.21875390625,False,REGULAR,USD,2025-11-21
META251121P00425000,2025-11-19 16:55:34+00:00,425.0,0.01,0.0,0.01,-0.01,-50.0,19.0,61.0,1.09375453125,False,REGULAR,USD,2025-11-21
META251121P00430000,2025-11-19 19:36:43+00:00,430.0,0.01,0.0,0.53,0.0,0.0,30.0,161.0,1.5283226708984374,False,REGULAR,USD,2025-11-21
META251121P00435000,2025-11-19 20:31:03+00:00,435.0,0.01,0.0,0.01,-0.01,-50.0,23.0,439.0,1.000005,False,REGULAR,USD,2025-11-21
META251121P00440000,2025-11-19 19:23:46+00:00,440.0,0.02,0.01,0.02,0.01,100.0,5.0,223.0,1.0625046875000002,False,REGULAR,USD,2025-11-21
META251121P00445000,2025-11-19 19:46:22+00:00,445.0,0.01,0.01,0.55,-0.01,-50.0,2.0,313.0,1.3906280468749999,False,REGULAR,USD,2025-11-21
META251121P00450000,2025-11-19 16:55:47+00:00,450.0,0.02,0.01,0.1,0.0,0.0,1.0,1129.0,1.109379453125,False,REGULAR,USD,2025-11-21
META251121P00455000,2025-11-18 20:56:37+00:00,455.0,0.02,0.0,2.63,0.0,0.0,186.0,353.0,1.6582048339843751,False,REGULAR,USD,2025-11-21
META251121P00460000,2025-11-19 16:00:48+00:00,460.0,0.01,0.01,1.03,-0.03,-75.0,1.0,1106.0,1.36328443359375,False,REGULAR,USD,2025-11-21
META251121P00465000,2025-11-18 16:57:38+00:00,465.0,0.02,0.01,2.65,0.0,0.0,80.0,218.0,1.5454124291992186,False,REGULAR,USD,2025-11-21
META251121P00470000,2025-11-19 17:38:36+00:00,470.0,0.02,0.01,2.66,-0.04,-66.66667,4.0,554.0,1.4890162268066405,False,REGULAR,USD,2025-11-21
META251121P00475000,2025-11-19 19:52:56+00:00,475.0,0.02,0.01,0.03,0.0,0.0,3.0,178.0,0.8203142968749999,False,REGULAR,USD,2025-11-21
META251121P00480000,2025-11-19 18:58:06+00:00,480.0,0.02,0.01,0.45,0.0,0.0,6.0,1853.0,1.0283251708984378,False,REGULAR,USD,2025-11-21
META251121P00485000,2025-11-19 19:47:54+00:00,485.0,0.04,0.0,0.7,0.01,33.333336,24.0,460.0,1.0439500927734378,False,REGULAR,USD,2025-11-21
META251121P00490000,2025-11-19 18:09:24+00:00,490.0,0.04,0.02,0.44,0.0,0.0,8.0,404.0,0.938477177734375,False,REGULAR,USD,2025-11-21
META251121P00495000,2025-11-19 20:30:36+00:00,495.0,0.03,0.03,0.05,-0.020000001,-40.000004,62.0,366.0,0.7226590234375,False,REGULAR,USD,2025-11-21
META251121P00500000,2025-11-19 20:06:00+00:00,500.0,0.06,0.03,0.06,-0.010000002,-14.285716,318.0,2939.0,0.6953155468750001,False,REGULAR,USD,2025-11-21
META251121P00505000,2025-11-19 20:24:06+00:00,505.0,0.07,0.05,0.07,-0.009999998,-12.499997,316.0,518.0,0.6796907031250001,False,REGULAR,USD,2025-11-21
META251121P00510000,2025-11-19 20:08:47+00:00,510.0,0.08,0.07,0.09,-0.020000003,-20.000002,84.0,4289.0,0.6621127539062501,False,REGULAR,USD,2025-11-21
META251121P00515000,2025-11-19 18:18:46+00:00,515.0,0.14,0.09,0.11,0.010000005,7.692312,31.0,413.0,0.639652041015625,False,REGULAR,USD,2025-11-21
META251121P00520000,2025-11-19 19:34:10+00:00,520.0,0.16,0.12,0.14,-0.010000005,-5.8823557,193.0,1359.0,0.6201209863281252,False,REGULAR,USD,2025-11-21
META251121P00525000,2025-11-19 19:44:21+00:00,525.0,0.15,0.15,0.16,-0.030000001,-16.666666,208.0,777.0,0.5937540625000001,False,REGULAR,USD,2025-11-21
META251121P00530000,2025-11-19 20:21:12+00:00,530.0,0.21,0.2,0.22,-0.030000001,-12.5,294.0,2642.0,0.5766643896484375,False,REGULAR,USD,2025-11-21
META251121P00535000,2025-11-19 20:16:29+00:00,535.0,0.27,0.28,0.3,-0.030000001,-10.0,243.0,1335.0,0.561527822265625,False,REGULAR,USD,2025-11-21
META251121P00540000,2025-11-19 20:30:17+00:00,540.0,0.38,0.37,0.39,-0.02000001,-5.0000024,467.0,1794.0,0.5410202148437502,False,REGULAR,USD,2025-11-21
META251121P00545000,2025-11-19 20:29:55+00:00,545.0,0.52,0.49,0.51,0.03999999,8.333331,473.0,644.0,0.5210008837890624,False,REGULAR,USD,2025-11-21
META251121P00550000,2025-11-19 20:31:37+00:00,550.0,0.73,0.73,0.76,0.15000004,25.862076,2289.0,4598.0,0.5136767382812499,False,REGULAR,USD,2025-11-21
META251121P00555000,2025-11-19 20:28:37+00:00,555.0,0.96,1.0,1.03,0.14999998,18.518517,1098.0,1159.0,0.49927258544921876,False,REGULAR,USD,2025-11-21
META251121P00560000,2025-11-19 20:29:52+00:00,560.0,1.44,1.43,1.47,0.32000005,28.571432,2354.0,2598.0,0.48987326538085946,False,REGULAR,USD,2025-11-21
META251121P00565000,2025-11-19 20:31:37+00:00,565.0,2.14,2.09,2.18,0.70000005,48.611115,1590.0,2327.0,0.4891408508300782,False,REGULAR,USD,2025-11-21
META251121P00570000,2025-11-19 20:31:37+00:00,570.0,3.0,2.95,3.05,0.99,49.25373,3841.0,3435.0,0.48279325805664064,False,REGULAR,USD,2025-11-21
META251121P00575000,2025-11-19 20:31:37+00:00,575.0,4.2,4.1,4.3,1.5099998,56.133816,3051.0,2659.0,0.48303739624023445,False,REGULAR,USD,2025-11-21
META251121P00577500,2025-11-19 20:31:07+00:00,577.5,4.73,4.6,4.75,1.6100001,51.60257,2519.0,1711.0,0.4670463452148438,False,REGULAR,USD,2025-11-21
META251121P00580000,2025-11-19 20:31:13+00:00,580.0,5.5,5.5,5.6,1.79,48.24798,7798.0,5843.0,0.4686332434082031,False,REGULAR,USD,2025-11-21
META251121P00582500,2025-11-19 20:31:35+00:00,582.5,6.4,6.55,6.7,2.3000002,56.097565,1849.0,945.0,0.4778494598388672,False,REGULAR,USD,2025-11-21
META251121P00585000,2025-11-19 20:31:35+00:00,585.0,7.47,7.55,7.8,2.4699998,49.399998,5393.0,3238.0,0.48187773986816407,False,REGULAR,USD,2025-11-21
META251121P00587500,2025-11-19 20:29:51+00:00,587.5,8.6,8.8,9.15,3.0100002,53.846157,3238.0,1259.0,0.4930470617675782,False,REGULAR,USD,2025-11-21
META251121P00590000,2025-11-19 20:29:16+00:00,590.0,9.64,9.9,10.1,3.1000004,47.400616,7061.0,6931.0,0.48071808349609374,False,REGULAR,USD,2025-11-21
META251121P00592500,2025-11-19 20:30:21+00:00,592.5,11.16,11.25,11.5,3.75,50.60729,1495.0,1439.0,0.4849905017089844,True,REGULAR,USD,2025-11-21
META251121P00595000,2025-11-19 20:30:54+00:00,595.0,12.85,12.8,13.1,4.25,49.418602,1908.0,3385.0,0.4943898217773438,True,REGULAR,USD,2025-11-21
META251121P00597500,2025-11-19 20:24:48+00:00,597.5,14.08,14.65,15.1,4.63,48.99471,425.0,1220.0,0.5080615600585938,True,REGULAR,USD,2025-11-21
META251121P00600000,2025-11-19 20:30:00+00:00,600.0,16.25,16.1,16.45,5.1000004,45.739914,2789.0,8539.0,0.5080615600585938,True,REGULAR,USD,2025-11-21
META251121P00602500,2025-11-19 20:30:57+00:00,602.5,18.11,18.4,18.85,5.920001,48.564407,141.0,1141.0,0.5344284838867188,True,REGULAR,USD,2025-11-21
META251121P00605000,2025-11-19 20:28:16+00:00,605.0,19.92,20.05,20.5,6.7200003,50.909092,670.0,2745.0,0.5307664111328125,True,REGULAR,USD,2025-11-21
META251121P00607500,2025-11-19 20:31:03+00:00,607.5,22.3,21.6,22.85,7.299999,48.666664,149.0,1028.0,0.5393112475585939,True,REGULAR,USD,2025-11-21
META251121P00610000,2025-11-19 20:28:16+00:00,610.0,24.2,24.3,25.7,7.450001,44.477615,1334.0,5036.0,0.5911906115722658,True,REGULAR,USD,2025-11-21
META251121P00612500,2025-11-19 20:28:02+00:00,612.5,26.45,26.55,27.2,8.35,46.1326,214.0,700.0,0.5910685424804689,True,REGULAR,USD,2025-11-21
META251121P00615000,2025-11-19 20:24:27+00:00,615.0,28.63,28.65,29.5,8.23,40.343136,342.0,2322.0,0.6071816625976563,True,REGULAR,USD,2025-11-21
META251121P00617500,2025-11-19 20:31:03+00:00,617.5,31.63,31.15,32.0,12.9,68.87347,58.0,952.0,0.6401403173828125,True,REGULAR,USD,2025-11-21
META251121P00620000,2025-11-19 20:24:27+00:00,620.0,33.4,33.65,34.2,9.250002,38.302284,485.0,5853.0,0.6628451684570313,True,REGULAR,USD,2025-11-21
META251121P00622500,2025-11-19 20:12:31+00:00,622.5,37.02,35.85,36.7,14.68,65.71173,58.0,530.0,0.6844513977050781,True,REGULAR,USD,2025-11-21
META251121P00625000,2025-11-19 20:30:33+00:00,625.0,38.64,38.5,39.0,13.0,50.70203,607.0,2477.0,0.7133817724609376,True,REGULAR,USD,2025-11-21
META251121P00627500,2025-11-19 19:53:18+00:00,627.5,43.0,39.65,42.05,12.83,42.52569,21.0,672.0,0.7154569470214844,True,REGULAR,USD,2025-11-21
META251121P00630000,2025-11-19 20:15:56+00:00,630.0,43.62,42.9,43.65,10.759998,32.744976,662.0,4915.0,0.7390162817382812,True,REGULAR,USD,2025-11-21
META251121P00632500,2025-11-19 20:13:25+00:00,632.5,46.83,44.9,46.85,14.530003,44.984528,26.0,1069.0,0.7747825256347658,True,REGULAR,USD,2025-11-21
META251121P00635000,2025-11-19 20:22:44+00:00,635.0,47.56,48.1,48.8,10.170002,27.199791,398.0,1876.0,0.8084735949707031,True,REGULAR,USD,2025-11-21
META251121P00637500,2025-11-19 17:07:02+00:00,637.5,51.08,49.5,53.5,13.910004,37.422665,20.0,405.0,0.8768322863769531,True,REGULAR,USD,2025-11-21
META251121P00640000,2025-11-19 20:21:40+00:00,640.0,53.05,52.4,53.65,11.649998,28.140089,184.0,2635.0,0.8304460314941406,True,REGULAR,USD,2025-11-21
META251121P00642500,2025-11-19 19:36:50+00:00,642.5,59.07,54.55,58.45,16.55,38.922855,10.0,204.0,0.9326178613281251,True,REGULAR,USD,2025-11-21
META251121P00645000,2025-11-19 20:13:03+00:00,645.0,60.05,57.5,58.85,15.25,34.04018,135.0,1082.0,0.8955088574218748,True,REGULAR,USD,2025-11-21
META251121P00647500,2025-11-19 19:52:22+00:00,647.5,63.14,59.55,63.3,10.939999,20.957851,7.0,115.0,0.9812013598632813,True,REGULAR,USD,2025-11-21
META251121P00650000,2025-11-19 20:31:03+00:00,650.0,63.44,62.65,64.0,13.719997,27.594524,272.0,4142.0,0.9597171997070311,True,REGULAR,USD,2025-11-21
META251121P00652500,2025-11-19 18:11:09+00:00,652.5,69.07,64.5,68.25,15.52,28.98226,3.0,63.0,1.0300341467285157,True,REGULAR,USD,2025-11-21
META251121P00655000,2025-11-19 20:19:01+00:00,655.0,68.0,67.7,68.85,10.740002,18.756552,52.0,1347.0,1.0063526245117185,True,REGULAR,USD,2025-11-21
META251121P00657500,2025-11-19 18:33:59+00:00,657.5,73.6,69.5,73.25,16.599998,29.122805,3.0,77.0,1.0815475610351561,True,REGULAR,USD,2025-11-21
META251121P00660000,2025-11-19 20:13:10+00:00,660.0,73.93,72.35,73.9,11.73,18.85852,90.0,1444.0,1.042851465454102,True,REGULAR,USD,2025-11-21
META251121P00662500,2025-11-19 15:47:47+00:00,662.5,72.0,74.5,78.25,6.5599976,10.024446,2.0,8.0,1.1320844177246094,True,REGULAR,USD,2025-11-21
META251121P00665000,2025-11-19 20:05:43+00:00,665.0,80.09,77.75,79.85,13.089996,19.537308,313.0,432.0,1.1505169427490234,True,REGULAR,USD,2025-11-21
META251121P00667500,2025-11-19 15:27:41+00:00,667.5,75.51,79.5,83.2,9.010002,13.548876,1.0,1.0,1.1793253924560545,True,REGULAR,USD,2025-11-21
META251121P00670000,2025-11-19 19:46:07+00:00,670.0,86.5,82.75,85.15,15.199997,21.318369,67.0,433.0,1.2122842120361328,True,REGULAR,USD,2025-11-21
META251121P00672500,2025-11-17 15:07:53+00:00,672.5,65.41,84.5,88.35,0.0,0.0,1.0,0.0,1.2342567584228514,True,REGULAR,USD,2025-11-21
META251121P00675000,2025-11-19 19:52:32+00:00,675.0,91.05,87.45,90.15,17.520004,23.827017,41.0,199.0,1.2471961468505859,True,REGULAR,USD,2025-11-21
META251121P00677500,2025-11-17 19:48:15+00:00,677.5,79.1,89.55,93.35,0.0,0.0,5.0,0.0,1.2841832666015622,True,REGULAR,USD,2025-11-21
