contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AAPL251212P00110000,2025-12-05 16:35:31+00:00,110.0,0.01,0.0,0.01,0.0,0.0,2.0,3,3.06250234375,False,REGULAR,USD,2025-12-12
AAPL251212P00120000,2025-11-06 18:51:21+00:00,120.0,0.01,0.0,0.01,0.0,0.0,,1,2.750003125,False,REGULAR,USD,2025-12-12
AAPL251212P00125000,2025-11-06 18:51:15+00:00,125.0,0.01,0.0,0.01,0.0,0.0,,1,2.6250034375,False,REGULAR,USD,2025-12-12
AAPL251212P00135000,2025-11-11 19:02:42+00:00,135.0,0.01,0.0,0.01,0.0,0.0,,1,2.3750040624999995,False,REGULAR,USD,2025-12-12
AAPL251212P00145000,2025-11-18 15:01:04+00:00,145.0,0.01,0.0,0.01,0.0,0.0,1.0,10,2.1875045312499997,False,REGULAR,USD,2025-12-12
AAPL251212P00155000,2025-12-04 19:38:07+00:00,155.0,0.01,0.0,0.01,0.0,0.0,2.0,41,1.96875015625,False,REGULAR,USD,2025-12-12
AAPL251212P00165000,2025-12-03 16:24:17+00:00,165.0,0.01,0.0,0.01,0.0,0.0,5.0,5,1.75000125,False,REGULAR,USD,2025-12-12
AAPL251212P00170000,2025-12-01 14:45:06+00:00,170.0,0.01,0.0,0.01,0.0,0.0,2.0,79,1.6875015625,False,REGULAR,USD,2025-12-12
AAPL251212P00175000,2025-11-03 14:49:52+00:00,175.0,0.03,0.0,0.01,0.0,0.0,,10,1.5625021874999998,False,REGULAR,USD,2025-12-12
AAPL251212P00180000,2025-11-21 17:26:19+00:00,180.0,0.04,0.0,0.01,0.0,0.0,2.0,25,1.5000025,False,REGULAR,USD,2025-12-12
AAPL251212P00185000,2025-12-02 19:23:29+00:00,185.0,0.01,0.0,0.01,0.0,0.0,12.0,28,1.40625296875,False,REGULAR,USD,2025-12-12
AAPL251212P00190000,2025-12-01 20:33:07+00:00,190.0,0.01,0.0,0.01,0.0,0.0,2.0,96,1.3125034374999998,False,REGULAR,USD,2025-12-12
AAPL251212P00195000,2025-12-01 16:19:59+00:00,195.0,0.01,0.0,0.01,0.0,0.0,1.0,118,1.2500037499999999,False,REGULAR,USD,2025-12-12
AAPL251212P00200000,2025-12-05 14:35:49+00:00,200.0,0.01,0.0,0.01,0.0,0.0,1.0,2188,1.15625421875,False,REGULAR,USD,2025-12-12
AAPL251212P00205000,2025-12-02 17:41:56+00:00,205.0,0.01,0.0,0.01,0.0,0.0,41.0,208,1.0625046875000002,False,REGULAR,USD,2025-12-12
AAPL251212P00210000,2025-12-03 20:45:49+00:00,210.0,0.01,0.0,0.01,0.0,0.0,2.0,187,0.98437515625,False,REGULAR,USD,2025-12-12
AAPL251212P00215000,2025-12-03 17:49:43+00:00,215.0,0.01,0.0,0.01,0.0,0.0,2.0,156,0.9062509375,False,REGULAR,USD,2025-12-12
AAPL251212P00220000,2025-12-08 18:25:28+00:00,220.0,0.01,0.0,0.01,0.0,0.0,5.0,378,0.8437515624999999,False,REGULAR,USD,2025-12-12
AAPL251212P00222500,2025-12-05 20:42:54+00:00,222.5,0.01,0.0,0.01,0.0,0.0,1.0,244,0.8125018749999999,False,REGULAR,USD,2025-12-12
AAPL251212P00225000,2025-12-05 20:43:01+00:00,225.0,0.01,0.0,0.01,0.0,0.0,10.0,271,0.7656273437500001,False,REGULAR,USD,2025-12-12
AAPL251212P00227500,2025-12-08 14:32:29+00:00,227.5,0.01,0.0,0.01,0.0,0.0,1.0,567,0.7187528125,False,REGULAR,USD,2025-12-12
AAPL251212P00230000,2025-12-05 16:06:30+00:00,230.0,0.01,0.0,0.01,0.0,0.0,100.0,533,0.6875031250000001,False,REGULAR,USD,2025-12-12
AAPL251212P00232500,2025-12-05 17:11:59+00:00,232.5,0.01,0.0,0.01,0.0,0.0,314.0,469,0.6562534375000001,False,REGULAR,USD,2025-12-12
AAPL251212P00235000,2025-12-10 18:03:17+00:00,235.0,0.01,0.0,0.01,0.0,0.0,79.0,870,0.6250037500000001,False,REGULAR,USD,2025-12-12
AAPL251212P00240000,2025-12-10 16:43:15+00:00,240.0,0.01,0.0,0.01,0.0,0.0,6.0,1132,0.5468795312500001,False,REGULAR,USD,2025-12-12
AAPL251212P00245000,2025-12-10 20:03:38+00:00,245.0,0.01,0.0,0.01,0.0,0.0,11.0,2915,0.51562984375,False,REGULAR,USD,2025-12-12
AAPL251212P00247500,2025-12-10 19:46:36+00:00,247.5,0.01,0.0,0.01,0.0,0.0,58.0,441,0.476567734375,False,REGULAR,USD,2025-12-12
