contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AMZN251212P00120000,2025-12-10 16:23:39+00:00,120.0,0.01,0.0,0.01,0.0,0.0,3.0,34,2.2500043749999996,False,REGULAR,USD,2025-12-12
AMZN251212P00125000,2025-11-25 19:38:00+00:00,125.0,0.01,0.0,0.01,0.0,0.0,20.0,25,2.1250046874999997,False,REGULAR,USD,2025-12-12
AMZN251212P00130000,2025-11-25 16:49:07+00:00,130.0,0.01,0.0,0.01,0.0,0.0,20.0,31,1.96875015625,False,REGULAR,USD,2025-12-12
AMZN251212P00135000,2025-12-08 18:43:19+00:00,135.0,0.01,0.0,0.01,0.0,0.0,1.0,2,1.875000625,False,REGULAR,USD,2025-12-12
AMZN251212P00140000,2025-12-01 19:33:59+00:00,140.0,0.01,0.0,0.01,0.0,0.0,4.0,67,1.75000125,False,REGULAR,USD,2025-12-12
AMZN251212P00145000,2025-12-09 20:07:27+00:00,145.0,0.01,0.0,0.01,0.0,0.0,500.0,1001,1.625001875,False,REGULAR,USD,2025-12-12
AMZN251212P00150000,2025-12-05 16:51:01+00:00,150.0,0.01,0.0,0.02,0.0,0.0,3.0,2778,1.5937520312499998,False,REGULAR,USD,2025-12-12
AMZN251212P00155000,2025-12-02 20:08:00+00:00,155.0,0.01,0.0,0.02,0.0,0.0,238.0,374,1.484377578125,False,REGULAR,USD,2025-12-12
AMZN251212P00160000,2025-12-08 19:13:41+00:00,160.0,0.01,0.0,0.01,0.0,0.0,1.0,226,1.3125034374999998,False,REGULAR,USD,2025-12-12
AMZN251212P00165000,2025-12-09 16:11:35+00:00,165.0,0.02,0.0,0.02,0.0,0.0,1.0,750,1.2656286718749998,False,REGULAR,USD,2025-12-12
AMZN251212P00170000,2025-12-08 17:14:35+00:00,170.0,0.01,0.0,0.01,0.0,0.0,2.0,445,1.09375453125,False,REGULAR,USD,2025-12-12
AMZN251212P00175000,2025-12-10 18:41:53+00:00,175.0,0.01,0.0,0.01,0.0,0.0,3.0,1500,1.000005,False,REGULAR,USD,2025-12-12
AMZN251212P00180000,2025-12-10 18:41:53+00:00,180.0,0.06,0.0,0.01,0.04,200.0,5.0,7358,0.9062509375,False,REGULAR,USD,2025-12-12
AMZN251212P00185000,2025-12-10 15:54:20+00:00,185.0,0.01,0.0,0.01,0.0,0.0,76.0,3243,0.8125018749999999,False,REGULAR,USD,2025-12-12
AMZN251212P00190000,2025-12-10 20:00:46+00:00,190.0,0.01,0.0,0.01,-0.01,-50.0,462.0,2225,0.7187528125,False,REGULAR,USD,2025-12-12
AMZN251212P00192500,2025-12-10 20:26:18+00:00,192.5,0.03,0.01,0.03,0.02,200.0,42.0,268,0.7812521875,False,REGULAR,USD,2025-12-12
