contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AAPL251212C00120000,2025-12-12 17:40:50+00:00,120.0,158.67,157.2,159.7,4.1900024,2.7123268,1.0,1,6.687501640625001,True,REGULAR,USD,2025-12-12
AAPL251212C00150000,2025-12-08 15:45:43+00:00,150.0,127.5,127.7,129.7,0.0,0.0,1.0,2,5.695315380859375,True,REGULAR,USD,2025-12-12
AAPL251212C00155000,2025-11-28 17:50:00+00:00,155.0,123.05,122.2,124.7,0.0,0.0,1.0,1,4.785160268554687,True,REGULAR,USD,2025-12-12
AAPL251212C00160000,2025-12-09 17:37:02+00:00,160.0,118.22,117.45,119.7,0.0,0.0,2.0,3,4.898441376953125,True,REGULAR,USD,2025-12-12
AAPL251212C00170000,2025-12-11 15:11:30+00:00,170.0,105.49,107.7,108.85,0.0,0.0,2.0,3,4.886722641601562,True,REGULAR,USD,2025-12-12
AAPL251212C00180000,2025-12-09 15:16:29+00:00,180.0,97.82,97.2,99.75,0.0,0.0,2.0,1,3.730469423828125,True,REGULAR,USD,2025-12-12
AAPL251212C00185000,2025-12-11 20:24:55+00:00,185.0,92.93,92.2,94.75,0.0,0.0,2.0,2,3.519532451171875,True,REGULAR,USD,2025-12-12
AAPL251212C00190000,2025-12-11 18:50:57+00:00,190.0,88.23,87.2,89.75,0.0,0.0,1.0,2,3.3164079589843745,True,REGULAR,USD,2025-12-12
AAPL251212C00195000,2025-12-12 18:20:00+00:00,195.0,83.71,82.75,83.7,0.7099991,0.8554206,10.0,3,3.496095009765625,True,REGULAR,USD,2025-12-12
AAPL251212C00200000,2025-12-11 17:56:37+00:00,200.0,78.16,77.2,79.65,0.4600067,0.5920293,28.0,83,2.800784248046875,True,REGULAR,USD,2025-12-12
AAPL251212C00205000,2025-12-12 18:52:06+00:00,205.0,73.7,72.2,74.6,0.51999664,0.71057206,4.0,6,2.550784873046875,True,REGULAR,USD,2025-12-12
AAPL251212C00210000,2025-12-12 18:48:34+00:00,210.0,68.83,67.1,69.7,0.8499985,1.2503655,16.0,156,2.3710978222656243,True,REGULAR,USD,2025-12-12
AAPL251212C00215000,2025-12-12 18:29:49+00:00,215.0,64.12,62.45,64.45,0.9000015,1.4236025,24.0,8,2.3007854980468747,True,REGULAR,USD,2025-12-12
AAPL251212C00220000,2025-12-12 20:19:19+00:00,220.0,58.54,56.9,58.9,0.6399994,1.105353,7.0,137,2.636722158203125,True,REGULAR,USD,2025-12-12
AAPL251212C00225000,2025-12-12 19:59:01+00:00,225.0,53.73,52.15,54.75,0.88000107,1.665092,139.0,199,1.9453127734375002,True,REGULAR,USD,2025-12-12
AAPL251212C00227500,2025-12-12 20:09:15+00:00,227.5,50.64,49.9,51.1,-0.7799988,-1.5169171,11.0,20,2.0546923632812497,True,REGULAR,USD,2025-12-12
AAPL251212C00230000,2025-12-12 20:13:36+00:00,230.0,48.6,47.3,48.55,0.7799988,1.6311141,136.0,144,1.9042973535156251,True,REGULAR,USD,2025-12-12
