contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT251212C00290000,2025-12-12 16:11:47+00:00,290.0,187.39,186.85,189.9,-4.8899994,-2.543166,1.0,3,5.250003437499999,True,REGULAR,USD,2025-12-12
MSFT251212C00300000,2025-12-10 19:13:25+00:00,300.0,178.08,176.75,179.9,0.0,0.0,1.0,4,4.94043351196289,True,REGULAR,USD,2025-12-12
MSFT251212C00320000,2025-12-02 20:43:17+00:00,320.0,170.24,156.65,159.9,0.0,0.0,1.0,2,4.347660815429686,True,REGULAR,USD,2025-12-12
MSFT251212C00345000,2025-11-24 14:50:01+00:00,345.0,124.7,131.65,134.85,0.0,0.0,10.0,12,3.6230478173828127,True,REGULAR,USD,2025-12-12
MSFT251212C00350000,2025-11-21 18:15:06+00:00,350.0,122.8,126.7,129.9,0.0,0.0,1.0,1,3.513673090820312,True,REGULAR,USD,2025-12-12
MSFT251212C00375000,2025-12-12 14:47:07+00:00,375.0,104.31,102.4,104.95,-5.9000015,-5.3534174,5.0,11,1.9921875390625,True,REGULAR,USD,2025-12-12
MSFT251212C00380000,2025-12-09 15:22:35+00:00,380.0,110.47,96.65,99.95,0.0,0.0,3.0,2,2.750979685058594,True,REGULAR,USD,2025-12-12
MSFT251212C00385000,2025-12-02 17:56:00+00:00,385.0,107.55,91.85,94.95,0.0,0.0,5.0,0,2.6230503173828126,True,REGULAR,USD,2025-12-12
MSFT251212C00390000,2025-12-11 16:12:24+00:00,390.0,90.32,86.75,89.95,0.0,0.0,2.0,8,2.496097509765625,True,REGULAR,USD,2025-12-12
MSFT251212C00395000,2025-12-01 18:44:36+00:00,395.0,94.27,81.9,84.95,0.0,0.0,4.0,0,2.3701212622070305,True,REGULAR,USD,2025-12-12
MSFT251212C00400000,2025-12-12 18:18:10+00:00,400.0,78.98,77.45,79.7,-11.719994,-12.921714,31.0,44,1.3203158984374999,True,REGULAR,USD,2025-12-12
MSFT251212C00405000,2025-12-03 14:46:21+00:00,405.0,73.0,71.6,74.95,0.0,0.0,3.0,27,2.1201218872070307,True,REGULAR,USD,2025-12-12
MSFT251212C00410000,2025-12-12 17:58:53+00:00,410.0,68.85,66.6,69.95,-1.0299988,-1.4739536,5.0,9,1.99609376953125,True,REGULAR,USD,2025-12-12
MSFT251212C00420000,2025-12-11 18:41:33+00:00,420.0,59.87,56.6,59.95,-3.4300003,-5.418642,2.0,7,1.748048134765625,True,REGULAR,USD,2025-12-12
MSFT251212C00425000,2025-12-10 19:04:54+00:00,425.0,54.0,52.45,54.95,0.5,0.93457943,1.0,14,1.083988955078125,True,REGULAR,USD,2025-12-12
MSFT251212C00430000,2025-12-11 17:06:50+00:00,430.0,49.88,46.65,49.95,0.0,0.0,11.0,83,1.5004907788085937,True,REGULAR,USD,2025-12-12
MSFT251212C00432500,2025-12-05 14:52:56+00:00,432.5,46.13,45.65,45.85,-2.9199982,-5.9531054,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00435000,2025-12-12 17:11:21+00:00,435.0,43.0,43.1,43.35,-7.3100014,-14.529917,5.0,44,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00440000,2025-12-12 19:46:42+00:00,440.0,38.74,38.25,38.5,-1.2899971,-3.222576,2.0,73,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00445000,2025-12-12 16:06:32+00:00,445.0,33.0,33.15,33.35,-12.950001,-28.18281,9.0,43,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00447500,2025-12-09 15:56:40+00:00,447.5,43.45,30.65,30.85,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00450000,2025-12-12 20:30:49+00:00,450.0,28.2,28.05,28.25,-7.549999,-21.11888,38.0,78,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00455000,2025-12-11 18:21:26+00:00,455.0,25.95,23.25,23.5,0.10000038,0.38684866,10.0,82,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00457500,2025-12-11 18:44:17+00:00,457.5,25.77,20.7,20.95,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00460000,2025-12-12 20:22:15+00:00,460.0,18.5,18.15,18.35,-6.5,-26.0,74.0,195,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00462500,2025-12-12 17:47:32+00:00,462.5,16.16,15.6,15.85,-6.3899994,-28.337027,130.0,164,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00465000,2025-12-12 20:07:11+00:00,465.0,13.27,13.25,13.5,-5.4300003,-29.037432,164.0,312,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00467500,2025-12-12 19:59:53+00:00,467.5,10.65,10.7,10.9,-7.2800007,-40.602345,122.0,105,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00470000,2025-12-12 20:22:18+00:00,470.0,8.51,8.25,8.45,-5.37,-38.68876,165.0,1757,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
MSFT251212C00472500,2025-12-12 20:27:04+00:00,472.5,5.68,5.7,5.95,-5.72,-50.17544,92.0,267,1.0000000000000003e-05,True,REGULAR,USD,2025-12-12
