contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
GOOGL251219P00045000,2025-12-03 16:44:15+00:00,45.0,0.01,0.0,0.01,0.0,0.0,1.0,1466.0,5.375003281249999,False,REGULAR,USD,2025-12-19
GOOGL251219P00050000,2025-11-07 19:25:54+00:00,50.0,0.01,0.0,0.01,0.0,0.0,5.0,1897.0,5.000003749999999,False,REGULAR,USD,2025-12-19
GOOGL251219P00055000,2025-11-10 14:58:02+00:00,55.0,0.01,0.0,0.01,0.0,0.0,100.0,425.0,4.7500040624999995,False,REGULAR,USD,2025-12-19
GOOGL251219P00060000,2025-11-07 20:42:51+00:00,60.0,0.01,0.0,0.01,0.0,0.0,1.0,2936.0,4.500004375,False,REGULAR,USD,2025-12-19
GOOGL251219P00065000,2025-11-10 15:22:15+00:00,65.0,0.01,0.0,0.01,0.0,0.0,20.0,2763.0,4.375004531249999,False,REGULAR,USD,2025-12-19
GOOGL251219P00070000,2025-12-12 16:44:08+00:00,70.0,0.01,0.0,0.01,0.0,0.0,1.0,503.0,4.12500484375,False,REGULAR,USD,2025-12-19
GOOGL251219P00075000,2025-12-11 17:24:01+00:00,75.0,0.01,0.0,0.01,0.0,0.0,1.0,1678.0,3.93750015625,False,REGULAR,USD,2025-12-19
GOOGL251219P00080000,2025-11-19 19:24:02+00:00,80.0,0.01,0.0,0.01,0.0,0.0,1.0,664.0,3.750000625,False,REGULAR,USD,2025-12-19
GOOGL251219P00085000,2025-12-08 19:15:45+00:00,85.0,0.01,0.0,0.01,0.0,0.0,1.0,555.0,3.6250009375000003,False,REGULAR,USD,2025-12-19
GOOGL251219P00090000,2025-11-19 19:23:39+00:00,90.0,0.01,0.0,0.01,0.0,0.0,1.0,2091.0,3.43750140625,False,REGULAR,USD,2025-12-19
GOOGL251219P00095000,2025-11-04 18:15:55+00:00,95.0,0.01,0.0,0.01,0.0,0.0,20.0,1240.0,3.3125017187499997,False,REGULAR,USD,2025-12-19
GOOGL251219P00100000,2025-12-02 16:08:41+00:00,100.0,0.01,0.0,0.01,0.0,0.0,2.0,1648.0,3.1250021875,False,REGULAR,USD,2025-12-19
GOOGL251219P00105000,2025-11-13 20:40:28+00:00,105.0,0.02,0.0,0.01,0.0,0.0,5.0,648.0,3.0000025,False,REGULAR,USD,2025-12-19
GOOGL251219P00110000,2025-11-17 17:54:18+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,1236.0,2.8750028125,False,REGULAR,USD,2025-12-19
GOOGL251219P00115000,2025-11-28 17:41:56+00:00,115.0,0.01,0.0,0.01,0.0,0.0,97.0,1335.0,2.750003125,False,REGULAR,USD,2025-12-19
GOOGL251219P00120000,2025-12-02 16:13:05+00:00,120.0,0.01,0.0,0.01,0.0,0.0,2.0,1623.0,2.68750328125,False,REGULAR,USD,2025-12-19
GOOGL251219P00125000,2025-12-09 15:19:49+00:00,125.0,0.01,0.0,0.01,0.0,0.0,5.0,2900.0,2.56250359375,False,REGULAR,USD,2025-12-19
GOOGL251219P00130000,2025-12-05 18:51:04+00:00,130.0,0.01,0.0,0.01,0.0,0.0,4.0,9169.0,2.43750390625,False,REGULAR,USD,2025-12-19
GOOGL251219P00135000,2025-12-10 17:02:34+00:00,135.0,0.01,0.0,0.01,0.0,0.0,12.0,5410.0,2.3750040624999995,False,REGULAR,USD,2025-12-19
GOOGL251219P00140000,2025-12-02 16:13:05+00:00,140.0,0.02,0.0,0.01,0.0,0.0,2.0,6076.0,2.2500043749999996,False,REGULAR,USD,2025-12-19
GOOGL251219P00145000,2025-12-12 20:59:21+00:00,145.0,0.01,0.0,0.01,0.0,0.0,300.0,8186.0,2.1250046874999997,False,REGULAR,USD,2025-12-19
GOOGL251219P00150000,2025-12-11 15:35:23+00:00,150.0,0.01,0.0,0.01,0.0,0.0,2.0,12551.0,2.0625048437499998,False,REGULAR,USD,2025-12-19
GOOGL251219P00155000,2025-12-01 19:38:09+00:00,155.0,0.01,0.0,0.01,0.0,0.0,2.0,6898.0,1.96875015625,False,REGULAR,USD,2025-12-19
GOOGL251219P00160000,2025-12-09 18:27:54+00:00,160.0,0.01,0.0,0.04,0.0,0.0,597.0,8020.0,2.0937547656249995,False,REGULAR,USD,2025-12-19
GOOGL251219P00165000,2025-12-03 14:47:57+00:00,165.0,0.01,0.0,0.03,0.0,0.0,2.0,7052.0,1.96875015625,False,REGULAR,USD,2025-12-19
GOOGL251219P00170000,2025-12-11 17:41:21+00:00,170.0,0.01,0.0,0.05,0.0,0.0,2.0,9622.0,1.953125234375,False,REGULAR,USD,2025-12-19
GOOGL251219P00175000,2025-12-09 15:06:22+00:00,175.0,0.01,0.0,0.07,0.0,0.0,200.0,6522.0,1.9296878515625,False,REGULAR,USD,2025-12-19
GOOGL251219P00180000,2025-12-09 17:34:56+00:00,180.0,0.01,0.0,0.01,0.0,0.0,1.0,6273.0,1.5625021874999998,False,REGULAR,USD,2025-12-19
GOOGL251219P00185000,2025-12-11 17:42:09+00:00,185.0,0.01,0.0,0.04,0.0,0.0,2.0,4695.0,1.65625171875,False,REGULAR,USD,2025-12-19
GOOGL251219P00190000,2025-12-09 17:35:38+00:00,190.0,0.01,0.0,0.07,0.0,0.0,1.0,4107.0,1.6640641796875002,False,REGULAR,USD,2025-12-19
GOOGL251219P00195000,2025-12-04 14:49:19+00:00,195.0,0.01,0.0,0.05,0.0,0.0,5.0,8061.0,1.5312523437499999,False,REGULAR,USD,2025-12-19
GOOGL251219P00200000,2025-12-12 17:16:38+00:00,200.0,0.01,0.0,0.01,0.0,0.0,3.0,5768.0,1.2500037499999999,False,REGULAR,USD,2025-12-19
GOOGL251219P00202500,2025-11-28 15:15:29+00:00,202.5,0.1,0.0,0.1,0.0,0.0,1.0,1.0,1.5156274218749999,False,REGULAR,USD,2025-12-19
GOOGL251219P00205000,2025-12-10 16:42:22+00:00,205.0,0.01,0.0,0.01,0.0,0.0,6.0,5997.0,1.1875040625,False,REGULAR,USD,2025-12-19
GOOGL251219P00207500,2025-12-08 17:14:00+00:00,207.5,0.01,,0.1,0.0,0.0,,1.0,1.5507834960937497,False,REGULAR,USD,2025-12-19
GOOGL251219P00210000,2025-12-11 19:53:19+00:00,210.0,0.01,0.0,0.01,0.0,0.0,3.0,9226.0,1.125004375,False,REGULAR,USD,2025-12-19
GOOGL251219P00212500,2025-12-03 14:49:12+00:00,212.5,0.02,0.0,0.11,0.0,0.0,800.0,820.0,1.37109689453125,False,REGULAR,USD,2025-12-19
