date,GS_BAC,GS_C,GS_GS,GS_JPM,GS_WFC
9/12/2025,62,34,12,89,52
9/13/2025,50,25,9,70,40
9/14/2025,37,22,10,62,30
9/15/2025,61,35,12,91,54
9/16/2025,60,36,12,91,51
9/17/2025,60,35,13,90,54
9/18/2025,58,34,13,89,54
9/19/2025,62,34,11,90,54
9/20/2025,50,23,9,75,41
9/21/2025,40,22,9,63,29
9/22/2025,58,38,12,86,52
9/23/2025,59,40,14,85,48
9/24/2025,58,34,13,90,51
9/25/2025,56,34,14,86,50
9/26/2025,61,33,11,93,53
9/27/2025,52,26,10,70,42
9/28/2025,38,23,10,63,31
9/29/2025,62,35,12,91,53
9/30/2025,71,40,14,99,58
10/1/2025,72,39,13,100,62
10/2/2025,69,36,14,97,59
10/3/2025,70,36,12,89,57
10/4/2025,52,23,8,66,44
10/5/2025,41,21,8,59,31
10/6/2025,62,34,12,83,55
10/7/2025,61,36,13,91,56
10/8/2025,60,35,13,87,53
10/9/2025,61,36,12,87,54
10/10/2025,62,36,10,88,55
10/11/2025,48,25,8,72,42
10/12/2025,39,22,8,63,29
10/13/2025,59,31,12,87,52
10/14/2025,62,35,16,99,55
10/15/2025,72,36,14,94,57
10/16/2025,63,35,14,86,54
10/17/2025,62,34,13,90,57
10/18/2025,47,23,9,64,41
10/19/2025,36,21,9,55,27
10/20/2025,59,35,11,85,50
10/21/2025,58,33,12,88,50
10/22/2025,58,33,11,83,48
10/23/2025,55,31,11,89,50
10/24/2025,59,35,11,93,54
10/25/2025,49,22,8,75,38
10/26/2025,38,21,8,62,26
10/27/2025,56,33,11,90,48
10/28/2025,56,33,12,85,49
10/29/2025,53,31,12,85,51
10/30/2025,52,36,11,86,50
10/31/2025,64,34,11,89,55
11/1/2025,50,27,8,71,43
11/2/2025,40,22,7,67,32
11/3/2025,64,38,10,93,53
11/4/2025,61,33,11,86,53
11/5/2025,61,33,11,78,50
11/6/2025,58,33,13,85,50
11/7/2025,63,34,12,83,50
11/8/2025,60,24,9,65,42
11/9/2025,37,22,9,58,28
11/10/2025,58,34,12,85,49
11/11/2025,60,34,12,84,48
11/12/2025,59,36,14,92,48
11/13/2025,58,34,12,91,52
11/14/2025,62,36,12,89,53
11/15/2025,46,25,9,72,43
11/16/2025,35,22,8,62,31
11/17/2025,55,34,13,89,48
11/18/2025,53,30,12,84,46
11/19/2025,55,36,13,85,47
11/20/2025,54,35,12,83,50
11/21/2025,55,33,12,88,50
11/22/2025,45,23,9,65,40
11/23/2025,33,21,9,59,27
11/24/2025,53,30,10,81,44
11/25/2025,53,31,11,82,44
11/26/2025,53,30,10,83,48
11/27/2025,34,20,8,55,25
11/28/2025,45,27,6,56,42
11/29/2025,39,23,4,52,37
11/30/2025,33,21,4,47,28
12/1/2025,59,33,7,76,54
12/2/2025,57,32,7,73,51
12/3/2025,55,30,7,67,49
12/4/2025,53,30,7,72,51
12/5/2025,57,29,6,68,51
12/6/2025,45,25,4,60,40
12/7/2025,33,20,4,45,28
12/8/2025,53,29,6,65,46
12/9/2025,49,29,7,74,45
12/10/2025,52,28,7,66,46
12/11/2025,51,28,7,65,46
12/12/2025,52,28,7,67,45
