date,GS_AAPL,GS_AMZN,GS_GOOGL,GS_META,GS_MSFT
9/12/2025,19,22,79,32,7
9/13/2025,18,21,73,31,5
9/14/2025,17,23,75,29,5
9/15/2025,17,23,85,31,7
9/16/2025,16,22,86,32,7
9/17/2025,15,22,83,31,7
9/18/2025,15,23,80,31,7
9/19/2025,17,21,77,30,6
9/20/2025,18,21,64,31,5
9/21/2025,19,23,62,29,5
9/22/2025,17,24,78,31,7
9/23/2025,16,24,80,32,8
9/24/2025,16,24,76,32,8
9/25/2025,16,24,78,32,7
9/26/2025,16,23,74,31,7
9/27/2025,17,23,100,28,5
9/28/2025,17,23,63,30,5
9/29/2025,16,23,80,31,8
9/30/2025,15,22,77,31,8
10/1/2025,15,23,75,31,8
10/2/2025,15,23,76,32,8
10/3/2025,14,22,73,31,7
10/4/2025,15,22,60,29,5
10/5/2025,15,23,59,28,5
10/6/2025,14,24,76,31,7
10/7/2025,14,30,78,33,8
10/8/2025,14,28,76,32,7
10/9/2025,13,25,74,32,8
10/10/2025,14,25,69,31,7
10/11/2025,16,23,58,29,5
10/12/2025,15,23,60,29,5
10/13/2025,14,23,72,31,7
10/14/2025,13,23,75,31,8
10/15/2025,13,23,75,32,7
10/16/2025,15,23,75,31,8
10/17/2025,13,23,69,30,7
10/18/2025,14,21,57,30,5
10/19/2025,14,23,58,29,5
10/20/2025,14,32,75,32,7
10/21/2025,14,26,76,30,7
10/22/2025,13,24,75,32,7
10/23/2025,14,24,72,31,7
10/24/2025,13,22,68,30,7
10/25/2025,14,22,61,29,5
10/26/2025,13,24,58,28,5
10/27/2025,12,23,73,31,7
10/28/2025,13,25,76,31,7
10/29/2025,12,23,71,30,10
10/30/2025,12,23,74,29,8
10/31/2025,13,22,74,31,7
11/1/2025,13,22,57,29,5
11/2/2025,14,23,60,28,5
11/3/2025,13,25,75,31,7
11/4/2025,12,23,72,30,7
11/5/2025,13,23,75,30,7
11/6/2025,12,23,76,30,7
11/7/2025,13,23,70,30,7
11/8/2025,13,22,60,28,5
11/9/2025,14,24,57,28,5
11/10/2025,14,24,73,30,7
11/11/2025,13,27,75,30,8
11/12/2025,13,25,77,31,8
11/13/2025,13,25,76,30,8
11/14/2025,13,24,71,30,7
11/15/2025,13,24,55,28,5
11/16/2025,14,25,61,28,5
11/17/2025,13,27,74,30,7
11/18/2025,13,25,74,30,7
11/19/2025,13,26,73,31,8
11/20/2025,15,29,76,31,8
11/21/2025,15,28,69,29,7
11/22/2025,15,28,56,29,5
11/23/2025,16,28,58,28,5
11/24/2025,14,28,69,29,7
11/25/2025,15,27,70,29,7
11/26/2025,15,28,75,29,7
11/27/2025,16,27,67,29,7
11/28/2025,15,31,60,29,4
11/29/2025,13,28,51,28,3
11/30/2025,12,26,52,26,3
12/1/2025,12,30,69,29,5
12/2/2025,12,25,69,27,5
12/3/2025,12,23,68,29,5
12/4/2025,11,23,69,30,5
12/5/2025,10,22,67,28,5
12/6/2025,12,23,59,28,3
12/7/2025,12,24,61,28,4
12/8/2025,11,24,73,29,5
12/9/2025,11,23,68,31,6
12/10/2025,10,25,67,30,5
12/11/2025,11,24,69,29,5
12/12/2025,11,23,67,29,5
