date,lastTradeDate,optionType,timeToMaturity,underlyingLastPrice,riskFreeRate,lastPrice,impliedVolatility,strike,PCR,VIX,GS_JNJ,SC_JNJ
2025-11-24,2025-11-24 20:44:56+00:00,put,1.0650239561943875,204.75,0.0373000001907348,0.79,0.0034058276611328,115.0,0.4820583841039761,20.520000457763672,16,-0.015643779
2025-10-07,2025-10-07 13:45:49+00:00,call,0.947296372347707,187.69825744628903,0.0384299993515014,40.0,0.0026132940826416,150.0,0.5341100829028559,17.239999771118164,15,-0.06966065
2025-10-17,2025-10-17 19:27:18+00:00,call,0.0191649555099247,192.00094604492188,0.0383200001716613,0.15,0.0016602396484375,200.0,0.571123979835658,20.780000686645508,15,-0.060113527
2025-11-12,2025-11-12 18:15:42+00:00,put,0.3504449007529089,193.1635589599609,0.0377800011634826,0.65,0.0033801931518554,150.0,0.4888211911050967,17.510000228881836,17,-0.004016596
2025-10-21,2025-10-21 16:28:19+00:00,call,1.2347707049965777,190.66940307617188,0.0378500008583068,31.53,0.0022940834075927,170.0,0.4730226810574065,17.8700008392334,16,-0.107514386
2025-11-18,2025-11-18 20:17:56+00:00,put,0.5804243668720055,198.73817443847656,0.0377200007438659,4.87,0.0022092453887939,180.0,0.5977244278866204,24.690000534057617,18,-0.044554271
2025-11-10,2025-11-10 19:50:24+00:00,call,2.195756331279945,187.22129821777344,0.037829999923706,6.8,0.0022345747253417,240.0,0.4779337831780682,17.600000381469727,15,-0.029250251
2025-09-30,2025-09-30 19:43:01+00:00,put,0.0465434633812457,184.25015258789065,0.0384500002861022,0.03,0.0052441881835937,145.0,0.4281001330671037,16.280000686645508,17,0.036906471
2025-09-19,2025-09-19 18:42:53+00:00,put,0.0766598220396988,175.07839965820312,0.0387800002098083,8.6,0.0023731231445312,185.0,0.5155633928526742,15.449999809265137,13,0.074545045
2025-09-29,2025-09-29 15:13:58+00:00,put,0.7967145790554415,180.47412109375,0.0386299991607666,8.5,0.0018119104949951,175.0,0.5448468412979404,16.1200008392334,16,0.051806803
2025-12-08,2025-12-08 18:16:10+00:00,call,2.1190965092402463,201.6199951171875,0.0361800003051757,14.45,0.0022882851257324,230.0,0.5842642302506235,16.65999984741211,9,-0.008316915
2025-11-17,2025-11-17 20:07:18+00:00,call,0.0876112251882272,198.32081604003903,0.0377200007438659,0.19,0.0018750812499999,220.0,0.5870171395125529,22.3799991607666,15,-0.105384133
2025-09-22,2025-09-22 16:35:51+00:00,call,0.7364818617385352,173.1108856201172,0.0384800004959106,17.84,0.0024298852722167,165.0,0.459715780489061,16.100000381469727,18,0.006031006
2025-11-24,2025-11-24 16:26:53+00:00,call,2.0616016427104724,204.75,0.0373000001907348,18.0,0.0022197738479614,220.0,0.4820583841039761,20.520000457763672,16,-0.015643779
2025-11-14,2025-11-14 19:47:23+00:00,put,0.2683093771389459,194.69384765625,0.0378800010681152,0.76,0.0033118344604492,155.0,0.6433469499622695,19.82999992370605,15,0.047877293
2025-10-06,2025-10-06 16:13:48+00:00,call,0.0301163586584531,186.97286987304688,0.0385999989509582,25.91,0.0057910577148437,160.0,0.4451849433518335,16.3700008392334,15,-0.065336237
2025-10-17,2025-10-17 18:20:16+00:00,call,0.2491444216290212,192.00094604492188,0.0383200001716613,24.87,0.0025507336730957,170.0,0.571123979835658,20.780000686645508,15,-0.060113527
2025-09-22,2025-09-22 16:21:10+00:00,put,0.1067761806981519,173.1108856201172,0.0384800004959106,4.0,0.0021234918518066,175.0,0.459715780489061,16.100000381469727,18,0.006031006
2025-10-07,2025-10-07 16:59:16+00:00,call,0.0082135523613963,187.69825744628903,0.0384299993515014,12.85,0.005195360546875,175.0,0.5341100829028559,17.239999771118164,15,-0.06966065
2025-10-22,2025-10-22 19:41:58+00:00,call,0.0054757015742642,191.72271728515625,0.0378800010681152,0.01,0.0032227240234374,205.0,0.5534406228532173,18.600000381469727,16,-0.034099216
2025-12-02,2025-12-02 16:01:06+00:00,put,0.621492128678987,205.4199981689453,0.0367199993133544,3.0,0.0023535920898437,175.0,0.4933986081350169,16.59000015258789,8,-0.150613265
2025-10-09,2025-10-09 14:14:36+00:00,call,1.267624914442163,189.8744506835937,0.038529999256134,83.14,0.0032947447875976,110.0,0.4646201762158078,16.43000030517578,17,-0.070384416
2025-09-19,2025-09-19 17:58:28+00:00,put,0.9965776865160848,175.07839965820312,0.0387800002098083,4.8,0.0023548127807617,155.0,0.5155633928526742,15.449999809265137,13,0.074545045
2025-11-14,2025-11-14 19:11:02+00:00,call,0.0958247775496235,194.69384765625,0.0378800010681152,26.48,0.0039673454833984,170.0,0.6433469499622695,19.82999992370605,15,0.047877293
2025-09-19,2025-09-19 19:10:25+00:00,call,0.0958247775496235,175.07839965820312,0.0387800002098083,0.46,0.0019422192504882,190.0,0.5155633928526742,15.449999809265137,13,0.074545045
2025-10-07,2025-10-07 19:25:51+00:00,call,0.027378507871321,187.69825744628903,0.0384299993515014,6.8,0.0030322962402343,182.5,0.5341100829028559,17.239999771118164,15,-0.06966065
2025-10-27,2025-10-27 19:48:13+00:00,call,0.0876112251882272,189.099365234375,0.0371799993515014,0.09,0.0021509573974609,210.0,0.4832841241605606,15.789999961853027,16,-0.039018072
2025-11-25,2025-11-25 16:30:52+00:00,call,1.0622861054072552,206.6699981689453,0.0373200011253356,93.6,0.0043256182678222,115.0,0.5800740868257438,18.559999465942383,17,-0.042414685
2025-10-06,2025-10-06 15:19:30+00:00,call,0.0876112251882272,186.97286987304688,0.0385999989509582,7.07,0.0023548127807617,185.0,0.4451849433518335,16.3700008392334,15,-0.065336237
2025-09-30,2025-09-30 13:49:05+00:00,call,0.4681724845995893,184.25015258789065,0.0384500002861022,29.96,0.0030133755310058,155.0,0.4281001330671037,16.280000686645508,17,0.036906471
2025-11-11,2025-11-11 16:58:59+00:00,call,1.1772758384668036,192.6071014404297,0.037829999923706,27.4,0.0024680318634033,175.0,0.4979294342057849,17.280000686645508,15,0.095578806
2025-11-24,2025-11-24 16:34:56+00:00,put,1.1416837782340865,204.75,0.0373000001907348,18.75,0.0018946123046875,210.0,0.4820583841039761,20.520000457763672,16,-0.015643779
2025-11-26,2025-11-26 20:52:01+00:00,call,0.5585215605749486,207.5599975585937,0.0375300002098083,32.53,0.0028607891662597,180.0,0.5656570501472499,17.190000534057617,17,-0.00113089
2025-10-28,2025-10-28 19:05:46+00:00,put,0.027378507871321,185.7506256103516,0.0372000002861022,2.3,0.0016297223754882,187.5,0.4626676268621573,16.420000076293945,16,-0.004262646
2025-10-27,2025-10-27 16:51:50+00:00,put,1.1416837782340865,189.099365234375,0.0371799993515014,0.4,0.0042529871582031,75.0,0.4832841241605606,15.789999961853027,16,-0.039018072
2025-11-05,2025-11-05 19:28:17+00:00,call,0.1971252566735113,184.8264923095703,0.0378800010681152,0.49,0.001872639868164,210.0,0.4737735716279853,18.010000228881836,14,-0.044129801
2025-10-24,2025-10-24 13:45:39+00:00,put,1.2265571526351813,189.19873046875,0.0376300001144409,0.07,0.0043189044677734,75.0,0.5682375757033249,16.3700008392334,15,-0.007250935
2025-11-19,2025-11-19 17:36:10+00:00,put,0.5776865160848734,201.2323303222656,0.0377200007438659,16.0,0.0020105779418945,210.0,0.5808447013783168,23.65999984741211,20,-0.02000035
2025-09-17,2025-09-17 16:04:20+00:00,put,0.0438056125941136,176.08201599121094,0.0386800003051757,0.19,0.0024317163085937,165.0,0.5473469616664827,15.720000267028809,14,-0.019068443
2025-10-31,2025-10-31 18:46:38+00:00,put,0.6297056810403833,187.6783905029297,0.0371799993515014,6.2,0.0022800454620361,175.0,0.4909284680137325,17.440000534057617,15,0.02468169
